R=40001, TT=StCr, NTX=25, TB=1748726347.88s, D=0.18s
R=40002, TT=StCr, NTX=25, TB=1748726350.17s, D=0.23s
R=40003, TT=StCr, NTX=25, TB=1748726352.28s, D=0.24s
R=40004, TT=StCr, NTX=25, TB=1748726354.49s, D=0.19s
R=40005, TT=StCr, NTX=25, TB=1748726356.75s, D=0.28s
R=40006, TT=StCr, NTX=25, TB=1748726359.09s, D=0.17s
R=40007, TT=StCr, NTX=25, TB=1748726361.37s, D=0.29s
R=40008, TT=StCr, NTX=25, TB=1748726363.34s, D=0.17s
R=40009, TT=StCr, NTX=25, TB=1748726365.74s, D=0.34s
R=40010, TT=StCr, NTX=25, TB=1748726367.95s, D=0.26s
R=40011, TT=StCr, NTX=25, TB=1748726370.17s, D=0.28s
R=40012, TT=StCr, NTX=25, TB=1748726372.41s, D=0.31s
R=40013, TT=StCr, NTX=25, TB=1748726374.63s, D=0.33s
R=40014, TT=StCr, NTX=25, TB=1748726376.78s, D=0.28s
R=40015, TT=StCr, NTX=25, TB=1748726378.73s, D=0.17s
R=40016, TT=StCr, NTX=25, TB=1748726381.07s, D=0.27s
R=40017, TT=StCr, NTX=25, TB=1748726383.23s, D=0.23s
R=40018, TT=StCr, NTX=25, TB=1748726385.46s, D=0.37s
R=40019, TT=StCr, NTX=25, TB=1748726387.83s, D=0.28s
R=40020, TT=StCr, NTX=25, TB=1748726389.97s, D=0.22s
R=40021, TT=StCr, NTX=25, TB=1748726392.12s, D=0.19s
R=40022, TT=StCr, NTX=25, TB=1748726394.34s, D=0.23s
R=40023, TT=StCr, NTX=25, TB=1748726396.44s, D=0.16s
R=40024, TT=StCr, NTX=25, TB=1748726398.81s, D=0.34s
R=40025, TT=StCr, NTX=25, TB=1748726401.15s, D=0.33s
R=40026, TT=StCr, NTX=25, TB=1748726404.38s, D=0.18s
R=40027, TT=StCr, NTX=25, TB=1748726406.17s, D=0.26s
R=40028, TT=StCr, NTX=25, TB=1748726408.70s, D=0.29s
R=40029, TT=StCr, NTX=25, TB=1748726410.79s, D=0.18s
R=40030, TT=StCr, NTX=25, TB=1748726413.09s, D=0.31s
R=40031, TT=StCr, NTX=25, TB=1748726415.29s, D=0.32s
R=40032, TT=StCr, NTX=25, TB=1748726417.47s, D=0.26s
R=40033, TT=StCr, NTX=25, TB=1748726419.88s, D=0.30s
R=40034, TT=StCr, NTX=25, TB=1748726422.09s, D=0.30s
R=40035, TT=StCr, NTX=25, TB=1748726424.21s, D=0.29s
R=40036, TT=StCr, NTX=25, TB=1748726426.27s, D=0.17s
R=40037, TT=StCr, NTX=25, TB=1748726428.62s, D=0.25s
R=40038, TT=StCr, NTX=25, TB=1748726430.88s, D=0.27s
R=40039, TT=StCr, NTX=25, TB=1748726433.14s, D=0.27s
R=40040, TT=StCr, NTX=25, TB=1748726435.17s, D=0.18s
R=40041, TT=StCr, NTX=25, TB=1748726437.47s, D=0.28s
R=40042, TT=StCr, NTX=25, TB=1748726439.58s, D=0.25s
R=40043, TT=StCr, NTX=25, TB=1748726441.75s, D=0.19s
R=40044, TT=StCr, NTX=25, TB=1748726444.00s, D=0.30s
R=40045, TT=StCr, NTX=25, TB=1748726446.18s, D=0.32s
R=40046, TT=StCr, NTX=25, TB=1748726448.39s, D=0.22s
R=40047, TT=StCr, NTX=25, TB=1748726450.61s, D=0.29s
R=40048, TT=StCr, NTX=25, TB=1748726452.72s, D=0.24s
R=40049, TT=StCr, NTX=25, TB=1748726454.98s, D=0.29s
R=40050, TT=StCr, NTX=25, TB=1748726457.08s, D=0.24s
R=40051, TT=StCr, NTX=25, TB=1748726459.12s, D=0.16s
R=40052, TT=StCr, NTX=25, TB=1748726461.45s, D=0.31s
R=40053, TT=StCr, NTX=25, TB=1748726464.14s, D=0.36s
R=40054, TT=StCr, NTX=25, TB=1748726466.14s, D=0.24s
R=40055, TT=StCr, NTX=25, TB=1748726468.75s, D=0.22s
R=40056, TT=StCr, NTX=25, TB=1748726470.94s, D=0.24s
R=40057, TT=StCr, NTX=25, TB=1748726473.12s, D=0.19s
R=40058, TT=StCr, NTX=25, TB=1748726475.25s, D=0.18s
R=40059, TT=StCr, NTX=25, TB=1748726477.55s, D=0.28s
R=40060, TT=StCr, NTX=25, TB=1748726479.75s, D=0.28s
R=40061, TT=StCr, NTX=25, TB=1748726482.11s, D=0.27s
R=40062, TT=StCr, NTX=25, TB=1748726484.33s, D=0.35s
R=40063, TT=StCr, NTX=25, TB=1748726486.53s, D=0.28s
R=40064, TT=StCr, NTX=25, TB=1748726488.68s, D=0.21s
R=40065, TT=StCr, NTX=25, TB=1748726491.03s, D=0.33s
R=40066, TT=StCr, NTX=25, TB=1748726493.10s, D=0.15s
R=40067, TT=StCr, NTX=25, TB=1748726495.36s, D=0.30s
R=40068, TT=StCr, NTX=25, TB=1748726497.48s, D=0.15s
R=40069, TT=StCr, NTX=25, TB=1748726499.78s, D=0.28s
R=40070, TT=StCr, NTX=25, TB=1748726501.97s, D=0.28s
R=40071, TT=StCr, NTX=25, TB=1748726504.11s, D=0.17s
R=40072, TT=StCr, NTX=25, TB=1748726506.32s, D=0.21s
R=40073, TT=StCr, NTX=25, TB=1748726508.62s, D=0.28s
R=40074, TT=StCr, NTX=25, TB=1748726510.81s, D=0.29s
R=40075, TT=StCr, NTX=25, TB=1748726513.03s, D=0.34s
R=40076, TT=StCr, NTX=25, TB=1748726515.06s, D=0.18s
R=40077, TT=StCr, NTX=25, TB=1748726517.36s, D=0.31s
R=40078, TT=StCr, NTX=25, TB=1748726519.59s, D=0.27s
R=40079, TT=StCr, NTX=25, TB=1748726521.81s, D=0.30s
R=40080, TT=StCr, NTX=25, TB=1748726524.17s, D=0.29s
R=40081, TT=StCr, NTX=25, TB=1748726526.52s, D=0.22s
R=40082, TT=StCr, NTX=25, TB=1748726528.81s, D=0.21s
R=40083, TT=StCr, NTX=25, TB=1748726530.70s, D=0.16s
R=40084, TT=StCr, NTX=25, TB=1748726533.16s, D=0.28s
R=40085, TT=StCr, NTX=25, TB=1748726535.06s, D=0.14s
R=40086, TT=StCr, NTX=25, TB=1748726537.64s, D=0.30s
R=40087, TT=StCr, NTX=25, TB=1748726539.78s, D=0.31s
R=40088, TT=StCr, NTX=25, TB=1748726542.28s, D=0.27s
R=40089, TT=StCr, NTX=25, TB=1748726544.48s, D=0.33s
R=40090, TT=StCr, NTX=25, TB=1748726546.72s, D=0.32s
R=40091, TT=StCr, NTX=25, TB=1748726548.90s, D=0.38s
R=40092, TT=StCr, NTX=25, TB=1748726551.10s, D=0.21s
R=40093, TT=StCr, NTX=25, TB=1748726553.37s, D=0.28s
R=40094, TT=StCr, NTX=25, TB=1748726555.50s, D=0.20s
R=40095, TT=StCr, NTX=25, TB=1748726557.74s, D=0.31s
R=40096, TT=StCr, NTX=25, TB=1748726559.61s, D=0.16s
R=40097, TT=StCr, NTX=25, TB=1748726562.10s, D=0.27s
R=40098, TT=StCr, NTX=25, TB=1748726564.17s, D=0.17s
R=40099, TT=StCr, NTX=25, TB=1748726566.38s, D=0.17s
R=40100, TT=StCr, NTX=25, TB=1748726568.76s, D=0.35s
R=40101, TT=StCr, NTX=25, TB=1748726570.96s, D=0.33s
R=40102, TT=StCr, NTX=25, TB=1748726573.02s, D=0.18s
R=40103, TT=StCr, NTX=25, TB=1748726575.34s, D=0.27s
R=40104, TT=StCr, NTX=25, TB=1748726577.63s, D=0.26s
R=40105, TT=StCr, NTX=25, TB=1748726579.85s, D=0.34s
R=40106, TT=StCr, NTX=25, TB=1748726582.05s, D=0.34s
R=40107, TT=StCr, NTX=25, TB=1748726584.41s, D=0.27s
R=40108, TT=StCr, NTX=25, TB=1748726586.64s, D=0.27s
R=40109, TT=StCr, NTX=25, TB=1748726589.01s, D=0.31s
R=40110, TT=StCr, NTX=25, TB=1748726591.14s, D=0.33s
R=40111, TT=StCr, NTX=25, TB=1748726593.37s, D=0.33s
R=40112, TT=StCr, NTX=25, TB=1748726595.49s, D=0.33s
R=40113, TT=StCr, NTX=25, TB=1748726597.66s, D=0.31s
R=40114, TT=StCr, NTX=25, TB=1748726599.84s, D=0.27s
R=40115, TT=StCr, NTX=25, TB=1748726602.03s, D=0.26s
R=40116, TT=StCr, NTX=25, TB=1748726604.33s, D=0.26s
R=40117, TT=StCr, NTX=25, TB=1748726606.34s, D=0.18s
R=40118, TT=StCr, NTX=25, TB=1748726608.74s, D=0.32s
R=40119, TT=StCr, NTX=25, TB=1748726610.69s, D=0.15s
R=40120, TT=StCr, NTX=25, TB=1748726613.18s, D=0.27s
R=40121, TT=StCr, NTX=25, TB=1748726615.15s, D=0.17s
R=40122, TT=StCr, NTX=25, TB=1748726617.43s, D=0.21s
R=40123, TT=StCr, NTX=25, TB=1748726619.67s, D=0.29s
R=40124, TT=StCr, NTX=25, TB=1748726621.94s, D=0.32s
R=40125, TT=StCr, NTX=25, TB=1748726624.11s, D=0.24s
R=40126, TT=StCr, NTX=25, TB=1748726626.32s, D=0.35s
R=40127, TT=StCr, NTX=25, TB=1748726628.59s, D=0.32s
R=40128, TT=StCr, NTX=25, TB=1748726630.74s, D=0.23s
R=40129, TT=StCr, NTX=25, TB=1748726632.97s, D=0.30s
R=40130, TT=StCr, NTX=25, TB=1748726635.10s, D=0.30s
R=40131, TT=StCr, NTX=25, TB=1748726637.35s, D=0.29s
R=40132, TT=StCr, NTX=25, TB=1748726639.50s, D=0.28s
R=40133, TT=StCr, NTX=25, TB=1748726641.59s, D=0.15s
R=40134, TT=StCr, NTX=25, TB=1748726644.08s, D=0.30s
R=40135, TT=StCr, NTX=25, TB=1748726646.43s, D=0.20s
R=40136, TT=StCr, NTX=25, TB=1748726648.66s, D=0.17s
R=40137, TT=StCr, NTX=25, TB=1748726650.89s, D=0.31s
R=40138, TT=StCr, NTX=25, TB=1748726653.10s, D=0.29s
R=40139, TT=StCr, NTX=25, TB=1748726655.32s, D=0.30s
