R=40001, TT=TinTrOw, NTX=5, TB=1748726347.70s, D=0.12s
R=40001, TT=TinCr, NTX=12, TB=1748726347.82s, D=0.14s
R=40002, TT=TinTrOw, NTX=5, TB=1748726350.22s, D=0.22s
R=40002, TT=TinCr, NTX=11, TB=1748726350.44s, D=0.21s
R=40003, TT=TinTrOw, NTX=5, TB=1748726352.34s, D=0.22s
R=40003, TT=TinCr, NTX=10, TB=1748726352.56s, D=0.35s
R=40004, TT=TinTrOw, NTX=5, TB=1748726354.56s, D=0.22s
R=40004, TT=TinCr, NTX=11, TB=1748726354.78s, D=0.33s
R=40005, TT=TinTrOw, NTX=5, TB=1748726356.78s, D=0.20s
R=40005, TT=TinCr, NTX=11, TB=1748726356.97s, D=0.27s
R=40006, TT=TinTrOw, NTX=5, TB=1748726359.03s, D=0.13s
R=40006, TT=TinCr, NTX=12, TB=1748726359.17s, D=0.19s
R=40007, TT=TinTrOw, NTX=5, TB=1748726361.25s, D=0.16s
R=40007, TT=TinCr, NTX=10, TB=1748726361.40s, D=0.20s
R=40008, TT=TinTrOw, NTX=5, TB=1748726363.55s, D=0.19s
R=40008, TT=TinCr, NTX=12, TB=1748726363.74s, D=0.31s
R=40009, TT=TinTrOw, NTX=5, TB=1748726365.70s, D=0.15s
R=40009, TT=TinCr, NTX=13, TB=1748726365.86s, D=0.29s
R=40010, TT=TinTrOw, NTX=5, TB=1748726367.99s, D=0.20s
R=40010, TT=TinCr, NTX=9, TB=1748726368.20s, D=0.29s
R=40011, TT=TinTrOw, NTX=5, TB=1748726370.14s, D=0.12s
R=40011, TT=TinCr, NTX=10, TB=1748726370.26s, D=0.21s
R=40012, TT=TinTrOw, NTX=5, TB=1748726372.41s, D=0.24s
R=40012, TT=TinCr, NTX=11, TB=1748726372.65s, D=0.21s
R=40013, TT=TinTrOw, NTX=5, TB=1748726374.64s, D=0.22s
R=40013, TT=TinCr, NTX=7, TB=1748726374.86s, D=0.26s
R=40014, TT=TinTrOw, NTX=5, TB=1748726376.80s, D=0.16s
R=40014, TT=TinCr, NTX=7, TB=1748726376.96s, D=0.26s
R=40015, TT=TinTrOw, NTX=5, TB=1748726378.95s, D=0.22s
R=40015, TT=TinCr, NTX=13, TB=1748726379.17s, D=0.21s
R=40016, TT=TinTrOw, NTX=5, TB=1748726381.12s, D=0.20s
R=40016, TT=TinCr, NTX=9, TB=1748726381.32s, D=0.23s
R=40017, TT=TinTrOw, NTX=5, TB=1748726383.30s, D=0.19s
R=40017, TT=TinCr, NTX=10, TB=1748726383.49s, D=0.23s
R=40018, TT=TinTrOw, NTX=5, TB=1748726385.49s, D=0.20s
R=40018, TT=TinCr, NTX=9, TB=1748726385.69s, D=0.25s
R=40019, TT=TinTrOw, NTX=5, TB=1748726387.85s, D=0.19s
R=40019, TT=TinCr, NTX=9, TB=1748726388.04s, D=0.23s
R=40020, TT=TinTrOw, NTX=5, TB=1748726390.06s, D=0.21s
R=40020, TT=TinCr, NTX=8, TB=1748726390.26s, D=0.26s
R=40021, TT=TinTrOw, NTX=5, TB=1748726392.19s, D=0.15s
R=40021, TT=TinCr, NTX=11, TB=1748726392.35s, D=0.24s
R=40022, TT=TinTrOw, NTX=5, TB=1748726394.39s, D=0.20s
R=40022, TT=TinCr, NTX=10, TB=1748726394.60s, D=0.34s
R=40023, TT=TinTrOw, NTX=5, TB=1748726396.59s, D=0.19s
R=40023, TT=TinCr, NTX=10, TB=1748726396.78s, D=0.22s
R=40024, TT=TinTrOw, NTX=5, TB=1748726398.90s, D=0.23s
R=40024, TT=TinCr, NTX=8, TB=1748726399.13s, D=0.41s
R=40025, TT=TinTrOw, NTX=5, TB=1748726401.20s, D=0.21s
R=40025, TT=TinCr, NTX=12, TB=1748726401.41s, D=0.29s
R=40026, TT=TinTrOw, NTX=5, TB=1748726404.03s, D=0.33s
R=40026, TT=TinCr, NTX=11, TB=1748726404.36s, D=0.14s
R=40027, TT=TinTrOw, NTX=5, TB=1748726406.11s, D=0.14s
R=40027, TT=TinCr, NTX=11, TB=1748726406.25s, D=0.25s
R=40028, TT=TinTrOw, NTX=5, TB=1748726408.59s, D=0.13s
R=40028, TT=TinCr, NTX=9, TB=1748726408.72s, D=0.22s
R=40029, TT=TinTrOw, NTX=5, TB=1748726410.88s, D=0.17s
R=40029, TT=TinCr, NTX=8, TB=1748726411.06s, D=0.23s
R=40030, TT=TinTrOw, NTX=5, TB=1748726413.01s, D=0.12s
R=40030, TT=TinCr, NTX=12, TB=1748726413.14s, D=0.24s
R=40031, TT=TinTrOw, NTX=5, TB=1748726415.20s, D=0.14s
R=40031, TT=TinCr, NTX=11, TB=1748726415.35s, D=0.26s
R=40032, TT=TinTrOw, NTX=5, TB=1748726417.54s, D=0.23s
R=40032, TT=TinCr, NTX=12, TB=1748726417.77s, D=0.22s
R=40033, TT=TinTrOw, NTX=5, TB=1748726419.82s, D=0.12s
R=40033, TT=TinCr, NTX=11, TB=1748726419.95s, D=0.28s
R=40034, TT=TinTrOw, NTX=5, TB=1748726422.06s, D=0.16s
R=40034, TT=TinCr, NTX=10, TB=1748726422.22s, D=0.23s
R=40035, TT=TinTrOw, NTX=5, TB=1748726424.22s, D=0.20s
R=40035, TT=TinCr, NTX=8, TB=1748726424.42s, D=0.35s
R=40036, TT=TinTrOw, NTX=5, TB=1748726426.44s, D=0.18s
R=40036, TT=TinCr, NTX=12, TB=1748726426.62s, D=0.38s
R=40037, TT=TinTrOw, NTX=5, TB=1748726428.69s, D=0.20s
R=40037, TT=TinCr, NTX=10, TB=1748726428.90s, D=0.25s
R=40038, TT=TinTrOw, NTX=5, TB=1748726430.92s, D=0.19s
R=40038, TT=TinCr, NTX=10, TB=1748726431.11s, D=0.35s
R=40039, TT=TinTrOw, NTX=5, TB=1748726433.05s, D=0.15s
R=40039, TT=TinCr, NTX=8, TB=1748726433.20s, D=0.21s
R=40040, TT=TinTrOw, NTX=5, TB=1748726435.33s, D=0.19s
R=40040, TT=TinCr, NTX=6, TB=1748726435.52s, D=0.22s
R=40041, TT=TinTrOw, NTX=5, TB=1748726437.45s, D=0.16s
R=40041, TT=TinCr, NTX=8, TB=1748726437.61s, D=0.27s
R=40042, TT=TinTrOw, NTX=5, TB=1748726439.47s, D=0.13s
R=40042, TT=TinCr, NTX=10, TB=1748726439.60s, D=0.19s
R=40043, TT=TinTrOw, NTX=5, TB=1748726441.83s, D=0.19s
R=40043, TT=TinCr, NTX=10, TB=1748726442.02s, D=0.31s
R=40044, TT=TinTrOw, NTX=5, TB=1748726443.99s, D=0.20s
R=40044, TT=TinCr, NTX=11, TB=1748726444.19s, D=0.25s
R=40045, TT=TinTrOw, NTX=5, TB=1748726446.06s, D=0.14s
R=40045, TT=TinCr, NTX=10, TB=1748726446.20s, D=0.23s
R=40046, TT=TinTrOw, NTX=5, TB=1748726448.45s, D=0.19s
R=40046, TT=TinCr, NTX=9, TB=1748726448.64s, D=0.22s
R=40047, TT=TinTrOw, NTX=5, TB=1748726450.48s, D=0.12s
R=40047, TT=TinCr, NTX=8, TB=1748726450.60s, D=0.17s
R=40048, TT=TinTrOw, NTX=5, TB=1748726452.77s, D=0.23s
R=40048, TT=TinCr, NTX=10, TB=1748726453.00s, D=0.29s
R=40049, TT=TinTrOw, NTX=5, TB=1748726454.98s, D=0.21s
R=40049, TT=TinCr, NTX=8, TB=1748726455.19s, D=0.29s
R=40050, TT=TinTrOw, NTX=5, TB=1748726456.95s, D=0.12s
R=40050, TT=TinCr, NTX=11, TB=1748726457.08s, D=0.15s
R=40051, TT=TinTrOw, NTX=5, TB=1748726459.30s, D=0.18s
R=40051, TT=TinCr, NTX=9, TB=1748726459.49s, D=0.28s
R=40052, TT=TinTrOw, NTX=5, TB=1748726461.45s, D=0.22s
R=40052, TT=TinCr, NTX=10, TB=1748726461.67s, D=0.38s
R=40053, TT=TinTrOw, NTX=5, TB=1748726464.11s, D=0.32s
R=40053, TT=TinCr, NTX=9, TB=1748726464.43s, D=0.17s
R=40054, TT=TinTrOw, NTX=5, TB=1748726466.14s, D=0.17s
R=40054, TT=TinCr, NTX=8, TB=1748726466.31s, D=0.30s
R=40055, TT=TinTrOw, NTX=5, TB=1748726468.82s, D=0.21s
R=40055, TT=TinCr, NTX=10, TB=1748726469.03s, D=0.25s
R=40056, TT=TinTrOw, NTX=5, TB=1748726470.93s, D=0.13s
R=40056, TT=TinCr, NTX=8, TB=1748726471.07s, D=0.24s
R=40057, TT=TinTrOw, NTX=5, TB=1748726473.14s, D=0.15s
R=40057, TT=TinCr, NTX=8, TB=1748726473.29s, D=0.21s
R=40058, TT=TinTrOw, NTX=5, TB=1748726475.33s, D=0.18s
R=40058, TT=TinCr, NTX=8, TB=1748726475.51s, D=0.35s
R=40059, TT=TinTrOw, NTX=5, TB=1748726477.56s, D=0.20s
R=40059, TT=TinCr, NTX=9, TB=1748726477.76s, D=0.31s
R=40060, TT=TinTrOw, NTX=5, TB=1748726479.70s, D=0.13s
R=40060, TT=TinCr, NTX=9, TB=1748726479.83s, D=0.20s
R=40061, TT=TinTrOw, NTX=5, TB=1748726482.08s, D=0.16s
R=40061, TT=TinCr, NTX=14, TB=1748726482.24s, D=0.26s
R=40062, TT=TinTrOw, NTX=5, TB=1748726484.14s, D=0.12s
R=40062, TT=TinCr, NTX=9, TB=1748726484.27s, D=0.15s
R=40063, TT=TinTrOw, NTX=5, TB=1748726486.55s, D=0.21s
R=40063, TT=TinCr, NTX=12, TB=1748726486.75s, D=0.33s
R=40064, TT=TinTrOw, NTX=5, TB=1748726488.78s, D=0.22s
R=40064, TT=TinCr, NTX=9, TB=1748726489.01s, D=0.30s
R=40065, TT=TinTrOw, NTX=5, TB=1748726490.89s, D=0.12s
R=40065, TT=TinCr, NTX=9, TB=1748726491.01s, D=0.19s
