R=40001, TT=StCr, NTX=25, TB=1748726348.03s, D=0.23s
R=40002, TT=StCr, NTX=25, TB=1748726350.18s, D=0.22s
R=40003, TT=StCr, NTX=25, TB=1748726352.36s, D=0.32s
R=40004, TT=StCr, NTX=25, TB=1748726354.52s, D=0.27s
R=40005, TT=StCr, NTX=25, TB=1748726356.65s, D=0.18s
R=40006, TT=StCr, NTX=25, TB=1748726359.23s, D=0.31s
R=40007, TT=StCr, NTX=25, TB=1748726361.24s, D=0.20s
R=40008, TT=StCr, NTX=25, TB=1748726363.55s, D=0.28s
R=40009, TT=StCr, NTX=25, TB=1748726365.75s, D=0.29s
R=40010, TT=StCr, NTX=25, TB=1748726367.80s, D=0.16s
R=40011, TT=StCr, NTX=25, TB=1748726370.18s, D=0.29s
R=40012, TT=StCr, NTX=25, TB=1748726372.38s, D=0.28s
R=40013, TT=StCr, NTX=25, TB=1748726374.60s, D=0.27s
R=40014, TT=StCr, NTX=25, TB=1748726376.82s, D=0.31s
R=40015, TT=StCr, NTX=25, TB=1748726378.85s, D=0.18s
R=40016, TT=StCr, NTX=25, TB=1748726381.01s, D=0.18s
R=40017, TT=StCr, NTX=25, TB=1748726383.17s, D=0.17s
R=40018, TT=StCr, NTX=25, TB=1748726385.49s, D=0.37s
R=40019, TT=StCr, NTX=25, TB=1748726387.75s, D=0.19s
R=40020, TT=StCr, NTX=25, TB=1748726389.92s, D=0.17s
R=40021, TT=StCr, NTX=25, TB=1748726392.21s, D=0.27s
R=40022, TT=StCr, NTX=25, TB=1748726394.40s, D=0.29s
R=40023, TT=StCr, NTX=25, TB=1748726396.74s, D=0.30s
R=40024, TT=StCr, NTX=25, TB=1748726398.85s, D=0.32s
R=40025, TT=StCr, NTX=25, TB=1748726401.15s, D=0.29s
R=40026, TT=StCr, NTX=25, TB=1748726403.66s, D=0.25s
R=40027, TT=StCr, NTX=25, TB=1748726406.11s, D=0.21s
R=40028, TT=StCr, NTX=25, TB=1748726408.69s, D=0.26s
R=40029, TT=StCr, NTX=25, TB=1748726410.91s, D=0.27s
R=40030, TT=StCr, NTX=25, TB=1748726413.07s, D=0.26s
R=40031, TT=StCr, NTX=25, TB=1748726415.25s, D=0.27s
R=40032, TT=StCr, NTX=25, TB=1748726417.48s, D=0.25s
R=40033, TT=StCr, NTX=25, TB=1748726419.86s, D=0.29s
R=40034, TT=StCr, NTX=25, TB=1748726421.95s, D=0.16s
R=40035, TT=StCr, NTX=25, TB=1748726424.12s, D=0.20s
R=40036, TT=StCr, NTX=25, TB=1748726426.36s, D=0.19s
R=40037, TT=StCr, NTX=25, TB=1748726428.69s, D=0.29s
R=40038, TT=StCr, NTX=25, TB=1748726430.90s, D=0.28s
R=40039, TT=StCr, NTX=25, TB=1748726433.14s, D=0.25s
R=40040, TT=StCr, NTX=25, TB=1748726435.34s, D=0.27s
R=40041, TT=StCr, NTX=25, TB=1748726437.43s, D=0.26s
R=40042, TT=StCr, NTX=25, TB=1748726439.62s, D=0.29s
R=40043, TT=StCr, NTX=25, TB=1748726441.83s, D=0.28s
R=40044, TT=StCr, NTX=25, TB=1748726444.00s, D=0.30s
R=40045, TT=StCr, NTX=25, TB=1748726446.18s, D=0.31s
R=40046, TT=StCr, NTX=25, TB=1748726448.43s, D=0.29s
R=40047, TT=StCr, NTX=25, TB=1748726450.59s, D=0.25s
R=40048, TT=StCr, NTX=25, TB=1748726452.78s, D=0.29s
R=40049, TT=StCr, NTX=25, TB=1748726454.93s, D=0.22s
R=40050, TT=StCr, NTX=25, TB=1748726457.11s, D=0.26s
R=40051, TT=StCr, NTX=25, TB=1748726459.24s, D=0.19s
R=40052, TT=StCr, NTX=25, TB=1748726461.48s, D=0.30s
R=40053, TT=StCr, NTX=25, TB=1748726463.76s, D=0.33s
R=40054, TT=StCr, NTX=25, TB=1748726465.90s, D=0.17s
R=40055, TT=StCr, NTX=25, TB=1748726468.81s, D=0.27s
R=40056, TT=StCr, NTX=25, TB=1748726470.79s, D=0.17s
R=40057, TT=StCr, NTX=25, TB=1748726472.79s, D=0.15s
R=40058, TT=StCr, NTX=25, TB=1748726475.37s, D=0.27s
R=40059, TT=StCr, NTX=25, TB=1748726477.53s, D=0.28s
R=40060, TT=StCr, NTX=25, TB=1748726479.77s, D=0.27s
R=40061, TT=StCr, NTX=25, TB=1748726482.12s, D=0.27s
R=40062, TT=StCr, NTX=25, TB=1748726484.30s, D=0.29s
R=40063, TT=StCr, NTX=25, TB=1748726486.50s, D=0.27s
R=40064, TT=StCr, NTX=25, TB=1748726488.75s, D=0.27s
R=40065, TT=StCr, NTX=25, TB=1748726491.00s, D=0.27s
R=40066, TT=StCr, NTX=25, TB=1748726493.17s, D=0.19s
R=40067, TT=StCr, NTX=25, TB=1748726495.33s, D=0.23s
R=40068, TT=StCr, NTX=25, TB=1748726497.55s, D=0.26s
R=40069, TT=StCr, NTX=25, TB=1748726499.74s, D=0.24s
R=40070, TT=StCr, NTX=25, TB=1748726501.97s, D=0.29s
R=40071, TT=StCr, NTX=25, TB=1748726504.21s, D=0.29s
R=40072, TT=StCr, NTX=25, TB=1748726506.47s, D=0.29s
R=40073, TT=StCr, NTX=25, TB=1748726508.66s, D=0.34s
R=40074, TT=StCr, NTX=25, TB=1748726510.76s, D=0.18s
R=40075, TT=StCr, NTX=25, TB=1748726512.90s, D=0.16s
R=40076, TT=StCr, NTX=25, TB=1748726515.19s, D=0.25s
R=40077, TT=StCr, NTX=25, TB=1748726517.29s, D=0.17s
R=40078, TT=StCr, NTX=25, TB=1748726519.60s, D=0.28s
R=40079, TT=StCr, NTX=25, TB=1748726521.80s, D=0.30s
R=40080, TT=StCr, NTX=25, TB=1748726524.19s, D=0.32s
R=40081, TT=StCr, NTX=25, TB=1748726526.56s, D=0.28s
R=40082, TT=StCr, NTX=25, TB=1748726528.90s, D=0.29s
R=40083, TT=StCr, NTX=25, TB=1748726530.93s, D=0.19s
R=40084, TT=StCr, NTX=25, TB=1748726533.09s, D=0.17s
R=40085, TT=StCr, NTX=25, TB=1748726535.40s, D=0.29s
R=40086, TT=StCr, NTX=25, TB=1748726537.65s, D=0.33s
R=40087, TT=StCr, NTX=25, TB=1748726539.78s, D=0.30s
R=40088, TT=StCr, NTX=25, TB=1748726542.21s, D=0.20s
R=40089, TT=StCr, NTX=25, TB=1748726544.44s, D=0.27s
R=40090, TT=StCr, NTX=25, TB=1748726546.72s, D=0.29s
R=40091, TT=StCr, NTX=25, TB=1748726548.74s, D=0.17s
R=40092, TT=StCr, NTX=25, TB=1748726551.15s, D=0.30s
R=40093, TT=StCr, NTX=25, TB=1748726553.24s, D=0.16s
R=40094, TT=StCr, NTX=25, TB=1748726555.59s, D=0.29s
R=40095, TT=StCr, NTX=25, TB=1748726557.72s, D=0.29s
R=40096, TT=StCr, NTX=25, TB=1748726559.93s, D=0.29s
R=40097, TT=StCr, NTX=25, TB=1748726562.15s, D=0.31s
R=40098, TT=StCr, NTX=25, TB=1748726564.27s, D=0.21s
R=40099, TT=StCr, NTX=25, TB=1748726566.54s, D=0.25s
R=40100, TT=StCr, NTX=25, TB=1748726568.76s, D=0.33s
R=40101, TT=StCr, NTX=25, TB=1748726570.98s, D=0.31s
R=40102, TT=StCr, NTX=25, TB=1748726573.20s, D=0.31s
R=40103, TT=StCr, NTX=25, TB=1748726575.34s, D=0.26s
R=40104, TT=StCr, NTX=25, TB=1748726577.45s, D=0.16s
R=40105, TT=StCr, NTX=25, TB=1748726579.84s, D=0.30s
R=40106, TT=StCr, NTX=25, TB=1748726582.03s, D=0.32s
R=40107, TT=StCr, NTX=25, TB=1748726584.46s, D=0.28s
R=40108, TT=StCr, NTX=25, TB=1748726586.67s, D=0.28s
R=40109, TT=StCr, NTX=25, TB=1748726588.73s, D=0.19s
R=40110, TT=StCr, NTX=25, TB=1748726590.99s, D=0.16s
R=40111, TT=StCr, NTX=25, TB=1748726593.35s, D=0.32s
R=40112, TT=StCr, NTX=25, TB=1748726595.36s, D=0.16s
R=40113, TT=StCr, NTX=25, TB=1748726597.65s, D=0.32s
R=40114, TT=StCr, NTX=25, TB=1748726599.79s, D=0.22s
R=40115, TT=StCr, NTX=25, TB=1748726602.03s, D=0.23s
R=40116, TT=StCr, NTX=25, TB=1748726604.32s, D=0.23s
R=40117, TT=StCr, NTX=25, TB=1748726606.50s, D=0.20s
R=40118, TT=StCr, NTX=25, TB=1748726608.74s, D=0.27s
R=40119, TT=StCr, NTX=25, TB=1748726611.00s, D=0.27s
R=40120, TT=StCr, NTX=25, TB=1748726613.20s, D=0.29s
R=40121, TT=StCr, NTX=25, TB=1748726615.38s, D=0.26s
R=40122, TT=StCr, NTX=25, TB=1748726617.50s, D=0.28s
R=40123, TT=StCr, NTX=25, TB=1748726619.69s, D=0.31s
R=40124, TT=StCr, NTX=25, TB=1748726621.93s, D=0.30s
R=40125, TT=StCr, NTX=25, TB=1748726624.00s, D=0.16s
R=40126, TT=StCr, NTX=25, TB=1748726626.30s, D=0.27s
R=40127, TT=StCr, NTX=25, TB=1748726628.60s, D=0.33s
R=40128, TT=StCr, NTX=25, TB=1748726630.79s, D=0.26s
R=40129, TT=StCr, NTX=25, TB=1748726632.96s, D=0.28s
R=40130, TT=StCr, NTX=25, TB=1748726635.05s, D=0.21s
R=40131, TT=StCr, NTX=25, TB=1748726637.35s, D=0.27s
R=40132, TT=StCr, NTX=25, TB=1748726639.53s, D=0.28s
R=40133, TT=StCr, NTX=25, TB=1748726641.74s, D=0.30s
R=40134, TT=StCr, NTX=25, TB=1748726644.05s, D=0.27s
R=40135, TT=StCr, NTX=25, TB=1748726646.23s, D=0.16s
R=40136, TT=StCr, NTX=25, TB=1748726648.76s, D=0.26s
