R=40001, TT=RebTrOw, NTX=20, TB=1748726348.06s, D=0.27s
R=40001, TT=RebCr, NTX=55, TB=1748726348.32s, D=0.31s
R=40002, TT=RebTrOw, NTX=20, TB=1748726350.20s, D=0.25s
R=40002, TT=RebCr, NTX=72, TB=1748726350.45s, D=0.34s
R=40003, TT=RebTrOw, NTX=20, TB=1748726352.27s, D=0.18s
R=40003, TT=RebCr, NTX=72, TB=1748726352.44s, D=0.40s
R=40004, TT=RebTrOw, NTX=20, TB=1748726354.53s, D=0.24s
R=40004, TT=RebCr, NTX=66, TB=1748726354.76s, D=0.41s
R=40005, TT=RebTrOw, NTX=20, TB=1748726356.79s, D=0.24s
R=40005, TT=RebCr, NTX=62, TB=1748726357.03s, D=0.35s
R=40006, TT=RebTrOw, NTX=20, TB=1748726359.21s, D=0.27s
R=40006, TT=RebCr, NTX=55, TB=1748726359.48s, D=0.31s
R=40007, TT=RebTrOw, NTX=20, TB=1748726361.31s, D=0.26s
R=40007, TT=RebCr, NTX=54, TB=1748726361.57s, D=0.39s
R=40008, TT=RebTrOw, NTX=20, TB=1748726363.54s, D=0.23s
R=40008, TT=RebCr, NTX=71, TB=1748726363.77s, D=0.42s
R=40009, TT=RebTrOw, NTX=20, TB=1748726365.73s, D=0.23s
R=40009, TT=RebCr, NTX=70, TB=1748726365.95s, D=0.32s
R=40010, TT=RebTrOw, NTX=20, TB=1748726367.92s, D=0.19s
R=40010, TT=RebCr, NTX=68, TB=1748726368.11s, D=0.31s
R=40011, TT=RebTrOw, NTX=20, TB=1748726370.21s, D=0.27s
R=40011, TT=RebCr, NTX=57, TB=1748726370.47s, D=0.37s
R=40012, TT=RebTrOw, NTX=20, TB=1748726372.39s, D=0.27s
R=40012, TT=RebCr, NTX=69, TB=1748726372.65s, D=0.41s
R=40013, TT=RebTrOw, NTX=20, TB=1748726374.62s, D=0.28s
R=40013, TT=RebCr, NTX=62, TB=1748726374.89s, D=0.36s
R=40014, TT=RebTrOw, NTX=20, TB=1748726376.84s, D=0.28s
