R=30001, TT=StCr, NTX=25, TB=1748703444.51s, D=0.16s
R=30002, TT=StCr, NTX=25, TB=1748703446.86s, D=0.27s
R=30003, TT=StCr, NTX=25, TB=1748703449.00s, D=0.29s
R=30004, TT=StCr, NTX=25, TB=1748703451.35s, D=0.28s
R=30005, TT=StCr, NTX=25, TB=1748703453.44s, D=0.17s
R=30006, TT=StCr, NTX=25, TB=1748703455.72s, D=0.31s
R=30007, TT=StCr, NTX=25, TB=1748703457.98s, D=0.27s
R=30008, TT=StCr, NTX=25, TB=1748703460.20s, D=0.29s
R=30009, TT=StCr, NTX=25, TB=1748703462.42s, D=0.24s
R=30010, TT=StCr, NTX=25, TB=1748703464.61s, D=0.22s
R=30011, TT=StCr, NTX=25, TB=1748703466.69s, D=0.16s
R=30012, TT=StCr, NTX=25, TB=1748703468.98s, D=0.30s
R=30013, TT=StCr, NTX=25, TB=1748703470.92s, D=0.16s
R=30014, TT=StCr, NTX=25, TB=1748703473.29s, D=0.25s
R=30015, TT=StCr, NTX=25, TB=1748703475.55s, D=0.32s
R=30016, TT=StCr, NTX=25, TB=1748703477.45s, D=0.14s
R=30017, TT=StCr, NTX=25, TB=1748703480.01s, D=0.29s
R=30018, TT=StCr, NTX=25, TB=1748703482.25s, D=0.55s
R=30019, TT=StCr, NTX=25, TB=1748703484.74s, D=0.29s
R=30020, TT=StCr, NTX=25, TB=1748703486.91s, D=0.21s
R=30021, TT=StCr, NTX=25, TB=1748703489.43s, D=0.32s
R=30022, TT=StCr, NTX=25, TB=1748703491.26s, D=0.15s
R=30023, TT=StCr, NTX=25, TB=1748703493.75s, D=0.19s
R=30024, TT=StCr, NTX=25, TB=1748703495.81s, D=0.17s
R=30025, TT=StCr, NTX=25, TB=1748703498.18s, D=0.21s
R=30026, TT=StCr, NTX=25, TB=1748703500.52s, D=0.35s
R=30027, TT=StCr, NTX=25, TB=1748703502.76s, D=0.31s
R=30028, TT=StCr, NTX=25, TB=1748703504.85s, D=0.29s
R=30029, TT=StCr, NTX=25, TB=1748703507.09s, D=0.32s
R=30030, TT=StCr, NTX=25, TB=1748703509.27s, D=0.28s
R=30031, TT=StCr, NTX=25, TB=1748703511.79s, D=0.30s
R=30032, TT=StCr, NTX=25, TB=1748703514.03s, D=0.30s
R=30033, TT=StCr, NTX=25, TB=1748703516.19s, D=0.26s
R=30034, TT=StCr, NTX=25, TB=1748703518.24s, D=0.16s
R=30035, TT=StCr, NTX=25, TB=1748703520.61s, D=0.29s
R=30036, TT=StCr, NTX=25, TB=1748703522.75s, D=0.22s
R=30037, TT=StCr, NTX=25, TB=1748703524.67s, D=0.16s
R=30038, TT=StCr, NTX=25, TB=1748703527.11s, D=0.20s
R=30039, TT=StCr, NTX=25, TB=1748703529.37s, D=0.31s
R=30040, TT=StCr, NTX=25, TB=1748703531.54s, D=0.28s
R=30041, TT=StCr, NTX=25, TB=1748703533.69s, D=0.27s
R=30042, TT=StCr, NTX=25, TB=1748703535.85s, D=0.26s
R=30043, TT=StCr, NTX=25, TB=1748703538.23s, D=0.25s
R=30044, TT=StCr, NTX=25, TB=1748703540.43s, D=0.28s
R=30045, TT=StCr, NTX=25, TB=1748703542.52s, D=0.16s
R=30046, TT=StCr, NTX=25, TB=1748703545.04s, D=0.31s
R=30047, TT=StCr, NTX=25, TB=1748703547.19s, D=0.26s
