R=40001, TT=RebTrOw, NTX=20, TB=1748726347.89s, D=0.17s
R=40001, TT=RebCr, NTX=61, TB=1748726348.06s, D=0.39s
R=40002, TT=RebTrOw, NTX=20, TB=1748726349.67s, D=0.14s
R=40002, TT=RebCr, NTX=67, TB=1748726349.81s, D=0.21s
R=40003, TT=RebTrOw, NTX=20, TB=1748726352.18s, D=0.16s
R=40003, TT=RebCr, NTX=58, TB=1748726352.34s, D=0.45s
R=40004, TT=RebTrOw, NTX=20, TB=1748726354.56s, D=0.28s
R=40004, TT=RebCr, NTX=64, TB=1748726354.84s, D=0.39s
R=40005, TT=RebTrOw, NTX=20, TB=1748726356.79s, D=0.29s
R=40005, TT=RebCr, NTX=65, TB=1748726357.08s, D=0.34s
R=40006, TT=RebTrOw, NTX=20, TB=1748726359.23s, D=0.29s
R=40006, TT=RebCr, NTX=46, TB=1748726359.53s, D=0.25s
R=40007, TT=RebTrOw, NTX=20, TB=1748726361.27s, D=0.19s
R=40007, TT=RebCr, NTX=60, TB=1748726361.46s, D=0.33s
R=40008, TT=RebTrOw, NTX=20, TB=1748726363.54s, D=0.23s
R=40008, TT=RebCr, NTX=51, TB=1748726363.77s, D=0.38s
R=40009, TT=RebTrOw, NTX=20, TB=1748726365.77s, D=0.29s
R=40009, TT=RebCr, NTX=62, TB=1748726366.06s, D=0.37s
R=40010, TT=RebTrOw, NTX=20, TB=1748726367.97s, D=0.27s
R=40010, TT=RebCr, NTX=70, TB=1748726368.24s, D=0.38s
R=40011, TT=RebTrOw, NTX=20, TB=1748726370.15s, D=0.17s
R=40011, TT=RebCr, NTX=69, TB=1748726370.32s, D=0.35s
R=40012, TT=RebTrOw, NTX=20, TB=1748726372.40s, D=0.28s
R=40012, TT=RebCr, NTX=57, TB=1748726372.67s, D=0.38s
R=40013, TT=RebTrOw, NTX=20, TB=1748726374.49s, D=0.15s
R=40013, TT=RebCr, NTX=52, TB=1748726374.64s, D=0.41s
R=40014, TT=RebTrOw, NTX=20, TB=1748726376.78s, D=0.24s
R=40014, TT=RebCr, NTX=61, TB=1748726377.02s, D=0.31s
R=40015, TT=RebTrOw, NTX=20, TB=1748726378.95s, D=0.26s
R=40015, TT=RebCr, NTX=55, TB=1748726379.21s, D=0.32s
R=40016, TT=RebTrOw, NTX=20, TB=1748726381.11s, D=0.27s
R=40016, TT=RebCr, NTX=66, TB=1748726381.38s, D=0.35s
R=40017, TT=RebTrOw, NTX=20, TB=1748726383.29s, D=0.26s
R=40017, TT=RebCr, NTX=56, TB=1748726383.55s, D=0.34s
R=40018, TT=RebTrOw, NTX=20, TB=1748726385.50s, D=0.46s
R=40018, TT=RebCr, NTX=52, TB=1748726385.96s, D=0.32s
R=40019, TT=RebTrOw, NTX=20, TB=1748726387.85s, D=0.27s
R=40019, TT=RebCr, NTX=59, TB=1748726388.12s, D=0.35s
R=40020, TT=RebTrOw, NTX=20, TB=1748726389.97s, D=0.20s
R=40020, TT=RebCr, NTX=55, TB=1748726390.17s, D=0.32s
R=40021, TT=RebTrOw, NTX=20, TB=1748726392.25s, D=0.29s
R=40021, TT=RebCr, NTX=57, TB=1748726392.54s, D=0.30s
R=40022, TT=RebTrOw, NTX=20, TB=1748726394.40s, D=0.25s
R=40022, TT=RebCr, NTX=57, TB=1748726394.65s, D=0.37s
R=40023, TT=RebTrOw, NTX=20, TB=1748726396.56s, D=0.26s
R=40023, TT=RebCr, NTX=55, TB=1748726396.82s, D=0.43s
R=40024, TT=RebTrOw, NTX=20, TB=1748726398.84s, D=0.30s
R=40024, TT=RebCr, NTX=60, TB=1748726399.14s, D=0.39s
R=40025, TT=RebTrOw, NTX=20, TB=1748726401.17s, D=0.31s
R=40025, TT=RebCr, NTX=59, TB=1748726401.48s, D=0.40s
R=40026, TT=RebTrOw, NTX=20, TB=1748726403.59s, D=0.24s
R=40026, TT=RebCr, NTX=56, TB=1748726403.83s, D=0.44s
R=40027, TT=RebTrOw, NTX=20, TB=1748726406.18s, D=0.24s
R=40027, TT=RebCr, NTX=61, TB=1748726406.43s, D=0.35s
R=40028, TT=RebTrOw, NTX=20, TB=1748726408.62s, D=0.17s
R=40028, TT=RebCr, NTX=58, TB=1748726408.79s, D=0.31s
R=40029, TT=RebTrOw, NTX=20, TB=1748726410.92s, D=0.28s
R=40029, TT=RebCr, NTX=65, TB=1748726411.20s, D=0.35s
R=40030, TT=RebTrOw, NTX=20, TB=1748726413.03s, D=0.18s
R=40030, TT=RebCr, NTX=68, TB=1748726413.21s, D=0.34s
R=40031, TT=RebTrOw, NTX=20, TB=1748726415.30s, D=0.30s
R=40031, TT=RebCr, NTX=63, TB=1748726415.60s, D=0.33s
R=40032, TT=RebTrOw, NTX=20, TB=1748726417.49s, D=0.26s
R=40032, TT=RebCr, NTX=59, TB=1748726417.75s, D=0.35s
R=40033, TT=RebTrOw, NTX=20, TB=1748726419.89s, D=0.28s
R=40033, TT=RebCr, NTX=55, TB=1748726420.18s, D=0.33s
R=40034, TT=RebTrOw, NTX=20, TB=1748726422.06s, D=0.25s
R=40034, TT=RebCr, NTX=55, TB=1748726422.32s, D=0.36s
R=40035, TT=RebTrOw, NTX=20, TB=1748726424.28s, D=0.31s
R=40035, TT=RebCr, NTX=62, TB=1748726424.58s, D=0.33s
R=40036, TT=RebTrOw, NTX=20, TB=1748726426.43s, D=0.25s
R=40036, TT=RebCr, NTX=68, TB=1748726426.68s, D=0.47s
R=40037, TT=RebTrOw, NTX=20, TB=1748726428.66s, D=0.25s
R=40037, TT=RebCr, NTX=61, TB=1748726428.91s, D=0.44s
R=40038, TT=RebTrOw, NTX=20, TB=1748726430.95s, D=0.28s
