R=20001, TT=StCr, NTX=25, TB=1748680647.73s, D=0.29s
R=20002, TT=StCr, NTX=25, TB=1748680650.02s, D=0.30s
R=20003, TT=StCr, NTX=25, TB=1748680652.14s, D=0.26s
R=20004, TT=StCr, NTX=25, TB=1748680654.40s, D=0.27s
R=20005, TT=StCr, NTX=25, TB=1748680656.57s, D=0.27s
R=20006, TT=StCr, NTX=25, TB=1748680658.75s, D=0.34s
R=20007, TT=StCr, NTX=25, TB=1748680660.84s, D=0.20s
R=20008, TT=StCr, NTX=25, TB=1748680663.17s, D=0.36s
R=20009, TT=StCr, NTX=25, TB=1748680665.44s, D=0.26s
R=20010, TT=StCr, NTX=25, TB=1748680667.90s, D=0.26s
R=20011, TT=StCr, NTX=25, TB=1748680670.10s, D=0.31s
R=20012, TT=StCr, NTX=25, TB=1748680672.29s, D=0.30s
R=20013, TT=StCr, NTX=25, TB=1748680674.51s, D=0.33s
R=20014, TT=StCr, NTX=25, TB=1748680676.67s, D=0.28s
R=20015, TT=StCr, NTX=25, TB=1748680678.81s, D=0.21s
R=20016, TT=StCr, NTX=25, TB=1748680681.06s, D=0.22s
R=20017, TT=StCr, NTX=25, TB=1748680683.31s, D=0.48s
R=20018, TT=StCr, NTX=25, TB=1748680685.72s, D=0.37s
R=20019, TT=StCr, NTX=25, TB=1748680688.02s, D=0.20s
R=20020, TT=StCr, NTX=25, TB=1748680690.34s, D=0.29s
R=20021, TT=StCr, NTX=25, TB=1748680692.42s, D=0.27s
R=20022, TT=StCr, NTX=25, TB=1748680694.93s, D=0.21s
R=20023, TT=StCr, NTX=25, TB=1748680697.21s, D=0.28s
R=20024, TT=StCr, NTX=25, TB=1748680699.41s, D=0.26s
R=20025, TT=StCr, NTX=25, TB=1748680701.57s, D=0.27s
R=20026, TT=StCr, NTX=25, TB=1748680703.71s, D=0.27s
R=20027, TT=StCr, NTX=25, TB=1748680705.96s, D=0.30s
R=20028, TT=StCr, NTX=25, TB=1748680708.09s, D=0.17s
R=20029, TT=StCr, NTX=25, TB=1748680710.37s, D=0.27s
R=20030, TT=StCr, NTX=25, TB=1748680712.59s, D=0.31s
R=20031, TT=StCr, NTX=25, TB=1748680714.69s, D=0.24s
R=20032, TT=StCr, NTX=25, TB=1748680716.79s, D=0.19s
R=20033, TT=StCr, NTX=25, TB=1748680719.11s, D=0.28s
R=20034, TT=StCr, NTX=25, TB=1748680721.04s, D=0.16s
R=20035, TT=StCr, NTX=25, TB=1748680723.42s, D=0.27s
R=20036, TT=StCr, NTX=25, TB=1748680725.67s, D=0.48s
R=20037, TT=StCr, NTX=25, TB=1748680727.94s, D=0.23s
R=20038, TT=StCr, NTX=25, TB=1748680730.03s, D=0.16s
R=20039, TT=StCr, NTX=25, TB=1748680732.39s, D=0.28s
R=20040, TT=StCr, NTX=25, TB=1748680734.60s, D=0.36s
R=20041, TT=StCr, NTX=25, TB=1748680736.70s, D=0.19s
R=20042, TT=StCr, NTX=25, TB=1748680738.95s, D=0.29s
R=20043, TT=StCr, NTX=25, TB=1748680741.08s, D=0.30s
R=20044, TT=StCr, NTX=25, TB=1748680743.27s, D=0.39s
R=20045, TT=StCr, NTX=25, TB=1748680745.71s, D=0.32s
R=20046, TT=StCr, NTX=25, TB=1748680747.99s, D=0.34s
R=20047, TT=StCr, NTX=25, TB=1748680750.12s, D=0.20s
R=20048, TT=StCr, NTX=25, TB=1748680752.33s, D=0.23s
R=20049, TT=StCr, NTX=25, TB=1748680754.54s, D=0.17s
R=20050, TT=StCr, NTX=25, TB=1748680756.90s, D=0.16s
R=20051, TT=StCr, NTX=25, TB=1748680758.86s, D=0.15s
R=20052, TT=StCr, NTX=25, TB=1748680761.39s, D=0.32s
R=20053, TT=StCr, NTX=25, TB=1748680763.59s, D=0.30s
R=20054, TT=StCr, NTX=25, TB=1748680765.75s, D=0.28s
R=20055, TT=StCr, NTX=25, TB=1748680767.89s, D=0.16s
R=20056, TT=StCr, NTX=25, TB=1748680770.13s, D=0.20s
R=20057, TT=StCr, NTX=25, TB=1748680772.26s, D=0.18s
R=20058, TT=StCr, NTX=25, TB=1748680774.45s, D=0.16s
R=20059, TT=StCr, NTX=25, TB=1748680776.78s, D=0.33s
R=20060, TT=StCr, NTX=25, TB=1748680778.84s, D=0.23s
R=20061, TT=StCr, NTX=25, TB=1748680781.05s, D=0.29s
R=20062, TT=StCr, NTX=25, TB=1748680783.24s, D=0.27s
R=20063, TT=StCr, NTX=25, TB=1748680785.33s, D=0.17s
R=20064, TT=StCr, NTX=25, TB=1748680787.85s, D=0.27s
R=20065, TT=StCr, NTX=25, TB=1748680789.96s, D=0.26s
R=20066, TT=StCr, NTX=25, TB=1748680792.17s, D=0.25s
R=20067, TT=StCr, NTX=25, TB=1748680794.34s, D=0.22s
R=20068, TT=StCr, NTX=25, TB=1748680796.52s, D=0.30s
R=20069, TT=StCr, NTX=25, TB=1748680798.73s, D=0.27s
R=20070, TT=StCr, NTX=25, TB=1748680800.97s, D=0.23s
R=20071, TT=StCr, NTX=25, TB=1748680803.27s, D=0.65s
R=20072, TT=StCr, NTX=25, TB=1748680805.77s, D=0.33s
R=20073, TT=StCr, NTX=25, TB=1748680808.18s, D=0.31s
R=20074, TT=StCr, NTX=25, TB=1748680810.40s, D=0.36s
R=20075, TT=StCr, NTX=25, TB=1748680812.57s, D=0.21s
R=20076, TT=StCr, NTX=25, TB=1748680814.75s, D=0.28s
R=20077, TT=StCr, NTX=25, TB=1748680817.24s, D=0.29s
R=20078, TT=StCr, NTX=25, TB=1748680819.31s, D=0.16s
R=20079, TT=StCr, NTX=25, TB=1748680821.42s, D=0.17s
R=20080, TT=StCr, NTX=25, TB=1748680823.69s, D=0.27s
R=20081, TT=StCr, NTX=25, TB=1748680825.86s, D=0.32s
R=20082, TT=StCr, NTX=25, TB=1748680828.09s, D=0.16s
R=20083, TT=StCr, NTX=25, TB=1748680830.12s, D=0.16s
R=20084, TT=StCr, NTX=25, TB=1748680832.59s, D=0.29s
R=20085, TT=StCr, NTX=25, TB=1748680834.72s, D=0.28s
R=20086, TT=StCr, NTX=25, TB=1748680836.86s, D=0.22s
R=20087, TT=StCr, NTX=25, TB=1748680839.08s, D=0.19s
R=20088, TT=StCr, NTX=25, TB=1748680841.34s, D=0.29s
R=20089, TT=StCr, NTX=25, TB=1748680843.48s, D=0.28s
R=20090, TT=StCr, NTX=25, TB=1748680845.70s, D=0.38s
R=20091, TT=StCr, NTX=25, TB=1748680847.97s, D=0.22s
R=20092, TT=StCr, NTX=25, TB=1748680850.23s, D=0.28s
R=20093, TT=StCr, NTX=25, TB=1748680852.42s, D=0.28s
R=20094, TT=StCr, NTX=25, TB=1748680854.66s, D=0.30s
R=20095, TT=StCr, NTX=25, TB=1748680856.73s, D=0.17s
R=20096, TT=StCr, NTX=25, TB=1748680859.03s, D=0.31s
R=20097, TT=StCr, NTX=25, TB=1748680861.28s, D=0.27s
R=20098, TT=StCr, NTX=25, TB=1748680863.45s, D=0.33s
R=20099, TT=StCr, NTX=25, TB=1748680865.77s, D=0.35s
R=20100, TT=StCr, NTX=25, TB=1748680867.91s, D=0.37s
R=20101, TT=StCr, NTX=25, TB=1748680870.12s, D=0.25s
R=20102, TT=StCr, NTX=25, TB=1748680872.33s, D=0.26s
R=20103, TT=StCr, NTX=25, TB=1748680874.49s, D=0.23s
R=20104, TT=StCr, NTX=25, TB=1748680876.72s, D=0.22s
R=20105, TT=StCr, NTX=25, TB=1748680879.13s, D=0.24s
R=20106, TT=StCr, NTX=25, TB=1748680881.05s, D=0.16s
R=20107, TT=StCr, NTX=25, TB=1748680883.54s, D=0.32s
R=20108, TT=StCr, NTX=25, TB=1748680885.65s, D=0.29s
R=20109, TT=StCr, NTX=25, TB=1748680887.80s, D=0.25s
R=20110, TT=StCr, NTX=25, TB=1748680889.97s, D=0.26s
R=20111, TT=StCr, NTX=25, TB=1748680892.23s, D=0.31s
R=20112, TT=StCr, NTX=25, TB=1748680894.17s, D=0.17s
R=20113, TT=StCr, NTX=25, TB=1748680896.47s, D=0.19s
R=20114, TT=StCr, NTX=25, TB=1748680898.75s, D=0.31s
R=20115, TT=StCr, NTX=25, TB=1748680900.94s, D=0.29s
R=20116, TT=StCr, NTX=25, TB=1748680903.17s, D=0.23s
R=20117, TT=StCr, NTX=25, TB=1748680905.35s, D=0.34s
R=20118, TT=StCr, NTX=25, TB=1748680907.58s, D=0.17s
R=20119, TT=StCr, NTX=25, TB=1748680909.74s, D=0.15s
R=20120, TT=StCr, NTX=25, TB=1748680912.02s, D=0.25s
R=20121, TT=StCr, NTX=25, TB=1748680914.12s, D=0.18s
R=20122, TT=StCr, NTX=25, TB=1748680916.34s, D=0.26s
R=20123, TT=StCr, NTX=25, TB=1748680918.66s, D=0.32s
R=20124, TT=StCr, NTX=25, TB=1748680920.64s, D=0.16s
R=20125, TT=StCr, NTX=25, TB=1748680923.03s, D=0.40s
R=20126, TT=StCr, NTX=25, TB=1748680925.44s, D=0.27s
R=20127, TT=StCr, NTX=25, TB=1748680927.55s, D=0.18s
R=20128, TT=StCr, NTX=25, TB=1748680929.79s, D=0.16s
R=20129, TT=StCr, NTX=25, TB=1748680932.07s, D=0.17s
R=20130, TT=StCr, NTX=25, TB=1748680934.38s, D=0.29s
R=20131, TT=StCr, NTX=25, TB=1748680936.50s, D=0.30s
R=20132, TT=StCr, NTX=25, TB=1748680939.00s, D=0.19s
R=20133, TT=StCr, NTX=25, TB=1748680941.14s, D=0.17s
R=20134, TT=StCr, NTX=25, TB=1748680943.40s, D=0.26s
R=20135, TT=StCr, NTX=25, TB=1748680945.52s, D=0.25s
R=20136, TT=StCr, NTX=25, TB=1748680947.66s, D=0.18s
R=20137, TT=StCr, NTX=25, TB=1748680949.96s, D=0.27s
R=20138, TT=StCr, NTX=25, TB=1748680952.20s, D=0.27s
R=20139, TT=StCr, NTX=25, TB=1748680954.43s, D=0.25s
R=20140, TT=StCr, NTX=25, TB=1748680956.59s, D=0.30s
R=20141, TT=StCr, NTX=25, TB=1748680958.66s, D=0.18s
R=20142, TT=StCr, NTX=25, TB=1748680960.85s, D=0.17s
R=20143, TT=StCr, NTX=25, TB=1748680963.12s, D=0.28s
R=20144, TT=StCr, NTX=25, TB=1748680965.24s, D=0.29s
R=20145, TT=StCr, NTX=25, TB=1748680967.53s, D=0.23s
R=20146, TT=StCr, NTX=25, TB=1748680969.78s, D=0.32s
R=20147, TT=StCr, NTX=25, TB=1748680972.02s, D=0.33s
R=20148, TT=StCr, NTX=25, TB=1748680974.11s, D=0.29s
R=20149, TT=StCr, NTX=25, TB=1748680976.42s, D=0.29s
R=20150, TT=StCr, NTX=25, TB=1748680978.65s, D=0.30s
R=20151, TT=StCr, NTX=25, TB=1748680980.74s, D=0.18s
R=20152, TT=StCr, NTX=25, TB=1748680982.98s, D=0.36s
R=20153, TT=StCr, NTX=25, TB=1748680985.29s, D=0.20s
R=20154, TT=StCr, NTX=25, TB=1748680987.50s, D=0.22s
R=20155, TT=StCr, NTX=25, TB=1748680989.93s, D=0.29s
R=20156, TT=StCr, NTX=25, TB=1748680992.01s, D=0.25s
R=20157, TT=StCr, NTX=25, TB=1748680994.31s, D=0.28s
R=20158, TT=StCr, NTX=25, TB=1748680996.56s, D=0.27s
R=20159, TT=StCr, NTX=25, TB=1748680998.74s, D=0.26s
R=20160, TT=StCr, NTX=25, TB=1748681001.03s, D=0.20s
