R=70001, TT=TinTrOw, NTX=5, TB=1748794444.59s, D=0.15s
R=70001, TT=TinCr, NTX=11, TB=1748794444.74s, D=0.21s
R=70002, TT=TinTrOw, NTX=5, TB=1748794446.79s, D=0.18s
R=70002, TT=TinCr, NTX=9, TB=1748794446.97s, D=0.23s
R=70003, TT=TinTrOw, NTX=5, TB=1748794449.13s, D=0.11s
R=70003, TT=TinCr, NTX=10, TB=1748794449.24s, D=0.14s
R=70004, TT=TinTrOw, NTX=5, TB=1748794451.49s, D=0.19s
R=70004, TT=TinCr, NTX=8, TB=1748794451.68s, D=0.26s
R=70005, TT=TinTrOw, NTX=5, TB=1748794453.63s, D=0.18s
R=70005, TT=TinCr, NTX=11, TB=1748794453.81s, D=0.21s
R=70006, TT=TinTrOw, NTX=5, TB=1748794455.79s, D=0.13s
R=70006, TT=TinCr, NTX=8, TB=1748794455.92s, D=0.20s
R=70007, TT=TinTrOw, NTX=5, TB=1748794458.00s, D=0.17s
R=70007, TT=TinCr, NTX=9, TB=1748794458.17s, D=0.19s
R=70008, TT=TinTrOw, NTX=5, TB=1748794460.08s, D=0.11s
R=70008, TT=TinCr, NTX=12, TB=1748794460.19s, D=0.19s
R=70009, TT=TinTrOw, NTX=5, TB=1748794462.25s, D=0.17s
R=70009, TT=TinCr, NTX=13, TB=1748794462.43s, D=0.23s
R=70010, TT=TinTrOw, NTX=5, TB=1748794464.49s, D=0.13s
R=70010, TT=TinCr, NTX=13, TB=1748794464.62s, D=0.23s
R=70011, TT=TinTrOw, NTX=5, TB=1748794466.65s, D=0.13s
R=70011, TT=TinCr, NTX=9, TB=1748794466.78s, D=0.22s
R=70012, TT=TinTrOw, NTX=5, TB=1748794468.71s, D=0.12s
R=70012, TT=TinCr, NTX=11, TB=1748794468.83s, D=0.16s
R=70013, TT=TinTrOw, NTX=5, TB=1748794471.12s, D=0.17s
R=70013, TT=TinCr, NTX=10, TB=1748794471.29s, D=0.21s
R=70014, TT=TinTrOw, NTX=5, TB=1748794473.24s, D=0.19s
R=70014, TT=TinCr, NTX=10, TB=1748794473.43s, D=0.24s
R=70015, TT=TinTrOw, NTX=5, TB=1748794475.33s, D=0.14s
R=70015, TT=TinCr, NTX=5, TB=1748794475.47s, D=0.19s
