R=10001, TT=TinTrOw, NTX=5, TB=1748657680.36s, D=0.20s
R=10001, TT=TinCr, NTX=9, TB=1748657680.56s, D=0.22s
R=10002, TT=TinTrOw, NTX=5, TB=1748657682.53s, D=0.15s
R=10002, TT=TinCr, NTX=11, TB=1748657682.68s, D=0.24s
R=10003, TT=TinTrOw, NTX=5, TB=1748657684.75s, D=0.22s
R=10003, TT=TinCr, NTX=12, TB=1748657684.98s, D=0.20s
R=10004, TT=TinTrOw, NTX=5, TB=1748657686.97s, D=0.23s
R=10004, TT=TinCr, NTX=9, TB=1748657687.20s, D=0.29s
R=10005, TT=TinTrOw, NTX=5, TB=1748657689.18s, D=0.15s
R=10005, TT=TinCr, NTX=12, TB=1748657689.32s, D=0.26s
R=10006, TT=TinTrOw, NTX=5, TB=1748657691.38s, D=0.13s
R=10006, TT=TinCr, NTX=7, TB=1748657691.51s, D=0.19s
R=10007, TT=TinTrOw, NTX=5, TB=1748657693.66s, D=0.20s
R=10007, TT=TinCr, NTX=11, TB=1748657693.86s, D=0.23s
R=10008, TT=TinTrOw, NTX=5, TB=1748657696.04s, D=0.27s
R=10008, TT=TinCr, NTX=12, TB=1748657696.30s, D=0.25s
R=10009, TT=TinTrOw, NTX=5, TB=1748657698.37s, D=0.15s
R=10009, TT=TinCr, NTX=12, TB=1748657698.52s, D=0.24s
R=10010, TT=TinTrOw, NTX=5, TB=1748657700.62s, D=0.17s
R=10010, TT=TinCr, NTX=11, TB=1748657700.79s, D=0.24s
R=10011, TT=TinTrOw, NTX=5, TB=1748657702.78s, D=0.14s
R=10011, TT=TinCr, NTX=10, TB=1748657702.92s, D=0.25s
R=10012, TT=TinTrOw, NTX=5, TB=1748657705.36s, D=0.18s
R=10012, TT=TinCr, NTX=11, TB=1748657705.54s, D=0.26s
R=10013, TT=TinTrOw, NTX=5, TB=1748657707.67s, D=0.20s
R=10013, TT=TinCr, NTX=12, TB=1748657707.87s, D=0.30s
R=10014, TT=TinTrOw, NTX=5, TB=1748657709.96s, D=0.16s
R=10014, TT=TinCr, NTX=9, TB=1748657710.12s, D=0.24s
R=10015, TT=TinTrOw, NTX=5, TB=1748657712.23s, D=0.18s
R=10015, TT=TinCr, NTX=10, TB=1748657712.41s, D=0.36s
R=10016, TT=TinTrOw, NTX=5, TB=1748657714.24s, D=0.12s
R=10016, TT=TinCr, NTX=7, TB=1748657714.36s, D=0.14s
R=10017, TT=TinTrOw, NTX=5, TB=1748657716.66s, D=0.21s
R=10017, TT=TinCr, NTX=8, TB=1748657716.86s, D=0.35s
R=10018, TT=TinTrOw, NTX=5, TB=1748657718.89s, D=0.20s
R=10018, TT=TinCr, NTX=12, TB=1748657719.09s, D=0.28s
R=10019, TT=TinTrOw, NTX=5, TB=1748657721.25s, D=0.16s
R=10019, TT=TinCr, NTX=8, TB=1748657721.41s, D=0.22s
R=10020, TT=TinTrOw, NTX=5, TB=1748657723.48s, D=0.21s
R=10020, TT=TinCr, NTX=13, TB=1748657723.69s, D=0.37s
R=10021, TT=TinTrOw, NTX=5, TB=1748657725.67s, D=0.15s
R=10021, TT=TinCr, NTX=11, TB=1748657725.82s, D=0.25s
R=10022, TT=TinTrOw, NTX=5, TB=1748657727.85s, D=0.14s
R=10022, TT=TinCr, NTX=11, TB=1748657727.98s, D=0.29s
R=10023, TT=TinTrOw, NTX=5, TB=1748657730.16s, D=0.22s
R=10023, TT=TinCr, NTX=10, TB=1748657730.38s, D=0.32s
R=10024, TT=TinTrOw, NTX=5, TB=1748657732.44s, D=0.22s
R=10024, TT=TinCr, NTX=11, TB=1748657732.66s, D=0.30s
R=10025, TT=TinTrOw, NTX=5, TB=1748657734.64s, D=0.22s
R=10025, TT=TinCr, NTX=11, TB=1748657734.87s, D=0.28s
R=10026, TT=TinTrOw, NTX=5, TB=1748657736.82s, D=0.17s
R=10026, TT=TinCr, NTX=9, TB=1748657736.99s, D=0.24s
R=10027, TT=TinTrOw, NTX=5, TB=1748657738.92s, D=0.12s
R=10027, TT=TinCr, NTX=7, TB=1748657739.03s, D=0.19s
R=10028, TT=TinTrOw, NTX=5, TB=1748657741.28s, D=0.20s
R=10028, TT=TinCr, NTX=11, TB=1748657741.48s, D=0.20s
R=10029, TT=TinTrOw, NTX=5, TB=1748657743.55s, D=0.21s
R=10029, TT=TinCr, NTX=9, TB=1748657743.75s, D=0.25s
R=10030, TT=TinTrOw, NTX=5, TB=1748657745.79s, D=0.24s
R=10030, TT=TinCr, NTX=9, TB=1748657746.03s, D=0.19s
R=10031, TT=TinTrOw, NTX=5, TB=1748657748.12s, D=0.17s
R=10031, TT=TinCr, NTX=12, TB=1748657748.29s, D=0.25s
R=10032, TT=TinTrOw, NTX=5, TB=1748657750.32s, D=0.16s
R=10032, TT=TinCr, NTX=10, TB=1748657750.48s, D=0.24s
R=10033, TT=TinTrOw, NTX=5, TB=1748657752.56s, D=0.17s
R=10033, TT=TinCr, NTX=10, TB=1748657752.73s, D=0.28s
R=10034, TT=TinTrOw, NTX=5, TB=1748657754.75s, D=0.15s
R=10034, TT=TinCr, NTX=9, TB=1748657754.90s, D=0.24s
R=10035, TT=TinTrOw, NTX=5, TB=1748657757.13s, D=0.16s
R=10035, TT=TinCr, NTX=7, TB=1748657757.29s, D=0.24s
R=10036, TT=TinTrOw, NTX=5, TB=1748657759.35s, D=0.17s
R=10036, TT=TinCr, NTX=6, TB=1748657759.52s, D=0.32s
R=10037, TT=TinTrOw, NTX=5, TB=1748657761.51s, D=0.13s
R=10037, TT=TinCr, NTX=12, TB=1748657761.64s, D=0.27s
R=10038, TT=TinTrOw, NTX=5, TB=1748657763.96s, D=0.24s
R=10038, TT=TinCr, NTX=11, TB=1748657764.20s, D=0.45s
R=10039, TT=TinTrOw, NTX=5, TB=1748657766.34s, D=0.22s
R=10039, TT=TinCr, NTX=11, TB=1748657766.56s, D=0.27s
R=10040, TT=TinTrOw, NTX=5, TB=1748657768.60s, D=0.16s
R=10040, TT=TinCr, NTX=8, TB=1748657768.76s, D=0.26s
R=10041, TT=TinTrOw, NTX=5, TB=1748657770.89s, D=0.21s
R=10041, TT=TinCr, NTX=7, TB=1748657771.10s, D=0.30s
R=10042, TT=TinTrOw, NTX=5, TB=1748657773.17s, D=0.22s
R=10042, TT=TinCr, NTX=10, TB=1748657773.39s, D=0.26s
R=10043, TT=TinTrOw, NTX=5, TB=1748657775.38s, D=0.22s
R=10043, TT=TinCr, NTX=12, TB=1748657775.60s, D=0.25s
R=10044, TT=TinTrOw, NTX=5, TB=1748657777.44s, D=0.13s
R=10044, TT=TinCr, NTX=9, TB=1748657777.57s, D=0.25s
R=10045, TT=TinTrOw, NTX=5, TB=1748657779.86s, D=0.21s
R=10045, TT=TinCr, NTX=10, TB=1748657780.08s, D=0.33s
R=10046, TT=TinTrOw, NTX=5, TB=1748657782.27s, D=0.21s
R=10046, TT=TinCr, NTX=8, TB=1748657782.48s, D=0.21s
R=10047, TT=TinTrOw, NTX=5, TB=1748657784.30s, D=0.13s
R=10047, TT=TinCr, NTX=13, TB=1748657784.43s, D=0.26s
R=10048, TT=TinTrOw, NTX=5, TB=1748657786.73s, D=0.22s
R=10048, TT=TinCr, NTX=8, TB=1748657786.96s, D=0.36s
R=10049, TT=TinTrOw, NTX=5, TB=1748657788.97s, D=0.19s
R=10049, TT=TinCr, NTX=11, TB=1748657789.16s, D=0.24s
R=10050, TT=TinTrOw, NTX=5, TB=1748657791.29s, D=0.20s
R=10050, TT=TinCr, NTX=11, TB=1748657791.49s, D=0.39s
R=10051, TT=TinTrOw, NTX=5, TB=1748657793.53s, D=0.14s
R=10051, TT=TinCr, NTX=9, TB=1748657793.68s, D=0.26s
R=10052, TT=TinTrOw, NTX=5, TB=1748657795.79s, D=0.23s
R=10052, TT=TinCr, NTX=10, TB=1748657796.02s, D=0.32s
R=10053, TT=TinTrOw, NTX=5, TB=1748657797.92s, D=0.14s
R=10053, TT=TinCr, NTX=9, TB=1748657798.06s, D=0.24s
R=10054, TT=TinTrOw, NTX=5, TB=1748657800.31s, D=0.18s
R=10054, TT=TinCr, NTX=10, TB=1748657800.49s, D=0.24s
R=10055, TT=TinTrOw, NTX=5, TB=1748657802.53s, D=0.17s
R=10055, TT=TinCr, NTX=9, TB=1748657802.70s, D=0.26s
R=10056, TT=TinTrOw, NTX=5, TB=1748657804.84s, D=0.23s
R=10056, TT=TinCr, NTX=13, TB=1748657805.07s, D=0.31s
R=10057, TT=TinTrOw, NTX=5, TB=1748657807.06s, D=0.21s
R=10057, TT=TinCr, NTX=12, TB=1748657807.27s, D=0.28s
R=10058, TT=TinTrOw, NTX=5, TB=1748657809.24s, D=0.17s
R=10058, TT=TinCr, NTX=10, TB=1748657809.41s, D=0.28s
R=10059, TT=TinTrOw, NTX=5, TB=1748657811.49s, D=0.15s
R=10059, TT=TinCr, NTX=10, TB=1748657811.63s, D=0.27s
R=10060, TT=TinTrOw, NTX=5, TB=1748657813.69s, D=0.15s
R=10060, TT=TinCr, NTX=7, TB=1748657813.84s, D=0.27s
R=10061, TT=TinTrOw, NTX=5, TB=1748657816.00s, D=0.29s
R=10061, TT=TinCr, NTX=8, TB=1748657816.29s, D=0.24s
R=10062, TT=TinTrOw, NTX=5, TB=1748657818.36s, D=0.21s
R=10062, TT=TinCr, NTX=8, TB=1748657818.57s, D=0.35s
R=10063, TT=TinTrOw, NTX=5, TB=1748657820.60s, D=0.25s
R=10063, TT=TinCr, NTX=14, TB=1748657820.85s, D=0.39s
R=10064, TT=TinTrOw, NTX=5, TB=1748657822.74s, D=0.14s
R=10064, TT=TinCr, NTX=7, TB=1748657822.88s, D=0.26s
R=10065, TT=TinTrOw, NTX=5, TB=1748657825.24s, D=0.17s
R=10065, TT=TinCr, NTX=8, TB=1748657825.41s, D=0.24s
R=10066, TT=TinTrOw, NTX=5, TB=1748657827.58s, D=0.22s
R=10066, TT=TinCr, NTX=13, TB=1748657827.80s, D=0.36s
R=10067, TT=TinTrOw, NTX=5, TB=1748657830.20s, D=0.16s
R=10067, TT=TinCr, NTX=12, TB=1748657830.36s, D=0.31s
R=10068, TT=TinTrOw, NTX=5, TB=1748657832.58s, D=0.21s
R=10068, TT=TinCr, NTX=9, TB=1748657832.79s, D=0.22s
R=10069, TT=TinTrOw, NTX=5, TB=1748657834.67s, D=0.14s
R=10069, TT=TinCr, NTX=6, TB=1748657834.81s, D=0.23s
R=10070, TT=TinTrOw, NTX=5, TB=1748657836.99s, D=0.19s
R=10070, TT=TinCr, NTX=10, TB=1748657837.18s, D=0.28s
R=10071, TT=TinTrOw, NTX=5, TB=1748657839.18s, D=0.12s
R=10071, TT=TinCr, NTX=11, TB=1748657839.30s, D=0.23s
R=10072, TT=TinTrOw, NTX=5, TB=1748657841.80s, D=0.21s
R=10072, TT=TinCr, NTX=11, TB=1748657842.00s, D=0.34s
R=10073, TT=TinTrOw, NTX=5, TB=1748657844.02s, D=0.18s
R=10073, TT=TinCr, NTX=8, TB=1748657844.20s, D=0.24s
R=10074, TT=TinTrOw, NTX=5, TB=1748657846.29s, D=0.21s
R=10074, TT=TinCr, NTX=11, TB=1748657846.50s, D=0.27s
R=10075, TT=TinTrOw, NTX=5, TB=1748657848.56s, D=0.20s
R=10075, TT=TinCr, NTX=8, TB=1748657848.76s, D=0.34s
R=10076, TT=TinTrOw, NTX=5, TB=1748657850.78s, D=0.21s
R=10076, TT=TinCr, NTX=7, TB=1748657850.99s, D=0.33s
R=10077, TT=TinTrOw, NTX=5, TB=1748657853.01s, D=0.17s
R=10077, TT=TinCr, NTX=10, TB=1748657853.18s, D=0.25s
R=10078, TT=TinTrOw, NTX=5, TB=1748657855.33s, D=0.19s
R=10078, TT=TinCr, NTX=10, TB=1748657855.52s, D=0.32s
R=10079, TT=TinTrOw, NTX=5, TB=1748657857.56s, D=0.22s
R=10079, TT=TinCr, NTX=10, TB=1748657857.78s, D=0.34s
R=10080, TT=TinTrOw, NTX=5, TB=1748657859.81s, D=0.18s
R=10080, TT=TinCr, NTX=9, TB=1748657859.99s, D=0.31s
R=10081, TT=TinTrOw, NTX=5, TB=1748657861.99s, D=0.19s
R=10081, TT=TinCr, NTX=13, TB=1748657862.17s, D=0.22s
R=10082, TT=TinTrOw, NTX=5, TB=1748657864.24s, D=0.18s
R=10082, TT=TinCr, NTX=13, TB=1748657864.42s, D=0.30s
R=10083, TT=TinTrOw, NTX=5, TB=1748657866.45s, D=0.19s
R=10083, TT=TinCr, NTX=10, TB=1748657866.64s, D=0.23s
R=10084, TT=TinTrOw, NTX=5, TB=1748657868.76s, D=0.21s
R=10084, TT=TinCr, NTX=6, TB=1748657868.97s, D=0.20s
R=10085, TT=TinTrOw, NTX=5, TB=1748657870.94s, D=0.17s
R=10085, TT=TinCr, NTX=11, TB=1748657871.12s, D=0.23s
R=10086, TT=TinTrOw, NTX=5, TB=1748657873.11s, D=0.23s
R=10086, TT=TinCr, NTX=9, TB=1748657873.34s, D=0.35s
R=10087, TT=TinTrOw, NTX=5, TB=1748657875.36s, D=0.15s
R=10087, TT=TinCr, NTX=13, TB=1748657875.51s, D=0.25s
R=10088, TT=TinTrOw, NTX=5, TB=1748657877.38s, D=0.12s
R=10088, TT=TinCr, NTX=12, TB=1748657877.51s, D=0.17s
R=10089, TT=TinTrOw, NTX=5, TB=1748657880.02s, D=0.12s
R=10089, TT=TinCr, NTX=7, TB=1748657880.14s, D=0.22s
R=10090, TT=TinTrOw, NTX=5, TB=1748657882.37s, D=0.23s
R=10090, TT=TinCr, NTX=13, TB=1748657882.61s, D=0.28s
R=10091, TT=TinTrOw, NTX=5, TB=1748657884.81s, D=0.19s
R=10091, TT=TinCr, NTX=14, TB=1748657885.01s, D=0.33s
R=10092, TT=TinTrOw, NTX=5, TB=1748657887.06s, D=0.19s
R=10092, TT=TinCr, NTX=8, TB=1748657887.25s, D=0.34s
R=10093, TT=TinTrOw, NTX=5, TB=1748657889.46s, D=0.14s
R=10093, TT=TinCr, NTX=8, TB=1748657889.61s, D=0.28s
R=10094, TT=TinTrOw, NTX=5, TB=1748657891.57s, D=0.13s
R=10094, TT=TinCr, NTX=9, TB=1748657891.70s, D=0.19s
R=10095, TT=TinTrOw, NTX=5, TB=1748657893.91s, D=0.14s
R=10095, TT=TinCr, NTX=11, TB=1748657894.06s, D=0.23s
R=10096, TT=TinTrOw, NTX=5, TB=1748657896.15s, D=0.23s
R=10096, TT=TinCr, NTX=11, TB=1748657896.38s, D=0.27s
R=10097, TT=TinTrOw, NTX=5, TB=1748657898.47s, D=0.17s
R=10097, TT=TinCr, NTX=12, TB=1748657898.64s, D=0.37s
R=10098, TT=TinTrOw, NTX=5, TB=1748657900.69s, D=0.22s
R=10098, TT=TinCr, NTX=7, TB=1748657900.91s, D=0.29s
R=10099, TT=TinTrOw, NTX=5, TB=1748657903.28s, D=0.24s
R=10099, TT=TinCr, NTX=11, TB=1748657903.52s, D=0.30s
R=10100, TT=TinTrOw, NTX=5, TB=1748657905.47s, D=0.16s
R=10100, TT=TinCr, NTX=10, TB=1748657905.63s, D=0.26s
R=10101, TT=TinTrOw, NTX=5, TB=1748657907.74s, D=0.23s
R=10101, TT=TinCr, NTX=10, TB=1748657907.96s, D=0.21s
R=10102, TT=TinTrOw, NTX=5, TB=1748657909.92s, D=0.23s
R=10102, TT=TinCr, NTX=9, TB=1748657910.15s, D=0.37s
R=10103, TT=TinTrOw, NTX=5, TB=1748657912.20s, D=0.20s
R=10103, TT=TinCr, NTX=10, TB=1748657912.39s, D=0.33s
R=10104, TT=TinTrOw, NTX=5, TB=1748657914.44s, D=0.22s
R=10104, TT=TinCr, NTX=9, TB=1748657914.67s, D=0.31s
R=10105, TT=TinTrOw, NTX=5, TB=1748657916.49s, D=0.14s
R=10105, TT=TinCr, NTX=10, TB=1748657916.62s, D=0.16s
R=10106, TT=TinTrOw, NTX=5, TB=1748657918.93s, D=0.20s
R=10106, TT=TinCr, NTX=10, TB=1748657919.13s, D=0.35s
R=10107, TT=TinTrOw, NTX=5, TB=1748657921.15s, D=0.21s
R=10107, TT=TinCr, NTX=10, TB=1748657921.36s, D=0.37s
R=10108, TT=TinTrOw, NTX=5, TB=1748657923.38s, D=0.16s
R=10108, TT=TinCr, NTX=11, TB=1748657923.55s, D=0.25s
R=10109, TT=TinTrOw, NTX=5, TB=1748657925.65s, D=0.25s
R=10109, TT=TinCr, NTX=10, TB=1748657925.91s, D=0.23s
R=10110, TT=TinTrOw, NTX=5, TB=1748657928.52s, D=0.24s
R=10110, TT=TinCr, NTX=12, TB=1748657928.76s, D=0.27s
R=10111, TT=TinTrOw, NTX=5, TB=1748657930.61s, D=0.14s
R=10111, TT=TinCr, NTX=11, TB=1748657930.74s, D=0.23s
R=10112, TT=TinTrOw, NTX=5, TB=1748657933.06s, D=0.22s
R=10112, TT=TinCr, NTX=11, TB=1748657933.28s, D=0.27s
R=10113, TT=TinTrOw, NTX=5, TB=1748657935.15s, D=0.13s
R=10113, TT=TinCr, NTX=11, TB=1748657935.29s, D=0.22s
R=10114, TT=TinTrOw, NTX=5, TB=1748657937.50s, D=0.20s
R=10114, TT=TinCr, NTX=11, TB=1748657937.70s, D=0.26s
R=10115, TT=TinTrOw, NTX=5, TB=1748657939.63s, D=0.16s
R=10115, TT=TinCr, NTX=8, TB=1748657939.79s, D=0.24s
R=10116, TT=TinTrOw, NTX=5, TB=1748657941.89s, D=0.13s
R=10116, TT=TinCr, NTX=9, TB=1748657942.03s, D=0.25s
R=10117, TT=TinTrOw, NTX=5, TB=1748657944.37s, D=0.12s
R=10117, TT=TinCr, NTX=11, TB=1748657944.49s, D=0.25s
R=10118, TT=TinTrOw, NTX=5, TB=1748657946.65s, D=0.15s
R=10118, TT=TinCr, NTX=14, TB=1748657946.80s, D=0.25s
R=10119, TT=TinTrOw, NTX=5, TB=1748657949.05s, D=0.23s
R=10119, TT=TinCr, NTX=12, TB=1748657949.28s, D=0.33s
R=10120, TT=TinTrOw, NTX=5, TB=1748657951.22s, D=0.16s
R=10120, TT=TinCr, NTX=11, TB=1748657951.38s, D=0.23s
R=10121, TT=TinTrOw, NTX=5, TB=1748657953.46s, D=0.22s
R=10121, TT=TinCr, NTX=9, TB=1748657953.68s, D=0.30s
R=10122, TT=TinTrOw, NTX=5, TB=1748657955.70s, D=0.20s
R=10122, TT=TinCr, NTX=8, TB=1748657955.90s, D=0.34s
