R=90043, TT=RebTrOw, NTX=20, TB=1748840017.67s, D=0.26s
R=90043, TT=RebCr, NTX=68, TB=1748840017.93s, D=0.37s
R=90044, TT=RebTrOw, NTX=20, TB=1748840019.88s, D=0.30s
R=90044, TT=RebCr, NTX=57, TB=1748840020.19s, D=0.31s
R=90045, TT=RebTrOw, NTX=20, TB=1748840022.12s, D=0.27s
R=90045, TT=RebCr, NTX=56, TB=1748840022.39s, D=0.36s
R=90046, TT=RebTrOw, NTX=20, TB=1748840024.28s, D=0.27s
R=90046, TT=RebCr, NTX=65, TB=1748840024.55s, D=0.42s
R=90047, TT=RebTrOw, NTX=20, TB=1748840026.65s, D=0.24s
R=90047, TT=RebCr, NTX=61, TB=1748840026.89s, D=0.41s
R=90048, TT=RebTrOw, NTX=20, TB=1748840029.01s, D=0.30s
R=90048, TT=RebCr, NTX=63, TB=1748840029.31s, D=0.45s
R=90049, TT=RebTrOw, NTX=20, TB=1748840031.35s, D=0.30s
R=90049, TT=RebCr, NTX=60, TB=1748840031.65s, D=0.38s
R=90050, TT=RebTrOw, NTX=20, TB=1748840033.52s, D=0.22s
R=90050, TT=RebCr, NTX=63, TB=1748840033.74s, D=0.37s
R=90051, TT=RebTrOw, NTX=20, TB=1748840035.89s, D=0.33s
R=90051, TT=RebCr, NTX=63, TB=1748840036.22s, D=0.46s
R=90052, TT=RebTrOw, NTX=20, TB=1748840038.18s, D=0.19s
R=90052, TT=RebCr, NTX=68, TB=1748840038.37s, D=0.37s
R=90053, TT=RebTrOw, NTX=20, TB=1748840040.57s, D=0.28s
R=90053, TT=RebCr, NTX=51, TB=1748840040.85s, D=0.37s
R=90054, TT=RebTrOw, NTX=20, TB=1748840042.88s, D=0.35s
R=90054, TT=RebCr, NTX=66, TB=1748840043.22s, D=0.55s
R=90055, TT=RebTrOw, NTX=20, TB=1748840045.26s, D=0.23s
R=90055, TT=RebCr, NTX=62, TB=1748840045.49s, D=0.36s
R=90056, TT=RebTrOw, NTX=20, TB=1748840047.64s, D=0.32s
R=90056, TT=RebCr, NTX=61, TB=1748840047.96s, D=0.38s
R=90057, TT=RebTrOw, NTX=20, TB=1748840049.96s, D=0.22s
