R=60001, TT=StCr, NTX=25, TB=1748771843.63s, D=0.16s
R=60002, TT=StCr, NTX=25, TB=1748771845.93s, D=0.26s
R=60003, TT=StCr, NTX=25, TB=1748771848.08s, D=0.25s
R=60004, TT=StCr, NTX=25, TB=1748771850.26s, D=0.23s
R=60005, TT=StCr, NTX=25, TB=1748771852.52s, D=0.26s
R=60006, TT=StCr, NTX=25, TB=1748771854.51s, D=0.16s
R=60007, TT=StCr, NTX=25, TB=1748771856.81s, D=0.18s
R=60008, TT=StCr, NTX=25, TB=1748771858.99s, D=0.22s
R=60009, TT=StCr, NTX=25, TB=1748771861.14s, D=0.22s
R=60010, TT=StCr, NTX=25, TB=1748771863.38s, D=0.21s
R=60011, TT=StCr, NTX=25, TB=1748771865.55s, D=0.32s
R=60012, TT=StCr, NTX=25, TB=1748771867.86s, D=0.24s
R=60013, TT=StCr, NTX=25, TB=1748771869.85s, D=0.20s
R=60014, TT=StCr, NTX=25, TB=1748771872.08s, D=0.25s
R=60015, TT=StCr, NTX=25, TB=1748771874.23s, D=0.27s
R=60016, TT=StCr, NTX=25, TB=1748771876.94s, D=0.16s
R=60017, TT=StCr, NTX=25, TB=1748771878.65s, D=0.28s
R=60018, TT=StCr, NTX=25, TB=1748771880.84s, D=0.26s
R=60019, TT=StCr, NTX=25, TB=1748771883.01s, D=0.33s
R=60020, TT=StCr, NTX=25, TB=1748771885.21s, D=0.18s
R=60021, TT=StCr, NTX=25, TB=1748771887.47s, D=0.20s
R=60022, TT=StCr, NTX=25, TB=1748771889.86s, D=0.27s
R=60023, TT=StCr, NTX=25, TB=1748771892.05s, D=0.27s
R=60024, TT=StCr, NTX=25, TB=1748771894.17s, D=0.26s
R=60025, TT=StCr, NTX=25, TB=1748771896.11s, D=0.16s
R=60026, TT=StCr, NTX=25, TB=1748771898.43s, D=0.16s
R=60027, TT=StCr, NTX=25, TB=1748771900.71s, D=0.22s
R=60028, TT=StCr, NTX=25, TB=1748771902.96s, D=0.25s
R=60029, TT=StCr, NTX=25, TB=1748771905.13s, D=0.25s
R=60030, TT=StCr, NTX=25, TB=1748771907.32s, D=0.29s
R=60031, TT=StCr, NTX=25, TB=1748771909.47s, D=0.28s
R=60032, TT=StCr, NTX=25, TB=1748771911.68s, D=0.28s
R=60033, TT=StCr, NTX=25, TB=1748771913.87s, D=0.28s
R=60034, TT=StCr, NTX=25, TB=1748771915.85s, D=0.16s
R=60035, TT=StCr, NTX=25, TB=1748771918.09s, D=0.21s
R=60036, TT=StCr, NTX=25, TB=1748771920.17s, D=0.16s
R=60037, TT=StCr, NTX=25, TB=1748771922.42s, D=0.22s
R=60038, TT=StCr, NTX=25, TB=1748771924.44s, D=0.16s
R=60039, TT=StCr, NTX=25, TB=1748771926.72s, D=0.27s
R=60040, TT=StCr, NTX=25, TB=1748771928.92s, D=0.28s
R=60041, TT=StCr, NTX=25, TB=1748771930.96s, D=0.20s
R=60042, TT=StCr, NTX=25, TB=1748771933.21s, D=0.28s
R=60043, TT=StCr, NTX=25, TB=1748771935.34s, D=0.28s
R=60044, TT=StCr, NTX=25, TB=1748771937.52s, D=0.24s
R=60045, TT=StCr, NTX=25, TB=1748771939.71s, D=0.30s
R=60046, TT=StCr, NTX=25, TB=1748771941.84s, D=0.23s
R=60047, TT=StCr, NTX=25, TB=1748771944.22s, D=0.26s
R=60048, TT=StCr, NTX=25, TB=1748771946.50s, D=0.21s
R=60049, TT=StCr, NTX=25, TB=1748771948.80s, D=0.24s
R=60050, TT=StCr, NTX=25, TB=1748771950.98s, D=0.27s
R=60051, TT=StCr, NTX=25, TB=1748771953.21s, D=0.26s
R=60052, TT=StCr, NTX=25, TB=1748771955.38s, D=0.28s
R=60053, TT=StCr, NTX=25, TB=1748771957.55s, D=0.27s
R=60054, TT=StCr, NTX=25, TB=1748771959.77s, D=0.27s
R=60055, TT=StCr, NTX=25, TB=1748771961.89s, D=0.24s
R=60056, TT=StCr, NTX=25, TB=1748771963.84s, D=0.14s
R=60057, TT=StCr, NTX=25, TB=1748771966.25s, D=0.19s
R=60058, TT=StCr, NTX=25, TB=1748771968.46s, D=0.18s
R=60059, TT=StCr, NTX=25, TB=1748771970.58s, D=0.16s
R=60060, TT=StCr, NTX=25, TB=1748771972.66s, D=0.17s
R=60061, TT=StCr, NTX=25, TB=1748771974.97s, D=0.27s
R=60062, TT=StCr, NTX=25, TB=1748771977.18s, D=0.24s
R=60063, TT=StCr, NTX=25, TB=1748771979.37s, D=0.28s
R=60064, TT=StCr, NTX=25, TB=1748771981.55s, D=0.23s
R=60065, TT=StCr, NTX=25, TB=1748771983.77s, D=0.25s
R=60066, TT=StCr, NTX=25, TB=1748771985.99s, D=0.24s
R=60067, TT=StCr, NTX=25, TB=1748771988.42s, D=0.31s
R=60068, TT=StCr, NTX=25, TB=1748771990.64s, D=0.29s
R=60069, TT=StCr, NTX=25, TB=1748771992.56s, D=0.18s
R=60070, TT=StCr, NTX=25, TB=1748771994.74s, D=0.16s
R=60071, TT=StCr, NTX=25, TB=1748771997.25s, D=0.27s
R=60072, TT=StCr, NTX=25, TB=1748771999.45s, D=0.34s
R=60073, TT=StCr, NTX=25, TB=1748772001.59s, D=0.17s
R=60074, TT=StCr, NTX=25, TB=1748772004.23s, D=0.32s
R=60075, TT=StCr, NTX=25, TB=1748772006.42s, D=0.18s
R=60076, TT=StCr, NTX=25, TB=1748772008.72s, D=0.20s
R=60077, TT=StCr, NTX=25, TB=1748772011.06s, D=0.28s
R=60078, TT=StCr, NTX=25, TB=1748772013.16s, D=0.26s
R=60079, TT=StCr, NTX=25, TB=1748772015.40s, D=0.26s
R=60080, TT=StCr, NTX=25, TB=1748772017.60s, D=0.24s
R=60081, TT=StCr, NTX=25, TB=1748772019.87s, D=0.30s
R=60082, TT=StCr, NTX=25, TB=1748772021.86s, D=0.15s
R=60083, TT=StCr, NTX=25, TB=1748772024.39s, D=0.31s
R=60084, TT=StCr, NTX=25, TB=1748772026.58s, D=0.24s
R=60085, TT=StCr, NTX=25, TB=1748772028.75s, D=0.28s
R=60086, TT=StCr, NTX=25, TB=1748772030.95s, D=0.20s
R=60087, TT=StCr, NTX=25, TB=1748772033.07s, D=0.20s
R=60088, TT=StCr, NTX=25, TB=1748772035.28s, D=0.27s
R=60089, TT=StCr, NTX=25, TB=1748772037.39s, D=0.26s
R=60090, TT=StCr, NTX=25, TB=1748772039.62s, D=0.28s
R=60091, TT=StCr, NTX=25, TB=1748772041.74s, D=0.22s
R=60092, TT=StCr, NTX=25, TB=1748772043.76s, D=0.22s
R=60093, TT=StCr, NTX=25, TB=1748772046.04s, D=0.24s
R=60094, TT=StCr, NTX=25, TB=1748772048.36s, D=0.23s
R=60095, TT=StCr, NTX=25, TB=1748772050.51s, D=0.23s
R=60096, TT=StCr, NTX=25, TB=1748772052.66s, D=0.25s
R=60097, TT=StCr, NTX=25, TB=1748772054.64s, D=0.18s
R=60098, TT=StCr, NTX=25, TB=1748772056.93s, D=0.28s
R=60099, TT=StCr, NTX=25, TB=1748772059.15s, D=0.27s
R=60100, TT=StCr, NTX=25, TB=1748772061.34s, D=0.29s
R=60101, TT=StCr, NTX=25, TB=1748772063.51s, D=0.22s
R=60102, TT=StCr, NTX=25, TB=1748772065.91s, D=0.29s
R=60103, TT=StCr, NTX=25, TB=1748772068.21s, D=0.27s
R=60104, TT=StCr, NTX=25, TB=1748772070.36s, D=0.24s
R=60105, TT=StCr, NTX=25, TB=1748772072.45s, D=0.20s
R=60106, TT=StCr, NTX=25, TB=1748772074.69s, D=0.24s
R=60107, TT=StCr, NTX=25, TB=1748772076.95s, D=0.29s
R=60108, TT=StCr, NTX=25, TB=1748772079.10s, D=0.24s
R=60109, TT=StCr, NTX=25, TB=1748772081.28s, D=0.26s
R=60110, TT=StCr, NTX=25, TB=1748772083.43s, D=0.23s
R=60111, TT=StCr, NTX=25, TB=1748772085.60s, D=0.19s
R=60112, TT=StCr, NTX=25, TB=1748772087.69s, D=0.16s
R=60113, TT=StCr, NTX=25, TB=1748772089.89s, D=0.16s
R=60114, TT=StCr, NTX=25, TB=1748772092.28s, D=0.24s
R=60115, TT=StCr, NTX=25, TB=1748772094.34s, D=0.17s
R=60116, TT=StCr, NTX=25, TB=1748772096.55s, D=0.24s
R=60117, TT=StCr, NTX=25, TB=1748772098.78s, D=0.25s
R=60118, TT=StCr, NTX=25, TB=1748772100.86s, D=0.21s
R=60119, TT=StCr, NTX=25, TB=1748772103.07s, D=0.24s
R=60120, TT=StCr, NTX=25, TB=1748772105.28s, D=0.29s
R=60121, TT=StCr, NTX=25, TB=1748772107.60s, D=0.24s
R=60122, TT=StCr, NTX=25, TB=1748772109.63s, D=0.20s
R=60123, TT=StCr, NTX=25, TB=1748772111.88s, D=0.26s
R=60124, TT=StCr, NTX=25, TB=1748772114.04s, D=0.18s
R=60125, TT=StCr, NTX=25, TB=1748772116.76s, D=0.22s
R=60126, TT=StCr, NTX=25, TB=1748772118.59s, D=0.26s
R=60127, TT=StCr, NTX=25, TB=1748772120.67s, D=0.23s
R=60128, TT=StCr, NTX=25, TB=1748772122.83s, D=0.31s
R=60129, TT=StCr, NTX=25, TB=1748772125.25s, D=0.30s
R=60130, TT=StCr, NTX=25, TB=1748772127.34s, D=0.21s
R=60131, TT=StCr, NTX=25, TB=1748772129.54s, D=0.17s
R=60132, TT=StCr, NTX=25, TB=1748772131.92s, D=0.30s
R=60133, TT=StCr, NTX=25, TB=1748772134.10s, D=0.24s
R=60134, TT=StCr, NTX=25, TB=1748772136.03s, D=0.16s
R=60135, TT=StCr, NTX=25, TB=1748772138.40s, D=0.30s
R=60136, TT=StCr, NTX=25, TB=1748772140.56s, D=0.23s
R=60137, TT=StCr, NTX=25, TB=1748772142.68s, D=0.27s
R=60138, TT=StCr, NTX=25, TB=1748772145.02s, D=0.21s
R=60139, TT=StCr, NTX=25, TB=1748772147.24s, D=0.25s
R=60140, TT=StCr, NTX=25, TB=1748772149.40s, D=0.29s
R=60141, TT=StCr, NTX=25, TB=1748772151.40s, D=0.16s
R=60142, TT=StCr, NTX=25, TB=1748772153.72s, D=0.19s
R=60143, TT=StCr, NTX=25, TB=1748772155.86s, D=0.17s
R=60144, TT=StCr, NTX=25, TB=1748772158.15s, D=0.28s
R=60145, TT=StCr, NTX=25, TB=1748772160.26s, D=0.20s
R=60146, TT=StCr, NTX=25, TB=1748772162.48s, D=0.24s
R=60147, TT=StCr, NTX=25, TB=1748772164.67s, D=0.28s
R=60148, TT=StCr, NTX=25, TB=1748772166.87s, D=0.25s
R=60149, TT=StCr, NTX=25, TB=1748772169.08s, D=0.28s
R=60150, TT=StCr, NTX=25, TB=1748772171.18s, D=0.24s
R=60151, TT=StCr, NTX=25, TB=1748772173.18s, D=0.17s
R=60152, TT=StCr, NTX=25, TB=1748772175.42s, D=0.23s
R=60153, TT=StCr, NTX=25, TB=1748772177.65s, D=0.27s
R=60154, TT=StCr, NTX=25, TB=1748772179.81s, D=0.26s
R=60155, TT=StCr, NTX=25, TB=1748772182.08s, D=0.39s
R=60156, TT=StCr, NTX=25, TB=1748772184.20s, D=0.15s
R=60157, TT=StCr, NTX=25, TB=1748772186.67s, D=0.29s
R=60158, TT=StCr, NTX=25, TB=1748772188.92s, D=0.26s
R=60159, TT=StCr, NTX=25, TB=1748772191.08s, D=0.22s
R=60160, TT=StCr, NTX=25, TB=1748772193.22s, D=0.25s
R=60161, TT=StCr, NTX=25, TB=1748772195.32s, D=0.21s
R=60162, TT=StCr, NTX=25, TB=1748772197.46s, D=0.15s
R=60163, TT=StCr, NTX=25, TB=1748772199.71s, D=0.26s
R=60164, TT=StCr, NTX=25, TB=1748772201.87s, D=0.26s
R=60165, TT=StCr, NTX=25, TB=1748772203.97s, D=0.17s
R=60166, TT=StCr, NTX=25, TB=1748772206.43s, D=0.31s
R=60167, TT=StCr, NTX=25, TB=1748772208.52s, D=0.25s
R=60168, TT=StCr, NTX=25, TB=1748772210.68s, D=0.22s
R=60169, TT=StCr, NTX=25, TB=1748772212.82s, D=0.22s
R=60170, TT=StCr, NTX=25, TB=1748772215.02s, D=0.28s
R=60171, TT=StCr, NTX=25, TB=1748772217.15s, D=0.21s
R=60172, TT=StCr, NTX=25, TB=1748772219.31s, D=0.27s
R=60173, TT=StCr, NTX=25, TB=1748772221.49s, D=0.25s
R=60174, TT=StCr, NTX=25, TB=1748772223.59s, D=0.20s
R=60175, TT=StCr, NTX=25, TB=1748772225.70s, D=0.28s
R=60176, TT=StCr, NTX=25, TB=1748772228.04s, D=0.26s
R=60177, TT=StCr, NTX=25, TB=1748772230.18s, D=0.16s
R=60178, TT=StCr, NTX=25, TB=1748772232.40s, D=0.29s
R=60179, TT=StCr, NTX=25, TB=1748772234.58s, D=0.26s
R=60180, TT=StCr, NTX=25, TB=1748772236.74s, D=0.27s
R=60181, TT=StCr, NTX=25, TB=1748772238.92s, D=0.25s
R=60182, TT=StCr, NTX=25, TB=1748772241.11s, D=0.30s
R=60183, TT=StCr, NTX=25, TB=1748772243.25s, D=0.38s
R=60184, TT=StCr, NTX=25, TB=1748772245.55s, D=0.27s
R=60185, TT=StCr, NTX=25, TB=1748772247.75s, D=0.20s
R=60186, TT=StCr, NTX=25, TB=1748772249.93s, D=0.16s
R=60187, TT=StCr, NTX=25, TB=1748772251.83s, D=0.16s
R=60188, TT=StCr, NTX=25, TB=1748772254.25s, D=0.20s
