R=30001, TT=TinTrOw, NTX=5, TB=1748703444.70s, D=0.17s
R=30001, TT=TinCr, NTX=11, TB=1748703444.87s, D=0.34s
R=30002, TT=TinTrOw, NTX=5, TB=1748703446.90s, D=0.17s
R=30002, TT=TinCr, NTX=13, TB=1748703447.07s, D=0.32s
R=30003, TT=TinTrOw, NTX=5, TB=1748703449.32s, D=0.19s
R=30003, TT=TinCr, NTX=11, TB=1748703449.51s, D=0.17s
R=30004, TT=TinTrOw, NTX=5, TB=1748703451.36s, D=0.15s
R=30004, TT=TinCr, NTX=8, TB=1748703451.50s, D=0.21s
R=30005, TT=TinTrOw, NTX=5, TB=1748703453.56s, D=0.16s
R=30005, TT=TinCr, NTX=9, TB=1748703453.72s, D=0.21s
R=30006, TT=TinTrOw, NTX=5, TB=1748703455.74s, D=0.17s
R=30006, TT=TinCr, NTX=10, TB=1748703455.91s, D=0.37s
R=30007, TT=TinTrOw, NTX=5, TB=1748703457.97s, D=0.16s
R=30007, TT=TinCr, NTX=11, TB=1748703458.13s, D=0.23s
R=30008, TT=TinTrOw, NTX=5, TB=1748703460.22s, D=0.18s
R=30008, TT=TinCr, NTX=9, TB=1748703460.40s, D=0.22s
R=30009, TT=TinTrOw, NTX=5, TB=1748703462.46s, D=0.19s
R=30009, TT=TinCr, NTX=11, TB=1748703462.65s, D=0.19s
R=30010, TT=TinTrOw, NTX=5, TB=1748703464.66s, D=0.18s
R=30010, TT=TinCr, NTX=8, TB=1748703464.84s, D=0.19s
R=30011, TT=TinTrOw, NTX=5, TB=1748703466.79s, D=0.14s
R=30011, TT=TinCr, NTX=8, TB=1748703466.92s, D=0.21s
R=30012, TT=TinTrOw, NTX=5, TB=1748703469.02s, D=0.21s
R=30012, TT=TinCr, NTX=12, TB=1748703469.22s, D=0.24s
R=30013, TT=TinTrOw, NTX=5, TB=1748703471.16s, D=0.16s
R=30013, TT=TinCr, NTX=11, TB=1748703471.32s, D=0.26s
R=30014, TT=TinTrOw, NTX=5, TB=1748703473.35s, D=0.18s
R=30014, TT=TinCr, NTX=12, TB=1748703473.53s, D=0.23s
R=30015, TT=TinTrOw, NTX=5, TB=1748703475.62s, D=0.18s
R=30015, TT=TinCr, NTX=10, TB=1748703475.79s, D=0.30s
R=30016, TT=TinTrOw, NTX=5, TB=1748703477.81s, D=0.14s
R=30016, TT=TinCr, NTX=9, TB=1748703477.95s, D=0.24s
R=30017, TT=TinTrOw, NTX=5, TB=1748703480.03s, D=0.18s
R=30017, TT=TinCr, NTX=10, TB=1748703480.21s, D=0.20s
R=30018, TT=TinTrOw, NTX=5, TB=1748703482.25s, D=0.23s
R=30018, TT=TinCr, NTX=10, TB=1748703482.49s, D=0.31s
R=30019, TT=TinTrOw, NTX=5, TB=1748703484.78s, D=0.20s
R=30019, TT=TinCr, NTX=10, TB=1748703484.98s, D=0.33s
R=30020, TT=TinTrOw, NTX=5, TB=1748703487.01s, D=0.19s
R=30020, TT=TinCr, NTX=11, TB=1748703487.20s, D=0.29s
R=30021, TT=TinTrOw, NTX=5, TB=1748703489.21s, D=0.13s
R=30021, TT=TinCr, NTX=14, TB=1748703489.34s, D=0.17s
