R=40001, TT=StCr, NTX=25, TB=1748726347.95s, D=0.20s
R=40002, TT=StCr, NTX=25, TB=1748726350.17s, D=0.21s
R=40003, TT=StCr, NTX=25, TB=1748726352.35s, D=0.29s
R=40004, TT=StCr, NTX=25, TB=1748726354.56s, D=0.28s
R=40005, TT=StCr, NTX=25, TB=1748726356.73s, D=0.24s
R=40006, TT=StCr, NTX=25, TB=1748726358.92s, D=0.16s
R=40007, TT=StCr, NTX=25, TB=1748726361.37s, D=0.25s
R=40008, TT=StCr, NTX=25, TB=1748726363.37s, D=0.16s
R=40009, TT=StCr, NTX=25, TB=1748726365.77s, D=0.28s
R=40010, TT=StCr, NTX=25, TB=1748726368.00s, D=0.30s
R=40011, TT=StCr, NTX=25, TB=1748726370.17s, D=0.28s
R=40012, TT=StCr, NTX=25, TB=1748726372.37s, D=0.24s
R=40013, TT=StCr, NTX=25, TB=1748726374.62s, D=0.30s
R=40014, TT=StCr, NTX=25, TB=1748726376.80s, D=0.27s
R=40015, TT=StCr, NTX=25, TB=1748726378.95s, D=0.27s
R=40016, TT=StCr, NTX=25, TB=1748726381.10s, D=0.28s
R=40017, TT=StCr, NTX=25, TB=1748726383.31s, D=0.27s
R=40018, TT=StCr, NTX=25, TB=1748726385.48s, D=0.36s
R=40019, TT=StCr, NTX=25, TB=1748726387.80s, D=0.23s
R=40020, TT=StCr, NTX=25, TB=1748726390.02s, D=0.25s
R=40021, TT=StCr, NTX=25, TB=1748726392.23s, D=0.27s
R=40022, TT=StCr, NTX=25, TB=1748726394.38s, D=0.26s
R=40023, TT=StCr, NTX=25, TB=1748726396.57s, D=0.30s
R=40024, TT=StCr, NTX=25, TB=1748726398.87s, D=0.33s
R=40025, TT=StCr, NTX=25, TB=1748726401.14s, D=0.30s
R=40026, TT=StCr, NTX=25, TB=1748726404.18s, D=0.22s
R=40027, TT=StCr, NTX=25, TB=1748726406.22s, D=0.30s
R=40028, TT=StCr, NTX=25, TB=1748726408.67s, D=0.27s
R=40029, TT=StCr, NTX=25, TB=1748726410.89s, D=0.26s
R=40030, TT=StCr, NTX=25, TB=1748726413.14s, D=0.31s
R=40031, TT=StCr, NTX=25, TB=1748726415.24s, D=0.25s
R=40032, TT=StCr, NTX=25, TB=1748726417.43s, D=0.20s
R=40033, TT=StCr, NTX=25, TB=1748726419.84s, D=0.23s
R=40034, TT=StCr, NTX=25, TB=1748726422.08s, D=0.27s
R=40035, TT=StCr, NTX=25, TB=1748726424.22s, D=0.28s
R=40036, TT=StCr, NTX=25, TB=1748726426.44s, D=0.26s
R=40037, TT=StCr, NTX=25, TB=1748726428.52s, D=0.17s
R=40038, TT=StCr, NTX=25, TB=1748726430.91s, D=0.28s
R=40039, TT=StCr, NTX=25, TB=1748726433.17s, D=0.28s
R=40040, TT=StCr, NTX=25, TB=1748726435.25s, D=0.17s
R=40041, TT=StCr, NTX=25, TB=1748726437.49s, D=0.29s
R=40042, TT=StCr, NTX=25, TB=1748726439.62s, D=0.27s
R=40043, TT=StCr, NTX=25, TB=1748726441.80s, D=0.31s
R=40044, TT=StCr, NTX=25, TB=1748726443.96s, D=0.25s
R=40045, TT=StCr, NTX=25, TB=1748726446.05s, D=0.17s
R=40046, TT=StCr, NTX=25, TB=1748726448.43s, D=0.29s
R=40047, TT=StCr, NTX=25, TB=1748726450.31s, D=0.16s
R=40048, TT=StCr, NTX=25, TB=1748726452.80s, D=0.29s
R=40049, TT=StCr, NTX=25, TB=1748726454.75s, D=0.19s
R=40050, TT=StCr, NTX=25, TB=1748726457.12s, D=0.29s
R=40051, TT=StCr, NTX=25, TB=1748726459.22s, D=0.19s
R=40052, TT=StCr, NTX=25, TB=1748726461.48s, D=0.31s
