R=10001, TT=TinTrOw, NTX=5, TB=1748657680.37s, D=0.22s
R=10001, TT=TinCr, NTX=7, TB=1748657680.59s, D=0.20s
R=10002, TT=TinTrOw, NTX=5, TB=1748657682.58s, D=0.22s
R=10002, TT=TinCr, NTX=9, TB=1748657682.79s, D=0.22s
R=10003, TT=TinTrOw, NTX=5, TB=1748657684.69s, D=0.15s
R=10003, TT=TinCr, NTX=7, TB=1748657684.84s, D=0.23s
R=10004, TT=TinTrOw, NTX=5, TB=1748657686.99s, D=0.21s
R=10004, TT=TinCr, NTX=8, TB=1748657687.20s, D=0.28s
R=10005, TT=TinTrOw, NTX=5, TB=1748657689.16s, D=0.14s
R=10005, TT=TinCr, NTX=9, TB=1748657689.30s, D=0.25s
R=10006, TT=TinTrOw, NTX=5, TB=1748657691.38s, D=0.13s
R=10006, TT=TinCr, NTX=10, TB=1748657691.51s, D=0.22s
R=10007, TT=TinTrOw, NTX=5, TB=1748657693.71s, D=0.24s
R=10007, TT=TinCr, NTX=11, TB=1748657693.94s, D=0.36s
R=10008, TT=TinTrOw, NTX=5, TB=1748657695.96s, D=0.17s
R=10008, TT=TinCr, NTX=8, TB=1748657696.13s, D=0.26s
R=10009, TT=TinTrOw, NTX=5, TB=1748657698.44s, D=0.19s
R=10009, TT=TinCr, NTX=10, TB=1748657698.63s, D=0.23s
R=10010, TT=TinTrOw, NTX=5, TB=1748657700.65s, D=0.25s
R=10010, TT=TinCr, NTX=10, TB=1748657700.90s, D=0.26s
R=10011, TT=TinTrOw, NTX=5, TB=1748657702.96s, D=0.24s
R=10011, TT=TinCr, NTX=7, TB=1748657703.20s, D=0.45s
R=10012, TT=TinTrOw, NTX=5, TB=1748657705.41s, D=0.21s
R=10012, TT=TinCr, NTX=9, TB=1748657705.62s, D=0.29s
R=10013, TT=TinTrOw, NTX=5, TB=1748657707.66s, D=0.17s
R=10013, TT=TinCr, NTX=13, TB=1748657707.83s, D=0.35s
R=10014, TT=TinTrOw, NTX=5, TB=1748657710.03s, D=0.19s
R=10014, TT=TinCr, NTX=13, TB=1748657710.22s, D=0.35s
R=10015, TT=TinTrOw, NTX=5, TB=1748657712.22s, D=0.16s
R=10015, TT=TinCr, NTX=12, TB=1748657712.38s, D=0.29s
R=10016, TT=TinTrOw, NTX=5, TB=1748657714.37s, D=0.13s
R=10016, TT=TinCr, NTX=13, TB=1748657714.50s, D=0.26s
R=10017, TT=TinTrOw, NTX=5, TB=1748657716.66s, D=0.22s
R=10017, TT=TinCr, NTX=12, TB=1748657716.88s, D=0.35s
R=10018, TT=TinTrOw, NTX=5, TB=1748657718.84s, D=0.17s
R=10018, TT=TinCr, NTX=9, TB=1748657719.01s, D=0.20s
R=10019, TT=TinTrOw, NTX=5, TB=1748657721.29s, D=0.25s
R=10019, TT=TinCr, NTX=10, TB=1748657721.54s, D=0.21s
R=10020, TT=TinTrOw, NTX=5, TB=1748657723.41s, D=0.16s
R=10020, TT=TinCr, NTX=8, TB=1748657723.57s, D=0.20s
R=10021, TT=TinTrOw, NTX=5, TB=1748657725.72s, D=0.24s
R=10021, TT=TinCr, NTX=10, TB=1748657725.96s, D=0.33s
R=10022, TT=TinTrOw, NTX=5, TB=1748657727.95s, D=0.24s
R=10022, TT=TinCr, NTX=11, TB=1748657728.20s, D=0.22s
R=10023, TT=TinTrOw, NTX=5, TB=1748657730.07s, D=0.18s
R=10023, TT=TinCr, NTX=10, TB=1748657730.25s, D=0.26s
R=10024, TT=TinTrOw, NTX=5, TB=1748657732.34s, D=0.15s
R=10024, TT=TinCr, NTX=10, TB=1748657732.50s, D=0.24s
R=10025, TT=TinTrOw, NTX=5, TB=1748657734.60s, D=0.20s
R=10025, TT=TinCr, NTX=11, TB=1748657734.79s, D=0.30s
R=10026, TT=TinTrOw, NTX=5, TB=1748657736.87s, D=0.22s
R=10026, TT=TinCr, NTX=11, TB=1748657737.09s, D=0.25s
R=10027, TT=TinTrOw, NTX=5, TB=1748657739.06s, D=0.21s
R=10027, TT=TinCr, NTX=10, TB=1748657739.27s, D=0.33s
R=10028, TT=TinTrOw, NTX=5, TB=1748657741.32s, D=0.22s
R=10028, TT=TinCr, NTX=10, TB=1748657741.54s, D=0.32s
R=10029, TT=TinTrOw, NTX=5, TB=1748657743.54s, D=0.22s
R=10029, TT=TinCr, NTX=9, TB=1748657743.76s, D=0.23s
R=10030, TT=TinTrOw, NTX=5, TB=1748657745.73s, D=0.18s
R=10030, TT=TinCr, NTX=8, TB=1748657745.92s, D=0.29s
R=10031, TT=TinTrOw, NTX=5, TB=1748657748.12s, D=0.18s
R=10031, TT=TinCr, NTX=10, TB=1748657748.30s, D=0.25s
R=10032, TT=TinTrOw, NTX=5, TB=1748657750.33s, D=0.19s
R=10032, TT=TinCr, NTX=8, TB=1748657750.52s, D=0.31s
R=10033, TT=TinTrOw, NTX=5, TB=1748657752.51s, D=0.12s
R=10033, TT=TinCr, NTX=10, TB=1748657752.63s, D=0.26s
R=10034, TT=TinTrOw, NTX=5, TB=1748657754.89s, D=0.23s
R=10034, TT=TinCr, NTX=6, TB=1748657755.12s, D=0.19s
R=10035, TT=TinTrOw, NTX=5, TB=1748657757.13s, D=0.17s
R=10035, TT=TinCr, NTX=9, TB=1748657757.30s, D=0.23s
