R=40001, TT=StCr, NTX=25, TB=1748726347.95s, D=0.20s
R=40002, TT=StCr, NTX=25, TB=1748726350.20s, D=0.26s
R=40003, TT=StCr, NTX=25, TB=1748726352.33s, D=0.27s
R=40004, TT=StCr, NTX=25, TB=1748726354.55s, D=0.27s
R=40005, TT=StCr, NTX=25, TB=1748726356.66s, D=0.18s
R=40006, TT=StCr, NTX=25, TB=1748726359.16s, D=0.23s
R=40007, TT=StCr, NTX=25, TB=1748726361.20s, D=0.16s
R=40008, TT=StCr, NTX=25, TB=1748726363.54s, D=0.25s
R=40009, TT=StCr, NTX=25, TB=1748726365.74s, D=0.25s
R=40010, TT=StCr, NTX=25, TB=1748726367.89s, D=0.17s
R=40011, TT=StCr, NTX=25, TB=1748726370.19s, D=0.29s
R=40012, TT=StCr, NTX=25, TB=1748726372.17s, D=0.17s
R=40013, TT=StCr, NTX=25, TB=1748726374.62s, D=0.30s
R=40014, TT=StCr, NTX=25, TB=1748726376.82s, D=0.30s
R=40015, TT=StCr, NTX=25, TB=1748726378.92s, D=0.23s
R=40016, TT=StCr, NTX=25, TB=1748726381.06s, D=0.24s
R=40017, TT=StCr, NTX=25, TB=1748726383.26s, D=0.24s
R=40018, TT=StCr, NTX=25, TB=1748726385.47s, D=0.29s
R=40019, TT=StCr, NTX=25, TB=1748726387.83s, D=0.27s
R=40020, TT=StCr, NTX=25, TB=1748726390.04s, D=0.25s
R=40021, TT=StCr, NTX=25, TB=1748726392.10s, D=0.18s
R=40022, TT=StCr, NTX=25, TB=1748726394.14s, D=0.15s
R=40023, TT=StCr, NTX=25, TB=1748726396.57s, D=0.30s
R=40024, TT=StCr, NTX=25, TB=1748726398.86s, D=0.30s
R=40025, TT=StCr, NTX=25, TB=1748726401.13s, D=0.24s
R=40026, TT=StCr, NTX=25, TB=1748726403.60s, D=0.25s
R=40027, TT=StCr, NTX=25, TB=1748726406.15s, D=0.22s
R=40028, TT=StCr, NTX=25, TB=1748726408.51s, D=0.16s
R=40029, TT=StCr, NTX=25, TB=1748726410.79s, D=0.18s
R=40030, TT=StCr, NTX=25, TB=1748726413.08s, D=0.29s
R=40031, TT=StCr, NTX=25, TB=1748726415.25s, D=0.25s
R=40032, TT=StCr, NTX=25, TB=1748726417.31s, D=0.16s
R=40033, TT=StCr, NTX=25, TB=1748726419.86s, D=0.28s
R=40034, TT=StCr, NTX=25, TB=1748726422.03s, D=0.21s
R=40035, TT=StCr, NTX=25, TB=1748726424.21s, D=0.27s
R=40036, TT=StCr, NTX=25, TB=1748726426.35s, D=0.18s
R=40037, TT=StCr, NTX=25, TB=1748726428.68s, D=0.26s
R=40038, TT=StCr, NTX=25, TB=1748726430.95s, D=0.27s
R=40039, TT=StCr, NTX=25, TB=1748726432.93s, D=0.16s
R=40040, TT=StCr, NTX=25, TB=1748726435.33s, D=0.26s
R=40041, TT=StCr, NTX=25, TB=1748726437.40s, D=0.19s
R=40042, TT=StCr, NTX=25, TB=1748726439.53s, D=0.19s
R=40043, TT=StCr, NTX=25, TB=1748726441.82s, D=0.28s
R=40044, TT=StCr, NTX=25, TB=1748726443.97s, D=0.24s
R=40045, TT=StCr, NTX=25, TB=1748726446.08s, D=0.18s
R=40046, TT=StCr, NTX=25, TB=1748726448.42s, D=0.25s
R=40047, TT=StCr, NTX=25, TB=1748726450.58s, D=0.26s
R=40048, TT=StCr, NTX=25, TB=1748726452.76s, D=0.29s
R=40049, TT=StCr, NTX=25, TB=1748726454.96s, D=0.26s
R=40050, TT=StCr, NTX=25, TB=1748726457.11s, D=0.26s
R=40051, TT=StCr, NTX=25, TB=1748726459.31s, D=0.26s
R=40052, TT=StCr, NTX=25, TB=1748726461.46s, D=0.29s
R=40053, TT=StCr, NTX=25, TB=1748726463.75s, D=0.26s
R=40054, TT=StCr, NTX=25, TB=1748726466.10s, D=0.22s
R=40055, TT=StCr, NTX=25, TB=1748726468.77s, D=0.27s
R=40056, TT=StCr, NTX=25, TB=1748726470.96s, D=0.24s
