R=10001, TT=StCr, NTX=25, TB=1748657680.20s, D=0.16s
R=10002, TT=StCr, NTX=25, TB=1748657682.58s, D=0.25s
R=10003, TT=StCr, NTX=25, TB=1748657684.32s, D=0.15s
R=10004, TT=StCr, NTX=25, TB=1748657686.99s, D=0.31s
R=10005, TT=StCr, NTX=25, TB=1748657689.24s, D=0.28s
R=10006, TT=StCr, NTX=25, TB=1748657691.48s, D=0.31s
R=10007, TT=StCr, NTX=25, TB=1748657693.48s, D=0.18s
R=10008, TT=StCr, NTX=25, TB=1748657695.98s, D=0.41s
R=10009, TT=StCr, NTX=25, TB=1748657698.47s, D=0.30s
R=10010, TT=StCr, NTX=25, TB=1748657700.61s, D=0.24s
R=10011, TT=StCr, NTX=25, TB=1748657702.98s, D=0.35s
R=10012, TT=StCr, NTX=25, TB=1748657705.43s, D=0.34s
R=10013, TT=StCr, NTX=25, TB=1748657707.68s, D=0.28s
R=10014, TT=StCr, NTX=25, TB=1748657710.03s, D=0.27s
R=10015, TT=StCr, NTX=25, TB=1748657712.24s, D=0.29s
R=10016, TT=StCr, NTX=25, TB=1748657714.46s, D=0.27s
R=10017, TT=StCr, NTX=25, TB=1748657716.64s, D=0.29s
R=10018, TT=StCr, NTX=25, TB=1748657718.89s, D=0.28s
R=10019, TT=StCr, NTX=25, TB=1748657721.22s, D=0.23s
R=10020, TT=StCr, NTX=25, TB=1748657723.44s, D=0.27s
R=10021, TT=StCr, NTX=25, TB=1748657725.68s, D=0.25s
R=10022, TT=StCr, NTX=25, TB=1748657727.89s, D=0.32s
R=10023, TT=StCr, NTX=25, TB=1748657730.16s, D=0.33s
R=10024, TT=StCr, NTX=25, TB=1748657732.05s, D=0.17s
R=10025, TT=StCr, NTX=25, TB=1748657734.65s, D=0.31s
R=10026, TT=StCr, NTX=25, TB=1748657736.80s, D=0.26s
R=10027, TT=StCr, NTX=25, TB=1748657739.07s, D=0.30s
R=10028, TT=StCr, NTX=25, TB=1748657741.21s, D=0.19s
R=10029, TT=StCr, NTX=25, TB=1748657743.50s, D=0.26s
R=10030, TT=StCr, NTX=25, TB=1748657745.79s, D=0.45s
R=10031, TT=StCr, NTX=25, TB=1748657748.15s, D=0.28s
R=10032, TT=StCr, NTX=25, TB=1748657750.10s, D=0.17s
R=10033, TT=StCr, NTX=25, TB=1748657752.60s, D=0.31s
R=10034, TT=StCr, NTX=25, TB=1748657754.89s, D=0.31s
R=10035, TT=StCr, NTX=25, TB=1748657757.15s, D=0.33s
R=10036, TT=StCr, NTX=25, TB=1748657759.38s, D=0.27s
R=10037, TT=StCr, NTX=25, TB=1748657761.62s, D=0.33s
R=10038, TT=StCr, NTX=25, TB=1748657763.85s, D=0.29s
R=10039, TT=StCr, NTX=25, TB=1748657766.34s, D=0.29s
R=10040, TT=StCr, NTX=25, TB=1748657768.61s, D=0.25s
R=10041, TT=StCr, NTX=25, TB=1748657770.85s, D=0.23s
R=10042, TT=StCr, NTX=25, TB=1748657773.14s, D=0.30s
R=10043, TT=StCr, NTX=25, TB=1748657775.30s, D=0.22s
R=10044, TT=StCr, NTX=25, TB=1748657777.58s, D=0.30s
R=10045, TT=StCr, NTX=25, TB=1748657779.82s, D=0.25s
R=10046, TT=StCr, NTX=25, TB=1748657782.26s, D=0.28s
R=10047, TT=StCr, NTX=25, TB=1748657784.39s, D=0.28s
R=10048, TT=StCr, NTX=25, TB=1748657786.71s, D=0.28s
R=10049, TT=StCr, NTX=25, TB=1748657789.03s, D=0.30s
R=10050, TT=StCr, NTX=25, TB=1748657791.30s, D=0.28s
R=10051, TT=StCr, NTX=25, TB=1748657793.56s, D=0.28s
R=10052, TT=StCr, NTX=25, TB=1748657795.78s, D=0.32s
R=10053, TT=StCr, NTX=25, TB=1748657798.02s, D=0.25s
R=10054, TT=StCr, NTX=25, TB=1748657800.30s, D=0.31s
R=10055, TT=StCr, NTX=25, TB=1748657802.50s, D=0.22s
R=10056, TT=StCr, NTX=25, TB=1748657804.80s, D=0.29s
R=10057, TT=StCr, NTX=25, TB=1748657807.10s, D=0.27s
R=10058, TT=StCr, NTX=25, TB=1748657809.30s, D=0.36s
R=10059, TT=StCr, NTX=25, TB=1748657811.53s, D=0.28s
R=10060, TT=StCr, NTX=25, TB=1748657813.73s, D=0.29s
R=10061, TT=StCr, NTX=25, TB=1748657815.81s, D=0.17s
R=10062, TT=StCr, NTX=25, TB=1748657818.37s, D=0.29s
R=10063, TT=StCr, NTX=25, TB=1748657820.59s, D=0.30s
R=10064, TT=StCr, NTX=25, TB=1748657822.91s, D=0.41s
R=10065, TT=StCr, NTX=25, TB=1748657825.27s, D=0.31s
R=10066, TT=StCr, NTX=25, TB=1748657827.49s, D=0.28s
R=10067, TT=StCr, NTX=25, TB=1748657830.27s, D=0.33s
R=10068, TT=StCr, NTX=25, TB=1748657832.56s, D=0.27s
R=10069, TT=StCr, NTX=25, TB=1748657834.82s, D=0.35s
R=10070, TT=StCr, NTX=25, TB=1748657836.99s, D=0.33s
R=10071, TT=StCr, NTX=25, TB=1748657839.22s, D=0.20s
R=10072, TT=StCr, NTX=25, TB=1748657841.76s, D=0.27s
R=10073, TT=StCr, NTX=25, TB=1748657844.11s, D=0.30s
R=10074, TT=StCr, NTX=25, TB=1748657846.25s, D=0.23s
R=10075, TT=StCr, NTX=25, TB=1748657848.37s, D=0.18s
R=10076, TT=StCr, NTX=25, TB=1748657850.80s, D=0.30s
R=10077, TT=StCr, NTX=25, TB=1748657853.05s, D=0.29s
R=10078, TT=StCr, NTX=25, TB=1748657855.04s, D=0.15s
R=10079, TT=StCr, NTX=25, TB=1748657857.58s, D=0.30s
R=10080, TT=StCr, NTX=25, TB=1748657859.57s, D=0.16s
R=10081, TT=StCr, NTX=25, TB=1748657861.99s, D=0.29s
R=10082, TT=StCr, NTX=25, TB=1748657864.27s, D=0.29s
R=10083, TT=StCr, NTX=25, TB=1748657866.39s, D=0.20s
R=10084, TT=StCr, NTX=25, TB=1748657868.45s, D=0.16s
R=10085, TT=StCr, NTX=25, TB=1748657870.93s, D=0.29s
R=10086, TT=StCr, NTX=25, TB=1748657873.11s, D=0.32s
R=10087, TT=StCr, NTX=25, TB=1748657875.40s, D=0.29s
R=10088, TT=StCr, NTX=25, TB=1748657877.61s, D=0.42s
R=10089, TT=StCr, NTX=25, TB=1748657880.12s, D=0.32s
R=10090, TT=StCr, NTX=25, TB=1748657882.37s, D=0.34s
R=10091, TT=StCr, NTX=25, TB=1748657884.82s, D=0.28s
R=10092, TT=StCr, NTX=25, TB=1748657887.06s, D=0.32s
R=10093, TT=StCr, NTX=25, TB=1748657889.47s, D=0.29s
R=10094, TT=StCr, NTX=25, TB=1748657891.56s, D=0.20s
R=10095, TT=StCr, NTX=25, TB=1748657894.00s, D=0.27s
R=10096, TT=StCr, NTX=25, TB=1748657896.15s, D=0.34s
R=10097, TT=StCr, NTX=25, TB=1748657898.35s, D=0.17s
R=10098, TT=StCr, NTX=25, TB=1748657900.71s, D=0.34s
R=10099, TT=StCr, NTX=25, TB=1748657903.27s, D=0.27s
R=10100, TT=StCr, NTX=25, TB=1748657905.44s, D=0.20s
R=10101, TT=StCr, NTX=25, TB=1748657907.75s, D=0.31s
R=10102, TT=StCr, NTX=25, TB=1748657909.85s, D=0.24s
R=10103, TT=StCr, NTX=25, TB=1748657912.09s, D=0.20s
R=10104, TT=StCr, NTX=25, TB=1748657914.22s, D=0.17s
R=10105, TT=StCr, NTX=25, TB=1748657916.70s, D=0.29s
R=10106, TT=StCr, NTX=25, TB=1748657918.95s, D=0.29s
R=10107, TT=StCr, NTX=25, TB=1748657921.14s, D=0.29s
R=10108, TT=StCr, NTX=25, TB=1748657923.47s, D=0.31s
R=10109, TT=StCr, NTX=25, TB=1748657925.70s, D=0.46s
R=10110, TT=StCr, NTX=25, TB=1748657928.47s, D=0.25s
R=10111, TT=StCr, NTX=25, TB=1748657930.70s, D=0.25s
R=10112, TT=StCr, NTX=25, TB=1748657933.03s, D=0.29s
R=10113, TT=StCr, NTX=25, TB=1748657935.14s, D=0.20s
