R=90001, TT=StCr, NTX=25, TB=1748839921.22s, D=0.22s
R=90002, TT=StCr, NTX=25, TB=1748839924.11s, D=0.26s
R=90003, TT=StCr, NTX=25, TB=1748839926.13s, D=0.26s
R=90004, TT=StCr, NTX=25, TB=1748839928.73s, D=0.26s
R=90005, TT=StCr, NTX=25, TB=1748839931.05s, D=0.27s
R=90006, TT=StCr, NTX=25, TB=1748839933.24s, D=0.27s
R=90007, TT=StCr, NTX=25, TB=1748839935.60s, D=0.26s
R=90008, TT=StCr, NTX=25, TB=1748839937.84s, D=0.27s
R=90009, TT=StCr, NTX=25, TB=1748839940.07s, D=0.24s
R=90010, TT=StCr, NTX=25, TB=1748839942.30s, D=0.24s
R=90011, TT=StCr, NTX=25, TB=1748839944.41s, D=0.15s
R=90012, TT=StCr, NTX=25, TB=1748839946.78s, D=0.19s
R=90013, TT=StCr, NTX=25, TB=1748839949.22s, D=0.35s
R=90014, TT=StCr, NTX=25, TB=1748839951.44s, D=0.23s
R=90015, TT=StCr, NTX=25, TB=1748839953.65s, D=0.22s
R=90016, TT=StCr, NTX=25, TB=1748839955.87s, D=0.21s
R=90017, TT=StCr, NTX=25, TB=1748839958.20s, D=0.24s
R=90018, TT=StCr, NTX=25, TB=1748839960.50s, D=0.23s
R=90019, TT=StCr, NTX=25, TB=1748839962.65s, D=0.23s
R=90020, TT=StCr, NTX=25, TB=1748839964.98s, D=0.30s
R=90021, TT=StCr, NTX=25, TB=1748839967.28s, D=0.20s
R=90022, TT=StCr, NTX=25, TB=1748839969.60s, D=0.22s
R=90023, TT=StCr, NTX=25, TB=1748839971.95s, D=0.30s
R=90024, TT=StCr, NTX=25, TB=1748839974.15s, D=0.27s
R=90025, TT=StCr, NTX=25, TB=1748839976.49s, D=0.19s
R=90026, TT=StCr, NTX=25, TB=1748839978.76s, D=0.29s
R=90027, TT=StCr, NTX=25, TB=1748839981.06s, D=0.26s
R=90028, TT=StCr, NTX=25, TB=1748839983.31s, D=0.36s
R=90029, TT=StCr, NTX=25, TB=1748839985.67s, D=0.21s
R=90030, TT=StCr, NTX=25, TB=1748839988.15s, D=0.24s
R=90031, TT=StCr, NTX=25, TB=1748839990.42s, D=0.24s
R=90032, TT=StCr, NTX=25, TB=1748839992.71s, D=0.30s
R=90033, TT=StCr, NTX=25, TB=1748839994.88s, D=0.27s
R=90034, TT=StCr, NTX=25, TB=1748839997.13s, D=0.27s
R=90035, TT=StCr, NTX=25, TB=1748839999.39s, D=0.18s
R=90036, TT=StCr, NTX=25, TB=1748840001.63s, D=0.18s
R=90037, TT=StCr, NTX=25, TB=1748840003.96s, D=0.19s
R=90038, TT=StCr, NTX=25, TB=1748840006.23s, D=0.21s
R=90039, TT=StCr, NTX=25, TB=1748840008.59s, D=0.24s
R=90040, TT=StCr, NTX=25, TB=1748840010.84s, D=0.30s
R=90041, TT=StCr, NTX=25, TB=1748840013.01s, D=0.17s
R=90042, TT=StCr, NTX=25, TB=1748840015.32s, D=0.20s
R=90043, TT=StCr, NTX=25, TB=1748840017.68s, D=0.27s
