R=80001, TT=TinTrOw, NTX=5, TB=1748817095.51s, D=0.17s
R=80001, TT=TinCr, NTX=14, TB=1748817095.67s, D=0.22s
R=80002, TT=TinTrOw, NTX=5, TB=1748817097.91s, D=0.20s
R=80002, TT=TinCr, NTX=10, TB=1748817098.11s, D=0.34s
R=80003, TT=TinTrOw, NTX=5, TB=1748817100.12s, D=0.21s
R=80003, TT=TinCr, NTX=12, TB=1748817100.33s, D=0.33s
R=80004, TT=TinTrOw, NTX=5, TB=1748817102.32s, D=0.20s
R=80004, TT=TinCr, NTX=11, TB=1748817102.52s, D=0.22s
R=80005, TT=TinTrOw, NTX=5, TB=1748817104.56s, D=0.22s
R=80005, TT=TinCr, NTX=11, TB=1748817104.78s, D=0.26s
R=80006, TT=TinTrOw, NTX=5, TB=1748817106.74s, D=0.21s
R=80006, TT=TinCr, NTX=7, TB=1748817106.94s, D=0.30s
R=80007, TT=TinTrOw, NTX=5, TB=1748817108.98s, D=0.23s
R=80007, TT=TinCr, NTX=8, TB=1748817109.22s, D=0.33s
R=80008, TT=TinTrOw, NTX=5, TB=1748817111.21s, D=0.21s
R=80008, TT=TinCr, NTX=11, TB=1748817111.42s, D=0.31s
R=80009, TT=TinTrOw, NTX=5, TB=1748817113.47s, D=0.22s
R=80009, TT=TinCr, NTX=8, TB=1748817113.70s, D=0.23s
R=80010, TT=TinTrOw, NTX=5, TB=1748817115.48s, D=0.14s
R=80010, TT=TinCr, NTX=8, TB=1748817115.62s, D=0.21s
R=80011, TT=TinTrOw, NTX=5, TB=1748817117.94s, D=0.19s
R=80011, TT=TinCr, NTX=10, TB=1748817118.14s, D=0.28s
R=80012, TT=TinTrOw, NTX=5, TB=1748817120.16s, D=0.18s
R=80012, TT=TinCr, NTX=12, TB=1748817120.34s, D=0.24s
R=80013, TT=TinTrOw, NTX=5, TB=1748817122.47s, D=0.21s
R=80013, TT=TinCr, NTX=10, TB=1748817122.68s, D=0.35s
R=80014, TT=TinTrOw, NTX=5, TB=1748817124.93s, D=0.24s
R=80014, TT=TinCr, NTX=10, TB=1748817125.17s, D=0.23s
R=80015, TT=TinTrOw, NTX=5, TB=1748817127.17s, D=0.22s
R=80015, TT=TinCr, NTX=12, TB=1748817127.38s, D=0.34s
R=80016, TT=TinTrOw, NTX=5, TB=1748817129.34s, D=0.14s
R=80016, TT=TinCr, NTX=11, TB=1748817129.48s, D=0.16s
R=80017, TT=TinTrOw, NTX=5, TB=1748817131.80s, D=0.22s
R=80017, TT=TinCr, NTX=10, TB=1748817132.02s, D=0.28s
R=80018, TT=TinTrOw, NTX=5, TB=1748817134.03s, D=0.17s
R=80018, TT=TinCr, NTX=12, TB=1748817134.20s, D=0.25s
R=80019, TT=TinTrOw, NTX=5, TB=1748817136.31s, D=0.19s
R=80019, TT=TinCr, NTX=10, TB=1748817136.50s, D=0.24s
R=80020, TT=TinTrOw, NTX=5, TB=1748817138.49s, D=0.15s
R=80020, TT=TinCr, NTX=11, TB=1748817138.65s, D=0.25s
R=80021, TT=TinTrOw, NTX=5, TB=1748817140.82s, D=0.24s
R=80021, TT=TinCr, NTX=9, TB=1748817141.07s, D=0.22s
R=80022, TT=TinTrOw, NTX=5, TB=1748817143.01s, D=0.21s
R=80022, TT=TinCr, NTX=10, TB=1748817143.21s, D=0.33s
R=80023, TT=TinTrOw, NTX=5, TB=1748817145.29s, D=0.21s
R=80023, TT=TinCr, NTX=12, TB=1748817145.50s, D=0.30s
R=80024, TT=TinTrOw, NTX=5, TB=1748817147.52s, D=0.18s
R=80024, TT=TinCr, NTX=13, TB=1748817147.71s, D=0.34s
R=80025, TT=TinTrOw, NTX=5, TB=1748817149.63s, D=0.16s
R=80025, TT=TinCr, NTX=11, TB=1748817149.78s, D=0.22s
R=80026, TT=TinTrOw, NTX=5, TB=1748817152.08s, D=0.22s
R=80026, TT=TinCr, NTX=11, TB=1748817152.30s, D=0.29s
R=80027, TT=TinTrOw, NTX=5, TB=1748817154.24s, D=0.17s
R=80027, TT=TinCr, NTX=9, TB=1748817154.42s, D=0.24s
R=80028, TT=TinTrOw, NTX=5, TB=1748817156.55s, D=0.17s
R=80028, TT=TinCr, NTX=9, TB=1748817156.72s, D=0.22s
R=80029, TT=TinTrOw, NTX=5, TB=1748817158.84s, D=0.18s
R=80029, TT=TinCr, NTX=10, TB=1748817159.02s, D=0.26s
R=80030, TT=TinTrOw, NTX=5, TB=1748817161.11s, D=0.22s
R=80030, TT=TinCr, NTX=9, TB=1748817161.34s, D=0.33s
R=80031, TT=TinTrOw, NTX=5, TB=1748817163.36s, D=0.21s
R=80031, TT=TinCr, NTX=10, TB=1748817163.57s, D=0.21s
R=80032, TT=TinTrOw, NTX=5, TB=1748817165.63s, D=0.30s
R=80032, TT=TinCr, NTX=9, TB=1748817165.93s, D=0.25s
R=80033, TT=TinTrOw, NTX=5, TB=1748817168.05s, D=0.20s
R=80033, TT=TinCr, NTX=8, TB=1748817168.24s, D=0.36s
R=80034, TT=TinTrOw, NTX=5, TB=1748817170.30s, D=0.22s
R=80034, TT=TinCr, NTX=10, TB=1748817170.52s, D=0.36s
R=80035, TT=TinTrOw, NTX=5, TB=1748817172.57s, D=0.24s
R=80035, TT=TinCr, NTX=8, TB=1748817172.81s, D=0.33s
R=80036, TT=TinTrOw, NTX=5, TB=1748817174.85s, D=0.18s
R=80036, TT=TinCr, NTX=9, TB=1748817175.04s, D=0.32s
R=80037, TT=TinTrOw, NTX=5, TB=1748817177.08s, D=0.22s
R=80037, TT=TinCr, NTX=12, TB=1748817177.30s, D=0.33s
R=80038, TT=TinTrOw, NTX=5, TB=1748817179.33s, D=0.17s
R=80038, TT=TinCr, NTX=9, TB=1748817179.50s, D=0.29s
R=80039, TT=TinTrOw, NTX=5, TB=1748817181.64s, D=0.21s
R=80039, TT=TinCr, NTX=11, TB=1748817181.84s, D=0.37s
R=80040, TT=TinTrOw, NTX=5, TB=1748817184.05s, D=0.23s
R=80040, TT=TinCr, NTX=7, TB=1748817184.28s, D=0.33s
R=80041, TT=TinTrOw, NTX=5, TB=1748817186.28s, D=0.22s
R=80041, TT=TinCr, NTX=13, TB=1748817186.50s, D=0.27s
R=80042, TT=TinTrOw, NTX=5, TB=1748817188.66s, D=0.23s
R=80042, TT=TinCr, NTX=9, TB=1748817188.89s, D=0.25s
R=80043, TT=TinTrOw, NTX=5, TB=1748817190.87s, D=0.20s
R=80043, TT=TinCr, NTX=8, TB=1748817191.07s, D=0.35s
R=80044, TT=TinTrOw, NTX=5, TB=1748817193.10s, D=0.13s
R=80044, TT=TinCr, NTX=10, TB=1748817193.23s, D=0.25s
R=80045, TT=TinTrOw, NTX=5, TB=1748817195.46s, D=0.23s
R=80045, TT=TinCr, NTX=14, TB=1748817195.69s, D=0.38s
R=80046, TT=TinTrOw, NTX=5, TB=1748817197.78s, D=0.19s
R=80046, TT=TinCr, NTX=9, TB=1748817197.97s, D=0.29s
R=80047, TT=TinTrOw, NTX=5, TB=1748817200.08s, D=0.21s
R=80047, TT=TinCr, NTX=12, TB=1748817200.30s, D=0.35s
R=80048, TT=TinTrOw, NTX=5, TB=1748817202.23s, D=0.13s
R=80048, TT=TinCr, NTX=9, TB=1748817202.35s, D=0.22s
R=80049, TT=TinTrOw, NTX=5, TB=1748817204.59s, D=0.20s
R=80049, TT=TinCr, NTX=11, TB=1748817204.79s, D=0.28s
R=80050, TT=TinTrOw, NTX=5, TB=1748817206.85s, D=0.19s
R=80050, TT=TinCr, NTX=8, TB=1748817207.04s, D=0.37s
R=80051, TT=TinTrOw, NTX=5, TB=1748817209.17s, D=0.21s
R=80051, TT=TinCr, NTX=11, TB=1748817209.38s, D=0.24s
R=80052, TT=TinTrOw, NTX=5, TB=1748817211.59s, D=0.20s
R=80052, TT=TinCr, NTX=8, TB=1748817211.79s, D=0.25s
R=80053, TT=TinTrOw, NTX=5, TB=1748817213.82s, D=0.20s
R=80053, TT=TinCr, NTX=10, TB=1748817214.02s, D=0.36s
R=80054, TT=TinTrOw, NTX=5, TB=1748817216.06s, D=0.24s
R=80054, TT=TinCr, NTX=7, TB=1748817216.30s, D=0.24s
R=80055, TT=TinTrOw, NTX=5, TB=1748817218.16s, D=0.14s
R=80055, TT=TinCr, NTX=11, TB=1748817218.30s, D=0.25s
R=80056, TT=TinTrOw, NTX=5, TB=1748817220.46s, D=0.22s
R=80056, TT=TinCr, NTX=12, TB=1748817220.67s, D=0.33s
R=80057, TT=TinTrOw, NTX=5, TB=1748817222.66s, D=0.15s
R=80057, TT=TinCr, NTX=9, TB=1748817222.81s, D=0.26s
R=80058, TT=TinTrOw, NTX=5, TB=1748817224.99s, D=0.20s
R=80058, TT=TinCr, NTX=9, TB=1748817225.20s, D=0.34s
R=80059, TT=TinTrOw, NTX=5, TB=1748817227.26s, D=0.18s
R=80059, TT=TinCr, NTX=12, TB=1748817227.44s, D=0.36s
R=80060, TT=TinTrOw, NTX=5, TB=1748817229.48s, D=0.15s
R=80060, TT=TinCr, NTX=12, TB=1748817229.63s, D=0.29s
R=80061, TT=TinTrOw, NTX=5, TB=1748817231.72s, D=0.16s
R=80061, TT=TinCr, NTX=10, TB=1748817231.88s, D=0.25s
R=80062, TT=TinTrOw, NTX=5, TB=1748817234.04s, D=0.22s
R=80062, TT=TinCr, NTX=11, TB=1748817234.26s, D=0.32s
R=80063, TT=TinTrOw, NTX=5, TB=1748817236.05s, D=0.17s
R=80063, TT=TinCr, NTX=9, TB=1748817236.22s, D=0.15s
R=80064, TT=TinTrOw, NTX=5, TB=1748817238.57s, D=0.18s
R=80064, TT=TinCr, NTX=11, TB=1748817238.75s, D=0.35s
R=80065, TT=TinTrOw, NTX=5, TB=1748817240.79s, D=0.19s
R=80065, TT=TinCr, NTX=10, TB=1748817240.99s, D=0.23s
R=80066, TT=TinTrOw, NTX=5, TB=1748817243.01s, D=0.14s
R=80066, TT=TinCr, NTX=14, TB=1748817243.15s, D=0.37s
R=80067, TT=TinTrOw, NTX=5, TB=1748817245.58s, D=0.19s
R=80067, TT=TinCr, NTX=10, TB=1748817245.77s, D=0.35s
R=80068, TT=TinTrOw, NTX=5, TB=1748817247.80s, D=0.14s
R=80068, TT=TinCr, NTX=7, TB=1748817247.94s, D=0.25s
R=80069, TT=TinTrOw, NTX=5, TB=1748817250.23s, D=0.23s
R=80069, TT=TinCr, NTX=8, TB=1748817250.47s, D=0.18s
R=80070, TT=TinTrOw, NTX=5, TB=1748817252.35s, D=0.22s
R=80070, TT=TinCr, NTX=11, TB=1748817252.57s, D=0.33s
R=80071, TT=TinTrOw, NTX=5, TB=1748817254.63s, D=0.19s
R=80071, TT=TinCr, NTX=10, TB=1748817254.81s, D=0.31s
R=80072, TT=TinTrOw, NTX=5, TB=1748817256.87s, D=0.18s
R=80072, TT=TinCr, NTX=8, TB=1748817257.05s, D=0.26s
R=80073, TT=TinTrOw, NTX=5, TB=1748817259.14s, D=0.20s
R=80073, TT=TinCr, NTX=10, TB=1748817259.34s, D=0.36s
R=80074, TT=TinTrOw, NTX=5, TB=1748817261.29s, D=0.14s
R=80074, TT=TinCr, NTX=9, TB=1748817261.43s, D=0.22s
R=80075, TT=TinTrOw, NTX=5, TB=1748817263.64s, D=0.18s
R=80075, TT=TinCr, NTX=8, TB=1748817263.82s, D=0.33s
R=80076, TT=TinTrOw, NTX=5, TB=1748817265.92s, D=0.21s
R=80076, TT=TinCr, NTX=6, TB=1748817266.13s, D=0.34s
R=80077, TT=TinTrOw, NTX=5, TB=1748817268.20s, D=0.21s
R=80077, TT=TinCr, NTX=12, TB=1748817268.41s, D=0.33s
R=80078, TT=TinTrOw, NTX=5, TB=1748817270.51s, D=0.22s
R=80078, TT=TinCr, NTX=9, TB=1748817270.72s, D=0.19s
R=80079, TT=TinTrOw, NTX=5, TB=1748817272.74s, D=0.13s
R=80079, TT=TinCr, NTX=8, TB=1748817272.87s, D=0.16s
R=80080, TT=TinTrOw, NTX=5, TB=1748817275.21s, D=0.21s
R=80080, TT=TinCr, NTX=12, TB=1748817275.43s, D=0.36s
R=80081, TT=TinTrOw, NTX=5, TB=1748817277.50s, D=0.20s
R=80081, TT=TinCr, NTX=10, TB=1748817277.70s, D=0.28s
R=80082, TT=TinTrOw, NTX=5, TB=1748817279.70s, D=0.20s
R=80082, TT=TinCr, NTX=10, TB=1748817279.90s, D=0.26s
