R=70001, TT=StCr, NTX=25, TB=1748794445.04s, D=0.18s
R=70002, TT=StCr, NTX=25, TB=1748794447.33s, D=0.25s
R=70003, TT=StCr, NTX=25, TB=1748794449.51s, D=0.16s
R=70004, TT=StCr, NTX=25, TB=1748794451.96s, D=0.20s
R=70005, TT=StCr, NTX=25, TB=1748794454.18s, D=0.26s
R=70006, TT=StCr, NTX=25, TB=1748794456.14s, D=0.17s
R=70007, TT=StCr, NTX=25, TB=1748794458.49s, D=0.24s
R=70008, TT=StCr, NTX=25, TB=1748794460.71s, D=0.23s
R=70009, TT=StCr, NTX=25, TB=1748794462.81s, D=0.23s
R=70010, TT=StCr, NTX=25, TB=1748794465.10s, D=0.29s
R=70011, TT=StCr, NTX=25, TB=1748794467.16s, D=0.19s
R=70012, TT=StCr, NTX=25, TB=1748794469.41s, D=0.29s
R=70013, TT=StCr, NTX=25, TB=1748794471.63s, D=0.24s
R=70014, TT=StCr, NTX=25, TB=1748794473.70s, D=0.17s
R=70015, TT=StCr, NTX=25, TB=1748794475.93s, D=0.28s
R=70016, TT=StCr, NTX=25, TB=1748794478.14s, D=0.29s
R=70017, TT=StCr, NTX=25, TB=1748794480.29s, D=0.25s
R=70018, TT=StCr, NTX=25, TB=1748794482.49s, D=0.29s
R=70019, TT=StCr, NTX=25, TB=1748794484.68s, D=0.30s
R=70020, TT=StCr, NTX=25, TB=1748794486.57s, D=0.16s
R=70021, TT=StCr, NTX=25, TB=1748794488.91s, D=0.26s
R=70022, TT=StCr, NTX=25, TB=1748794491.09s, D=0.27s
R=70023, TT=StCr, NTX=25, TB=1748794493.30s, D=0.27s
R=70024, TT=StCr, NTX=25, TB=1748794495.54s, D=0.27s
R=70025, TT=StCr, NTX=25, TB=1748794497.72s, D=0.30s
R=70026, TT=StCr, NTX=25, TB=1748794499.91s, D=0.31s
R=70027, TT=StCr, NTX=25, TB=1748794502.18s, D=0.34s
R=70028, TT=StCr, NTX=25, TB=1748794504.47s, D=0.27s
R=70029, TT=StCr, NTX=25, TB=1748794506.63s, D=0.19s
