R=60001, TT=StCr, NTX=25, TB=1748771843.73s, D=0.24s
R=60002, TT=StCr, NTX=25, TB=1748771845.87s, D=0.20s
R=60003, TT=StCr, NTX=25, TB=1748771848.08s, D=0.26s
R=60004, TT=StCr, NTX=25, TB=1748771850.18s, D=0.16s
R=60005, TT=StCr, NTX=25, TB=1748771852.49s, D=0.22s
R=60006, TT=StCr, NTX=25, TB=1748771854.66s, D=0.21s
R=60007, TT=StCr, NTX=25, TB=1748771856.70s, D=0.16s
R=60008, TT=StCr, NTX=25, TB=1748771858.84s, D=0.16s
R=60009, TT=StCr, NTX=25, TB=1748771861.21s, D=0.24s
R=60010, TT=StCr, NTX=25, TB=1748771863.26s, D=0.15s
R=60011, TT=StCr, NTX=25, TB=1748771865.39s, D=0.16s
R=60012, TT=StCr, NTX=25, TB=1748771867.84s, D=0.23s
R=60013, TT=StCr, NTX=25, TB=1748771870.02s, D=0.23s
R=60014, TT=StCr, NTX=25, TB=1748771871.96s, D=0.16s
R=60015, TT=StCr, NTX=25, TB=1748771874.16s, D=0.16s
R=60016, TT=StCr, NTX=25, TB=1748771876.31s, D=0.17s
R=60017, TT=StCr, NTX=25, TB=1748771878.65s, D=0.27s
R=60018, TT=StCr, NTX=25, TB=1748771880.83s, D=0.26s
R=60019, TT=StCr, NTX=25, TB=1748771883.01s, D=0.33s
R=60020, TT=StCr, NTX=25, TB=1748771885.25s, D=0.19s
R=60021, TT=StCr, NTX=25, TB=1748771887.51s, D=0.22s
R=60022, TT=StCr, NTX=25, TB=1748771889.61s, D=0.16s
R=60023, TT=StCr, NTX=25, TB=1748771891.95s, D=0.17s
R=60024, TT=StCr, NTX=25, TB=1748771894.13s, D=0.22s
R=60025, TT=StCr, NTX=25, TB=1748771896.33s, D=0.22s
R=60026, TT=StCr, NTX=25, TB=1748771898.48s, D=0.16s
R=60027, TT=StCr, NTX=25, TB=1748771900.42s, D=0.15s
R=60028, TT=StCr, NTX=25, TB=1748771902.92s, D=0.21s
