R=90043, TT=TinTrOw, NTX=5, TB=1748840017.49s, D=0.13s
R=90043, TT=TinCr, NTX=13, TB=1748840017.62s, D=0.17s
R=90044, TT=TinTrOw, NTX=5, TB=1748840019.64s, D=0.13s
R=90044, TT=TinCr, NTX=9, TB=1748840019.78s, D=0.17s
R=90045, TT=TinTrOw, NTX=5, TB=1748840022.11s, D=0.20s
R=90045, TT=TinCr, NTX=11, TB=1748840022.31s, D=0.27s
R=90046, TT=TinTrOw, NTX=5, TB=1748840024.33s, D=0.21s
R=90046, TT=TinCr, NTX=9, TB=1748840024.53s, D=0.36s
R=90047, TT=TinTrOw, NTX=5, TB=1748840026.63s, D=0.21s
R=90047, TT=TinCr, NTX=10, TB=1748840026.84s, D=0.34s
R=90048, TT=TinTrOw, NTX=5, TB=1748840029.03s, D=0.20s
R=90048, TT=TinCr, NTX=11, TB=1748840029.23s, D=0.35s
R=90049, TT=TinTrOw, NTX=5, TB=1748840031.33s, D=0.17s
R=90049, TT=TinCr, NTX=8, TB=1748840031.50s, D=0.22s
R=90050, TT=TinTrOw, NTX=5, TB=1748840033.57s, D=0.20s
R=90050, TT=TinCr, NTX=10, TB=1748840033.77s, D=0.26s
R=90051, TT=TinTrOw, NTX=5, TB=1748840035.89s, D=0.19s
R=90051, TT=TinCr, NTX=9, TB=1748840036.08s, D=0.27s
R=90052, TT=TinTrOw, NTX=5, TB=1748840038.27s, D=0.19s
R=90052, TT=TinCr, NTX=12, TB=1748840038.46s, D=0.42s
R=90053, TT=TinTrOw, NTX=5, TB=1748840040.59s, D=0.20s
R=90053, TT=TinCr, NTX=9, TB=1748840040.79s, D=0.24s
R=90054, TT=TinTrOw, NTX=5, TB=1748840042.84s, D=0.23s
R=90054, TT=TinCr, NTX=13, TB=1748840043.07s, D=0.24s
R=90055, TT=TinTrOw, NTX=5, TB=1748840045.36s, D=0.24s
R=90055, TT=TinCr, NTX=12, TB=1748840045.59s, D=0.33s
R=90056, TT=TinTrOw, NTX=5, TB=1748840047.67s, D=0.22s
R=90056, TT=TinCr, NTX=12, TB=1748840047.89s, D=0.29s
R=90057, TT=TinTrOw, NTX=5, TB=1748840049.92s, D=0.14s
R=90057, TT=TinCr, NTX=9, TB=1748840050.07s, D=0.21s
R=90058, TT=TinTrOw, NTX=5, TB=1748840052.30s, D=0.19s
R=90058, TT=TinCr, NTX=11, TB=1748840052.49s, D=0.33s
R=90059, TT=TinTrOw, NTX=5, TB=1748840054.49s, D=0.15s
R=90059, TT=TinCr, NTX=8, TB=1748840054.64s, D=0.18s
R=90060, TT=TinTrOw, NTX=5, TB=1748840056.57s, D=0.14s
R=90060, TT=TinCr, NTX=10, TB=1748840056.70s, D=0.18s
R=90061, TT=TinTrOw, NTX=5, TB=1748840059.14s, D=0.18s
R=90061, TT=TinCr, NTX=10, TB=1748840059.32s, D=0.24s
R=90062, TT=TinTrOw, NTX=5, TB=1748840061.45s, D=0.21s
R=90062, TT=TinCr, NTX=9, TB=1748840061.66s, D=0.23s
R=90063, TT=TinTrOw, NTX=5, TB=1748840063.79s, D=0.20s
R=90063, TT=TinCr, NTX=6, TB=1748840063.99s, D=0.24s
R=90064, TT=TinTrOw, NTX=5, TB=1748840066.09s, D=0.19s
R=90064, TT=TinCr, NTX=10, TB=1748840066.28s, D=0.39s
R=90065, TT=TinTrOw, NTX=5, TB=1748840068.33s, D=0.17s
R=90065, TT=TinCr, NTX=10, TB=1748840068.50s, D=0.29s
R=90066, TT=TinTrOw, NTX=5, TB=1748840070.58s, D=0.16s
R=90066, TT=TinCr, NTX=12, TB=1748840070.74s, D=0.26s
R=90067, TT=TinTrOw, NTX=5, TB=1748840072.87s, D=0.16s
R=90067, TT=TinCr, NTX=12, TB=1748840073.03s, D=0.27s
R=90068, TT=TinTrOw, NTX=5, TB=1748840075.14s, D=0.15s
R=90068, TT=TinCr, NTX=11, TB=1748840075.30s, D=0.19s
R=90069, TT=TinTrOw, NTX=5, TB=1748840077.45s, D=0.20s
R=90069, TT=TinCr, NTX=12, TB=1748840077.65s, D=0.24s
R=90070, TT=TinTrOw, NTX=5, TB=1748840079.67s, D=0.21s
R=90070, TT=TinCr, NTX=9, TB=1748840079.89s, D=0.26s
R=90071, TT=TinTrOw, NTX=5, TB=1748840081.74s, D=0.14s
R=90071, TT=TinCr, NTX=12, TB=1748840081.88s, D=0.27s
R=90072, TT=TinTrOw, NTX=5, TB=1748840084.24s, D=0.17s
R=90072, TT=TinCr, NTX=8, TB=1748840084.41s, D=0.18s
R=90073, TT=TinTrOw, NTX=5, TB=1748840086.48s, D=0.15s
R=90073, TT=TinCr, NTX=10, TB=1748840086.63s, D=0.24s
R=90074, TT=TinTrOw, NTX=5, TB=1748840089.12s, D=0.23s
R=90074, TT=TinCr, NTX=13, TB=1748840089.34s, D=0.39s
R=90075, TT=TinTrOw, NTX=5, TB=1748840091.42s, D=0.20s
R=90075, TT=TinCr, NTX=14, TB=1748840091.61s, D=0.35s
R=90076, TT=TinTrOw, NTX=5, TB=1748840093.69s, D=0.17s
R=90076, TT=TinCr, NTX=11, TB=1748840093.86s, D=0.27s
R=90077, TT=TinTrOw, NTX=5, TB=1748840095.91s, D=0.22s
R=90077, TT=TinCr, NTX=9, TB=1748840096.14s, D=0.22s
R=90078, TT=TinTrOw, NTX=5, TB=1748840098.24s, D=0.27s
R=90078, TT=TinCr, NTX=9, TB=1748840098.51s, D=0.20s
R=90079, TT=TinTrOw, NTX=5, TB=1748840100.64s, D=0.18s
R=90079, TT=TinCr, NTX=11, TB=1748840100.83s, D=0.26s
R=90080, TT=TinTrOw, NTX=5, TB=1748840102.97s, D=0.17s
R=90080, TT=TinCr, NTX=12, TB=1748840103.15s, D=0.21s
R=90081, TT=TinTrOw, NTX=5, TB=1748840105.51s, D=0.16s
R=90081, TT=TinCr, NTX=12, TB=1748840105.68s, D=0.25s
R=90082, TT=TinTrOw, NTX=5, TB=1748840108.09s, D=0.23s
R=90082, TT=TinCr, NTX=10, TB=1748840108.32s, D=0.28s
R=90083, TT=TinTrOw, NTX=5, TB=1748840110.35s, D=0.18s
R=90083, TT=TinCr, NTX=9, TB=1748840110.53s, D=0.26s
R=90084, TT=TinTrOw, NTX=5, TB=1748840112.66s, D=0.17s
R=90084, TT=TinCr, NTX=8, TB=1748840112.82s, D=0.22s
R=90085, TT=TinTrOw, NTX=5, TB=1748840114.95s, D=0.15s
R=90085, TT=TinCr, NTX=6, TB=1748840115.10s, D=0.19s
R=90086, TT=TinTrOw, NTX=5, TB=1748840117.32s, D=0.19s
R=90086, TT=TinCr, NTX=8, TB=1748840117.51s, D=0.21s
R=90087, TT=TinTrOw, NTX=5, TB=1748840119.60s, D=0.20s
R=90087, TT=TinCr, NTX=10, TB=1748840119.80s, D=0.30s
R=90088, TT=TinTrOw, NTX=5, TB=1748840122.01s, D=0.22s
R=90088, TT=TinCr, NTX=10, TB=1748840122.24s, D=0.24s
R=90089, TT=TinTrOw, NTX=5, TB=1748840124.20s, D=0.22s
R=90089, TT=TinCr, NTX=12, TB=1748840124.43s, D=0.37s
R=90090, TT=TinTrOw, NTX=5, TB=1748840126.52s, D=0.17s
R=90090, TT=TinCr, NTX=9, TB=1748840126.69s, D=0.22s
R=90091, TT=TinTrOw, NTX=5, TB=1748840128.82s, D=0.18s
R=90091, TT=TinCr, NTX=9, TB=1748840129.00s, D=0.26s
R=90092, TT=TinTrOw, NTX=5, TB=1748840131.21s, D=0.20s
R=90092, TT=TinCr, NTX=11, TB=1748840131.41s, D=0.36s
