R=80001, TT=RebTrOw, NTX=20, TB=1748817095.58s, D=0.27s
R=80001, TT=RebCr, NTX=65, TB=1748817095.85s, D=0.44s
R=80002, TT=RebTrOw, NTX=20, TB=1748817097.82s, D=0.19s
R=80002, TT=RebCr, NTX=52, TB=1748817098.01s, D=0.34s
R=80003, TT=RebTrOw, NTX=20, TB=1748817100.13s, D=0.24s
R=80003, TT=RebCr, NTX=56, TB=1748817100.37s, D=0.39s
R=80004, TT=RebTrOw, NTX=20, TB=1748817102.29s, D=0.27s
R=80004, TT=RebCr, NTX=61, TB=1748817102.56s, D=0.36s
R=80005, TT=RebTrOw, NTX=20, TB=1748817104.54s, D=0.26s
R=80005, TT=RebCr, NTX=58, TB=1748817104.80s, D=0.38s
R=80006, TT=RebTrOw, NTX=20, TB=1748817106.75s, D=0.27s
R=80006, TT=RebCr, NTX=65, TB=1748817107.02s, D=0.39s
R=80007, TT=RebTrOw, NTX=20, TB=1748817108.87s, D=0.17s
R=80007, TT=RebCr, NTX=56, TB=1748817109.05s, D=0.39s
R=80008, TT=RebTrOw, NTX=20, TB=1748817111.17s, D=0.28s
R=80008, TT=RebCr, NTX=68, TB=1748817111.46s, D=0.42s
R=80009, TT=RebTrOw, NTX=20, TB=1748817113.45s, D=0.25s
R=80009, TT=RebCr, NTX=49, TB=1748817113.70s, D=0.35s
R=80010, TT=RebTrOw, NTX=20, TB=1748817115.53s, D=0.16s
R=80010, TT=RebCr, NTX=66, TB=1748817115.69s, D=0.43s
R=80011, TT=RebTrOw, NTX=20, TB=1748817117.92s, D=0.27s
R=80011, TT=RebCr, NTX=62, TB=1748817118.19s, D=0.40s
R=80012, TT=RebTrOw, NTX=20, TB=1748817120.03s, D=0.20s
R=80012, TT=RebCr, NTX=55, TB=1748817120.23s, D=0.40s
R=80013, TT=RebTrOw, NTX=20, TB=1748817122.44s, D=0.27s
R=80013, TT=RebCr, NTX=61, TB=1748817122.71s, D=0.46s
R=80014, TT=RebTrOw, NTX=20, TB=1748817124.94s, D=0.28s
R=80014, TT=RebCr, NTX=66, TB=1748817125.22s, D=0.36s
R=80015, TT=RebTrOw, NTX=20, TB=1748817127.11s, D=0.26s
R=80015, TT=RebCr, NTX=55, TB=1748817127.37s, D=0.45s
R=80016, TT=RebTrOw, NTX=20, TB=1748817129.62s, D=0.22s
R=80016, TT=RebCr, NTX=64, TB=1748817129.83s, D=0.35s
R=80017, TT=RebTrOw, NTX=20, TB=1748817131.78s, D=0.29s
R=80017, TT=RebCr, NTX=62, TB=1748817132.07s, D=0.39s
R=80018, TT=RebTrOw, NTX=20, TB=1748817134.04s, D=0.25s
R=80018, TT=RebCr, NTX=60, TB=1748817134.29s, D=0.47s
R=80019, TT=RebTrOw, NTX=20, TB=1748817136.17s, D=0.16s
R=80019, TT=RebCr, NTX=44, TB=1748817136.34s, D=0.38s
R=80020, TT=RebTrOw, NTX=20, TB=1748817138.38s, D=0.17s
R=80020, TT=RebCr, NTX=65, TB=1748817138.55s, D=0.46s
R=80021, TT=RebTrOw, NTX=20, TB=1748817140.79s, D=0.29s
R=80021, TT=RebCr, NTX=65, TB=1748817141.07s, D=0.38s
R=80022, TT=RebTrOw, NTX=20, TB=1748817143.02s, D=0.27s
R=80022, TT=RebCr, NTX=62, TB=1748817143.30s, D=0.41s
R=80023, TT=RebTrOw, NTX=20, TB=1748817145.18s, D=0.19s
R=80023, TT=RebCr, NTX=64, TB=1748817145.37s, D=0.39s
R=80024, TT=RebTrOw, NTX=20, TB=1748817147.38s, D=0.21s
R=80024, TT=RebCr, NTX=63, TB=1748817147.58s, D=0.39s
R=80025, TT=RebTrOw, NTX=20, TB=1748817149.67s, D=0.22s
R=80025, TT=RebCr, NTX=53, TB=1748817149.90s, D=0.38s
R=80026, TT=RebTrOw, NTX=20, TB=1748817151.94s, D=0.17s
R=80026, TT=RebCr, NTX=59, TB=1748817152.11s, D=0.39s
R=80027, TT=RebTrOw, NTX=20, TB=1748817154.29s, D=0.28s
R=80027, TT=RebCr, NTX=56, TB=1748817154.57s, D=0.42s
R=80028, TT=RebTrOw, NTX=20, TB=1748817156.58s, D=0.25s
R=80028, TT=RebCr, NTX=60, TB=1748817156.83s, D=0.41s
R=80029, TT=RebTrOw, NTX=20, TB=1748817158.87s, D=0.28s
R=80029, TT=RebCr, NTX=58, TB=1748817159.15s, D=0.38s
R=80030, TT=RebTrOw, NTX=20, TB=1748817161.10s, D=0.28s
R=80030, TT=RebCr, NTX=68, TB=1748817161.38s, D=0.42s
R=80031, TT=RebTrOw, NTX=20, TB=1748817163.39s, D=0.29s
R=80031, TT=RebCr, NTX=60, TB=1748817163.68s, D=0.37s
R=80032, TT=RebTrOw, NTX=20, TB=1748817165.65s, D=0.45s
R=80032, TT=RebCr, NTX=56, TB=1748817166.10s, D=0.40s
R=80033, TT=RebTrOw, NTX=20, TB=1748817168.00s, D=0.23s
R=80033, TT=RebCr, NTX=54, TB=1748817168.24s, D=0.45s
R=80034, TT=RebTrOw, NTX=20, TB=1748817170.23s, D=0.22s
R=80034, TT=RebCr, NTX=56, TB=1748817170.45s, D=0.35s
R=80035, TT=RebTrOw, NTX=20, TB=1748817172.56s, D=0.29s
R=80035, TT=RebCr, NTX=53, TB=1748817172.85s, D=0.42s
R=80036, TT=RebTrOw, NTX=20, TB=1748817174.83s, D=0.26s
R=80036, TT=RebCr, NTX=58, TB=1748817175.09s, D=0.42s
R=80037, TT=RebTrOw, NTX=20, TB=1748817177.11s, D=0.30s
R=80037, TT=RebCr, NTX=62, TB=1748817177.42s, D=0.38s
R=80038, TT=RebTrOw, NTX=20, TB=1748817179.35s, D=0.26s
R=80038, TT=RebCr, NTX=63, TB=1748817179.61s, D=0.45s
R=80039, TT=RebTrOw, NTX=20, TB=1748817181.60s, D=0.28s
R=80039, TT=RebCr, NTX=48, TB=1748817181.88s, D=0.46s
R=80040, TT=RebTrOw, NTX=20, TB=1748817183.92s, D=0.32s
R=80040, TT=RebCr, NTX=59, TB=1748817184.24s, D=0.49s
R=80041, TT=RebTrOw, NTX=20, TB=1748817186.30s, D=0.29s
R=80041, TT=RebCr, NTX=63, TB=1748817186.59s, D=0.35s
R=80042, TT=RebTrOw, NTX=20, TB=1748817188.63s, D=0.29s
R=80042, TT=RebCr, NTX=64, TB=1748817188.91s, D=0.38s
R=80043, TT=RebTrOw, NTX=20, TB=1748817190.86s, D=0.27s
R=80043, TT=RebCr, NTX=67, TB=1748817191.13s, D=0.45s
R=80044, TT=RebTrOw, NTX=20, TB=1748817193.21s, D=0.32s
R=80044, TT=RebCr, NTX=73, TB=1748817193.52s, D=0.36s
R=80045, TT=RebTrOw, NTX=20, TB=1748817195.28s, D=0.16s
R=80045, TT=RebCr, NTX=60, TB=1748817195.44s, D=0.46s
R=80046, TT=RebTrOw, NTX=20, TB=1748817197.80s, D=0.27s
R=80046, TT=RebCr, NTX=67, TB=1748817198.07s, D=0.43s
R=80047, TT=RebTrOw, NTX=20, TB=1748817200.03s, D=0.24s
R=80047, TT=RebCr, NTX=67, TB=1748817200.28s, D=0.44s
R=80048, TT=RebTrOw, NTX=20, TB=1748817202.36s, D=0.29s
R=80048, TT=RebCr, NTX=56, TB=1748817202.64s, D=0.35s
R=80049, TT=RebTrOw, NTX=20, TB=1748817204.55s, D=0.28s
R=80049, TT=RebCr, NTX=63, TB=1748817204.83s, D=0.41s
R=80050, TT=RebTrOw, NTX=20, TB=1748817206.82s, D=0.27s
