R=20001, TT=StCr, NTX=25, TB=1748680647.69s, D=0.24s
R=20002, TT=StCr, NTX=25, TB=1748680649.97s, D=0.25s
R=20003, TT=StCr, NTX=25, TB=1748680652.22s, D=0.31s
R=20004, TT=StCr, NTX=25, TB=1748680654.37s, D=0.21s
R=20005, TT=StCr, NTX=25, TB=1748680656.58s, D=0.23s
R=20006, TT=StCr, NTX=25, TB=1748680658.74s, D=0.28s
R=20007, TT=StCr, NTX=25, TB=1748680660.89s, D=0.20s
R=20008, TT=StCr, NTX=25, TB=1748680663.08s, D=0.20s
R=20009, TT=StCr, NTX=25, TB=1748680665.27s, D=0.17s
R=20010, TT=StCr, NTX=25, TB=1748680667.71s, D=0.18s
R=20011, TT=StCr, NTX=25, TB=1748680670.11s, D=0.28s
R=20012, TT=StCr, NTX=25, TB=1748680672.23s, D=0.18s
R=20013, TT=StCr, NTX=25, TB=1748680674.47s, D=0.23s
R=20014, TT=StCr, NTX=25, TB=1748680676.69s, D=0.30s
R=20015, TT=StCr, NTX=25, TB=1748680678.78s, D=0.18s
R=20016, TT=StCr, NTX=25, TB=1748680681.11s, D=0.27s
R=20017, TT=StCr, NTX=25, TB=1748680683.31s, D=0.50s
R=20018, TT=StCr, NTX=25, TB=1748680685.73s, D=0.44s
R=20019, TT=StCr, NTX=25, TB=1748680688.13s, D=0.29s
R=20020, TT=StCr, NTX=25, TB=1748680690.26s, D=0.23s
R=20021, TT=StCr, NTX=25, TB=1748680692.47s, D=0.27s
R=20022, TT=StCr, NTX=25, TB=1748680694.94s, D=0.26s
R=20023, TT=StCr, NTX=25, TB=1748680697.25s, D=0.25s
R=20024, TT=StCr, NTX=25, TB=1748680699.23s, D=0.16s
R=20025, TT=StCr, NTX=25, TB=1748680701.48s, D=0.16s
R=20026, TT=StCr, NTX=25, TB=1748680703.73s, D=0.27s
R=20027, TT=StCr, NTX=25, TB=1748680705.95s, D=0.26s
R=20028, TT=StCr, NTX=25, TB=1748680708.23s, D=0.32s
R=20029, TT=StCr, NTX=25, TB=1748680710.42s, D=0.27s
R=20030, TT=StCr, NTX=25, TB=1748680712.60s, D=0.28s
R=20031, TT=StCr, NTX=25, TB=1748680714.74s, D=0.30s
R=20032, TT=StCr, NTX=25, TB=1748680716.78s, D=0.18s
R=20033, TT=StCr, NTX=25, TB=1748680719.09s, D=0.23s
R=20034, TT=StCr, NTX=25, TB=1748680721.26s, D=0.24s
R=20035, TT=StCr, NTX=25, TB=1748680723.48s, D=0.29s
R=20036, TT=StCr, NTX=25, TB=1748680725.57s, D=0.32s
R=20037, TT=StCr, NTX=25, TB=1748680727.97s, D=0.25s
R=20038, TT=StCr, NTX=25, TB=1748680730.07s, D=0.17s
R=20039, TT=StCr, NTX=25, TB=1748680732.32s, D=0.19s
R=20040, TT=StCr, NTX=25, TB=1748680734.58s, D=0.28s
R=20041, TT=StCr, NTX=25, TB=1748680736.72s, D=0.19s
R=20042, TT=StCr, NTX=25, TB=1748680738.99s, D=0.29s
R=20043, TT=StCr, NTX=25, TB=1748680741.08s, D=0.28s
R=20044, TT=StCr, NTX=25, TB=1748680743.25s, D=0.36s
R=20045, TT=StCr, NTX=25, TB=1748680745.72s, D=0.26s
R=20046, TT=StCr, NTX=25, TB=1748680747.98s, D=0.24s
R=20047, TT=StCr, NTX=25, TB=1748680749.74s, D=0.16s
R=20048, TT=StCr, NTX=25, TB=1748680752.39s, D=0.30s
R=20049, TT=StCr, NTX=25, TB=1748680754.63s, D=0.24s
R=20050, TT=StCr, NTX=25, TB=1748680756.97s, D=0.26s
R=20051, TT=StCr, NTX=25, TB=1748680759.20s, D=0.26s
R=20052, TT=StCr, NTX=25, TB=1748680761.36s, D=0.24s
R=20053, TT=StCr, NTX=25, TB=1748680763.60s, D=0.28s
R=20054, TT=StCr, NTX=25, TB=1748680765.83s, D=0.26s
R=20055, TT=StCr, NTX=25, TB=1748680768.04s, D=0.25s
R=20056, TT=StCr, NTX=25, TB=1748680769.87s, D=0.17s
R=20057, TT=StCr, NTX=25, TB=1748680772.26s, D=0.18s
R=20058, TT=StCr, NTX=25, TB=1748680774.55s, D=0.27s
R=20059, TT=StCr, NTX=25, TB=1748680776.67s, D=0.17s
R=20060, TT=StCr, NTX=25, TB=1748680778.81s, D=0.24s
R=20061, TT=StCr, NTX=25, TB=1748680781.05s, D=0.28s
R=20062, TT=StCr, NTX=25, TB=1748680783.26s, D=0.28s
R=20063, TT=StCr, NTX=25, TB=1748680785.15s, D=0.15s
R=20064, TT=StCr, NTX=25, TB=1748680787.63s, D=0.17s
R=20065, TT=StCr, NTX=25, TB=1748680789.97s, D=0.23s
R=20066, TT=StCr, NTX=25, TB=1748680792.11s, D=0.16s
R=20067, TT=StCr, NTX=25, TB=1748680794.39s, D=0.27s
R=20068, TT=StCr, NTX=25, TB=1748680796.42s, D=0.15s
R=20069, TT=StCr, NTX=25, TB=1748680798.69s, D=0.18s
R=20070, TT=StCr, NTX=25, TB=1748680800.97s, D=0.20s
R=20071, TT=StCr, NTX=25, TB=1748680803.21s, D=0.46s
R=20072, TT=StCr, NTX=25, TB=1748680805.88s, D=0.36s
R=20073, TT=StCr, NTX=25, TB=1748680808.15s, D=0.28s
R=20074, TT=StCr, NTX=25, TB=1748680810.34s, D=0.23s
R=20075, TT=StCr, NTX=25, TB=1748680812.59s, D=0.27s
R=20076, TT=StCr, NTX=25, TB=1748680814.66s, D=0.18s
R=20077, TT=StCr, NTX=25, TB=1748680816.96s, D=0.16s
R=20078, TT=StCr, NTX=25, TB=1748680819.40s, D=0.25s
R=20079, TT=StCr, NTX=25, TB=1748680821.56s, D=0.27s
R=20080, TT=StCr, NTX=25, TB=1748680823.73s, D=0.27s
R=20081, TT=StCr, NTX=25, TB=1748680825.77s, D=0.17s
R=20082, TT=StCr, NTX=25, TB=1748680828.20s, D=0.29s
R=20083, TT=StCr, NTX=25, TB=1748680830.36s, D=0.24s
R=20084, TT=StCr, NTX=25, TB=1748680832.44s, D=0.18s
R=20085, TT=StCr, NTX=25, TB=1748680834.73s, D=0.26s
R=20086, TT=StCr, NTX=25, TB=1748680836.92s, D=0.25s
R=20087, TT=StCr, NTX=25, TB=1748680839.04s, D=0.16s
R=20088, TT=StCr, NTX=25, TB=1748680841.14s, D=0.18s
R=20089, TT=StCr, NTX=25, TB=1748680843.48s, D=0.28s
R=20090, TT=StCr, NTX=25, TB=1748680845.64s, D=0.28s
R=20091, TT=StCr, NTX=25, TB=1748680848.06s, D=0.30s
R=20092, TT=StCr, NTX=25, TB=1748680850.25s, D=0.27s
R=20093, TT=StCr, NTX=25, TB=1748680852.45s, D=0.29s
R=20094, TT=StCr, NTX=25, TB=1748680854.67s, D=0.29s
R=20095, TT=StCr, NTX=25, TB=1748680856.85s, D=0.25s
R=20096, TT=StCr, NTX=25, TB=1748680859.06s, D=0.30s
R=20097, TT=StCr, NTX=25, TB=1748680861.17s, D=0.18s
R=20098, TT=StCr, NTX=25, TB=1748680863.45s, D=0.34s
