R=70001, TT=TinTrOw, NTX=5, TB=1748794445.04s, D=0.12s
R=70001, TT=TinCr, NTX=12, TB=1748794445.17s, D=0.22s
R=70002, TT=TinTrOw, NTX=5, TB=1748794447.38s, D=0.18s
R=70002, TT=TinCr, NTX=10, TB=1748794447.55s, D=0.19s
R=70003, TT=TinTrOw, NTX=5, TB=1748794449.74s, D=0.12s
R=70003, TT=TinCr, NTX=6, TB=1748794449.87s, D=0.16s
R=70004, TT=TinTrOw, NTX=5, TB=1748794452.01s, D=0.19s
R=70004, TT=TinCr, NTX=11, TB=1748794452.21s, D=0.28s
R=70005, TT=TinTrOw, NTX=5, TB=1748794454.17s, D=0.16s
R=70005, TT=TinCr, NTX=14, TB=1748794454.33s, D=0.24s
R=70006, TT=TinTrOw, NTX=5, TB=1748794456.40s, D=0.20s
R=70006, TT=TinCr, NTX=10, TB=1748794456.60s, D=0.20s
R=70007, TT=TinTrOw, NTX=5, TB=1748794458.55s, D=0.18s
R=70007, TT=TinCr, NTX=10, TB=1748794458.73s, D=0.24s
R=70008, TT=TinTrOw, NTX=5, TB=1748794460.66s, D=0.11s
R=70008, TT=TinCr, NTX=8, TB=1748794460.77s, D=0.17s
R=70009, TT=TinTrOw, NTX=5, TB=1748794462.87s, D=0.17s
R=70009, TT=TinCr, NTX=9, TB=1748794463.05s, D=0.35s
R=70010, TT=TinTrOw, NTX=5, TB=1748794465.04s, D=0.15s
R=70010, TT=TinCr, NTX=11, TB=1748794465.19s, D=0.23s
R=70011, TT=TinTrOw, NTX=5, TB=1748794467.23s, D=0.15s
R=70011, TT=TinCr, NTX=12, TB=1748794467.38s, D=0.22s
R=70012, TT=TinTrOw, NTX=5, TB=1748794469.38s, D=0.15s
R=70012, TT=TinCr, NTX=10, TB=1748794469.53s, D=0.23s
R=70013, TT=TinTrOw, NTX=5, TB=1748794471.53s, D=0.12s
R=70013, TT=TinCr, NTX=11, TB=1748794471.65s, D=0.19s
R=70014, TT=TinTrOw, NTX=5, TB=1748794473.72s, D=0.14s
R=70014, TT=TinCr, NTX=10, TB=1748794473.86s, D=0.20s
R=70015, TT=TinTrOw, NTX=5, TB=1748794475.83s, D=0.12s
R=70015, TT=TinCr, NTX=10, TB=1748794475.95s, D=0.19s
R=70016, TT=TinTrOw, NTX=5, TB=1748794478.12s, D=0.15s
R=70016, TT=TinCr, NTX=10, TB=1748794478.28s, D=0.21s
R=70017, TT=TinTrOw, NTX=5, TB=1748794480.32s, D=0.17s
R=70017, TT=TinCr, NTX=9, TB=1748794480.49s, D=0.34s
R=70018, TT=TinTrOw, NTX=5, TB=1748794482.46s, D=0.15s
R=70018, TT=TinCr, NTX=12, TB=1748794482.61s, D=0.22s
R=70019, TT=TinTrOw, NTX=5, TB=1748794484.63s, D=0.15s
R=70019, TT=TinCr, NTX=12, TB=1748794484.79s, D=0.29s
R=70020, TT=TinTrOw, NTX=5, TB=1748794486.77s, D=0.15s
R=70020, TT=TinCr, NTX=5, TB=1748794486.91s, D=0.19s
R=70021, TT=TinTrOw, NTX=5, TB=1748794488.91s, D=0.20s
R=70021, TT=TinCr, NTX=10, TB=1748794489.11s, D=0.31s
R=70022, TT=TinTrOw, NTX=5, TB=1748794491.10s, D=0.18s
R=70022, TT=TinCr, NTX=11, TB=1748794491.27s, D=0.22s
R=70023, TT=TinTrOw, NTX=5, TB=1748794493.30s, D=0.17s
R=70023, TT=TinCr, NTX=10, TB=1748794493.48s, D=0.34s
R=70024, TT=TinTrOw, NTX=5, TB=1748794495.46s, D=0.12s
R=70024, TT=TinCr, NTX=9, TB=1748794495.58s, D=0.19s
R=70025, TT=TinTrOw, NTX=5, TB=1748794497.73s, D=0.18s
R=70025, TT=TinCr, NTX=11, TB=1748794497.91s, D=0.34s
R=70026, TT=TinTrOw, NTX=5, TB=1748794499.90s, D=0.18s
R=70026, TT=TinCr, NTX=8, TB=1748794500.08s, D=0.22s
R=70027, TT=TinTrOw, NTX=5, TB=1748794502.02s, D=0.12s
R=70027, TT=TinCr, NTX=12, TB=1748794502.14s, D=0.20s
R=70028, TT=TinTrOw, NTX=5, TB=1748794504.48s, D=0.19s
R=70028, TT=TinCr, NTX=8, TB=1748794504.67s, D=0.20s
R=70029, TT=TinTrOw, NTX=5, TB=1748794506.72s, D=0.16s
R=70029, TT=TinCr, NTX=7, TB=1748794506.88s, D=0.33s
R=70030, TT=TinTrOw, NTX=5, TB=1748794508.95s, D=0.14s
R=70030, TT=TinCr, NTX=11, TB=1748794509.09s, D=0.28s
R=70031, TT=TinTrOw, NTX=5, TB=1748794511.17s, D=0.11s
R=70031, TT=TinCr, NTX=10, TB=1748794511.28s, D=0.22s
R=70032, TT=TinTrOw, NTX=5, TB=1748794513.44s, D=0.13s
R=70032, TT=TinCr, NTX=9, TB=1748794513.57s, D=0.20s
R=70033, TT=TinTrOw, NTX=5, TB=1748794515.67s, D=0.14s
R=70033, TT=TinCr, NTX=13, TB=1748794515.81s, D=0.23s
R=70034, TT=TinTrOw, NTX=5, TB=1748794517.90s, D=0.18s
R=70034, TT=TinCr, NTX=9, TB=1748794518.08s, D=0.20s
R=70035, TT=TinTrOw, NTX=5, TB=1748794520.04s, D=0.16s
R=70035, TT=TinCr, NTX=14, TB=1748794520.20s, D=0.25s
R=70036, TT=TinTrOw, NTX=5, TB=1748794522.14s, D=0.12s
R=70036, TT=TinCr, NTX=12, TB=1748794522.27s, D=0.20s
R=70037, TT=TinTrOw, NTX=5, TB=1748794524.34s, D=0.13s
R=70037, TT=TinCr, NTX=11, TB=1748794524.47s, D=0.25s
R=70038, TT=TinTrOw, NTX=5, TB=1748794526.55s, D=0.15s
R=70038, TT=TinCr, NTX=11, TB=1748794526.70s, D=0.21s
R=70039, TT=TinTrOw, NTX=5, TB=1748794528.66s, D=0.15s
R=70039, TT=TinCr, NTX=9, TB=1748794528.82s, D=0.21s
R=70040, TT=TinTrOw, NTX=5, TB=1748794530.94s, D=0.17s
R=70040, TT=TinCr, NTX=10, TB=1748794531.10s, D=0.35s
R=70041, TT=TinTrOw, NTX=5, TB=1748794533.05s, D=0.12s
R=70041, TT=TinCr, NTX=12, TB=1748794533.17s, D=0.20s
R=70042, TT=TinTrOw, NTX=5, TB=1748794535.26s, D=0.14s
R=70042, TT=TinCr, NTX=13, TB=1748794535.41s, D=0.21s
R=70043, TT=TinTrOw, NTX=5, TB=1748794537.37s, D=0.12s
R=70043, TT=TinCr, NTX=7, TB=1748794537.49s, D=0.19s
R=70044, TT=TinTrOw, NTX=5, TB=1748794539.62s, D=0.20s
R=70044, TT=TinCr, NTX=12, TB=1748794539.82s, D=0.30s
R=70045, TT=TinTrOw, NTX=5, TB=1748794541.84s, D=0.18s
R=70045, TT=TinCr, NTX=11, TB=1748794542.02s, D=0.31s
R=70046, TT=TinTrOw, NTX=5, TB=1748794543.99s, D=0.16s
R=70046, TT=TinCr, NTX=10, TB=1748794544.15s, D=0.25s
R=70047, TT=TinTrOw, NTX=5, TB=1748794546.50s, D=0.21s
R=70047, TT=TinCr, NTX=9, TB=1748794546.71s, D=0.20s
R=70048, TT=TinTrOw, NTX=5, TB=1748794548.50s, D=0.19s
R=70048, TT=TinCr, NTX=11, TB=1748794548.69s, D=0.18s
R=70049, TT=TinTrOw, NTX=5, TB=1748794550.51s, D=0.14s
R=70049, TT=TinCr, NTX=10, TB=1748794550.65s, D=0.19s
R=70050, TT=TinTrOw, NTX=5, TB=1748794552.86s, D=0.14s
R=70050, TT=TinCr, NTX=13, TB=1748794553.01s, D=0.23s
R=70051, TT=TinTrOw, NTX=5, TB=1748794554.82s, D=0.12s
R=70051, TT=TinCr, NTX=11, TB=1748794554.94s, D=0.15s
R=70052, TT=TinTrOw, NTX=5, TB=1748794557.18s, D=0.15s
R=70052, TT=TinCr, NTX=10, TB=1748794557.33s, D=0.26s
R=70053, TT=TinTrOw, NTX=5, TB=1748794559.37s, D=0.14s
R=70053, TT=TinCr, NTX=14, TB=1748794559.51s, D=0.22s
R=70054, TT=TinTrOw, NTX=5, TB=1748794561.41s, D=0.12s
R=70054, TT=TinCr, NTX=9, TB=1748794561.53s, D=0.14s
R=70055, TT=TinTrOw, NTX=5, TB=1748794563.60s, D=0.12s
R=70055, TT=TinCr, NTX=10, TB=1748794563.72s, D=0.19s
R=70056, TT=TinTrOw, NTX=5, TB=1748794566.21s, D=0.17s
R=70056, TT=TinCr, NTX=11, TB=1748794566.38s, D=0.21s
R=70057, TT=TinTrOw, NTX=5, TB=1748794568.78s, D=0.17s
R=70057, TT=TinCr, NTX=8, TB=1748794568.95s, D=0.20s
R=70058, TT=TinTrOw, NTX=5, TB=1748794571.18s, D=0.17s
R=70058, TT=TinCr, NTX=10, TB=1748794571.34s, D=0.23s
R=70059, TT=TinTrOw, NTX=5, TB=1748794573.35s, D=0.13s
R=70059, TT=TinCr, NTX=9, TB=1748794573.48s, D=0.27s
R=70060, TT=TinTrOw, NTX=5, TB=1748794575.43s, D=0.13s
R=70060, TT=TinCr, NTX=12, TB=1748794575.56s, D=0.21s
R=70061, TT=TinTrOw, NTX=5, TB=1748794577.65s, D=0.12s
