R=90001, TT=TinTrOw, NTX=5, TB=1748839921.27s, D=0.19s
R=90001, TT=TinCr, NTX=10, TB=1748839921.46s, D=0.22s
R=90002, TT=TinTrOw, NTX=5, TB=1748839923.52s, D=0.14s
R=90002, TT=TinCr, NTX=10, TB=1748839923.66s, D=0.18s
R=90003, TT=TinTrOw, NTX=5, TB=1748839926.13s, D=0.20s
R=90003, TT=TinCr, NTX=8, TB=1748839926.34s, D=0.25s
R=90004, TT=TinTrOw, NTX=5, TB=1748839928.69s, D=0.16s
R=90004, TT=TinCr, NTX=10, TB=1748839928.85s, D=0.25s
R=90005, TT=TinTrOw, NTX=5, TB=1748839930.91s, D=0.14s
R=90005, TT=TinCr, NTX=13, TB=1748839931.05s, D=0.23s
R=90006, TT=TinTrOw, NTX=5, TB=1748839933.19s, D=0.14s
R=90006, TT=TinCr, NTX=13, TB=1748839933.33s, D=0.22s
R=90007, TT=TinTrOw, NTX=5, TB=1748839935.56s, D=0.15s
R=90007, TT=TinCr, NTX=9, TB=1748839935.71s, D=0.21s
R=90008, TT=TinTrOw, NTX=5, TB=1748839937.84s, D=0.17s
R=90008, TT=TinCr, NTX=8, TB=1748839938.01s, D=0.23s
R=90009, TT=TinTrOw, NTX=5, TB=1748839940.01s, D=0.18s
R=90009, TT=TinCr, NTX=12, TB=1748839940.19s, D=0.27s
R=90010, TT=TinTrOw, NTX=5, TB=1748839942.31s, D=0.16s
R=90010, TT=TinCr, NTX=10, TB=1748839942.47s, D=0.25s
R=90011, TT=TinTrOw, NTX=5, TB=1748839944.71s, D=0.17s
R=90011, TT=TinCr, NTX=9, TB=1748839944.88s, D=0.35s
R=90012, TT=TinTrOw, NTX=5, TB=1748839946.91s, D=0.16s
R=90012, TT=TinCr, NTX=7, TB=1748839947.07s, D=0.18s
R=90013, TT=TinTrOw, NTX=5, TB=1748839949.13s, D=0.14s
R=90013, TT=TinCr, NTX=10, TB=1748839949.26s, D=0.22s
R=90014, TT=TinTrOw, NTX=5, TB=1748839951.41s, D=0.15s
R=90014, TT=TinCr, NTX=10, TB=1748839951.56s, D=0.22s
R=90015, TT=TinTrOw, NTX=5, TB=1748839953.71s, D=0.20s
