R=1, TT=RebTrOw, NTX=20, TB=1748634930.90s, D=0.22s
R=1, TT=RebCr, NTX=62, TB=1748634931.12s, D=0.30s
R=2, TT=RebTrOw, NTX=20, TB=1748634933.13s, D=0.22s
R=2, TT=RebCr, NTX=55, TB=1748634933.35s, D=0.29s
R=3, TT=RebTrOw, NTX=20, TB=1748634935.24s, D=0.22s
R=3, TT=RebCr, NTX=67, TB=1748634935.46s, D=0.29s
R=4, TT=RebTrOw, NTX=20, TB=1748634937.36s, D=0.23s
R=4, TT=RebCr, NTX=63, TB=1748634937.58s, D=0.26s
R=5, TT=RebTrOw, NTX=20, TB=1748634939.29s, D=0.15s
R=5, TT=RebCr, NTX=53, TB=1748634939.44s, D=0.32s
R=6, TT=RebTrOw, NTX=20, TB=1748634941.46s, D=0.20s
R=6, TT=RebCr, NTX=63, TB=1748634941.66s, D=0.36s
R=7, TT=RebTrOw, NTX=20, TB=1748634943.61s, D=0.25s
R=7, TT=RebCr, NTX=58, TB=1748634943.86s, D=0.27s
R=8, TT=RebTrOw, NTX=20, TB=1748634945.74s, D=0.32s
R=8, TT=RebCr, NTX=64, TB=1748634946.06s, D=0.35s
R=9, TT=RebTrOw, NTX=20, TB=1748634947.98s, D=0.24s
R=9, TT=RebCr, NTX=57, TB=1748634948.22s, D=0.29s
R=10, TT=RebTrOw, NTX=20, TB=1748634950.07s, D=0.16s
R=10, TT=RebCr, NTX=63, TB=1748634950.23s, D=0.31s
R=11, TT=RebTrOw, NTX=20, TB=1748634952.27s, D=0.23s
R=11, TT=RebCr, NTX=59, TB=1748634952.50s, D=0.32s
R=12, TT=RebTrOw, NTX=20, TB=1748634954.34s, D=0.17s
R=12, TT=RebCr, NTX=73, TB=1748634954.50s, D=0.37s
R=13, TT=RebTrOw, NTX=20, TB=1748634956.58s, D=0.24s
R=13, TT=RebCr, NTX=63, TB=1748634956.82s, D=0.29s
R=14, TT=RebTrOw, NTX=20, TB=1748634958.81s, D=0.23s
R=14, TT=RebCr, NTX=63, TB=1748634959.03s, D=0.36s
R=15, TT=RebTrOw, NTX=20, TB=1748634960.97s, D=0.21s
R=15, TT=RebCr, NTX=73, TB=1748634961.19s, D=0.31s
R=16, TT=RebTrOw, NTX=20, TB=1748634963.07s, D=0.27s
R=16, TT=RebCr, NTX=57, TB=1748634963.34s, D=0.41s
R=17, TT=RebTrOw, NTX=20, TB=1748634965.36s, D=0.23s
R=17, TT=RebCr, NTX=62, TB=1748634965.59s, D=0.34s
R=18, TT=RebTrOw, NTX=20, TB=1748634967.50s, D=0.24s
R=18, TT=RebCr, NTX=61, TB=1748634967.74s, D=0.32s
R=19, TT=RebTrOw, NTX=20, TB=1748634969.81s, D=0.18s
R=19, TT=RebCr, NTX=56, TB=1748634969.99s, D=0.32s
R=20, TT=RebTrOw, NTX=20, TB=1748634971.97s, D=0.22s
R=20, TT=RebCr, NTX=67, TB=1748634972.19s, D=0.30s
R=21, TT=RebTrOw, NTX=20, TB=1748634974.01s, D=0.16s
R=21, TT=RebCr, NTX=61, TB=1748634974.17s, D=0.34s
R=22, TT=RebTrOw, NTX=20, TB=1748634976.25s, D=0.26s
R=22, TT=RebCr, NTX=65, TB=1748634976.51s, D=0.27s
R=23, TT=RebTrOw, NTX=20, TB=1748634978.32s, D=0.19s
R=23, TT=RebCr, NTX=57, TB=1748634978.50s, D=0.32s
R=24, TT=RebTrOw, NTX=20, TB=1748634980.45s, D=0.20s
R=24, TT=RebCr, NTX=56, TB=1748634980.65s, D=0.32s
R=25, TT=RebTrOw, NTX=20, TB=1748634982.46s, D=0.15s
R=25, TT=RebCr, NTX=64, TB=1748634982.61s, D=0.39s
R=26, TT=RebTrOw, NTX=20, TB=1748634984.80s, D=0.22s
R=26, TT=RebCr, NTX=65, TB=1748634985.02s, D=0.31s
R=27, TT=RebTrOw, NTX=20, TB=1748634986.93s, D=0.24s
R=27, TT=RebCr, NTX=58, TB=1748634987.16s, D=0.29s
R=28, TT=RebTrOw, NTX=20, TB=1748634989.05s, D=0.33s
R=28, TT=RebCr, NTX=66, TB=1748634989.38s, D=0.37s
R=29, TT=RebTrOw, NTX=20, TB=1748634991.28s, D=0.18s
R=29, TT=RebCr, NTX=67, TB=1748634991.47s, D=0.27s
R=30, TT=RebTrOw, NTX=20, TB=1748634993.60s, D=0.20s
R=30, TT=RebCr, NTX=63, TB=1748634993.80s, D=0.30s
R=31, TT=RebTrOw, NTX=20, TB=1748634995.66s, D=0.27s
R=31, TT=RebCr, NTX=55, TB=1748634995.93s, D=0.26s
R=32, TT=RebTrOw, NTX=20, TB=1748634997.79s, D=0.23s
R=32, TT=RebCr, NTX=59, TB=1748634998.02s, D=0.38s
R=33, TT=RebTrOw, NTX=20, TB=1748635000.01s, D=0.26s
R=33, TT=RebCr, NTX=65, TB=1748635000.27s, D=0.31s
R=34, TT=RebTrOw, NTX=20, TB=1748635002.18s, D=0.32s
R=34, TT=RebCr, NTX=53, TB=1748635002.50s, D=0.26s
R=35, TT=RebTrOw, NTX=20, TB=1748635004.24s, D=0.20s
R=35, TT=RebCr, NTX=74, TB=1748635004.43s, D=0.40s
R=36, TT=RebTrOw, NTX=20, TB=1748635006.62s, D=0.18s
R=36, TT=RebCr, NTX=57, TB=1748635006.79s, D=0.33s
R=37, TT=RebTrOw, NTX=20, TB=1748635008.88s, D=0.20s
R=37, TT=RebCr, NTX=68, TB=1748635009.08s, D=0.42s
R=38, TT=RebTrOw, NTX=20, TB=1748635011.10s, D=0.19s
R=38, TT=RebCr, NTX=65, TB=1748635011.29s, D=0.30s
R=39, TT=RebTrOw, NTX=20, TB=1748635013.31s, D=0.24s
R=39, TT=RebCr, NTX=65, TB=1748635013.54s, D=0.33s
R=40, TT=RebTrOw, NTX=20, TB=1748635015.48s, D=0.28s
R=40, TT=RebCr, NTX=64, TB=1748635015.76s, D=0.34s
R=41, TT=RebTrOw, NTX=20, TB=1748635017.60s, D=0.17s
R=41, TT=RebCr, NTX=63, TB=1748635017.77s, D=0.38s
R=42, TT=RebTrOw, NTX=20, TB=1748635019.86s, D=0.23s
R=42, TT=RebCr, NTX=51, TB=1748635020.10s, D=0.31s
R=43, TT=RebTrOw, NTX=20, TB=1748635022.09s, D=0.28s
R=43, TT=RebCr, NTX=67, TB=1748635022.36s, D=0.52s
R=44, TT=RebTrOw, NTX=20, TB=1748635024.47s, D=0.27s
R=44, TT=RebCr, NTX=52, TB=1748635024.74s, D=0.35s
R=45, TT=RebTrOw, NTX=20, TB=1748635026.68s, D=0.25s
R=45, TT=RebCr, NTX=66, TB=1748635026.94s, D=0.36s
R=46, TT=RebTrOw, NTX=20, TB=1748635028.92s, D=0.22s
R=46, TT=RebCr, NTX=58, TB=1748635029.14s, D=0.31s
R=47, TT=RebTrOw, NTX=20, TB=1748635031.04s, D=0.18s
R=47, TT=RebCr, NTX=58, TB=1748635031.22s, D=0.33s
R=48, TT=RebTrOw, NTX=20, TB=1748635033.37s, D=0.25s
R=48, TT=RebCr, NTX=60, TB=1748635033.62s, D=0.39s
R=49, TT=RebTrOw, NTX=20, TB=1748635035.58s, D=0.27s
R=49, TT=RebCr, NTX=61, TB=1748635035.85s, D=0.38s
R=50, TT=RebTrOw, NTX=20, TB=1748635037.79s, D=0.26s
R=50, TT=RebCr, NTX=68, TB=1748635038.06s, D=0.43s
R=51, TT=RebTrOw, NTX=20, TB=1748635040.07s, D=0.29s
R=51, TT=RebCr, NTX=60, TB=1748635040.36s, D=0.41s
R=52, TT=RebTrOw, NTX=20, TB=1748635042.32s, D=0.27s
R=52, TT=RebCr, NTX=67, TB=1748635042.59s, D=0.37s
R=53, TT=RebTrOw, NTX=20, TB=1748635044.59s, D=0.28s
R=53, TT=RebCr, NTX=47, TB=1748635044.87s, D=0.31s
R=54, TT=RebTrOw, NTX=20, TB=1748635046.79s, D=0.25s
R=54, TT=RebCr, NTX=48, TB=1748635047.04s, D=0.31s
R=55, TT=RebTrOw, NTX=20, TB=1748635048.97s, D=0.30s
R=55, TT=RebCr, NTX=62, TB=1748635049.28s, D=0.40s
R=56, TT=RebTrOw, NTX=20, TB=1748635051.26s, D=0.24s
R=56, TT=RebCr, NTX=55, TB=1748635051.51s, D=0.35s
R=57, TT=RebTrOw, NTX=20, TB=1748635053.68s, D=0.24s
R=57, TT=RebCr, NTX=59, TB=1748635053.93s, D=0.38s
R=58, TT=RebTrOw, NTX=20, TB=1748635055.82s, D=0.19s
R=58, TT=RebCr, NTX=53, TB=1748635056.01s, D=0.31s
R=59, TT=RebTrOw, NTX=20, TB=1748635058.08s, D=0.23s
R=59, TT=RebCr, NTX=62, TB=1748635058.31s, D=0.38s
R=60, TT=RebTrOw, NTX=20, TB=1748635060.27s, D=0.25s
R=60, TT=RebCr, NTX=58, TB=1748635060.52s, D=0.35s
R=61, TT=RebTrOw, NTX=20, TB=1748635062.38s, D=0.22s
R=61, TT=RebCr, NTX=59, TB=1748635062.60s, D=0.36s
R=62, TT=RebTrOw, NTX=20, TB=1748635064.58s, D=0.20s
R=62, TT=RebCr, NTX=60, TB=1748635064.78s, D=0.30s
R=63, TT=RebTrOw, NTX=20, TB=1748635066.73s, D=0.20s
R=63, TT=RebCr, NTX=54, TB=1748635066.93s, D=0.29s
R=64, TT=RebTrOw, NTX=20, TB=1748635069.02s, D=0.26s
R=64, TT=RebCr, NTX=59, TB=1748635069.28s, D=0.30s
R=65, TT=RebTrOw, NTX=20, TB=1748635071.20s, D=0.27s
R=65, TT=RebCr, NTX=58, TB=1748635071.47s, D=0.30s
R=66, TT=RebTrOw, NTX=20, TB=1748635073.38s, D=0.25s
R=66, TT=RebCr, NTX=63, TB=1748635073.63s, D=0.37s
R=67, TT=RebTrOw, NTX=20, TB=1748635075.59s, D=0.23s
R=67, TT=RebCr, NTX=53, TB=1748635075.83s, D=0.36s
R=68, TT=RebTrOw, NTX=20, TB=1748635077.77s, D=0.23s
R=68, TT=RebCr, NTX=54, TB=1748635078.00s, D=0.36s
R=69, TT=RebTrOw, NTX=20, TB=1748635080.04s, D=0.25s
R=69, TT=RebCr, NTX=62, TB=1748635080.30s, D=0.39s
R=70, TT=RebTrOw, NTX=20, TB=1748635082.27s, D=0.40s
R=70, TT=RebCr, NTX=61, TB=1748635082.67s, D=0.42s
R=71, TT=RebTrOw, NTX=20, TB=1748635084.69s, D=0.24s
R=71, TT=RebCr, NTX=58, TB=1748635084.93s, D=0.29s
R=72, TT=RebTrOw, NTX=20, TB=1748635086.65s, D=0.16s
R=72, TT=RebCr, NTX=61, TB=1748635086.81s, D=0.39s
R=73, TT=RebTrOw, NTX=20, TB=1748635088.82s, D=0.19s
R=73, TT=RebCr, NTX=65, TB=1748635089.00s, D=0.42s
R=74, TT=RebTrOw, NTX=20, TB=1748635091.12s, D=0.15s
R=74, TT=RebCr, NTX=66, TB=1748635091.28s, D=0.44s
R=75, TT=RebTrOw, NTX=20, TB=1748635093.46s, D=0.29s
R=75, TT=RebCr, NTX=72, TB=1748635093.75s, D=0.40s
R=76, TT=RebTrOw, NTX=20, TB=1748635095.74s, D=0.19s
R=76, TT=RebCr, NTX=62, TB=1748635095.93s, D=0.38s
R=77, TT=RebTrOw, NTX=20, TB=1748635098.04s, D=0.27s
R=77, TT=RebCr, NTX=60, TB=1748635098.32s, D=0.31s
R=78, TT=RebTrOw, NTX=20, TB=1748635100.24s, D=0.26s
R=78, TT=RebCr, NTX=76, TB=1748635100.50s, D=0.40s
R=79, TT=RebTrOw, NTX=20, TB=1748635102.29s, D=0.16s
R=79, TT=RebCr, NTX=72, TB=1748635102.45s, D=0.50s
R=80, TT=RebTrOw, NTX=20, TB=1748635104.68s, D=0.24s
R=80, TT=RebCr, NTX=64, TB=1748635104.92s, D=0.39s
R=81, TT=RebTrOw, NTX=20, TB=1748635106.79s, D=0.17s
R=81, TT=RebCr, NTX=64, TB=1748635106.96s, D=0.32s
R=82, TT=RebTrOw, NTX=20, TB=1748635108.98s, D=0.28s
R=82, TT=RebCr, NTX=58, TB=1748635109.26s, D=0.33s
R=83, TT=RebTrOw, NTX=20, TB=1748635111.37s, D=0.27s
R=83, TT=RebCr, NTX=56, TB=1748635111.64s, D=0.28s
R=84, TT=RebTrOw, NTX=20, TB=1748635113.56s, D=0.24s
R=84, TT=RebCr, NTX=53, TB=1748635113.80s, D=0.31s
R=85, TT=RebTrOw, NTX=20, TB=1748635115.93s, D=0.31s
R=85, TT=RebCr, NTX=64, TB=1748635116.24s, D=0.38s
R=86, TT=RebTrOw, NTX=20, TB=1748635118.20s, D=0.24s
R=86, TT=RebCr, NTX=74, TB=1748635118.44s, D=0.41s
R=87, TT=RebTrOw, NTX=20, TB=1748635120.50s, D=0.23s
