R=90001, TT=TinTrOw, NTX=5, TB=1748839921.16s, D=0.13s
R=90001, TT=TinCr, NTX=10, TB=1748839921.28s, D=0.20s
R=90002, TT=TinTrOw, NTX=5, TB=1748839924.31s, D=0.13s
R=90002, TT=TinCr, NTX=11, TB=1748839924.44s, D=0.14s
R=90003, TT=TinTrOw, NTX=5, TB=1748839926.05s, D=0.13s
R=90003, TT=TinCr, NTX=9, TB=1748839926.18s, D=0.21s
R=90004, TT=TinTrOw, NTX=5, TB=1748839928.66s, D=0.14s
R=90004, TT=TinCr, NTX=9, TB=1748839928.80s, D=0.22s
R=90005, TT=TinTrOw, NTX=5, TB=1748839931.00s, D=0.16s
R=90005, TT=TinCr, NTX=12, TB=1748839931.16s, D=0.28s
R=90006, TT=TinTrOw, NTX=5, TB=1748839933.29s, D=0.18s
R=90006, TT=TinCr, NTX=11, TB=1748839933.47s, D=0.22s
R=90007, TT=TinTrOw, NTX=5, TB=1748839935.60s, D=0.19s
R=90007, TT=TinCr, NTX=9, TB=1748839935.79s, D=0.21s
R=90008, TT=TinTrOw, NTX=5, TB=1748839937.82s, D=0.17s
R=90008, TT=TinCr, NTX=11, TB=1748839937.99s, D=0.25s
R=90009, TT=TinTrOw, NTX=5, TB=1748839940.02s, D=0.17s
R=90009, TT=TinCr, NTX=12, TB=1748839940.20s, D=0.26s
R=90010, TT=TinTrOw, NTX=5, TB=1748839942.19s, D=0.13s
R=90010, TT=TinCr, NTX=12, TB=1748839942.32s, D=0.22s
R=90011, TT=TinTrOw, NTX=5, TB=1748839944.68s, D=0.15s
R=90011, TT=TinCr, NTX=11, TB=1748839944.83s, D=0.33s
R=90012, TT=TinTrOw, NTX=5, TB=1748839946.91s, D=0.18s
R=90012, TT=TinCr, NTX=10, TB=1748839947.08s, D=0.22s
R=90013, TT=TinTrOw, NTX=5, TB=1748839949.21s, D=0.23s
R=90013, TT=TinCr, NTX=10, TB=1748839949.44s, D=0.21s
R=90014, TT=TinTrOw, NTX=5, TB=1748839951.46s, D=0.20s
R=90014, TT=TinCr, NTX=10, TB=1748839951.66s, D=0.29s
R=90015, TT=TinTrOw, NTX=5, TB=1748839953.74s, D=0.20s
R=90015, TT=TinCr, NTX=10, TB=1748839953.94s, D=0.27s
R=90016, TT=TinTrOw, NTX=5, TB=1748839955.93s, D=0.21s
R=90016, TT=TinCr, NTX=10, TB=1748839956.14s, D=0.26s
R=90017, TT=TinTrOw, NTX=5, TB=1748839958.00s, D=0.12s
R=90017, TT=TinCr, NTX=8, TB=1748839958.12s, D=0.13s
R=90018, TT=TinTrOw, NTX=5, TB=1748839960.55s, D=0.21s
R=90018, TT=TinCr, NTX=10, TB=1748839960.75s, D=0.22s
R=90019, TT=TinTrOw, NTX=5, TB=1748839962.73s, D=0.19s
R=90019, TT=TinCr, NTX=10, TB=1748839962.92s, D=0.25s
R=90020, TT=TinTrOw, NTX=5, TB=1748839964.69s, D=0.12s
R=90020, TT=TinCr, NTX=10, TB=1748839964.82s, D=0.16s
R=90021, TT=TinTrOw, NTX=5, TB=1748839967.39s, D=0.16s
R=90021, TT=TinCr, NTX=8, TB=1748839967.54s, D=0.23s
R=90022, TT=TinTrOw, NTX=5, TB=1748839969.64s, D=0.19s
R=90022, TT=TinCr, NTX=10, TB=1748839969.83s, D=0.31s
R=90023, TT=TinTrOw, NTX=5, TB=1748839971.94s, D=0.18s
