R=40001, TT=TinTrOw, NTX=5, TB=1748726348.04s, D=0.21s
R=40001, TT=TinCr, NTX=11, TB=1748726348.25s, D=0.27s
R=40002, TT=TinTrOw, NTX=5, TB=1748726350.24s, D=0.20s
R=40002, TT=TinCr, NTX=9, TB=1748726350.44s, D=0.20s
R=40003, TT=TinTrOw, NTX=5, TB=1748726352.33s, D=0.17s
R=40003, TT=TinCr, NTX=9, TB=1748726352.49s, D=0.26s
R=40004, TT=TinTrOw, NTX=5, TB=1748726354.56s, D=0.19s
R=40004, TT=TinCr, NTX=9, TB=1748726354.75s, D=0.35s
R=40005, TT=TinTrOw, NTX=5, TB=1748726356.78s, D=0.17s
R=40005, TT=TinCr, NTX=13, TB=1748726356.95s, D=0.26s
R=40006, TT=TinTrOw, NTX=5, TB=1748726359.22s, D=0.25s
R=40006, TT=TinCr, NTX=8, TB=1748726359.48s, D=0.21s
R=40007, TT=TinTrOw, NTX=5, TB=1748726361.37s, D=0.20s
R=40007, TT=TinCr, NTX=9, TB=1748726361.58s, D=0.30s
R=40008, TT=TinTrOw, NTX=5, TB=1748726363.50s, D=0.14s
R=40008, TT=TinCr, NTX=12, TB=1748726363.64s, D=0.25s
R=40009, TT=TinTrOw, NTX=5, TB=1748726365.65s, D=0.12s
R=40009, TT=TinCr, NTX=13, TB=1748726365.77s, D=0.25s
R=40010, TT=TinTrOw, NTX=5, TB=1748726367.98s, D=0.20s
R=40010, TT=TinCr, NTX=9, TB=1748726368.18s, D=0.31s
R=40011, TT=TinTrOw, NTX=5, TB=1748726370.17s, D=0.19s
R=40011, TT=TinCr, NTX=10, TB=1748726370.36s, D=0.23s
R=40012, TT=TinTrOw, NTX=5, TB=1748726372.35s, D=0.16s
R=40012, TT=TinCr, NTX=12, TB=1748726372.51s, D=0.23s
R=40013, TT=TinTrOw, NTX=5, TB=1748726374.62s, D=0.20s
R=40013, TT=TinCr, NTX=10, TB=1748726374.82s, D=0.32s
R=40014, TT=TinTrOw, NTX=5, TB=1748726376.80s, D=0.17s
R=40014, TT=TinCr, NTX=9, TB=1748726376.97s, D=0.25s
R=40015, TT=TinTrOw, NTX=5, TB=1748726378.85s, D=0.13s
R=40015, TT=TinCr, NTX=11, TB=1748726378.98s, D=0.21s
R=40016, TT=TinTrOw, NTX=5, TB=1748726381.06s, D=0.14s
R=40016, TT=TinCr, NTX=10, TB=1748726381.20s, D=0.23s
R=40017, TT=TinTrOw, NTX=5, TB=1748726383.20s, D=0.17s
R=40017, TT=TinCr, NTX=13, TB=1748726383.37s, D=0.25s
R=40018, TT=TinTrOw, NTX=5, TB=1748726385.46s, D=0.14s
R=40018, TT=TinCr, NTX=10, TB=1748726385.60s, D=0.31s
R=40019, TT=TinTrOw, NTX=5, TB=1748726387.81s, D=0.16s
R=40019, TT=TinCr, NTX=13, TB=1748726387.98s, D=0.22s
R=40020, TT=TinTrOw, NTX=5, TB=1748726389.98s, D=0.15s
R=40020, TT=TinCr, NTX=10, TB=1748726390.13s, D=0.22s
R=40021, TT=TinTrOw, NTX=5, TB=1748726392.22s, D=0.16s
R=40021, TT=TinCr, NTX=10, TB=1748726392.38s, D=0.27s
R=40022, TT=TinTrOw, NTX=5, TB=1748726394.39s, D=0.21s
R=40022, TT=TinCr, NTX=9, TB=1748726394.60s, D=0.33s
R=40023, TT=TinTrOw, NTX=5, TB=1748726396.49s, D=0.15s
R=40023, TT=TinCr, NTX=9, TB=1748726396.64s, D=0.24s
R=40024, TT=TinTrOw, NTX=5, TB=1748726398.84s, D=0.16s
R=40024, TT=TinCr, NTX=11, TB=1748726399.00s, D=0.27s
R=40025, TT=TinTrOw, NTX=5, TB=1748726401.13s, D=0.13s
R=40025, TT=TinCr, NTX=12, TB=1748726401.26s, D=0.25s
R=40026, TT=TinTrOw, NTX=5, TB=1748726403.59s, D=0.15s
R=40026, TT=TinCr, NTX=12, TB=1748726403.74s, D=0.24s
R=40027, TT=TinTrOw, NTX=5, TB=1748726406.11s, D=0.15s
R=40027, TT=TinCr, NTX=8, TB=1748726406.26s, D=0.27s
R=40028, TT=TinTrOw, NTX=5, TB=1748726408.55s, D=0.13s
R=40028, TT=TinCr, NTX=9, TB=1748726408.68s, D=0.19s
R=40029, TT=TinTrOw, NTX=5, TB=1748726410.89s, D=0.16s
R=40029, TT=TinCr, NTX=10, TB=1748726411.05s, D=0.26s
R=40030, TT=TinTrOw, NTX=5, TB=1748726413.02s, D=0.13s
R=40030, TT=TinCr, NTX=11, TB=1748726413.15s, D=0.25s
R=40031, TT=TinTrOw, NTX=5, TB=1748726415.30s, D=0.22s
R=40031, TT=TinCr, NTX=8, TB=1748726415.52s, D=0.25s
R=40032, TT=TinTrOw, NTX=5, TB=1748726417.41s, D=0.14s
R=40032, TT=TinCr, NTX=8, TB=1748726417.55s, D=0.20s
R=40033, TT=TinTrOw, NTX=5, TB=1748726419.86s, D=0.16s
R=40033, TT=TinCr, NTX=9, TB=1748726420.01s, D=0.24s
R=40034, TT=TinTrOw, NTX=5, TB=1748726421.94s, D=0.12s
R=40034, TT=TinCr, NTX=9, TB=1748726422.06s, D=0.22s
R=40035, TT=TinTrOw, NTX=5, TB=1748726424.18s, D=0.14s
R=40035, TT=TinCr, NTX=5, TB=1748726424.32s, D=0.20s
R=40036, TT=TinTrOw, NTX=5, TB=1748726426.49s, D=0.19s
R=40036, TT=TinCr, NTX=9, TB=1748726426.68s, D=0.33s
R=40037, TT=TinTrOw, NTX=5, TB=1748726428.72s, D=0.22s
R=40037, TT=TinCr, NTX=8, TB=1748726428.95s, D=0.22s
R=40038, TT=TinTrOw, NTX=5, TB=1748726430.96s, D=0.20s
R=40038, TT=TinCr, NTX=10, TB=1748726431.16s, D=0.36s
R=40039, TT=TinTrOw, NTX=5, TB=1748726433.16s, D=0.19s
R=40039, TT=TinCr, NTX=11, TB=1748726433.36s, D=0.26s
R=40040, TT=TinTrOw, NTX=5, TB=1748726435.35s, D=0.21s
R=40040, TT=TinCr, NTX=7, TB=1748726435.56s, D=0.18s
R=40041, TT=TinTrOw, NTX=5, TB=1748726437.44s, D=0.16s
R=40041, TT=TinCr, NTX=6, TB=1748726437.60s, D=0.25s
R=40042, TT=TinTrOw, NTX=5, TB=1748726439.65s, D=0.23s
R=40042, TT=TinCr, NTX=8, TB=1748726439.87s, D=0.20s
R=40043, TT=TinTrOw, NTX=5, TB=1748726441.81s, D=0.19s
R=40043, TT=TinCr, NTX=7, TB=1748726442.00s, D=0.30s
R=40044, TT=TinTrOw, NTX=5, TB=1748726444.01s, D=0.20s
R=40044, TT=TinCr, NTX=11, TB=1748726444.21s, D=0.24s
R=40045, TT=TinTrOw, NTX=5, TB=1748726446.18s, D=0.19s
R=40045, TT=TinCr, NTX=8, TB=1748726446.38s, D=0.21s
R=40046, TT=TinTrOw, NTX=5, TB=1748726448.38s, D=0.13s
R=40046, TT=TinCr, NTX=10, TB=1748726448.51s, D=0.23s
R=40047, TT=TinTrOw, NTX=5, TB=1748726450.63s, D=0.20s
R=40047, TT=TinCr, NTX=9, TB=1748726450.83s, D=0.26s
R=40048, TT=TinTrOw, NTX=5, TB=1748726452.78s, D=0.21s
R=40048, TT=TinCr, NTX=8, TB=1748726452.99s, D=0.29s
R=40049, TT=TinTrOw, NTX=5, TB=1748726454.89s, D=0.13s
R=40049, TT=TinCr, NTX=14, TB=1748726455.02s, D=0.24s
R=40050, TT=TinTrOw, NTX=5, TB=1748726457.07s, D=0.12s
R=40050, TT=TinCr, NTX=12, TB=1748726457.19s, D=0.26s
R=40051, TT=TinTrOw, NTX=5, TB=1748726459.27s, D=0.15s
R=40051, TT=TinCr, NTX=9, TB=1748726459.42s, D=0.22s
R=40052, TT=TinTrOw, NTX=5, TB=1748726461.28s, D=0.12s
R=40052, TT=TinCr, NTX=10, TB=1748726461.40s, D=0.16s
R=40053, TT=TinTrOw, NTX=5, TB=1748726463.69s, D=0.12s
R=40053, TT=TinCr, NTX=9, TB=1748726463.81s, D=0.28s
R=40054, TT=TinTrOw, NTX=5, TB=1748726466.16s, D=0.20s
R=40054, TT=TinCr, NTX=10, TB=1748726466.36s, D=0.33s
R=40055, TT=TinTrOw, NTX=5, TB=1748726468.79s, D=0.17s
R=40055, TT=TinCr, NTX=10, TB=1748726468.96s, D=0.32s
R=40056, TT=TinTrOw, NTX=5, TB=1748726470.89s, D=0.13s
R=40056, TT=TinCr, NTX=8, TB=1748726471.02s, D=0.21s
R=40057, TT=TinTrOw, NTX=5, TB=1748726473.21s, D=0.18s
R=40057, TT=TinCr, NTX=11, TB=1748726473.39s, D=0.25s
R=40058, TT=TinTrOw, NTX=5, TB=1748726475.32s, D=0.19s
R=40058, TT=TinCr, NTX=9, TB=1748726475.51s, D=0.24s
R=40059, TT=TinTrOw, NTX=5, TB=1748726477.52s, D=0.23s
R=40059, TT=TinCr, NTX=14, TB=1748726477.75s, D=0.33s
R=40060, TT=TinTrOw, NTX=5, TB=1748726479.77s, D=0.19s
R=40060, TT=TinCr, NTX=8, TB=1748726479.96s, D=0.25s
R=40061, TT=TinTrOw, NTX=5, TB=1748726482.03s, D=0.18s
R=40061, TT=TinCr, NTX=10, TB=1748726482.21s, D=0.24s
R=40062, TT=TinTrOw, NTX=5, TB=1748726484.30s, D=0.20s
R=40062, TT=TinCr, NTX=8, TB=1748726484.49s, D=0.30s
R=40063, TT=TinTrOw, NTX=5, TB=1748726486.53s, D=0.18s
R=40063, TT=TinCr, NTX=11, TB=1748726486.71s, D=0.37s
R=40064, TT=TinTrOw, NTX=5, TB=1748726488.78s, D=0.22s
R=40064, TT=TinCr, NTX=9, TB=1748726489.00s, D=0.31s
R=40065, TT=TinTrOw, NTX=5, TB=1748726491.05s, D=0.21s
R=40065, TT=TinCr, NTX=12, TB=1748726491.26s, D=0.22s
R=40066, TT=TinTrOw, NTX=5, TB=1748726493.22s, D=0.17s
R=40066, TT=TinCr, NTX=9, TB=1748726493.39s, D=0.22s
R=40067, TT=TinTrOw, NTX=5, TB=1748726495.34s, D=0.14s
R=40067, TT=TinCr, NTX=11, TB=1748726495.49s, D=0.23s
R=40068, TT=TinTrOw, NTX=5, TB=1748726497.56s, D=0.18s
R=40068, TT=TinCr, NTX=14, TB=1748726497.74s, D=0.29s
R=40069, TT=TinTrOw, NTX=5, TB=1748726499.81s, D=0.21s
R=40069, TT=TinCr, NTX=8, TB=1748726500.02s, D=0.23s
R=40070, TT=TinTrOw, NTX=5, TB=1748726502.02s, D=0.20s
R=40070, TT=TinCr, NTX=11, TB=1748726502.23s, D=0.26s
R=40071, TT=TinTrOw, NTX=5, TB=1748726504.16s, D=0.15s
R=40071, TT=TinCr, NTX=8, TB=1748726504.31s, D=0.25s
R=40072, TT=TinTrOw, NTX=5, TB=1748726506.47s, D=0.19s
R=40072, TT=TinCr, NTX=13, TB=1748726506.66s, D=0.30s
R=40073, TT=TinTrOw, NTX=5, TB=1748726508.63s, D=0.18s
R=40073, TT=TinCr, NTX=10, TB=1748726508.81s, D=0.27s
R=40074, TT=TinTrOw, NTX=5, TB=1748726510.79s, D=0.18s
R=40074, TT=TinCr, NTX=12, TB=1748726510.97s, D=0.23s
R=40075, TT=TinTrOw, NTX=5, TB=1748726512.99s, D=0.13s
R=40075, TT=TinCr, NTX=11, TB=1748726513.12s, D=0.27s
R=40076, TT=TinTrOw, NTX=5, TB=1748726515.16s, D=0.18s
R=40076, TT=TinCr, NTX=14, TB=1748726515.34s, D=0.32s
R=40077, TT=TinTrOw, NTX=5, TB=1748726517.41s, D=0.20s
R=40077, TT=TinCr, NTX=6, TB=1748726517.60s, D=0.30s
R=40078, TT=TinTrOw, NTX=5, TB=1748726519.60s, D=0.17s
R=40078, TT=TinCr, NTX=9, TB=1748726519.77s, D=0.21s
R=40079, TT=TinTrOw, NTX=5, TB=1748726521.78s, D=0.16s
R=40079, TT=TinCr, NTX=11, TB=1748726521.94s, D=0.31s
R=40080, TT=TinTrOw, NTX=5, TB=1748726524.00s, D=0.13s
R=40080, TT=TinCr, NTX=6, TB=1748726524.13s, D=0.16s
R=40081, TT=TinTrOw, NTX=5, TB=1748726526.56s, D=0.17s
R=40081, TT=TinCr, NTX=7, TB=1748726526.73s, D=0.22s
R=40082, TT=TinTrOw, NTX=5, TB=1748726528.82s, D=0.16s
R=40082, TT=TinCr, NTX=10, TB=1748726528.98s, D=0.31s
R=40083, TT=TinTrOw, NTX=5, TB=1748726531.01s, D=0.19s
R=40083, TT=TinCr, NTX=13, TB=1748726531.20s, D=0.21s
R=40084, TT=TinTrOw, NTX=5, TB=1748726533.18s, D=0.21s
R=40084, TT=TinCr, NTX=10, TB=1748726533.39s, D=0.31s
R=40085, TT=TinTrOw, NTX=5, TB=1748726535.38s, D=0.19s
R=40085, TT=TinCr, NTX=8, TB=1748726535.58s, D=0.29s
R=40086, TT=TinTrOw, NTX=5, TB=1748726537.59s, D=0.13s
R=40086, TT=TinCr, NTX=10, TB=1748726537.73s, D=0.27s
R=40087, TT=TinTrOw, NTX=5, TB=1748726539.82s, D=0.22s
R=40087, TT=TinCr, NTX=11, TB=1748726540.03s, D=0.34s
R=40088, TT=TinTrOw, NTX=5, TB=1748726542.26s, D=0.18s
R=40088, TT=TinCr, NTX=10, TB=1748726542.44s, D=0.30s
R=40089, TT=TinTrOw, NTX=5, TB=1748726544.50s, D=0.23s
R=40089, TT=TinCr, NTX=9, TB=1748726544.73s, D=0.30s
R=40090, TT=TinTrOw, NTX=5, TB=1748726546.67s, D=0.16s
R=40090, TT=TinCr, NTX=9, TB=1748726546.83s, D=0.21s
R=40091, TT=TinTrOw, NTX=5, TB=1748726548.93s, D=0.21s
R=40091, TT=TinCr, NTX=14, TB=1748726549.14s, D=0.27s
R=40092, TT=TinTrOw, NTX=5, TB=1748726551.14s, D=0.16s
R=40092, TT=TinCr, NTX=13, TB=1748726551.30s, D=0.26s
R=40093, TT=TinTrOw, NTX=5, TB=1748726553.37s, D=0.15s
R=40093, TT=TinCr, NTX=8, TB=1748726553.52s, D=0.21s
R=40094, TT=TinTrOw, NTX=5, TB=1748726555.48s, D=0.13s
R=40094, TT=TinCr, NTX=11, TB=1748726555.61s, D=0.24s
R=40095, TT=TinTrOw, NTX=5, TB=1748726557.74s, D=0.20s
R=40095, TT=TinCr, NTX=8, TB=1748726557.94s, D=0.25s
R=40096, TT=TinTrOw, NTX=5, TB=1748726559.82s, D=0.12s
R=40096, TT=TinCr, NTX=12, TB=1748726559.94s, D=0.28s
R=40097, TT=TinTrOw, NTX=5, TB=1748726562.11s, D=0.17s
R=40097, TT=TinCr, NTX=9, TB=1748726562.29s, D=0.26s
R=40098, TT=TinTrOw, NTX=5, TB=1748726564.39s, D=0.20s
R=40098, TT=TinCr, NTX=9, TB=1748726564.59s, D=0.31s
R=40099, TT=TinTrOw, NTX=5, TB=1748726566.53s, D=0.17s
R=40099, TT=TinCr, NTX=10, TB=1748726566.70s, D=0.30s
R=40100, TT=TinTrOw, NTX=5, TB=1748726568.72s, D=0.20s
R=40100, TT=TinCr, NTX=11, TB=1748726568.92s, D=0.38s
R=40101, TT=TinTrOw, NTX=5, TB=1748726570.89s, D=0.17s
R=40101, TT=TinCr, NTX=11, TB=1748726571.05s, D=0.24s
R=40102, TT=TinTrOw, NTX=5, TB=1748726573.10s, D=0.15s
R=40102, TT=TinCr, NTX=7, TB=1748726573.26s, D=0.23s
R=40103, TT=TinTrOw, NTX=5, TB=1748726575.41s, D=0.21s
R=40103, TT=TinCr, NTX=9, TB=1748726575.61s, D=0.31s
R=40104, TT=TinTrOw, NTX=5, TB=1748726577.64s, D=0.20s
R=40104, TT=TinCr, NTX=13, TB=1748726577.84s, D=0.32s
R=40105, TT=TinTrOw, NTX=5, TB=1748726579.81s, D=0.18s
R=40105, TT=TinCr, NTX=8, TB=1748726580.00s, D=0.24s
R=40106, TT=TinTrOw, NTX=5, TB=1748726582.00s, D=0.15s
R=40106, TT=TinCr, NTX=12, TB=1748726582.15s, D=0.29s
R=40107, TT=TinTrOw, NTX=5, TB=1748726584.41s, D=0.18s
R=40107, TT=TinCr, NTX=9, TB=1748726584.59s, D=0.23s
R=40108, TT=TinTrOw, NTX=5, TB=1748726586.61s, D=0.13s
R=40108, TT=TinCr, NTX=9, TB=1748726586.75s, D=0.23s
R=40109, TT=TinTrOw, NTX=5, TB=1748726588.96s, D=0.15s
R=40109, TT=TinCr, NTX=8, TB=1748726589.11s, D=0.36s
R=40110, TT=TinTrOw, NTX=5, TB=1748726591.15s, D=0.20s
R=40110, TT=TinCr, NTX=13, TB=1748726591.35s, D=0.36s
R=40111, TT=TinTrOw, NTX=5, TB=1748726593.23s, D=0.13s
R=40111, TT=TinCr, NTX=11, TB=1748726593.35s, D=0.24s
R=40112, TT=TinTrOw, NTX=5, TB=1748726595.44s, D=0.16s
R=40112, TT=TinCr, NTX=7, TB=1748726595.61s, D=0.23s
R=40113, TT=TinTrOw, NTX=5, TB=1748726597.68s, D=0.21s
R=40113, TT=TinCr, NTX=12, TB=1748726597.89s, D=0.28s
R=40114, TT=TinTrOw, NTX=5, TB=1748726599.87s, D=0.20s
R=40114, TT=TinCr, NTX=10, TB=1748726600.07s, D=0.34s
R=40115, TT=TinTrOw, NTX=5, TB=1748726602.12s, D=0.20s
R=40115, TT=TinCr, NTX=11, TB=1748726602.32s, D=0.25s
R=40116, TT=TinTrOw, NTX=5, TB=1748726604.37s, D=0.20s
R=40116, TT=TinCr, NTX=9, TB=1748726604.58s, D=0.31s
R=40117, TT=TinTrOw, NTX=5, TB=1748726606.60s, D=0.18s
R=40117, TT=TinCr, NTX=11, TB=1748726606.79s, D=0.29s
R=40118, TT=TinTrOw, NTX=5, TB=1748726608.75s, D=0.21s
R=40118, TT=TinCr, NTX=8, TB=1748726608.96s, D=0.31s
R=40119, TT=TinTrOw, NTX=5, TB=1748726611.02s, D=0.17s
R=40119, TT=TinCr, NTX=11, TB=1748726611.19s, D=0.34s
R=40120, TT=TinTrOw, NTX=5, TB=1748726613.21s, D=0.20s
R=40120, TT=TinCr, NTX=13, TB=1748726613.41s, D=0.27s
R=40121, TT=TinTrOw, NTX=5, TB=1748726615.28s, D=0.14s
R=40121, TT=TinCr, NTX=8, TB=1748726615.42s, D=0.19s
R=40122, TT=TinTrOw, NTX=5, TB=1748726617.51s, D=0.18s
