R=70001, TT=RebTrOw, NTX=20, TB=1748794445.13s, D=0.25s
R=70001, TT=RebCr, NTX=70, TB=1748794445.38s, D=0.34s
R=70002, TT=RebTrOw, NTX=20, TB=1748794447.28s, D=0.24s
R=70002, TT=RebCr, NTX=69, TB=1748794447.52s, D=0.38s
R=70003, TT=RebTrOw, NTX=20, TB=1748794449.75s, D=0.18s
R=70003, TT=RebCr, NTX=61, TB=1748794449.93s, D=0.31s
R=70004, TT=RebTrOw, NTX=20, TB=1748794451.99s, D=0.26s
R=70004, TT=RebCr, NTX=51, TB=1748794452.25s, D=0.33s
R=70005, TT=RebTrOw, NTX=20, TB=1748794454.19s, D=0.26s
R=70005, TT=RebCr, NTX=57, TB=1748794454.44s, D=0.35s
R=70006, TT=RebTrOw, NTX=20, TB=1748794456.37s, D=0.26s
R=70006, TT=RebCr, NTX=71, TB=1748794456.62s, D=0.35s
R=70007, TT=RebTrOw, NTX=20, TB=1748794458.51s, D=0.25s
R=70007, TT=RebCr, NTX=67, TB=1748794458.76s, D=0.37s
R=70008, TT=RebTrOw, NTX=20, TB=1748794460.69s, D=0.23s
R=70008, TT=RebCr, NTX=54, TB=1748794460.91s, D=0.38s
R=70009, TT=RebTrOw, NTX=20, TB=1748794462.88s, D=0.24s
R=70009, TT=RebCr, NTX=64, TB=1748794463.12s, D=0.39s
R=70010, TT=RebTrOw, NTX=20, TB=1748794465.11s, D=0.29s
R=70010, TT=RebCr, NTX=55, TB=1748794465.40s, D=0.30s
R=70011, TT=RebTrOw, NTX=20, TB=1748794467.19s, D=0.23s
R=70011, TT=RebCr, NTX=60, TB=1748794467.42s, D=0.31s
R=70012, TT=RebTrOw, NTX=20, TB=1748794469.39s, D=0.28s
R=70012, TT=RebCr, NTX=54, TB=1748794469.66s, D=0.39s
R=70013, TT=RebTrOw, NTX=20, TB=1748794471.62s, D=0.24s
R=70013, TT=RebCr, NTX=59, TB=1748794471.87s, D=0.32s
R=70014, TT=RebTrOw, NTX=20, TB=1748794473.79s, D=0.24s
R=70014, TT=RebCr, NTX=59, TB=1748794474.04s, D=0.32s
R=70015, TT=RebTrOw, NTX=20, TB=1748794475.93s, D=0.25s
R=70015, TT=RebCr, NTX=48, TB=1748794476.19s, D=0.34s
R=70016, TT=RebTrOw, NTX=20, TB=1748794478.12s, D=0.26s
R=70016, TT=RebCr, NTX=52, TB=1748794478.38s, D=0.30s
R=70017, TT=RebTrOw, NTX=20, TB=1748794480.14s, D=0.16s
R=70017, TT=RebCr, NTX=56, TB=1748794480.29s, D=0.41s
R=70018, TT=RebTrOw, NTX=20, TB=1748794482.36s, D=0.18s
R=70018, TT=RebCr, NTX=53, TB=1748794482.54s, D=0.39s
R=70019, TT=RebTrOw, NTX=20, TB=1748794484.63s, D=0.24s
R=70019, TT=RebCr, NTX=65, TB=1748794484.87s, D=0.38s
R=70020, TT=RebTrOw, NTX=20, TB=1748794486.82s, D=0.29s
R=70020, TT=RebCr, NTX=65, TB=1748794487.12s, D=0.26s
R=70021, TT=RebTrOw, NTX=20, TB=1748794488.98s, D=0.25s
R=70021, TT=RebCr, NTX=51, TB=1748794489.23s, D=0.30s
R=70022, TT=RebTrOw, NTX=20, TB=1748794491.10s, D=0.26s
R=70022, TT=RebCr, NTX=63, TB=1748794491.35s, D=0.37s
R=70023, TT=RebTrOw, NTX=20, TB=1748794493.31s, D=0.26s
R=70023, TT=RebCr, NTX=63, TB=1748794493.57s, D=0.36s
R=70024, TT=RebTrOw, NTX=20, TB=1748794495.52s, D=0.26s
R=70024, TT=RebCr, NTX=57, TB=1748794495.79s, D=0.37s
R=70025, TT=RebTrOw, NTX=20, TB=1748794497.67s, D=0.22s
R=70025, TT=RebCr, NTX=70, TB=1748794497.89s, D=0.39s
R=70026, TT=RebTrOw, NTX=20, TB=1748794499.90s, D=0.31s
R=70026, TT=RebCr, NTX=63, TB=1748794500.21s, D=0.34s
R=70027, TT=RebTrOw, NTX=20, TB=1748794502.18s, D=0.34s
R=70027, TT=RebCr, NTX=56, TB=1748794502.52s, D=0.34s
R=70028, TT=RebTrOw, NTX=20, TB=1748794504.51s, D=0.28s
R=70028, TT=RebCr, NTX=55, TB=1748794504.79s, D=0.29s
R=70029, TT=RebTrOw, NTX=20, TB=1748794506.58s, D=0.16s
R=70029, TT=RebCr, NTX=66, TB=1748794506.74s, D=0.39s
R=70030, TT=RebTrOw, NTX=20, TB=1748794508.83s, D=0.18s
R=70030, TT=RebCr, NTX=54, TB=1748794509.01s, D=0.31s
R=70031, TT=RebTrOw, NTX=20, TB=1748794511.28s, D=0.30s
R=70031, TT=RebCr, NTX=61, TB=1748794511.58s, D=0.31s
R=70032, TT=RebTrOw, NTX=20, TB=1748794513.49s, D=0.26s
R=70032, TT=RebCr, NTX=68, TB=1748794513.75s, D=0.37s
R=70033, TT=RebTrOw, NTX=20, TB=1748794515.72s, D=0.28s
R=70033, TT=RebCr, NTX=70, TB=1748794516.00s, D=0.33s
R=70034, TT=RebTrOw, NTX=20, TB=1748794517.87s, D=0.25s
R=70034, TT=RebCr, NTX=54, TB=1748794518.12s, D=0.31s
R=70035, TT=RebTrOw, NTX=20, TB=1748794520.06s, D=0.26s
R=70035, TT=RebCr, NTX=65, TB=1748794520.32s, D=0.36s
R=70036, TT=RebTrOw, NTX=20, TB=1748794522.22s, D=0.22s
R=70036, TT=RebCr, NTX=65, TB=1748794522.45s, D=0.38s
R=70037, TT=RebTrOw, NTX=20, TB=1748794524.42s, D=0.31s
R=70037, TT=RebCr, NTX=63, TB=1748794524.72s, D=0.28s
R=70038, TT=RebTrOw, NTX=20, TB=1748794526.55s, D=0.23s
R=70038, TT=RebCr, NTX=54, TB=1748794526.78s, D=0.34s
R=70039, TT=RebTrOw, NTX=20, TB=1748794528.74s, D=0.27s
R=70039, TT=RebCr, NTX=60, TB=1748794529.01s, D=0.32s
R=70040, TT=RebTrOw, NTX=20, TB=1748794530.94s, D=0.27s
