R=10001, TT=TinTrOw, NTX=5, TB=1748657680.39s, D=0.19s
R=10001, TT=TinCr, NTX=7, TB=1748657680.58s, D=0.19s
R=10002, TT=TinTrOw, NTX=5, TB=1748657682.59s, D=0.18s
R=10002, TT=TinCr, NTX=10, TB=1748657682.77s, D=0.24s
R=10003, TT=TinTrOw, NTX=5, TB=1748657684.67s, D=0.15s
R=10003, TT=TinCr, NTX=10, TB=1748657684.82s, D=0.25s
R=10004, TT=TinTrOw, NTX=5, TB=1748657686.96s, D=0.24s
R=10004, TT=TinCr, NTX=13, TB=1748657687.21s, D=0.31s
R=10005, TT=TinTrOw, NTX=5, TB=1748657689.21s, D=0.20s
R=10005, TT=TinCr, NTX=8, TB=1748657689.41s, D=0.34s
R=10006, TT=TinTrOw, NTX=5, TB=1748657691.52s, D=0.21s
R=10006, TT=TinCr, NTX=10, TB=1748657691.73s, D=0.23s
R=10007, TT=TinTrOw, NTX=5, TB=1748657694.04s, D=0.23s
R=10007, TT=TinCr, NTX=12, TB=1748657694.28s, D=0.16s
R=10008, TT=TinTrOw, NTX=5, TB=1748657696.03s, D=0.28s
R=10008, TT=TinCr, NTX=10, TB=1748657696.31s, D=0.24s
R=10009, TT=TinTrOw, NTX=5, TB=1748657698.49s, D=0.23s
R=10009, TT=TinCr, NTX=11, TB=1748657698.72s, D=0.31s
R=10010, TT=TinTrOw, NTX=5, TB=1748657700.73s, D=0.23s
R=10010, TT=TinCr, NTX=10, TB=1748657700.96s, D=0.25s
R=10011, TT=TinTrOw, NTX=5, TB=1748657702.99s, D=0.23s
R=10011, TT=TinCr, NTX=11, TB=1748657703.22s, D=0.45s
R=10012, TT=TinTrOw, NTX=5, TB=1748657705.43s, D=0.23s
R=10012, TT=TinCr, NTX=8, TB=1748657705.66s, D=0.25s
R=10013, TT=TinTrOw, NTX=5, TB=1748657707.70s, D=0.19s
R=10013, TT=TinCr, NTX=9, TB=1748657707.89s, D=0.28s
R=10014, TT=TinTrOw, NTX=5, TB=1748657709.90s, D=0.16s
R=10014, TT=TinCr, NTX=10, TB=1748657710.06s, D=0.24s
R=10015, TT=TinTrOw, NTX=5, TB=1748657712.26s, D=0.22s
R=10015, TT=TinCr, NTX=12, TB=1748657712.48s, D=0.30s
R=10016, TT=TinTrOw, NTX=5, TB=1748657714.45s, D=0.23s
R=10016, TT=TinCr, NTX=7, TB=1748657714.68s, D=0.27s
R=10017, TT=TinTrOw, NTX=5, TB=1748657716.62s, D=0.18s
R=10017, TT=TinCr, NTX=10, TB=1748657716.80s, D=0.26s
R=10018, TT=TinTrOw, NTX=5, TB=1748657718.89s, D=0.19s
R=10018, TT=TinCr, NTX=13, TB=1748657719.08s, D=0.26s
R=10019, TT=TinTrOw, NTX=5, TB=1748657721.27s, D=0.20s
R=10019, TT=TinCr, NTX=8, TB=1748657721.47s, D=0.27s
R=10020, TT=TinTrOw, NTX=5, TB=1748657723.50s, D=0.21s
R=10020, TT=TinCr, NTX=7, TB=1748657723.71s, D=0.33s
R=10021, TT=TinTrOw, NTX=5, TB=1748657725.77s, D=0.22s
R=10021, TT=TinCr, NTX=9, TB=1748657725.99s, D=0.30s
R=10022, TT=TinTrOw, NTX=5, TB=1748657727.95s, D=0.23s
R=10022, TT=TinCr, NTX=9, TB=1748657728.18s, D=0.23s
R=10023, TT=TinTrOw, NTX=5, TB=1748657730.18s, D=0.26s
R=10023, TT=TinCr, NTX=12, TB=1748657730.44s, D=0.28s
R=10024, TT=TinTrOw, NTX=5, TB=1748657732.31s, D=0.14s
R=10024, TT=TinCr, NTX=8, TB=1748657732.45s, D=0.24s
R=10025, TT=TinTrOw, NTX=5, TB=1748657734.47s, D=0.14s
R=10025, TT=TinCr, NTX=7, TB=1748657734.61s, D=0.19s
R=10026, TT=TinTrOw, NTX=5, TB=1748657736.87s, D=0.21s
R=10026, TT=TinCr, NTX=10, TB=1748657737.08s, D=0.25s
R=10027, TT=TinTrOw, NTX=5, TB=1748657739.09s, D=0.23s
R=10027, TT=TinCr, NTX=8, TB=1748657739.32s, D=0.27s
R=10028, TT=TinTrOw, NTX=5, TB=1748657741.35s, D=0.22s
R=10028, TT=TinCr, NTX=12, TB=1748657741.56s, D=0.30s
R=10029, TT=TinTrOw, NTX=5, TB=1748657743.54s, D=0.23s
R=10029, TT=TinCr, NTX=9, TB=1748657743.77s, D=0.24s
R=10030, TT=TinTrOw, NTX=5, TB=1748657745.74s, D=0.21s
R=10030, TT=TinCr, NTX=12, TB=1748657745.95s, D=0.29s
R=10031, TT=TinTrOw, NTX=5, TB=1748657748.06s, D=0.13s
R=10031, TT=TinCr, NTX=11, TB=1748657748.20s, D=0.31s
R=10032, TT=TinTrOw, NTX=5, TB=1748657750.36s, D=0.23s
R=10032, TT=TinCr, NTX=10, TB=1748657750.59s, D=0.33s
R=10033, TT=TinTrOw, NTX=5, TB=1748657752.63s, D=0.24s
R=10033, TT=TinCr, NTX=10, TB=1748657752.88s, D=0.33s
R=10034, TT=TinTrOw, NTX=5, TB=1748657755.20s, D=0.18s
R=10034, TT=TinCr, NTX=8, TB=1748657755.38s, D=0.17s
R=10035, TT=TinTrOw, NTX=5, TB=1748657757.11s, D=0.16s
R=10035, TT=TinCr, NTX=11, TB=1748657757.27s, D=0.26s
R=10036, TT=TinTrOw, NTX=5, TB=1748657759.41s, D=0.23s
R=10036, TT=TinCr, NTX=9, TB=1748657759.63s, D=0.33s
R=10037, TT=TinTrOw, NTX=5, TB=1748657761.64s, D=0.25s
R=10037, TT=TinCr, NTX=9, TB=1748657761.89s, D=0.30s
R=10038, TT=TinTrOw, NTX=5, TB=1748657763.86s, D=0.17s
R=10038, TT=TinCr, NTX=11, TB=1748657764.03s, D=0.24s
R=10039, TT=TinTrOw, NTX=5, TB=1748657766.32s, D=0.22s
R=10039, TT=TinCr, NTX=10, TB=1748657766.54s, D=0.28s
R=10040, TT=TinTrOw, NTX=5, TB=1748657768.60s, D=0.17s
R=10040, TT=TinCr, NTX=8, TB=1748657768.76s, D=0.24s
R=10041, TT=TinTrOw, NTX=5, TB=1748657770.86s, D=0.17s
R=10041, TT=TinCr, NTX=8, TB=1748657771.03s, D=0.25s
R=10042, TT=TinTrOw, NTX=5, TB=1748657773.12s, D=0.17s
R=10042, TT=TinCr, NTX=13, TB=1748657773.29s, D=0.27s
R=10043, TT=TinTrOw, NTX=5, TB=1748657775.39s, D=0.23s
R=10043, TT=TinCr, NTX=12, TB=1748657775.61s, D=0.22s
R=10044, TT=TinTrOw, NTX=5, TB=1748657777.54s, D=0.14s
R=10044, TT=TinCr, NTX=10, TB=1748657777.68s, D=0.28s
R=10045, TT=TinTrOw, NTX=5, TB=1748657779.84s, D=0.24s
R=10045, TT=TinCr, NTX=12, TB=1748657780.08s, D=0.34s
R=10046, TT=TinTrOw, NTX=5, TB=1748657782.30s, D=0.23s
R=10046, TT=TinCr, NTX=9, TB=1748657782.54s, D=0.19s
R=10047, TT=TinTrOw, NTX=5, TB=1748657784.50s, D=0.24s
R=10047, TT=TinCr, NTX=13, TB=1748657784.74s, D=0.32s
R=10048, TT=TinTrOw, NTX=5, TB=1748657786.80s, D=0.21s
R=10048, TT=TinCr, NTX=8, TB=1748657787.00s, D=0.31s
R=10049, TT=TinTrOw, NTX=5, TB=1748657789.02s, D=0.23s
R=10049, TT=TinCr, NTX=7, TB=1748657789.25s, D=0.31s
R=10050, TT=TinTrOw, NTX=5, TB=1748657791.34s, D=0.23s
R=10050, TT=TinCr, NTX=12, TB=1748657791.57s, D=0.31s
R=10051, TT=TinTrOw, NTX=5, TB=1748657793.55s, D=0.15s
R=10051, TT=TinCr, NTX=9, TB=1748657793.70s, D=0.26s
R=10052, TT=TinTrOw, NTX=5, TB=1748657795.77s, D=0.22s
R=10052, TT=TinCr, NTX=11, TB=1748657795.99s, D=0.37s
R=10053, TT=TinTrOw, NTX=5, TB=1748657798.11s, D=0.24s
R=10053, TT=TinCr, NTX=11, TB=1748657798.35s, D=0.32s
R=10054, TT=TinTrOw, NTX=5, TB=1748657800.33s, D=0.20s
R=10054, TT=TinCr, NTX=8, TB=1748657800.54s, D=0.26s
R=10055, TT=TinTrOw, NTX=5, TB=1748657802.63s, D=0.21s
R=10055, TT=TinCr, NTX=9, TB=1748657802.84s, D=0.29s
R=10056, TT=TinTrOw, NTX=5, TB=1748657804.79s, D=0.20s
R=10056, TT=TinCr, NTX=9, TB=1748657804.99s, D=0.36s
R=10057, TT=TinTrOw, NTX=5, TB=1748657807.13s, D=0.22s
R=10057, TT=TinCr, NTX=9, TB=1748657807.34s, D=0.20s
R=10058, TT=TinTrOw, NTX=5, TB=1748657809.19s, D=0.16s
R=10058, TT=TinCr, NTX=6, TB=1748657809.34s, D=0.22s
R=10059, TT=TinTrOw, NTX=5, TB=1748657811.52s, D=0.20s
R=10059, TT=TinCr, NTX=10, TB=1748657811.72s, D=0.23s
R=10060, TT=TinTrOw, NTX=5, TB=1748657813.69s, D=0.15s
R=10060, TT=TinCr, NTX=11, TB=1748657813.84s, D=0.27s
R=10061, TT=TinTrOw, NTX=5, TB=1748657816.36s, D=0.26s
R=10061, TT=TinCr, NTX=10, TB=1748657816.61s, D=0.20s
R=10062, TT=TinTrOw, NTX=5, TB=1748657818.34s, D=0.21s
R=10062, TT=TinCr, NTX=8, TB=1748657818.55s, D=0.37s
R=10063, TT=TinTrOw, NTX=5, TB=1748657820.65s, D=0.25s
R=10063, TT=TinCr, NTX=11, TB=1748657820.90s, D=0.33s
R=10064, TT=TinTrOw, NTX=5, TB=1748657822.97s, D=0.26s
R=10064, TT=TinCr, NTX=9, TB=1748657823.23s, D=0.40s
R=10065, TT=TinTrOw, NTX=5, TB=1748657825.31s, D=0.24s
R=10065, TT=TinCr, NTX=13, TB=1748657825.55s, D=0.23s
R=10066, TT=TinTrOw, NTX=5, TB=1748657827.63s, D=0.22s
R=10066, TT=TinCr, NTX=13, TB=1748657827.84s, D=0.32s
R=10067, TT=TinTrOw, NTX=5, TB=1748657830.31s, D=0.20s
R=10067, TT=TinCr, NTX=9, TB=1748657830.51s, D=0.42s
R=10068, TT=TinTrOw, NTX=5, TB=1748657832.60s, D=0.21s
R=10068, TT=TinCr, NTX=11, TB=1748657832.81s, D=0.22s
R=10069, TT=TinTrOw, NTX=5, TB=1748657834.78s, D=0.22s
R=10069, TT=TinCr, NTX=9, TB=1748657835.01s, D=0.32s
R=10070, TT=TinTrOw, NTX=5, TB=1748657837.12s, D=0.23s
R=10070, TT=TinCr, NTX=13, TB=1748657837.35s, D=0.38s
R=10071, TT=TinTrOw, NTX=5, TB=1748657839.31s, D=0.20s
R=10071, TT=TinCr, NTX=7, TB=1748657839.51s, D=0.23s
R=10072, TT=TinTrOw, NTX=5, TB=1748657841.84s, D=0.21s
R=10072, TT=TinCr, NTX=8, TB=1748657842.05s, D=0.30s
R=10073, TT=TinTrOw, NTX=5, TB=1748657844.05s, D=0.20s
R=10073, TT=TinCr, NTX=14, TB=1748657844.25s, D=0.30s
R=10074, TT=TinTrOw, NTX=5, TB=1748657846.37s, D=0.22s
R=10074, TT=TinCr, NTX=10, TB=1748657846.59s, D=0.22s
R=10075, TT=TinTrOw, NTX=5, TB=1748657848.59s, D=0.23s
R=10075, TT=TinCr, NTX=7, TB=1748657848.82s, D=0.27s
R=10076, TT=TinTrOw, NTX=5, TB=1748657850.84s, D=0.25s
R=10076, TT=TinCr, NTX=8, TB=1748657851.10s, D=0.24s
R=10077, TT=TinTrOw, NTX=5, TB=1748657853.06s, D=0.22s
R=10077, TT=TinCr, NTX=9, TB=1748657853.29s, D=0.28s
R=10078, TT=TinTrOw, NTX=5, TB=1748657855.31s, D=0.19s
R=10078, TT=TinCr, NTX=10, TB=1748657855.51s, D=0.28s
R=10079, TT=TinTrOw, NTX=5, TB=1748657857.54s, D=0.17s
R=10079, TT=TinCr, NTX=11, TB=1748657857.71s, D=0.23s
R=10080, TT=TinTrOw, NTX=5, TB=1748657859.85s, D=0.21s
R=10080, TT=TinCr, NTX=10, TB=1748657860.06s, D=0.26s
R=10081, TT=TinTrOw, NTX=5, TB=1748657862.03s, D=0.23s
R=10081, TT=TinCr, NTX=9, TB=1748657862.26s, D=0.30s
R=10082, TT=TinTrOw, NTX=5, TB=1748657864.30s, D=0.23s
R=10082, TT=TinCr, NTX=12, TB=1748657864.53s, D=0.22s
R=10083, TT=TinTrOw, NTX=5, TB=1748657866.52s, D=0.25s
R=10083, TT=TinCr, NTX=9, TB=1748657866.78s, D=0.27s
R=10084, TT=TinTrOw, NTX=5, TB=1748657868.74s, D=0.20s
R=10084, TT=TinCr, NTX=13, TB=1748657868.94s, D=0.26s
R=10085, TT=TinTrOw, NTX=5, TB=1748657870.97s, D=0.22s
R=10085, TT=TinCr, NTX=13, TB=1748657871.19s, D=0.24s
R=10086, TT=TinTrOw, NTX=5, TB=1748657873.19s, D=0.22s
R=10086, TT=TinCr, NTX=9, TB=1748657873.41s, D=0.33s
R=10087, TT=TinTrOw, NTX=5, TB=1748657875.39s, D=0.19s
R=10087, TT=TinCr, NTX=11, TB=1748657875.58s, D=0.28s
R=10088, TT=TinTrOw, NTX=5, TB=1748657877.96s, D=0.23s
R=10088, TT=TinCr, NTX=9, TB=1748657878.18s, D=0.20s
R=10089, TT=TinTrOw, NTX=5, TB=1748657880.13s, D=0.22s
R=10089, TT=TinCr, NTX=8, TB=1748657880.35s, D=0.31s
R=10090, TT=TinTrOw, NTX=5, TB=1748657882.38s, D=0.28s
R=10090, TT=TinCr, NTX=11, TB=1748657882.66s, D=0.50s
R=10091, TT=TinTrOw, NTX=5, TB=1748657884.86s, D=0.20s
R=10091, TT=TinCr, NTX=13, TB=1748657885.06s, D=0.32s
R=10092, TT=TinTrOw, NTX=5, TB=1748657887.01s, D=0.16s
R=10092, TT=TinCr, NTX=6, TB=1748657887.18s, D=0.31s
R=10093, TT=TinTrOw, NTX=5, TB=1748657889.49s, D=0.17s
R=10093, TT=TinCr, NTX=8, TB=1748657889.67s, D=0.25s
R=10094, TT=TinTrOw, NTX=5, TB=1748657891.75s, D=0.18s
R=10094, TT=TinCr, NTX=11, TB=1748657891.93s, D=0.30s
R=10095, TT=TinTrOw, NTX=5, TB=1748657894.01s, D=0.19s
R=10095, TT=TinCr, NTX=9, TB=1748657894.20s, D=0.27s
R=10096, TT=TinTrOw, NTX=5, TB=1748657896.15s, D=0.21s
R=10096, TT=TinCr, NTX=11, TB=1748657896.37s, D=0.29s
