R=70001, TT=StCr, NTX=25, TB=1748794445.13s, D=0.25s
R=70002, TT=StCr, NTX=25, TB=1748794447.28s, D=0.21s
R=70003, TT=StCr, NTX=25, TB=1748794449.96s, D=0.23s
R=70004, TT=StCr, NTX=25, TB=1748794451.99s, D=0.26s
R=70005, TT=StCr, NTX=25, TB=1748794454.02s, D=0.15s
R=70006, TT=StCr, NTX=25, TB=1748794456.37s, D=0.26s
R=70007, TT=StCr, NTX=25, TB=1748794458.54s, D=0.28s
R=70008, TT=StCr, NTX=25, TB=1748794460.51s, D=0.16s
R=70009, TT=StCr, NTX=25, TB=1748794462.86s, D=0.24s
R=70010, TT=StCr, NTX=25, TB=1748794465.11s, D=0.28s
R=70011, TT=StCr, NTX=25, TB=1748794467.09s, D=0.16s
R=70012, TT=StCr, NTX=25, TB=1748794469.43s, D=0.36s
R=70013, TT=StCr, NTX=25, TB=1748794471.64s, D=0.26s
R=70014, TT=StCr, NTX=25, TB=1748794473.76s, D=0.25s
R=70015, TT=StCr, NTX=25, TB=1748794475.86s, D=0.18s
R=70016, TT=StCr, NTX=25, TB=1748794478.13s, D=0.27s
R=70017, TT=StCr, NTX=25, TB=1748794480.33s, D=0.32s
R=70018, TT=StCr, NTX=25, TB=1748794482.48s, D=0.24s
R=70019, TT=StCr, NTX=25, TB=1748794484.62s, D=0.21s
R=70020, TT=StCr, NTX=25, TB=1748794486.80s, D=0.22s
R=70021, TT=StCr, NTX=25, TB=1748794488.80s, D=0.17s
R=70022, TT=StCr, NTX=25, TB=1748794491.09s, D=0.27s
R=70023, TT=StCr, NTX=25, TB=1748794493.31s, D=0.26s
R=70024, TT=StCr, NTX=25, TB=1748794495.53s, D=0.27s
R=70025, TT=StCr, NTX=25, TB=1748794497.68s, D=0.23s
R=70026, TT=StCr, NTX=25, TB=1748794499.89s, D=0.31s
R=70027, TT=StCr, NTX=25, TB=1748794501.91s, D=0.16s
R=70028, TT=StCr, NTX=25, TB=1748794504.41s, D=0.18s
R=70029, TT=StCr, NTX=25, TB=1748794506.69s, D=0.25s
R=70030, TT=StCr, NTX=25, TB=1748794508.88s, D=0.18s
R=70031, TT=StCr, NTX=25, TB=1748794511.22s, D=0.24s
R=70032, TT=StCr, NTX=25, TB=1748794513.45s, D=0.26s
R=70033, TT=StCr, NTX=25, TB=1748794515.66s, D=0.23s
R=70034, TT=StCr, NTX=25, TB=1748794517.90s, D=0.28s
R=70035, TT=StCr, NTX=25, TB=1748794520.07s, D=0.24s
R=70036, TT=StCr, NTX=25, TB=1748794522.17s, D=0.18s
R=70037, TT=StCr, NTX=25, TB=1748794524.35s, D=0.21s
R=70038, TT=StCr, NTX=25, TB=1748794526.54s, D=0.23s
R=70039, TT=StCr, NTX=25, TB=1748794528.63s, D=0.20s
R=70040, TT=StCr, NTX=25, TB=1748794530.94s, D=0.29s
R=70041, TT=StCr, NTX=25, TB=1748794533.12s, D=0.28s
R=70042, TT=StCr, NTX=25, TB=1748794535.20s, D=0.17s
R=70043, TT=StCr, NTX=25, TB=1748794537.41s, D=0.22s
R=70044, TT=StCr, NTX=25, TB=1748794539.59s, D=0.27s
R=70045, TT=StCr, NTX=25, TB=1748794541.84s, D=0.28s
R=70046, TT=StCr, NTX=25, TB=1748794544.02s, D=0.25s
R=70047, TT=StCr, NTX=25, TB=1748794546.18s, D=0.23s
R=70048, TT=StCr, NTX=25, TB=1748794548.46s, D=0.27s
R=70049, TT=StCr, NTX=25, TB=1748794550.66s, D=0.27s
R=70050, TT=StCr, NTX=25, TB=1748794552.40s, D=0.14s
R=70051, TT=StCr, NTX=25, TB=1748794554.99s, D=0.30s
R=70052, TT=StCr, NTX=25, TB=1748794557.18s, D=0.25s
R=70053, TT=StCr, NTX=25, TB=1748794559.32s, D=0.18s
R=70054, TT=StCr, NTX=25, TB=1748794561.42s, D=0.16s
R=70055, TT=StCr, NTX=25, TB=1748794564.18s, D=0.25s
R=70056, TT=StCr, NTX=25, TB=1748794566.18s, D=0.25s
R=70057, TT=StCr, NTX=25, TB=1748794568.68s, D=0.18s
R=70058, TT=StCr, NTX=25, TB=1748794571.10s, D=0.20s
R=70059, TT=StCr, NTX=25, TB=1748794573.40s, D=0.25s
R=70060, TT=StCr, NTX=25, TB=1748794575.36s, D=0.16s
R=70061, TT=StCr, NTX=25, TB=1748794577.73s, D=0.26s
R=70062, TT=StCr, NTX=25, TB=1748794579.86s, D=0.23s
R=70063, TT=StCr, NTX=25, TB=1748794582.05s, D=0.27s
R=70064, TT=StCr, NTX=25, TB=1748794584.22s, D=0.24s
R=70065, TT=StCr, NTX=25, TB=1748794586.44s, D=0.25s
R=70066, TT=StCr, NTX=25, TB=1748794588.61s, D=0.21s
R=70067, TT=StCr, NTX=25, TB=1748794590.75s, D=0.21s
R=70068, TT=StCr, NTX=25, TB=1748794592.99s, D=0.26s
R=70069, TT=StCr, NTX=25, TB=1748794595.15s, D=0.26s
R=70070, TT=StCr, NTX=25, TB=1748794597.38s, D=0.26s
R=70071, TT=StCr, NTX=25, TB=1748794599.55s, D=0.27s
R=70072, TT=StCr, NTX=25, TB=1748794601.65s, D=0.21s
R=70073, TT=StCr, NTX=25, TB=1748794603.94s, D=0.30s
R=70074, TT=StCr, NTX=25, TB=1748794606.01s, D=0.23s
R=70075, TT=StCr, NTX=25, TB=1748794608.33s, D=0.20s
R=70076, TT=StCr, NTX=25, TB=1748794610.46s, D=0.22s
R=70077, TT=StCr, NTX=25, TB=1748794612.70s, D=0.23s
R=70078, TT=StCr, NTX=25, TB=1748794614.81s, D=0.19s
R=70079, TT=StCr, NTX=25, TB=1748794617.06s, D=0.27s
R=70080, TT=StCr, NTX=25, TB=1748794618.93s, D=0.15s
R=70081, TT=StCr, NTX=25, TB=1748794621.43s, D=0.28s
R=70082, TT=StCr, NTX=25, TB=1748794624.26s, D=0.18s
R=70083, TT=StCr, NTX=25, TB=1748794625.95s, D=0.16s
R=70084, TT=StCr, NTX=25, TB=1748794628.48s, D=0.15s
R=70085, TT=StCr, NTX=25, TB=1748794630.80s, D=0.21s
R=70086, TT=StCr, NTX=25, TB=1748794633.05s, D=0.28s
R=70087, TT=StCr, NTX=25, TB=1748794635.11s, D=0.17s
R=70088, TT=StCr, NTX=25, TB=1748794637.31s, D=0.24s
R=70089, TT=StCr, NTX=25, TB=1748794639.53s, D=0.27s
R=70090, TT=StCr, NTX=25, TB=1748794641.64s, D=0.27s
R=70091, TT=StCr, NTX=25, TB=1748794643.81s, D=0.20s
R=70092, TT=StCr, NTX=25, TB=1748794646.06s, D=0.23s
R=70093, TT=StCr, NTX=25, TB=1748794648.21s, D=0.25s
R=70094, TT=StCr, NTX=25, TB=1748794650.34s, D=0.20s
R=70095, TT=StCr, NTX=25, TB=1748794652.62s, D=0.25s
R=70096, TT=StCr, NTX=25, TB=1748794654.77s, D=0.24s
R=70097, TT=StCr, NTX=25, TB=1748794656.77s, D=0.16s
R=70098, TT=StCr, NTX=25, TB=1748794659.09s, D=0.23s
R=70099, TT=StCr, NTX=25, TB=1748794661.26s, D=0.27s
R=70100, TT=StCr, NTX=25, TB=1748794663.40s, D=0.26s
R=70101, TT=StCr, NTX=25, TB=1748794665.24s, D=0.15s
R=70102, TT=StCr, NTX=25, TB=1748794667.79s, D=0.16s
R=70103, TT=StCr, NTX=25, TB=1748794670.02s, D=0.17s
R=70104, TT=StCr, NTX=25, TB=1748794672.23s, D=0.25s
R=70105, TT=StCr, NTX=25, TB=1748794674.45s, D=0.25s
R=70106, TT=StCr, NTX=25, TB=1748794676.60s, D=0.24s
R=70107, TT=StCr, NTX=25, TB=1748794678.60s, D=0.17s
R=70108, TT=StCr, NTX=25, TB=1748794680.95s, D=0.30s
R=70109, TT=StCr, NTX=25, TB=1748794683.14s, D=0.27s
R=70110, TT=StCr, NTX=25, TB=1748794685.70s, D=0.39s
R=70111, TT=StCr, NTX=25, TB=1748794687.95s, D=0.25s
R=70112, TT=StCr, NTX=25, TB=1748794690.09s, D=0.17s
R=70113, TT=StCr, NTX=25, TB=1748794692.73s, D=0.16s
R=70114, TT=StCr, NTX=25, TB=1748794695.06s, D=0.26s
R=70115, TT=StCr, NTX=25, TB=1748794697.16s, D=0.19s
R=70116, TT=StCr, NTX=25, TB=1748794699.28s, D=0.17s
R=70117, TT=StCr, NTX=25, TB=1748794701.58s, D=0.26s
R=70118, TT=StCr, NTX=25, TB=1748794703.78s, D=0.26s
R=70119, TT=StCr, NTX=25, TB=1748794706.01s, D=0.27s
R=70120, TT=StCr, NTX=25, TB=1748794708.19s, D=0.24s
R=70121, TT=StCr, NTX=25, TB=1748794710.37s, D=0.24s
R=70122, TT=StCr, NTX=25, TB=1748794712.55s, D=0.25s
R=70123, TT=StCr, NTX=25, TB=1748794714.71s, D=0.28s
R=70124, TT=StCr, NTX=25, TB=1748794716.82s, D=0.26s
R=70125, TT=StCr, NTX=25, TB=1748794718.87s, D=0.16s
R=70126, TT=StCr, NTX=25, TB=1748794721.08s, D=0.22s
R=70127, TT=StCr, NTX=25, TB=1748794723.32s, D=0.27s
R=70128, TT=StCr, NTX=25, TB=1748794725.32s, D=0.17s
R=70129, TT=StCr, NTX=25, TB=1748794727.73s, D=0.27s
R=70130, TT=StCr, NTX=25, TB=1748794729.80s, D=0.24s
R=70131, TT=StCr, NTX=25, TB=1748794731.87s, D=0.18s
R=70132, TT=StCr, NTX=25, TB=1748794734.15s, D=0.25s
R=70133, TT=StCr, NTX=25, TB=1748794736.33s, D=0.28s
R=70134, TT=StCr, NTX=25, TB=1748794738.49s, D=0.21s
R=70135, TT=StCr, NTX=25, TB=1748794740.66s, D=0.29s
R=70136, TT=StCr, NTX=25, TB=1748794742.78s, D=0.26s
R=70137, TT=StCr, NTX=25, TB=1748794745.20s, D=0.29s
R=70138, TT=StCr, NTX=25, TB=1748794747.43s, D=0.24s
R=70139, TT=StCr, NTX=25, TB=1748794749.63s, D=0.16s
R=70140, TT=StCr, NTX=25, TB=1748794751.71s, D=0.17s
R=70141, TT=StCr, NTX=25, TB=1748794754.20s, D=0.28s
R=70142, TT=StCr, NTX=25, TB=1748794756.19s, D=0.17s
R=70143, TT=StCr, NTX=25, TB=1748794758.43s, D=0.22s
R=70144, TT=StCr, NTX=25, TB=1748794760.46s, D=0.16s
R=70145, TT=StCr, NTX=25, TB=1748794762.64s, D=0.16s
R=70146, TT=StCr, NTX=25, TB=1748794765.01s, D=0.26s
R=70147, TT=StCr, NTX=25, TB=1748794767.15s, D=0.29s
R=70148, TT=StCr, NTX=25, TB=1748794769.26s, D=0.24s
R=70149, TT=StCr, NTX=25, TB=1748794771.46s, D=0.26s
R=70150, TT=StCr, NTX=25, TB=1748794773.65s, D=0.30s
R=70151, TT=StCr, NTX=25, TB=1748794775.51s, D=0.16s
R=70152, TT=StCr, NTX=25, TB=1748794777.89s, D=0.19s
R=70153, TT=StCr, NTX=25, TB=1748794779.93s, D=0.19s
R=70154, TT=StCr, NTX=25, TB=1748794782.20s, D=0.18s
R=70155, TT=StCr, NTX=25, TB=1748794784.37s, D=0.17s
R=70156, TT=StCr, NTX=25, TB=1748794786.65s, D=0.25s
R=70157, TT=StCr, NTX=25, TB=1748794788.79s, D=0.21s
R=70158, TT=StCr, NTX=25, TB=1748794790.94s, D=0.27s
R=70159, TT=StCr, NTX=25, TB=1748794793.11s, D=0.26s
R=70160, TT=StCr, NTX=25, TB=1748794795.29s, D=0.19s
R=70161, TT=StCr, NTX=25, TB=1748794797.52s, D=0.25s
R=70162, TT=StCr, NTX=25, TB=1748794799.66s, D=0.26s
R=70163, TT=StCr, NTX=25, TB=1748794801.92s, D=0.29s
R=70164, TT=StCr, NTX=25, TB=1748794804.09s, D=0.26s
R=70165, TT=StCr, NTX=25, TB=1748794806.29s, D=0.19s
R=70166, TT=StCr, NTX=25, TB=1748794808.79s, D=0.19s
R=70167, TT=StCr, NTX=25, TB=1748794811.02s, D=0.19s
R=70168, TT=StCr, NTX=25, TB=1748794813.57s, D=0.27s
R=70169, TT=StCr, NTX=25, TB=1748794815.66s, D=0.31s
R=70170, TT=StCr, NTX=25, TB=1748794817.72s, D=0.18s
R=70171, TT=StCr, NTX=25, TB=1748794819.96s, D=0.31s
R=70172, TT=StCr, NTX=25, TB=1748794821.84s, D=0.17s
R=70173, TT=StCr, NTX=25, TB=1748794824.28s, D=0.30s
R=70174, TT=StCr, NTX=25, TB=1748794826.49s, D=0.28s
R=70175, TT=StCr, NTX=25, TB=1748794828.52s, D=0.25s
R=70176, TT=StCr, NTX=25, TB=1748794830.72s, D=0.25s
R=70177, TT=StCr, NTX=25, TB=1748794832.89s, D=0.22s
R=70178, TT=StCr, NTX=25, TB=1748794834.93s, D=0.17s
R=70179, TT=StCr, NTX=25, TB=1748794837.20s, D=0.17s
R=70180, TT=StCr, NTX=25, TB=1748794839.31s, D=0.17s
R=70181, TT=StCr, NTX=25, TB=1748794841.55s, D=0.23s
R=70182, TT=StCr, NTX=25, TB=1748794843.73s, D=0.30s
R=70183, TT=StCr, NTX=25, TB=1748794845.96s, D=0.27s
R=70184, TT=StCr, NTX=25, TB=1748794848.32s, D=0.22s
R=70185, TT=StCr, NTX=25, TB=1748794850.46s, D=0.26s
R=70186, TT=StCr, NTX=25, TB=1748794852.66s, D=0.25s
R=70187, TT=StCr, NTX=25, TB=1748794854.68s, D=0.15s
R=70188, TT=StCr, NTX=25, TB=1748794856.93s, D=0.21s
R=70189, TT=StCr, NTX=25, TB=1748794859.15s, D=0.16s
R=70190, TT=StCr, NTX=25, TB=1748794861.25s, D=0.16s
R=70191, TT=StCr, NTX=25, TB=1748794864.00s, D=0.21s
R=70192, TT=StCr, NTX=25, TB=1748794866.01s, D=0.16s
R=70193, TT=StCr, NTX=25, TB=1748794868.49s, D=0.21s
R=70194, TT=StCr, NTX=25, TB=1748794870.59s, D=0.17s
R=70195, TT=StCr, NTX=25, TB=1748794872.74s, D=0.17s
R=70196, TT=StCr, NTX=25, TB=1748794875.07s, D=0.28s
R=70197, TT=StCr, NTX=25, TB=1748794876.94s, D=0.15s
R=70198, TT=StCr, NTX=25, TB=1748794879.41s, D=0.27s
R=70199, TT=StCr, NTX=25, TB=1748794881.57s, D=0.27s
R=70200, TT=StCr, NTX=25, TB=1748794883.56s, D=0.16s
R=70201, TT=StCr, NTX=25, TB=1748794885.82s, D=0.28s
R=70202, TT=StCr, NTX=25, TB=1748794888.00s, D=0.26s
R=70203, TT=StCr, NTX=25, TB=1748794890.05s, D=0.18s
R=70204, TT=StCr, NTX=25, TB=1748794892.32s, D=0.25s
