R=60001, TT=StCr, NTX=25, TB=1748771843.75s, D=0.30s
R=60002, TT=StCr, NTX=25, TB=1748771845.92s, D=0.28s
R=60003, TT=StCr, NTX=25, TB=1748771847.96s, D=0.15s
R=60004, TT=StCr, NTX=25, TB=1748771850.30s, D=0.26s
R=60005, TT=StCr, NTX=25, TB=1748771852.47s, D=0.26s
R=60006, TT=StCr, NTX=25, TB=1748771854.66s, D=0.21s
R=60007, TT=StCr, NTX=25, TB=1748771856.86s, D=0.24s
R=60008, TT=StCr, NTX=25, TB=1748771858.99s, D=0.22s
R=60009, TT=StCr, NTX=25, TB=1748771861.16s, D=0.21s
R=60010, TT=StCr, NTX=25, TB=1748771863.39s, D=0.22s
R=60011, TT=StCr, NTX=25, TB=1748771865.47s, D=0.18s
R=60012, TT=StCr, NTX=25, TB=1748771867.88s, D=0.29s
R=60013, TT=StCr, NTX=25, TB=1748771869.86s, D=0.22s
R=60014, TT=StCr, NTX=25, TB=1748771872.03s, D=0.26s
R=60015, TT=StCr, NTX=25, TB=1748771874.20s, D=0.27s
R=60016, TT=StCr, NTX=25, TB=1748771876.37s, D=0.26s
R=60017, TT=StCr, NTX=25, TB=1748771878.62s, D=0.24s
R=60018, TT=StCr, NTX=25, TB=1748771880.75s, D=0.17s
R=60019, TT=StCr, NTX=25, TB=1748771882.97s, D=0.31s
R=60020, TT=StCr, NTX=25, TB=1748771885.30s, D=0.29s
R=60021, TT=StCr, NTX=25, TB=1748771887.53s, D=0.27s
R=60022, TT=StCr, NTX=25, TB=1748771889.84s, D=0.26s
R=60023, TT=StCr, NTX=25, TB=1748771892.00s, D=0.26s
R=60024, TT=StCr, NTX=25, TB=1748771894.18s, D=0.26s
R=60025, TT=StCr, NTX=25, TB=1748771896.27s, D=0.24s
R=60026, TT=StCr, NTX=25, TB=1748771898.53s, D=0.27s
R=60027, TT=StCr, NTX=25, TB=1748771900.62s, D=0.17s
R=60028, TT=StCr, NTX=25, TB=1748771902.88s, D=0.19s
R=60029, TT=StCr, NTX=25, TB=1748771904.87s, D=0.16s
R=60030, TT=StCr, NTX=25, TB=1748771907.30s, D=0.29s
R=60031, TT=StCr, NTX=25, TB=1748771909.41s, D=0.26s
R=60032, TT=StCr, NTX=25, TB=1748771911.63s, D=0.24s
R=60033, TT=StCr, NTX=25, TB=1748771913.72s, D=0.14s
R=60034, TT=StCr, NTX=25, TB=1748771915.93s, D=0.23s
R=60035, TT=StCr, NTX=25, TB=1748771917.93s, D=0.16s
R=60036, TT=StCr, NTX=25, TB=1748771920.23s, D=0.25s
R=60037, TT=StCr, NTX=25, TB=1748771922.27s, D=0.15s
R=60038, TT=StCr, NTX=25, TB=1748771924.59s, D=0.33s
R=60039, TT=StCr, NTX=25, TB=1748771926.59s, D=0.15s
R=60040, TT=StCr, NTX=25, TB=1748771928.88s, D=0.24s
R=60041, TT=StCr, NTX=25, TB=1748771930.97s, D=0.22s
R=60042, TT=StCr, NTX=25, TB=1748771933.10s, D=0.16s
R=60043, TT=StCr, NTX=25, TB=1748771935.26s, D=0.20s
R=60044, TT=StCr, NTX=25, TB=1748771937.51s, D=0.27s
R=60045, TT=StCr, NTX=25, TB=1748771939.64s, D=0.29s
R=60046, TT=StCr, NTX=25, TB=1748771941.89s, D=0.26s
R=60047, TT=StCr, NTX=25, TB=1748771943.93s, D=0.17s
R=60048, TT=StCr, NTX=25, TB=1748771946.52s, D=0.26s
R=60049, TT=StCr, NTX=25, TB=1748771948.74s, D=0.19s
R=60050, TT=StCr, NTX=25, TB=1748771950.96s, D=0.28s
R=60051, TT=StCr, NTX=25, TB=1748771953.20s, D=0.30s
R=60052, TT=StCr, NTX=25, TB=1748771955.30s, D=0.17s
R=60053, TT=StCr, NTX=25, TB=1748771957.47s, D=0.16s
R=60054, TT=StCr, NTX=25, TB=1748771959.71s, D=0.20s
R=60055, TT=StCr, NTX=25, TB=1748771961.79s, D=0.16s
R=60056, TT=StCr, NTX=25, TB=1748771964.13s, D=0.26s
R=60057, TT=StCr, NTX=25, TB=1748771966.25s, D=0.19s
R=60058, TT=StCr, NTX=25, TB=1748771968.55s, D=0.32s
R=60059, TT=StCr, NTX=25, TB=1748771970.68s, D=0.27s
R=60060, TT=StCr, NTX=25, TB=1748771972.61s, D=0.15s
R=60061, TT=StCr, NTX=25, TB=1748771974.99s, D=0.35s
R=60062, TT=StCr, NTX=25, TB=1748771977.19s, D=0.25s
R=60063, TT=StCr, NTX=25, TB=1748771979.31s, D=0.22s
R=60064, TT=StCr, NTX=25, TB=1748771981.26s, D=0.14s
R=60065, TT=StCr, NTX=25, TB=1748771983.69s, D=0.16s
R=60066, TT=StCr, NTX=25, TB=1748771985.93s, D=0.21s
R=60067, TT=StCr, NTX=25, TB=1748771988.40s, D=0.29s
R=60068, TT=StCr, NTX=25, TB=1748771990.59s, D=0.28s
R=60069, TT=StCr, NTX=25, TB=1748771992.80s, D=0.27s
R=60070, TT=StCr, NTX=25, TB=1748771994.95s, D=0.24s
R=60071, TT=StCr, NTX=25, TB=1748771997.17s, D=0.27s
R=60072, TT=StCr, NTX=25, TB=1748771999.44s, D=0.34s
R=60073, TT=StCr, NTX=25, TB=1748772001.75s, D=0.35s
R=60074, TT=StCr, NTX=25, TB=1748772003.96s, D=0.17s
R=60075, TT=StCr, NTX=25, TB=1748772006.43s, D=0.18s
R=60076, TT=StCr, NTX=25, TB=1748772008.80s, D=0.28s
R=60077, TT=StCr, NTX=25, TB=1748772010.72s, D=0.16s
R=60078, TT=StCr, NTX=25, TB=1748772013.17s, D=0.30s
R=60079, TT=StCr, NTX=25, TB=1748772015.37s, D=0.26s
R=60080, TT=StCr, NTX=25, TB=1748772017.41s, D=0.16s
R=60081, TT=StCr, NTX=25, TB=1748772019.83s, D=0.30s
R=60082, TT=StCr, NTX=25, TB=1748772021.96s, D=0.27s
R=60083, TT=StCr, NTX=25, TB=1748772024.34s, D=0.27s
R=60084, TT=StCr, NTX=25, TB=1748772026.54s, D=0.19s
R=60085, TT=StCr, NTX=25, TB=1748772028.74s, D=0.27s
R=60086, TT=StCr, NTX=25, TB=1748772031.00s, D=0.28s
R=60087, TT=StCr, NTX=25, TB=1748772033.09s, D=0.24s
R=60088, TT=StCr, NTX=25, TB=1748772035.28s, D=0.29s
R=60089, TT=StCr, NTX=25, TB=1748772037.35s, D=0.19s
R=60090, TT=StCr, NTX=25, TB=1748772039.58s, D=0.25s
R=60091, TT=StCr, NTX=25, TB=1748772041.80s, D=0.28s
R=60092, TT=StCr, NTX=25, TB=1748772043.68s, D=0.16s
R=60093, TT=StCr, NTX=25, TB=1748772046.04s, D=0.28s
R=60094, TT=StCr, NTX=25, TB=1748772048.23s, D=0.19s
R=60095, TT=StCr, NTX=25, TB=1748772050.47s, D=0.22s
R=60096, TT=StCr, NTX=25, TB=1748772052.44s, D=0.16s
R=60097, TT=StCr, NTX=25, TB=1748772054.80s, D=0.26s
R=60098, TT=StCr, NTX=25, TB=1748772056.93s, D=0.28s
R=60099, TT=StCr, NTX=25, TB=1748772059.11s, D=0.24s
R=60100, TT=StCr, NTX=25, TB=1748772061.26s, D=0.20s
R=60101, TT=StCr, NTX=25, TB=1748772063.96s, D=0.26s
R=60102, TT=StCr, NTX=25, TB=1748772065.71s, D=0.16s
R=60103, TT=StCr, NTX=25, TB=1748772068.13s, D=0.21s
R=60104, TT=StCr, NTX=25, TB=1748772070.40s, D=0.33s
R=60105, TT=StCr, NTX=25, TB=1748772072.45s, D=0.21s
R=60106, TT=StCr, NTX=25, TB=1748772074.55s, D=0.15s
R=60107, TT=StCr, NTX=25, TB=1748772076.93s, D=0.31s
R=60108, TT=StCr, NTX=25, TB=1748772079.13s, D=0.27s
R=60109, TT=StCr, NTX=25, TB=1748772081.26s, D=0.29s
R=60110, TT=StCr, NTX=25, TB=1748772083.43s, D=0.22s
R=60111, TT=StCr, NTX=25, TB=1748772085.66s, D=0.26s
R=60112, TT=StCr, NTX=25, TB=1748772087.88s, D=0.25s
R=60113, TT=StCr, NTX=25, TB=1748772090.08s, D=0.27s
R=60114, TT=StCr, NTX=25, TB=1748772092.07s, D=0.16s
R=60115, TT=StCr, NTX=25, TB=1748772094.42s, D=0.28s
R=60116, TT=StCr, NTX=25, TB=1748772096.46s, D=0.17s
R=60117, TT=StCr, NTX=25, TB=1748772098.76s, D=0.26s
R=60118, TT=StCr, NTX=25, TB=1748772100.84s, D=0.18s
R=60119, TT=StCr, NTX=25, TB=1748772102.90s, D=0.16s
R=60120, TT=StCr, NTX=25, TB=1748772105.26s, D=0.30s
R=60121, TT=StCr, NTX=25, TB=1748772107.34s, D=0.15s
R=60122, TT=StCr, NTX=25, TB=1748772109.69s, D=0.24s
R=60123, TT=StCr, NTX=25, TB=1748772111.85s, D=0.25s
R=60124, TT=StCr, NTX=25, TB=1748772114.04s, D=0.21s
R=60125, TT=StCr, NTX=25, TB=1748772116.16s, D=0.18s
R=60126, TT=StCr, NTX=25, TB=1748772118.54s, D=0.26s
R=60127, TT=StCr, NTX=25, TB=1748772120.59s, D=0.16s
R=60128, TT=StCr, NTX=25, TB=1748772122.80s, D=0.33s
