R=60001, TT=RebTrOw, NTX=20, TB=1748771843.68s, D=0.18s
R=60001, TT=RebCr, NTX=57, TB=1748771843.86s, D=0.30s
R=60002, TT=RebTrOw, NTX=20, TB=1748771845.94s, D=0.27s
R=60002, TT=RebCr, NTX=61, TB=1748771846.22s, D=0.32s
R=60003, TT=RebTrOw, NTX=20, TB=1748771848.04s, D=0.20s
R=60003, TT=RebCr, NTX=57, TB=1748771848.24s, D=0.29s
R=60004, TT=RebTrOw, NTX=20, TB=1748771850.24s, D=0.21s
R=60004, TT=RebCr, NTX=72, TB=1748771850.46s, D=0.42s
R=60005, TT=RebTrOw, NTX=20, TB=1748771852.51s, D=0.26s
R=60005, TT=RebCr, NTX=58, TB=1748771852.78s, D=0.34s
R=60006, TT=RebTrOw, NTX=20, TB=1748771854.65s, D=0.20s
R=60006, TT=RebCr, NTX=65, TB=1748771854.86s, D=0.34s
R=60007, TT=RebTrOw, NTX=20, TB=1748771856.91s, D=0.22s
R=60007, TT=RebCr, NTX=66, TB=1748771857.13s, D=0.34s
R=60008, TT=RebTrOw, NTX=20, TB=1748771859.02s, D=0.23s
R=60008, TT=RebCr, NTX=60, TB=1748771859.25s, D=0.34s
R=60009, TT=RebTrOw, NTX=20, TB=1748771861.25s, D=0.24s
R=60009, TT=RebCr, NTX=55, TB=1748771861.49s, D=0.35s
R=60010, TT=RebTrOw, NTX=20, TB=1748771863.41s, D=0.22s
R=60010, TT=RebCr, NTX=56, TB=1748771863.63s, D=0.33s
R=60011, TT=RebTrOw, NTX=20, TB=1748771865.60s, D=0.46s
R=60011, TT=RebCr, NTX=62, TB=1748771866.06s, D=0.27s
R=60012, TT=RebTrOw, NTX=20, TB=1748771867.89s, D=0.27s
R=60012, TT=RebCr, NTX=50, TB=1748771868.15s, D=0.29s
R=60013, TT=RebTrOw, NTX=20, TB=1748771870.06s, D=0.24s
R=60013, TT=RebCr, NTX=58, TB=1748771870.31s, D=0.22s
R=60014, TT=RebTrOw, NTX=20, TB=1748771872.08s, D=0.25s
R=60014, TT=RebCr, NTX=54, TB=1748771872.33s, D=0.30s
R=60015, TT=RebTrOw, NTX=20, TB=1748771874.20s, D=0.26s
R=60015, TT=RebCr, NTX=61, TB=1748771874.47s, D=0.34s
R=60016, TT=RebTrOw, NTX=20, TB=1748771876.37s, D=0.23s
R=60016, TT=RebCr, NTX=63, TB=1748771876.60s, D=0.42s
R=60017, TT=RebTrOw, NTX=20, TB=1748771878.70s, D=0.31s
R=60017, TT=RebCr, NTX=63, TB=1748771879.01s, D=0.26s
R=60018, TT=RebTrOw, NTX=20, TB=1748771880.83s, D=0.27s
R=60018, TT=RebCr, NTX=53, TB=1748771881.10s, D=0.31s
R=60019, TT=RebTrOw, NTX=20, TB=1748771882.98s, D=0.26s
R=60019, TT=RebCr, NTX=58, TB=1748771883.24s, D=0.47s
R=60020, TT=RebTrOw, NTX=20, TB=1748771885.34s, D=0.25s
R=60020, TT=RebCr, NTX=63, TB=1748771885.60s, D=0.36s
R=60021, TT=RebTrOw, NTX=20, TB=1748771887.54s, D=0.24s
R=60021, TT=RebCr, NTX=59, TB=1748771887.79s, D=0.33s
R=60022, TT=RebTrOw, NTX=20, TB=1748771889.71s, D=0.16s
R=60022, TT=RebCr, NTX=54, TB=1748771889.87s, D=0.38s
R=60023, TT=RebTrOw, NTX=20, TB=1748771892.03s, D=0.25s
R=60023, TT=RebCr, NTX=65, TB=1748771892.27s, D=0.34s
R=60024, TT=RebTrOw, NTX=20, TB=1748771893.89s, D=0.15s
R=60024, TT=RebCr, NTX=51, TB=1748771894.04s, D=0.22s
R=60025, TT=RebTrOw, NTX=20, TB=1748771896.33s, D=0.28s
R=60025, TT=RebCr, NTX=63, TB=1748771896.61s, D=0.31s
R=60026, TT=RebTrOw, NTX=20, TB=1748771898.58s, D=0.27s
R=60026, TT=RebCr, NTX=59, TB=1748771898.85s, D=0.31s
R=60027, TT=RebTrOw, NTX=20, TB=1748771900.72s, D=0.23s
R=60027, TT=RebCr, NTX=59, TB=1748771900.95s, D=0.32s
R=60028, TT=RebTrOw, NTX=20, TB=1748771902.96s, D=0.28s
R=60028, TT=RebCr, NTX=62, TB=1748771903.24s, D=0.34s
R=60029, TT=RebTrOw, NTX=20, TB=1748771905.04s, D=0.15s
R=60029, TT=RebCr, NTX=46, TB=1748771905.18s, D=0.37s
R=60030, TT=RebTrOw, NTX=20, TB=1748771907.31s, D=0.28s
R=60030, TT=RebCr, NTX=48, TB=1748771907.58s, D=0.31s
R=60031, TT=RebTrOw, NTX=20, TB=1748771909.51s, D=0.29s
R=60031, TT=RebCr, NTX=58, TB=1748771909.80s, D=0.33s
R=60032, TT=RebTrOw, NTX=20, TB=1748771911.59s, D=0.16s
R=60032, TT=RebCr, NTX=55, TB=1748771911.75s, D=0.35s
R=60033, TT=RebTrOw, NTX=20, TB=1748771913.84s, D=0.24s
R=60033, TT=RebCr, NTX=56, TB=1748771914.08s, D=0.33s
R=60034, TT=RebTrOw, NTX=20, TB=1748771916.00s, D=0.28s
R=60034, TT=RebCr, NTX=46, TB=1748771916.28s, D=0.24s
R=60035, TT=RebTrOw, NTX=20, TB=1748771918.04s, D=0.19s
R=60035, TT=RebCr, NTX=55, TB=1748771918.23s, D=0.29s
R=60036, TT=RebTrOw, NTX=20, TB=1748771920.27s, D=0.24s
R=60036, TT=RebCr, NTX=67, TB=1748771920.51s, D=0.32s
R=60037, TT=RebTrOw, NTX=20, TB=1748771922.41s, D=0.22s
R=60037, TT=RebCr, NTX=59, TB=1748771922.63s, D=0.38s
R=60038, TT=RebTrOw, NTX=20, TB=1748771924.59s, D=0.28s
R=60038, TT=RebCr, NTX=49, TB=1748771924.88s, D=0.28s
R=60039, TT=RebTrOw, NTX=20, TB=1748771926.74s, D=0.26s
R=60039, TT=RebCr, NTX=53, TB=1748771927.00s, D=0.30s
R=60040, TT=RebTrOw, NTX=20, TB=1748771928.81s, D=0.16s
R=60040, TT=RebCr, NTX=55, TB=1748771928.97s, D=0.34s
R=60041, TT=RebTrOw, NTX=20, TB=1748771931.09s, D=0.27s
R=60041, TT=RebCr, NTX=57, TB=1748771931.36s, D=0.29s
R=60042, TT=RebTrOw, NTX=20, TB=1748771933.16s, D=0.20s
R=60042, TT=RebCr, NTX=59, TB=1748771933.36s, D=0.38s
R=60043, TT=RebTrOw, NTX=20, TB=1748771935.29s, D=0.24s
R=60043, TT=RebCr, NTX=65, TB=1748771935.53s, D=0.33s
R=60044, TT=RebTrOw, NTX=20, TB=1748771937.53s, D=0.25s
R=60044, TT=RebCr, NTX=57, TB=1748771937.78s, D=0.34s
R=60045, TT=RebTrOw, NTX=20, TB=1748771939.63s, D=0.19s
R=60045, TT=RebCr, NTX=59, TB=1748771939.82s, D=0.34s
R=60046, TT=RebTrOw, NTX=20, TB=1748771941.80s, D=0.20s
R=60046, TT=RebCr, NTX=62, TB=1748771942.00s, D=0.31s
R=60047, TT=RebTrOw, NTX=20, TB=1748771944.22s, D=0.25s
R=60047, TT=RebCr, NTX=60, TB=1748771944.47s, D=0.38s
R=60048, TT=RebTrOw, NTX=20, TB=1748771946.52s, D=0.23s
R=60048, TT=RebCr, NTX=69, TB=1748771946.75s, D=0.44s
R=60049, TT=RebTrOw, NTX=20, TB=1748771948.79s, D=0.23s
R=60049, TT=RebCr, NTX=45, TB=1748771949.02s, D=0.33s
R=60050, TT=RebTrOw, NTX=20, TB=1748771950.96s, D=0.26s
R=60050, TT=RebCr, NTX=61, TB=1748771951.21s, D=0.43s
R=60051, TT=RebTrOw, NTX=20, TB=1748771953.23s, D=0.27s
R=60051, TT=RebCr, NTX=64, TB=1748771953.50s, D=0.31s
R=60052, TT=RebTrOw, NTX=20, TB=1748771955.36s, D=0.27s
R=60052, TT=RebCr, NTX=62, TB=1748771955.63s, D=0.35s
R=60053, TT=RebTrOw, NTX=20, TB=1748771957.52s, D=0.19s
R=60053, TT=RebCr, NTX=59, TB=1748771957.71s, D=0.30s
R=60054, TT=RebTrOw, NTX=20, TB=1748771959.71s, D=0.21s
R=60054, TT=RebCr, NTX=50, TB=1748771959.92s, D=0.38s
R=60055, TT=RebTrOw, NTX=20, TB=1748771961.92s, D=0.23s
R=60055, TT=RebCr, NTX=57, TB=1748771962.15s, D=0.30s
R=60056, TT=RebTrOw, NTX=20, TB=1748771964.16s, D=0.24s
R=60056, TT=RebCr, NTX=61, TB=1748771964.40s, D=0.39s
R=60057, TT=RebTrOw, NTX=20, TB=1748771966.34s, D=0.24s
R=60057, TT=RebCr, NTX=70, TB=1748771966.58s, D=0.42s
R=60058, TT=RebTrOw, NTX=20, TB=1748771968.55s, D=0.27s
R=60058, TT=RebCr, NTX=59, TB=1748771968.82s, D=0.31s
R=60059, TT=RebTrOw, NTX=20, TB=1748771970.67s, D=0.24s
R=60059, TT=RebCr, NTX=57, TB=1748771970.92s, D=0.36s
R=60060, TT=RebTrOw, NTX=20, TB=1748771972.90s, D=0.26s
R=60060, TT=RebCr, NTX=57, TB=1748771973.16s, D=0.28s
R=60061, TT=RebTrOw, NTX=20, TB=1748771974.94s, D=0.18s
R=60061, TT=RebCr, NTX=73, TB=1748771975.12s, D=0.35s
R=60062, TT=RebTrOw, NTX=20, TB=1748771977.21s, D=0.24s
R=60062, TT=RebCr, NTX=70, TB=1748771977.45s, D=0.32s
R=60063, TT=RebTrOw, NTX=20, TB=1748771979.32s, D=0.23s
R=60063, TT=RebCr, NTX=74, TB=1748771979.55s, D=0.41s
R=60064, TT=RebTrOw, NTX=20, TB=1748771981.59s, D=0.28s
R=60064, TT=RebCr, NTX=59, TB=1748771981.87s, D=0.27s
R=60065, TT=RebTrOw, NTX=20, TB=1748771983.78s, D=0.25s
R=60065, TT=RebCr, NTX=60, TB=1748771984.03s, D=0.39s
R=60066, TT=RebTrOw, NTX=20, TB=1748771985.97s, D=0.21s
R=60066, TT=RebCr, NTX=62, TB=1748771986.19s, D=0.48s
R=60067, TT=RebTrOw, NTX=20, TB=1748771988.42s, D=0.29s
R=60067, TT=RebCr, NTX=53, TB=1748771988.71s, D=0.31s
R=60068, TT=RebTrOw, NTX=20, TB=1748771990.63s, D=0.29s
R=60068, TT=RebCr, NTX=52, TB=1748771990.92s, D=0.34s
R=60069, TT=RebTrOw, NTX=20, TB=1748771992.81s, D=0.25s
R=60069, TT=RebCr, NTX=53, TB=1748771993.06s, D=0.38s
R=60070, TT=RebTrOw, NTX=20, TB=1748771994.93s, D=0.18s
