R=30001, TT=TinTrOw, NTX=5, TB=1748703444.67s, D=0.21s
R=30001, TT=TinCr, NTX=9, TB=1748703444.88s, D=0.32s
R=30002, TT=TinTrOw, NTX=5, TB=1748703446.82s, D=0.13s
R=30002, TT=TinCr, NTX=11, TB=1748703446.95s, D=0.28s
R=30003, TT=TinTrOw, NTX=5, TB=1748703449.02s, D=0.19s
R=30003, TT=TinCr, NTX=11, TB=1748703449.21s, D=0.18s
R=30004, TT=TinTrOw, NTX=5, TB=1748703451.36s, D=0.20s
R=30004, TT=TinCr, NTX=8, TB=1748703451.55s, D=0.23s
R=30005, TT=TinTrOw, NTX=5, TB=1748703453.57s, D=0.18s
R=30005, TT=TinCr, NTX=11, TB=1748703453.76s, D=0.24s
R=30006, TT=TinTrOw, NTX=5, TB=1748703455.64s, D=0.16s
R=30006, TT=TinCr, NTX=8, TB=1748703455.80s, D=0.21s
R=30007, TT=TinTrOw, NTX=5, TB=1748703457.90s, D=0.13s
R=30007, TT=TinCr, NTX=9, TB=1748703458.03s, D=0.22s
R=30008, TT=TinTrOw, NTX=5, TB=1748703460.21s, D=0.17s
R=30008, TT=TinCr, NTX=9, TB=1748703460.37s, D=0.40s
R=30009, TT=TinTrOw, NTX=5, TB=1748703462.48s, D=0.24s
R=30009, TT=TinCr, NTX=9, TB=1748703462.72s, D=0.19s
R=30010, TT=TinTrOw, NTX=5, TB=1748703464.61s, D=0.14s
R=30010, TT=TinCr, NTX=8, TB=1748703464.75s, D=0.22s
R=30011, TT=TinTrOw, NTX=5, TB=1748703466.82s, D=0.15s
R=30011, TT=TinCr, NTX=9, TB=1748703466.97s, D=0.23s
R=30012, TT=TinTrOw, NTX=5, TB=1748703468.89s, D=0.13s
R=30012, TT=TinCr, NTX=14, TB=1748703469.02s, D=0.26s
R=30013, TT=TinTrOw, NTX=5, TB=1748703471.16s, D=0.19s
R=30013, TT=TinCr, NTX=12, TB=1748703471.35s, D=0.23s
R=30014, TT=TinTrOw, NTX=5, TB=1748703473.31s, D=0.16s
R=30014, TT=TinCr, NTX=14, TB=1748703473.47s, D=0.27s
