R=70001, TT=RebTrOw, NTX=20, TB=1748794445.13s, D=0.24s
R=70001, TT=RebCr, NTX=59, TB=1748794445.38s, D=0.32s
R=70002, TT=RebTrOw, NTX=20, TB=1748794447.32s, D=0.23s
R=70002, TT=RebCr, NTX=72, TB=1748794447.55s, D=0.35s
R=70003, TT=RebTrOw, NTX=20, TB=1748794449.89s, D=0.25s
R=70003, TT=RebCr, NTX=67, TB=1748794450.13s, D=0.30s
R=70004, TT=RebTrOw, NTX=20, TB=1748794451.91s, D=0.15s
R=70004, TT=RebCr, NTX=59, TB=1748794452.06s, D=0.34s
R=70005, TT=RebTrOw, NTX=20, TB=1748794454.18s, D=0.25s
R=70005, TT=RebCr, NTX=56, TB=1748794454.43s, D=0.36s
R=70006, TT=RebTrOw, NTX=20, TB=1748794456.40s, D=0.26s
R=70006, TT=RebCr, NTX=52, TB=1748794456.66s, D=0.29s
R=70007, TT=RebTrOw, NTX=20, TB=1748794458.52s, D=0.28s
R=70007, TT=RebCr, NTX=66, TB=1748794458.80s, D=0.33s
R=70008, TT=RebTrOw, NTX=20, TB=1748794460.66s, D=0.17s
R=70008, TT=RebCr, NTX=56, TB=1748794460.83s, D=0.34s
R=70009, TT=RebTrOw, NTX=20, TB=1748794462.76s, D=0.18s
R=70009, TT=RebCr, NTX=53, TB=1748794462.94s, D=0.33s
R=70010, TT=RebTrOw, NTX=20, TB=1748794464.88s, D=0.16s
R=70010, TT=RebCr, NTX=68, TB=1748794465.03s, D=0.41s
R=70011, TT=RebTrOw, NTX=20, TB=1748794467.23s, D=0.21s
R=70011, TT=RebCr, NTX=66, TB=1748794467.44s, D=0.43s
R=70012, TT=RebTrOw, NTX=20, TB=1748794469.43s, D=0.29s
R=70012, TT=RebCr, NTX=75, TB=1748794469.72s, D=0.36s
R=70013, TT=RebTrOw, NTX=20, TB=1748794471.63s, D=0.22s
R=70013, TT=RebCr, NTX=44, TB=1748794471.85s, D=0.28s
R=70014, TT=RebTrOw, NTX=20, TB=1748794473.77s, D=0.26s
R=70014, TT=RebCr, NTX=62, TB=1748794474.02s, D=0.34s
