R=10001, TT=RebTrOw, NTX=20, TB=1748657680.38s, D=0.27s
R=10001, TT=RebCr, NTX=59, TB=1748657680.66s, D=0.31s
R=10002, TT=RebTrOw, NTX=20, TB=1748657682.51s, D=0.23s
R=10002, TT=RebCr, NTX=58, TB=1748657682.75s, D=0.40s
R=10003, TT=RebTrOw, NTX=20, TB=1748657684.73s, D=0.25s
R=10003, TT=RebCr, NTX=72, TB=1748657684.98s, D=0.37s
R=10004, TT=RebTrOw, NTX=20, TB=1748657686.90s, D=0.20s
R=10004, TT=RebCr, NTX=61, TB=1748657687.10s, D=0.31s
R=10005, TT=RebTrOw, NTX=20, TB=1748657689.21s, D=0.29s
R=10005, TT=RebCr, NTX=71, TB=1748657689.50s, D=0.42s
R=10006, TT=RebTrOw, NTX=20, TB=1748657691.49s, D=0.30s
R=10006, TT=RebCr, NTX=54, TB=1748657691.79s, D=0.31s
R=10007, TT=RebTrOw, NTX=20, TB=1748657693.62s, D=0.20s
R=10007, TT=RebCr, NTX=67, TB=1748657693.82s, D=0.39s
R=10008, TT=RebTrOw, NTX=20, TB=1748657696.03s, D=0.44s
R=10008, TT=RebCr, NTX=57, TB=1748657696.47s, D=0.37s
R=10009, TT=RebTrOw, NTX=20, TB=1748657698.40s, D=0.22s
R=10009, TT=RebCr, NTX=64, TB=1748657698.63s, D=0.33s
R=10010, TT=RebTrOw, NTX=20, TB=1748657700.71s, D=0.31s
R=10010, TT=RebCr, NTX=63, TB=1748657701.02s, D=0.34s
R=10011, TT=RebTrOw, NTX=20, TB=1748657702.98s, D=0.30s
R=10011, TT=RebCr, NTX=78, TB=1748657703.28s, D=0.56s
R=10012, TT=RebTrOw, NTX=20, TB=1748657705.40s, D=0.29s
R=10012, TT=RebCr, NTX=53, TB=1748657705.69s, D=0.39s
R=10013, TT=RebTrOw, NTX=20, TB=1748657707.58s, D=0.17s
R=10013, TT=RebCr, NTX=51, TB=1748657707.75s, D=0.34s
R=10014, TT=RebTrOw, NTX=20, TB=1748657710.03s, D=0.26s
R=10014, TT=RebCr, NTX=61, TB=1748657710.29s, D=0.37s
R=10015, TT=RebTrOw, NTX=20, TB=1748657712.26s, D=0.27s
R=10015, TT=RebCr, NTX=59, TB=1748657712.54s, D=0.37s
R=10016, TT=RebTrOw, NTX=20, TB=1748657714.49s, D=0.27s
R=10016, TT=RebCr, NTX=57, TB=1748657714.76s, D=0.34s
R=10017, TT=RebTrOw, NTX=20, TB=1748657716.68s, D=0.31s
R=10017, TT=RebCr, NTX=53, TB=1748657716.99s, D=0.35s
R=10018, TT=RebTrOw, NTX=20, TB=1748657718.90s, D=0.27s
R=10018, TT=RebCr, NTX=58, TB=1748657719.17s, D=0.35s
R=10019, TT=RebTrOw, NTX=20, TB=1748657721.28s, D=0.29s
R=10019, TT=RebCr, NTX=64, TB=1748657721.57s, D=0.34s
R=10020, TT=RebTrOw, NTX=20, TB=1748657723.48s, D=0.28s
R=10020, TT=RebCr, NTX=60, TB=1748657723.76s, D=0.41s
R=10021, TT=RebTrOw, NTX=20, TB=1748657725.69s, D=0.25s
R=10021, TT=RebCr, NTX=57, TB=1748657725.94s, D=0.44s
R=10022, TT=RebTrOw, NTX=20, TB=1748657727.92s, D=0.31s
R=10022, TT=RebCr, NTX=59, TB=1748657728.23s, D=0.36s
R=10023, TT=RebTrOw, NTX=20, TB=1748657730.12s, D=0.34s
R=10023, TT=RebCr, NTX=57, TB=1748657730.47s, D=0.36s
R=10024, TT=RebTrOw, NTX=20, TB=1748657732.29s, D=0.17s
R=10024, TT=RebCr, NTX=66, TB=1748657732.46s, D=0.43s
R=10025, TT=RebTrOw, NTX=20, TB=1748657734.61s, D=0.27s
R=10025, TT=RebCr, NTX=58, TB=1748657734.88s, D=0.40s
R=10026, TT=RebTrOw, NTX=20, TB=1748657736.83s, D=0.25s
R=10026, TT=RebCr, NTX=69, TB=1748657737.08s, D=0.43s
R=10027, TT=RebTrOw, NTX=20, TB=1748657739.03s, D=0.24s
R=10027, TT=RebCr, NTX=55, TB=1748657739.27s, D=0.44s
R=10028, TT=RebTrOw, NTX=20, TB=1748657741.35s, D=0.24s
R=10028, TT=RebCr, NTX=49, TB=1748657741.59s, D=0.35s
R=10029, TT=RebTrOw, NTX=20, TB=1748657743.52s, D=0.29s
R=10029, TT=RebCr, NTX=67, TB=1748657743.81s, D=0.40s
R=10030, TT=RebTrOw, NTX=20, TB=1748657745.79s, D=0.43s
R=10030, TT=RebCr, NTX=57, TB=1748657746.22s, D=0.37s
R=10031, TT=RebTrOw, NTX=20, TB=1748657748.14s, D=0.28s
R=10031, TT=RebCr, NTX=64, TB=1748657748.42s, D=0.35s
R=10032, TT=RebTrOw, NTX=20, TB=1748657750.35s, D=0.28s
R=10032, TT=RebCr, NTX=61, TB=1748657750.63s, D=0.43s
R=10033, TT=RebTrOw, NTX=20, TB=1748657752.60s, D=0.30s
R=10033, TT=RebCr, NTX=59, TB=1748657752.90s, D=0.41s
R=10034, TT=RebTrOw, NTX=20, TB=1748657754.83s, D=0.28s
R=10034, TT=RebCr, NTX=47, TB=1748657755.11s, D=0.34s
R=10035, TT=RebTrOw, NTX=20, TB=1748657757.15s, D=0.27s
R=10035, TT=RebCr, NTX=62, TB=1748657757.42s, D=0.35s
R=10036, TT=RebTrOw, NTX=20, TB=1748657759.38s, D=0.27s
R=10036, TT=RebCr, NTX=49, TB=1748657759.65s, D=0.40s
R=10037, TT=RebTrOw, NTX=20, TB=1748657761.66s, D=0.31s
R=10037, TT=RebCr, NTX=60, TB=1748657761.97s, D=0.36s
R=10038, TT=RebTrOw, NTX=20, TB=1748657763.99s, D=0.34s
R=10038, TT=RebCr, NTX=72, TB=1748657764.32s, D=0.45s
R=10039, TT=RebTrOw, NTX=20, TB=1748657766.32s, D=0.27s
R=10039, TT=RebCr, NTX=48, TB=1748657766.59s, D=0.36s
R=10040, TT=RebTrOw, NTX=20, TB=1748657768.67s, D=0.29s
R=10040, TT=RebCr, NTX=61, TB=1748657768.96s, D=0.36s
R=10041, TT=RebTrOw, NTX=20, TB=1748657770.91s, D=0.27s
R=10041, TT=RebCr, NTX=56, TB=1748657771.18s, D=0.36s
R=10042, TT=RebTrOw, NTX=20, TB=1748657773.17s, D=0.28s
R=10042, TT=RebCr, NTX=63, TB=1748657773.45s, D=0.37s
R=10043, TT=RebTrOw, NTX=20, TB=1748657775.37s, D=0.27s
R=10043, TT=RebCr, NTX=53, TB=1748657775.64s, D=0.36s
R=10044, TT=RebTrOw, NTX=20, TB=1748657777.59s, D=0.27s
R=10044, TT=RebCr, NTX=53, TB=1748657777.86s, D=0.33s
R=10045, TT=RebTrOw, NTX=20, TB=1748657779.78s, D=0.24s
R=10045, TT=RebCr, NTX=66, TB=1748657780.02s, D=0.34s
R=10046, TT=RebTrOw, NTX=20, TB=1748657782.27s, D=0.27s
R=10046, TT=RebCr, NTX=56, TB=1748657782.53s, D=0.33s
R=10047, TT=RebTrOw, NTX=20, TB=1748657784.46s, D=0.28s
R=10047, TT=RebCr, NTX=60, TB=1748657784.74s, D=0.41s
R=10048, TT=RebTrOw, NTX=20, TB=1748657786.71s, D=0.26s
R=10048, TT=RebCr, NTX=57, TB=1748657786.97s, D=0.45s
R=10049, TT=RebTrOw, NTX=20, TB=1748657788.95s, D=0.27s
R=10049, TT=RebCr, NTX=58, TB=1748657789.23s, D=0.40s
R=10050, TT=RebTrOw, NTX=20, TB=1748657791.33s, D=0.24s
R=10050, TT=RebCr, NTX=63, TB=1748657791.57s, D=0.42s
R=10051, TT=RebTrOw, NTX=20, TB=1748657793.59s, D=0.27s
R=10051, TT=RebCr, NTX=63, TB=1748657793.86s, D=0.36s
R=10052, TT=RebTrOw, NTX=20, TB=1748657795.79s, D=0.30s
R=10052, TT=RebCr, NTX=56, TB=1748657796.09s, D=0.39s
R=10053, TT=RebTrOw, NTX=20, TB=1748657798.06s, D=0.28s
R=10053, TT=RebCr, NTX=68, TB=1748657798.34s, D=0.44s
R=10054, TT=RebTrOw, NTX=20, TB=1748657800.33s, D=0.30s
R=10054, TT=RebCr, NTX=52, TB=1748657800.64s, D=0.35s
R=10055, TT=RebTrOw, NTX=20, TB=1748657802.55s, D=0.26s
R=10055, TT=RebCr, NTX=56, TB=1748657802.81s, D=0.42s
R=10056, TT=RebTrOw, NTX=20, TB=1748657804.73s, D=0.21s
R=10056, TT=RebCr, NTX=57, TB=1748657804.94s, D=0.35s
R=10057, TT=RebTrOw, NTX=20, TB=1748657807.08s, D=0.27s
R=10057, TT=RebCr, NTX=60, TB=1748657807.35s, D=0.35s
R=10058, TT=RebTrOw, NTX=20, TB=1748657809.34s, D=0.31s
R=10058, TT=RebCr, NTX=62, TB=1748657809.65s, D=0.28s
R=10059, TT=RebTrOw, NTX=20, TB=1748657811.53s, D=0.28s
R=10059, TT=RebCr, NTX=62, TB=1748657811.81s, D=0.37s
R=10060, TT=RebTrOw, NTX=20, TB=1748657813.68s, D=0.18s
R=10060, TT=RebCr, NTX=59, TB=1748657813.86s, D=0.36s
R=10061, TT=RebTrOw, NTX=20, TB=1748657815.96s, D=0.34s
R=10061, TT=RebCr, NTX=56, TB=1748657816.30s, D=0.41s
R=10062, TT=RebTrOw, NTX=20, TB=1748657818.31s, D=0.20s
R=10062, TT=RebCr, NTX=71, TB=1748657818.51s, D=0.33s
R=10063, TT=RebTrOw, NTX=20, TB=1748657820.64s, D=0.29s
R=10063, TT=RebCr, NTX=58, TB=1748657820.93s, D=0.40s
R=10064, TT=RebTrOw, NTX=20, TB=1748657822.89s, D=0.35s
R=10064, TT=RebCr, NTX=60, TB=1748657823.24s, D=0.52s
R=10065, TT=RebTrOw, NTX=20, TB=1748657825.30s, D=0.28s
R=10065, TT=RebCr, NTX=70, TB=1748657825.58s, D=0.39s
R=10066, TT=RebTrOw, NTX=20, TB=1748657827.52s, D=0.26s
R=10066, TT=RebCr, NTX=72, TB=1748657827.78s, D=0.44s
R=10067, TT=RebTrOw, NTX=20, TB=1748657830.35s, D=0.33s
R=10067, TT=RebCr, NTX=56, TB=1748657830.68s, D=0.33s
R=10068, TT=RebTrOw, NTX=20, TB=1748657832.54s, D=0.26s
R=10068, TT=RebCr, NTX=58, TB=1748657832.79s, D=0.40s
R=10069, TT=RebTrOw, NTX=20, TB=1748657834.69s, D=0.19s
R=10069, TT=RebCr, NTX=58, TB=1748657834.87s, D=0.36s
R=10070, TT=RebTrOw, NTX=20, TB=1748657836.91s, D=0.17s
R=10070, TT=RebCr, NTX=60, TB=1748657837.07s, D=0.51s
R=10071, TT=RebTrOw, NTX=20, TB=1748657839.27s, D=0.27s
R=10071, TT=RebCr, NTX=53, TB=1748657839.55s, D=0.33s
R=10072, TT=RebTrOw, NTX=20, TB=1748657841.81s, D=0.26s
R=10072, TT=RebCr, NTX=63, TB=1748657842.07s, D=0.43s
R=10073, TT=RebTrOw, NTX=20, TB=1748657844.11s, D=0.29s
R=10073, TT=RebCr, NTX=60, TB=1748657844.40s, D=0.38s
R=10074, TT=RebTrOw, NTX=20, TB=1748657846.32s, D=0.29s
R=10074, TT=RebCr, NTX=73, TB=1748657846.61s, D=0.36s
R=10075, TT=RebTrOw, NTX=20, TB=1748657848.55s, D=0.25s
R=10075, TT=RebCr, NTX=51, TB=1748657848.80s, D=0.40s
R=10076, TT=RebTrOw, NTX=20, TB=1748657850.82s, D=0.27s
R=10076, TT=RebCr, NTX=59, TB=1748657851.09s, D=0.37s
R=10077, TT=RebTrOw, NTX=20, TB=1748657853.04s, D=0.28s
R=10077, TT=RebCr, NTX=56, TB=1748657853.32s, D=0.39s
R=10078, TT=RebTrOw, NTX=20, TB=1748657855.20s, D=0.15s
R=10078, TT=RebCr, NTX=55, TB=1748657855.35s, D=0.44s
R=10079, TT=RebTrOw, NTX=20, TB=1748657857.51s, D=0.21s
R=10079, TT=RebCr, NTX=55, TB=1748657857.72s, D=0.33s
R=10080, TT=RebTrOw, NTX=20, TB=1748657859.83s, D=0.28s
R=10080, TT=RebCr, NTX=53, TB=1748657860.11s, D=0.31s
R=10081, TT=RebTrOw, NTX=20, TB=1748657861.97s, D=0.26s
R=10081, TT=RebCr, NTX=53, TB=1748657862.23s, D=0.39s
R=10082, TT=RebTrOw, NTX=20, TB=1748657864.23s, D=0.26s
R=10082, TT=RebCr, NTX=62, TB=1748657864.49s, D=0.40s
R=10083, TT=RebTrOw, NTX=20, TB=1748657866.48s, D=0.30s
R=10083, TT=RebCr, NTX=54, TB=1748657866.77s, D=0.38s
R=10084, TT=RebTrOw, NTX=20, TB=1748657868.75s, D=0.26s
R=10084, TT=RebCr, NTX=55, TB=1748657869.01s, D=0.33s
R=10085, TT=RebTrOw, NTX=20, TB=1748657870.96s, D=0.26s
R=10085, TT=RebCr, NTX=53, TB=1748657871.22s, D=0.33s
R=10086, TT=RebTrOw, NTX=20, TB=1748657873.11s, D=0.31s
R=10086, TT=RebCr, NTX=57, TB=1748657873.41s, D=0.42s
R=10087, TT=RebTrOw, NTX=20, TB=1748657875.37s, D=0.26s
R=10087, TT=RebCr, NTX=52, TB=1748657875.64s, D=0.35s
R=10088, TT=RebTrOw, NTX=20, TB=1748657877.64s, D=0.44s
R=10088, TT=RebCr, NTX=62, TB=1748657878.08s, D=0.45s
R=10089, TT=RebTrOw, NTX=20, TB=1748657880.15s, D=0.30s
R=10089, TT=RebCr, NTX=68, TB=1748657880.45s, D=0.35s
R=10090, TT=RebTrOw, NTX=20, TB=1748657882.37s, D=0.32s
R=10090, TT=RebCr, NTX=62, TB=1748657882.69s, D=0.57s
R=10091, TT=RebTrOw, NTX=20, TB=1748657884.86s, D=0.25s
R=10091, TT=RebCr, NTX=64, TB=1748657885.11s, D=0.36s
R=10092, TT=RebTrOw, NTX=20, TB=1748657887.07s, D=0.24s
R=10092, TT=RebCr, NTX=62, TB=1748657887.31s, D=0.38s
R=10093, TT=RebTrOw, NTX=20, TB=1748657889.48s, D=0.26s
R=10093, TT=RebCr, NTX=69, TB=1748657889.73s, D=0.39s
R=10094, TT=RebTrOw, NTX=20, TB=1748657891.70s, D=0.25s
R=10094, TT=RebCr, NTX=60, TB=1748657891.95s, D=0.40s
R=10095, TT=RebTrOw, NTX=20, TB=1748657893.99s, D=0.26s
R=10095, TT=RebCr, NTX=57, TB=1748657894.25s, D=0.33s
R=10096, TT=RebTrOw, NTX=20, TB=1748657896.14s, D=0.29s
R=10096, TT=RebCr, NTX=52, TB=1748657896.43s, D=0.34s
R=10097, TT=RebTrOw, NTX=20, TB=1748657898.48s, D=0.24s
R=10097, TT=RebCr, NTX=59, TB=1748657898.71s, D=0.41s
R=10098, TT=RebTrOw, NTX=20, TB=1748657900.62s, D=0.18s
R=10098, TT=RebCr, NTX=53, TB=1748657900.80s, D=0.33s
R=10099, TT=RebTrOw, NTX=20, TB=1748657903.23s, D=0.23s
R=10099, TT=RebCr, NTX=58, TB=1748657903.46s, D=0.40s
R=10100, TT=RebTrOw, NTX=20, TB=1748657905.51s, D=0.26s
R=10100, TT=RebCr, NTX=71, TB=1748657905.77s, D=0.36s
R=10101, TT=RebTrOw, NTX=20, TB=1748657907.71s, D=0.28s
R=10101, TT=RebCr, NTX=68, TB=1748657907.98s, D=0.36s
R=10102, TT=RebTrOw, NTX=20, TB=1748657909.97s, D=0.25s
R=10102, TT=RebCr, NTX=55, TB=1748657910.22s, D=0.39s
R=10103, TT=RebTrOw, NTX=20, TB=1748657912.19s, D=0.26s
R=10103, TT=RebCr, NTX=65, TB=1748657912.45s, D=0.42s
R=10104, TT=RebTrOw, NTX=20, TB=1748657914.43s, D=0.24s
R=10104, TT=RebCr, NTX=61, TB=1748657914.67s, D=0.42s
R=10105, TT=RebTrOw, NTX=20, TB=1748657916.69s, D=0.29s
R=10105, TT=RebCr, NTX=63, TB=1748657916.99s, D=0.36s
R=10106, TT=RebTrOw, NTX=20, TB=1748657918.85s, D=0.17s
R=10106, TT=RebCr, NTX=61, TB=1748657919.02s, D=0.38s
R=10107, TT=RebTrOw, NTX=20, TB=1748657921.15s, D=0.28s
R=10107, TT=RebCr, NTX=57, TB=1748657921.44s, D=0.39s
R=10108, TT=RebTrOw, NTX=20, TB=1748657923.44s, D=0.26s
R=10108, TT=RebCr, NTX=63, TB=1748657923.70s, D=0.34s
R=10109, TT=RebTrOw, NTX=20, TB=1748657925.61s, D=0.41s
R=10109, TT=RebCr, NTX=65, TB=1748657926.02s, D=0.35s
R=10110, TT=RebTrOw, NTX=20, TB=1748657928.52s, D=0.29s
R=10110, TT=RebCr, NTX=62, TB=1748657928.81s, D=0.37s
R=10111, TT=RebTrOw, NTX=20, TB=1748657930.77s, D=0.26s
R=10111, TT=RebCr, NTX=67, TB=1748657931.03s, D=0.41s
R=10112, TT=RebTrOw, NTX=20, TB=1748657933.08s, D=0.27s
R=10112, TT=RebCr, NTX=67, TB=1748657933.35s, D=0.35s
R=10113, TT=RebTrOw, NTX=20, TB=1748657935.31s, D=0.27s
R=10113, TT=RebCr, NTX=62, TB=1748657935.58s, D=0.36s
R=10114, TT=RebTrOw, NTX=20, TB=1748657937.49s, D=0.26s
R=10114, TT=RebCr, NTX=66, TB=1748657937.76s, D=0.37s
R=10115, TT=RebTrOw, NTX=20, TB=1748657939.70s, D=0.25s
R=10115, TT=RebCr, NTX=46, TB=1748657939.95s, D=0.40s
R=10116, TT=RebTrOw, NTX=20, TB=1748657942.02s, D=0.35s
R=10116, TT=RebCr, NTX=63, TB=1748657942.37s, D=0.51s
R=10117, TT=RebTrOw, NTX=20, TB=1748657944.41s, D=0.18s
R=10117, TT=RebCr, NTX=67, TB=1748657944.59s, D=0.35s
R=10118, TT=RebTrOw, NTX=20, TB=1748657946.71s, D=0.27s
R=10118, TT=RebCr, NTX=52, TB=1748657946.97s, D=0.39s
R=10119, TT=RebTrOw, NTX=20, TB=1748657949.10s, D=0.28s
R=10119, TT=RebCr, NTX=50, TB=1748657949.38s, D=0.30s
R=10120, TT=RebTrOw, NTX=20, TB=1748657951.16s, D=0.18s
R=10120, TT=RebCr, NTX=56, TB=1748657951.34s, D=0.34s
R=10121, TT=RebTrOw, NTX=20, TB=1748657953.46s, D=0.26s
R=10121, TT=RebCr, NTX=69, TB=1748657953.72s, D=0.39s
R=10122, TT=RebTrOw, NTX=20, TB=1748657955.70s, D=0.29s
R=10122, TT=RebCr, NTX=57, TB=1748657955.98s, D=0.38s
R=10123, TT=RebTrOw, NTX=20, TB=1748657957.88s, D=0.25s
R=10123, TT=RebCr, NTX=60, TB=1748657958.13s, D=0.43s
R=10124, TT=RebTrOw, NTX=20, TB=1748657960.21s, D=0.29s
R=10124, TT=RebCr, NTX=58, TB=1748657960.49s, D=0.32s
R=10125, TT=RebTrOw, NTX=20, TB=1748657962.31s, D=0.22s
R=10125, TT=RebCr, NTX=64, TB=1748657962.54s, D=0.36s
R=10126, TT=RebTrOw, NTX=20, TB=1748657964.71s, D=0.28s
R=10126, TT=RebCr, NTX=52, TB=1748657964.99s, D=0.33s
R=10127, TT=RebTrOw, NTX=20, TB=1748657966.95s, D=0.33s
R=10127, TT=RebCr, NTX=55, TB=1748657967.28s, D=0.24s
R=10128, TT=RebTrOw, NTX=20, TB=1748657969.10s, D=0.28s
R=10128, TT=RebCr, NTX=65, TB=1748657969.38s, D=0.39s
R=10129, TT=RebTrOw, NTX=20, TB=1748657971.23s, D=0.16s
R=10129, TT=RebCr, NTX=61, TB=1748657971.39s, D=0.37s
R=10130, TT=RebTrOw, NTX=20, TB=1748657973.54s, D=0.28s
R=10130, TT=RebCr, NTX=64, TB=1748657973.82s, D=0.40s
R=10131, TT=RebTrOw, NTX=20, TB=1748657975.82s, D=0.25s
R=10131, TT=RebCr, NTX=61, TB=1748657976.07s, D=0.37s
R=10132, TT=RebTrOw, NTX=20, TB=1748657978.03s, D=0.25s
R=10132, TT=RebCr, NTX=54, TB=1748657978.27s, D=0.33s
R=10133, TT=RebTrOw, NTX=20, TB=1748657979.92s, D=0.14s
R=10133, TT=RebCr, NTX=64, TB=1748657980.06s, D=0.26s
R=10134, TT=RebTrOw, NTX=20, TB=1748657982.60s, D=0.24s
R=10134, TT=RebCr, NTX=67, TB=1748657982.84s, D=0.32s
R=10135, TT=RebTrOw, NTX=20, TB=1748657984.72s, D=0.28s
R=10135, TT=RebCr, NTX=53, TB=1748657985.01s, D=0.30s
R=10136, TT=RebTrOw, NTX=20, TB=1748657986.90s, D=0.26s
R=10136, TT=RebCr, NTX=52, TB=1748657987.16s, D=0.30s
R=10137, TT=RebTrOw, NTX=20, TB=1748657989.11s, D=0.31s
R=10137, TT=RebCr, NTX=63, TB=1748657989.42s, D=0.30s
R=10138, TT=RebTrOw, NTX=20, TB=1748657991.29s, D=0.26s
R=10138, TT=RebCr, NTX=66, TB=1748657991.56s, D=0.35s
R=10139, TT=RebTrOw, NTX=20, TB=1748657993.48s, D=0.25s
R=10139, TT=RebCr, NTX=50, TB=1748657993.73s, D=0.34s
R=10140, TT=RebTrOw, NTX=20, TB=1748657995.67s, D=0.27s
R=10140, TT=RebCr, NTX=67, TB=1748657995.94s, D=0.51s
R=10141, TT=RebTrOw, NTX=20, TB=1748657998.07s, D=0.25s
R=10141, TT=RebCr, NTX=58, TB=1748657998.31s, D=0.42s
R=10142, TT=RebTrOw, NTX=20, TB=1748658000.32s, D=0.29s
R=10142, TT=RebCr, NTX=58, TB=1748658000.61s, D=0.44s
R=10143, TT=RebTrOw, NTX=20, TB=1748658002.62s, D=0.26s
R=10143, TT=RebCr, NTX=63, TB=1748658002.88s, D=0.36s
R=10144, TT=RebTrOw, NTX=20, TB=1748658005.34s, D=0.29s
R=10144, TT=RebCr, NTX=54, TB=1748658005.62s, D=0.31s
R=10145, TT=RebTrOw, NTX=20, TB=1748658007.53s, D=0.27s
R=10145, TT=RebCr, NTX=53, TB=1748658007.80s, D=0.36s
R=10146, TT=RebTrOw, NTX=20, TB=1748658009.75s, D=0.16s
R=10146, TT=RebCr, NTX=65, TB=1748658009.92s, D=0.47s
R=10147, TT=RebTrOw, NTX=20, TB=1748658012.15s, D=0.27s
R=10147, TT=RebCr, NTX=65, TB=1748658012.42s, D=0.39s
R=10148, TT=RebTrOw, NTX=20, TB=1748658014.34s, D=0.22s
R=10148, TT=RebCr, NTX=56, TB=1748658014.56s, D=0.36s
R=10149, TT=RebTrOw, NTX=20, TB=1748658016.61s, D=0.27s
