R=30001, TT=RebTrOw, NTX=20, TB=1748703444.62s, D=0.21s
R=30001, TT=RebCr, NTX=53, TB=1748703444.83s, D=0.43s
R=30002, TT=RebTrOw, NTX=20, TB=1748703446.88s, D=0.29s
R=30002, TT=RebCr, NTX=43, TB=1748703447.18s, D=0.29s
R=30003, TT=RebTrOw, NTX=20, TB=1748703449.04s, D=0.28s
R=30003, TT=RebCr, NTX=58, TB=1748703449.33s, D=0.33s
R=30004, TT=RebTrOw, NTX=20, TB=1748703451.37s, D=0.28s
R=30004, TT=RebCr, NTX=58, TB=1748703451.64s, D=0.32s
R=30005, TT=RebTrOw, NTX=20, TB=1748703453.56s, D=0.22s
R=30005, TT=RebCr, NTX=62, TB=1748703453.78s, D=0.38s
R=30006, TT=RebTrOw, NTX=20, TB=1748703455.72s, D=0.25s
R=30006, TT=RebCr, NTX=65, TB=1748703455.97s, D=0.40s
R=30007, TT=RebTrOw, NTX=20, TB=1748703458.01s, D=0.29s
R=30007, TT=RebCr, NTX=59, TB=1748703458.30s, D=0.33s
R=30008, TT=RebTrOw, NTX=20, TB=1748703460.21s, D=0.25s
R=30008, TT=RebCr, NTX=55, TB=1748703460.46s, D=0.41s
R=30009, TT=RebTrOw, NTX=20, TB=1748703462.46s, D=0.27s
R=30009, TT=RebCr, NTX=71, TB=1748703462.73s, D=0.36s
R=30010, TT=RebTrOw, NTX=20, TB=1748703464.65s, D=0.24s
R=30010, TT=RebCr, NTX=59, TB=1748703464.89s, D=0.36s
R=30011, TT=RebTrOw, NTX=20, TB=1748703466.83s, D=0.26s
R=30011, TT=RebCr, NTX=63, TB=1748703467.09s, D=0.35s
R=30012, TT=RebTrOw, NTX=20, TB=1748703469.04s, D=0.27s
R=30012, TT=RebCr, NTX=61, TB=1748703469.31s, D=0.29s
R=30013, TT=RebTrOw, NTX=20, TB=1748703471.21s, D=0.26s
R=30013, TT=RebCr, NTX=65, TB=1748703471.47s, D=0.31s
R=30014, TT=RebTrOw, NTX=20, TB=1748703473.36s, D=0.29s
R=30014, TT=RebCr, NTX=69, TB=1748703473.65s, D=0.36s
R=30015, TT=RebTrOw, NTX=20, TB=1748703475.59s, D=0.30s
R=30015, TT=RebCr, NTX=63, TB=1748703475.89s, D=0.37s
R=30016, TT=RebTrOw, NTX=20, TB=1748703477.85s, D=0.24s
R=30016, TT=RebCr, NTX=64, TB=1748703478.09s, D=0.37s
R=30017, TT=RebTrOw, NTX=20, TB=1748703479.96s, D=0.24s
R=30017, TT=RebCr, NTX=50, TB=1748703480.21s, D=0.29s
R=30018, TT=RebTrOw, NTX=20, TB=1748703482.23s, D=0.43s
R=30018, TT=RebCr, NTX=60, TB=1748703482.67s, D=0.44s
R=30019, TT=RebTrOw, NTX=20, TB=1748703484.80s, D=0.27s
R=30019, TT=RebCr, NTX=59, TB=1748703485.07s, D=0.36s
R=30020, TT=RebTrOw, NTX=20, TB=1748703486.99s, D=0.28s
R=30020, TT=RebCr, NTX=51, TB=1748703487.27s, D=0.33s
R=30021, TT=RebTrOw, NTX=20, TB=1748703489.22s, D=0.19s
R=30021, TT=RebCr, NTX=60, TB=1748703489.41s, D=0.39s
R=30022, TT=RebTrOw, NTX=20, TB=1748703491.60s, D=0.28s
R=30022, TT=RebCr, NTX=66, TB=1748703491.88s, D=0.37s
