R=10001, TT=StCr, NTX=25, TB=1748657680.36s, D=0.27s
R=10002, TT=StCr, NTX=25, TB=1748657682.54s, D=0.27s
R=10003, TT=StCr, NTX=25, TB=1748657684.71s, D=0.27s
R=10004, TT=StCr, NTX=25, TB=1748657686.92s, D=0.30s
R=10005, TT=StCr, NTX=25, TB=1748657689.20s, D=0.28s
R=10006, TT=StCr, NTX=25, TB=1748657691.39s, D=0.17s
R=10007, TT=StCr, NTX=25, TB=1748657693.63s, D=0.23s
R=10008, TT=StCr, NTX=25, TB=1748657695.94s, D=0.25s
R=10009, TT=StCr, NTX=25, TB=1748657698.29s, D=0.19s
R=10010, TT=StCr, NTX=25, TB=1748657700.57s, D=0.23s
R=10011, TT=StCr, NTX=25, TB=1748657702.95s, D=0.39s
R=10012, TT=StCr, NTX=25, TB=1748657705.35s, D=0.28s
R=10013, TT=StCr, NTX=25, TB=1748657707.43s, D=0.18s
R=10014, TT=StCr, NTX=25, TB=1748657709.74s, D=0.16s
R=10015, TT=StCr, NTX=25, TB=1748657712.18s, D=0.22s
R=10016, TT=StCr, NTX=25, TB=1748657714.47s, D=0.28s
R=10017, TT=StCr, NTX=25, TB=1748657716.60s, D=0.21s
R=10018, TT=StCr, NTX=25, TB=1748657718.81s, D=0.16s
R=10019, TT=StCr, NTX=25, TB=1748657721.27s, D=0.31s
R=10020, TT=StCr, NTX=25, TB=1748657723.40s, D=0.22s
R=10021, TT=StCr, NTX=25, TB=1748657725.70s, D=0.35s
R=10022, TT=StCr, NTX=25, TB=1748657727.78s, D=0.17s
R=10023, TT=StCr, NTX=25, TB=1748657730.08s, D=0.21s
R=10024, TT=StCr, NTX=25, TB=1748657732.39s, D=0.31s
R=10025, TT=StCr, NTX=25, TB=1748657734.59s, D=0.30s
R=10026, TT=StCr, NTX=25, TB=1748657736.81s, D=0.27s
R=10027, TT=StCr, NTX=25, TB=1748657739.04s, D=0.29s
R=10028, TT=StCr, NTX=25, TB=1748657741.28s, D=0.29s
R=10029, TT=StCr, NTX=25, TB=1748657743.44s, D=0.17s
R=10030, TT=StCr, NTX=25, TB=1748657745.76s, D=0.44s
R=10031, TT=StCr, NTX=25, TB=1748657748.15s, D=0.30s
R=10032, TT=StCr, NTX=25, TB=1748657750.32s, D=0.29s
R=10033, TT=StCr, NTX=25, TB=1748657752.59s, D=0.36s
R=10034, TT=StCr, NTX=25, TB=1748657754.81s, D=0.28s
R=10035, TT=StCr, NTX=25, TB=1748657757.13s, D=0.28s
R=10036, TT=StCr, NTX=25, TB=1748657759.38s, D=0.28s
R=10037, TT=StCr, NTX=25, TB=1748657761.60s, D=0.31s
R=10038, TT=StCr, NTX=25, TB=1748657763.91s, D=0.33s
R=10039, TT=StCr, NTX=25, TB=1748657766.30s, D=0.27s
R=10040, TT=StCr, NTX=25, TB=1748657768.56s, D=0.21s
R=10041, TT=StCr, NTX=25, TB=1748657770.88s, D=0.29s
R=10042, TT=StCr, NTX=25, TB=1748657773.14s, D=0.29s
R=10043, TT=StCr, NTX=25, TB=1748657775.26s, D=0.20s
R=10044, TT=StCr, NTX=25, TB=1748657777.63s, D=0.35s
R=10045, TT=StCr, NTX=25, TB=1748657779.69s, D=0.18s
R=10046, TT=StCr, NTX=25, TB=1748657782.19s, D=0.24s
R=10047, TT=StCr, NTX=25, TB=1748657784.38s, D=0.30s
R=10048, TT=StCr, NTX=25, TB=1748657786.75s, D=0.37s
R=10049, TT=StCr, NTX=25, TB=1748657789.00s, D=0.31s
R=10050, TT=StCr, NTX=25, TB=1748657791.26s, D=0.28s
R=10051, TT=StCr, NTX=25, TB=1748657793.58s, D=0.34s
R=10052, TT=StCr, NTX=25, TB=1748657795.71s, D=0.22s
R=10053, TT=StCr, NTX=25, TB=1748657798.05s, D=0.30s
R=10054, TT=StCr, NTX=25, TB=1748657800.31s, D=0.31s
R=10055, TT=StCr, NTX=25, TB=1748657802.46s, D=0.21s
R=10056, TT=StCr, NTX=25, TB=1748657804.30s, D=0.14s
R=10057, TT=StCr, NTX=25, TB=1748657807.10s, D=0.31s
R=10058, TT=StCr, NTX=25, TB=1748657809.29s, D=0.28s
R=10059, TT=StCr, NTX=25, TB=1748657811.53s, D=0.32s
R=10060, TT=StCr, NTX=25, TB=1748657813.72s, D=0.29s
R=10061, TT=StCr, NTX=25, TB=1748657816.01s, D=0.41s
R=10062, TT=StCr, NTX=25, TB=1748657818.32s, D=0.29s
R=10063, TT=StCr, NTX=25, TB=1748657820.56s, D=0.24s
R=10064, TT=StCr, NTX=25, TB=1748657822.85s, D=0.38s
R=10065, TT=StCr, NTX=25, TB=1748657825.20s, D=0.19s
R=10066, TT=StCr, NTX=25, TB=1748657827.45s, D=0.21s
R=10067, TT=StCr, NTX=25, TB=1748657830.25s, D=0.27s
R=10068, TT=StCr, NTX=25, TB=1748657832.30s, D=0.18s
R=10069, TT=StCr, NTX=25, TB=1748657834.73s, D=0.31s
