R=90001, TT=StCr, NTX=25, TB=1748839921.28s, D=0.24s
R=90002, TT=StCr, NTX=25, TB=1748839923.34s, D=0.18s
R=90003, TT=StCr, NTX=25, TB=1748839926.16s, D=0.30s
R=90004, TT=StCr, NTX=25, TB=1748839928.71s, D=0.27s
R=90005, TT=StCr, NTX=25, TB=1748839930.93s, D=0.18s
R=90006, TT=StCr, NTX=25, TB=1748839933.08s, D=0.18s
R=90007, TT=StCr, NTX=25, TB=1748839935.60s, D=0.26s
R=90008, TT=StCr, NTX=25, TB=1748839937.82s, D=0.26s
R=90009, TT=StCr, NTX=25, TB=1748839940.00s, D=0.24s
R=90010, TT=StCr, NTX=25, TB=1748839942.27s, D=0.23s
R=90011, TT=StCr, NTX=25, TB=1748839944.68s, D=0.25s
R=90012, TT=StCr, NTX=25, TB=1748839946.76s, D=0.19s
R=90013, TT=StCr, NTX=25, TB=1748839949.20s, D=0.28s
R=90014, TT=StCr, NTX=25, TB=1748839951.49s, D=0.26s
R=90015, TT=StCr, NTX=25, TB=1748839953.66s, D=0.23s
R=90016, TT=StCr, NTX=25, TB=1748839955.97s, D=0.37s
R=90017, TT=StCr, NTX=25, TB=1748839958.29s, D=0.27s
R=90018, TT=StCr, NTX=25, TB=1748839960.54s, D=0.28s
R=90019, TT=StCr, NTX=25, TB=1748839962.61s, D=0.20s
R=90020, TT=StCr, NTX=25, TB=1748839964.89s, D=0.19s
R=90021, TT=StCr, NTX=25, TB=1748839967.30s, D=0.20s
R=90022, TT=StCr, NTX=25, TB=1748839969.61s, D=0.30s
R=90023, TT=StCr, NTX=25, TB=1748839971.89s, D=0.22s
R=90024, TT=StCr, NTX=25, TB=1748839974.20s, D=0.25s
R=90025, TT=StCr, NTX=25, TB=1748839976.98s, D=0.22s
R=90026, TT=StCr, NTX=25, TB=1748839978.75s, D=0.28s
R=90027, TT=StCr, NTX=25, TB=1748839980.85s, D=0.21s
R=90028, TT=StCr, NTX=25, TB=1748839983.31s, D=0.34s
R=90029, TT=StCr, NTX=25, TB=1748839985.65s, D=0.22s
R=90030, TT=StCr, NTX=25, TB=1748839988.13s, D=0.24s
R=90031, TT=StCr, NTX=25, TB=1748839990.29s, D=0.18s
R=90032, TT=StCr, NTX=25, TB=1748839992.64s, D=0.29s
R=90033, TT=StCr, NTX=25, TB=1748839994.87s, D=0.27s
R=90034, TT=StCr, NTX=25, TB=1748839997.18s, D=0.27s
R=90035, TT=StCr, NTX=25, TB=1748839999.48s, D=0.27s
R=90036, TT=StCr, NTX=25, TB=1748840001.75s, D=0.28s
R=90037, TT=StCr, NTX=25, TB=1748840004.07s, D=0.27s
R=90038, TT=StCr, NTX=25, TB=1748840006.22s, D=0.20s
R=90039, TT=StCr, NTX=25, TB=1748840008.63s, D=0.26s
R=90040, TT=StCr, NTX=25, TB=1748840010.87s, D=0.30s
R=90041, TT=StCr, NTX=25, TB=1748840013.17s, D=0.26s
R=90042, TT=StCr, NTX=25, TB=1748840015.39s, D=0.29s
R=90043, TT=StCr, NTX=25, TB=1748840017.67s, D=0.26s
R=90044, TT=StCr, NTX=25, TB=1748840019.83s, D=0.25s
R=90045, TT=StCr, NTX=25, TB=1748840022.11s, D=0.31s
R=90046, TT=StCr, NTX=25, TB=1748840024.32s, D=0.29s
R=90047, TT=StCr, NTX=25, TB=1748840026.64s, D=0.25s
R=90048, TT=StCr, NTX=25, TB=1748840028.96s, D=0.28s
R=90049, TT=StCr, NTX=25, TB=1748840031.13s, D=0.19s
R=90050, TT=StCr, NTX=25, TB=1748840033.58s, D=0.28s
R=90051, TT=StCr, NTX=25, TB=1748840035.90s, D=0.37s
R=90052, TT=StCr, NTX=25, TB=1748840038.28s, D=0.31s
R=90053, TT=StCr, NTX=25, TB=1748840040.52s, D=0.22s
R=90054, TT=StCr, NTX=25, TB=1748840042.82s, D=0.37s
R=90055, TT=StCr, NTX=25, TB=1748840045.32s, D=0.35s
R=90056, TT=StCr, NTX=25, TB=1748840047.66s, D=0.37s
