R=50001, TT=StCr, NTX=25, TB=1748749167.00s, D=0.27s
R=50002, TT=StCr, NTX=25, TB=1748749169.32s, D=0.32s
R=50003, TT=StCr, NTX=25, TB=1748749171.53s, D=0.22s
R=50004, TT=StCr, NTX=25, TB=1748749173.83s, D=0.29s
R=50005, TT=StCr, NTX=25, TB=1748749175.92s, D=0.28s
R=50006, TT=StCr, NTX=25, TB=1748749178.12s, D=0.25s
R=50007, TT=StCr, NTX=25, TB=1748749180.26s, D=0.23s
R=50008, TT=StCr, NTX=25, TB=1748749182.45s, D=0.22s
R=50009, TT=StCr, NTX=25, TB=1748749184.48s, D=0.18s
R=50010, TT=StCr, NTX=25, TB=1748749186.85s, D=0.17s
R=50011, TT=StCr, NTX=25, TB=1748749189.06s, D=0.25s
R=50012, TT=StCr, NTX=25, TB=1748749191.11s, D=0.16s
R=50013, TT=StCr, NTX=25, TB=1748749193.50s, D=0.30s
R=50014, TT=StCr, NTX=25, TB=1748749195.44s, D=0.17s
R=50015, TT=StCr, NTX=25, TB=1748749197.82s, D=0.20s
R=50016, TT=StCr, NTX=25, TB=1748749200.12s, D=0.32s
R=50017, TT=StCr, NTX=25, TB=1748749202.33s, D=0.23s
R=50018, TT=StCr, NTX=25, TB=1748749204.93s, D=0.32s
R=50019, TT=StCr, NTX=25, TB=1748749207.21s, D=0.33s
R=50020, TT=StCr, NTX=25, TB=1748749209.65s, D=0.26s
R=50021, TT=StCr, NTX=25, TB=1748749211.94s, D=0.35s
R=50022, TT=StCr, NTX=25, TB=1748749214.07s, D=0.26s
R=50023, TT=StCr, NTX=25, TB=1748749216.35s, D=0.29s
R=50024, TT=StCr, NTX=25, TB=1748749218.60s, D=0.29s
R=50025, TT=StCr, NTX=25, TB=1748749220.74s, D=0.22s
R=50026, TT=StCr, NTX=25, TB=1748749222.83s, D=0.18s
R=50027, TT=StCr, NTX=25, TB=1748749224.91s, D=0.17s
R=50028, TT=StCr, NTX=25, TB=1748749227.35s, D=0.27s
R=50029, TT=StCr, NTX=25, TB=1748749229.42s, D=0.18s
R=50030, TT=StCr, NTX=25, TB=1748749231.63s, D=0.16s
R=50031, TT=StCr, NTX=25, TB=1748749234.03s, D=0.28s
R=50032, TT=StCr, NTX=25, TB=1748749236.27s, D=0.23s
R=50033, TT=StCr, NTX=25, TB=1748749238.49s, D=0.21s
R=50034, TT=StCr, NTX=25, TB=1748749240.66s, D=0.15s
R=50035, TT=StCr, NTX=25, TB=1748749242.88s, D=0.20s
R=50036, TT=StCr, NTX=25, TB=1748749244.94s, D=0.16s
R=50037, TT=StCr, NTX=25, TB=1748749247.35s, D=0.17s
R=50038, TT=StCr, NTX=25, TB=1748749249.63s, D=0.27s
R=50039, TT=StCr, NTX=25, TB=1748749251.87s, D=0.34s
R=50040, TT=StCr, NTX=25, TB=1748749254.09s, D=0.34s
R=50041, TT=StCr, NTX=25, TB=1748749256.23s, D=0.26s
R=50042, TT=StCr, NTX=25, TB=1748749258.45s, D=0.23s
R=50043, TT=StCr, NTX=25, TB=1748749260.68s, D=0.25s
R=50044, TT=StCr, NTX=25, TB=1748749262.80s, D=0.23s
R=50045, TT=StCr, NTX=25, TB=1748749265.23s, D=0.30s
R=50046, TT=StCr, NTX=25, TB=1748749267.43s, D=0.26s
R=50047, TT=StCr, NTX=25, TB=1748749269.87s, D=0.33s
R=50048, TT=StCr, NTX=25, TB=1748749271.86s, D=0.19s
R=50049, TT=StCr, NTX=25, TB=1748749274.17s, D=0.31s
R=50050, TT=StCr, NTX=25, TB=1748749276.28s, D=0.26s
R=50051, TT=StCr, NTX=25, TB=1748749278.50s, D=0.29s
R=50052, TT=StCr, NTX=25, TB=1748749280.66s, D=0.26s
R=50053, TT=StCr, NTX=25, TB=1748749282.92s, D=0.29s
R=50054, TT=StCr, NTX=25, TB=1748749285.10s, D=0.32s
R=50055, TT=StCr, NTX=25, TB=1748749287.25s, D=0.31s
R=50056, TT=StCr, NTX=25, TB=1748749289.41s, D=0.28s
R=50057, TT=StCr, NTX=25, TB=1748749291.62s, D=0.27s
R=50058, TT=StCr, NTX=25, TB=1748749293.85s, D=0.32s
R=50059, TT=StCr, NTX=25, TB=1748749296.07s, D=0.19s
R=50060, TT=StCr, NTX=25, TB=1748749298.28s, D=0.28s
R=50061, TT=StCr, NTX=25, TB=1748749300.44s, D=0.25s
R=50062, TT=StCr, NTX=25, TB=1748749302.61s, D=0.30s
R=50063, TT=StCr, NTX=25, TB=1748749304.74s, D=0.23s
R=50064, TT=StCr, NTX=25, TB=1748749307.24s, D=0.33s
R=50065, TT=StCr, NTX=25, TB=1748749309.39s, D=0.26s
R=50066, TT=StCr, NTX=25, TB=1748749311.53s, D=0.26s
R=50067, TT=StCr, NTX=25, TB=1748749313.55s, D=0.16s
R=50068, TT=StCr, NTX=25, TB=1748749315.93s, D=0.34s
R=50069, TT=StCr, NTX=25, TB=1748749318.32s, D=0.34s
R=50070, TT=StCr, NTX=25, TB=1748749320.36s, D=0.17s
R=50071, TT=StCr, NTX=25, TB=1748749322.68s, D=0.28s
R=50072, TT=StCr, NTX=25, TB=1748749325.11s, D=0.20s
R=50073, TT=StCr, NTX=25, TB=1748749327.32s, D=0.18s
R=50074, TT=StCr, NTX=25, TB=1748749329.76s, D=0.25s
R=50075, TT=StCr, NTX=25, TB=1748749331.91s, D=0.22s
R=50076, TT=StCr, NTX=25, TB=1748749334.19s, D=0.33s
R=50077, TT=StCr, NTX=25, TB=1748749336.39s, D=0.36s
R=50078, TT=StCr, NTX=25, TB=1748749338.56s, D=0.30s
R=50079, TT=StCr, NTX=25, TB=1748749340.57s, D=0.15s
R=50080, TT=StCr, NTX=25, TB=1748749342.89s, D=0.34s
R=50081, TT=StCr, NTX=25, TB=1748749345.08s, D=0.34s
R=50082, TT=StCr, NTX=25, TB=1748749347.27s, D=0.31s
R=50083, TT=StCr, NTX=25, TB=1748749349.40s, D=0.30s
R=50084, TT=StCr, NTX=25, TB=1748749351.68s, D=0.29s
R=50085, TT=StCr, NTX=25, TB=1748749353.52s, D=0.15s
R=50086, TT=StCr, NTX=25, TB=1748749356.10s, D=0.37s
