R=50001, TT=RebTrOw, NTX=20, TB=1748749167.08s, D=0.26s
R=50001, TT=RebCr, NTX=66, TB=1748749167.34s, D=0.40s
R=50002, TT=RebTrOw, NTX=20, TB=1748749169.32s, D=0.30s
R=50002, TT=RebCr, NTX=56, TB=1748749169.63s, D=0.34s
R=50003, TT=RebTrOw, NTX=20, TB=1748749171.59s, D=0.25s
R=50003, TT=RebCr, NTX=64, TB=1748749171.84s, D=0.36s
R=50004, TT=RebTrOw, NTX=20, TB=1748749173.79s, D=0.25s
R=50004, TT=RebCr, NTX=57, TB=1748749174.04s, D=0.34s
R=50005, TT=RebTrOw, NTX=20, TB=1748749175.98s, D=0.25s
R=50005, TT=RebCr, NTX=53, TB=1748749176.23s, D=0.34s
R=50006, TT=RebTrOw, NTX=20, TB=1748749178.13s, D=0.22s
R=50006, TT=RebCr, NTX=63, TB=1748749178.35s, D=0.43s
R=50007, TT=RebTrOw, NTX=20, TB=1748749180.34s, D=0.22s
R=50007, TT=RebCr, NTX=54, TB=1748749180.56s, D=0.30s
R=50008, TT=RebTrOw, NTX=20, TB=1748749182.48s, D=0.25s
R=50008, TT=RebCr, NTX=57, TB=1748749182.74s, D=0.36s
R=50009, TT=RebTrOw, NTX=20, TB=1748749184.68s, D=0.21s
R=50009, TT=RebCr, NTX=45, TB=1748749184.90s, D=0.36s
R=50010, TT=RebTrOw, NTX=20, TB=1748749186.94s, D=0.26s
R=50010, TT=RebCr, NTX=51, TB=1748749187.20s, D=0.29s
R=50011, TT=RebTrOw, NTX=20, TB=1748749189.12s, D=0.26s
R=50011, TT=RebCr, NTX=51, TB=1748749189.37s, D=0.33s
R=50012, TT=RebTrOw, NTX=20, TB=1748749191.31s, D=0.22s
R=50012, TT=RebCr, NTX=61, TB=1748749191.53s, D=0.39s
R=50013, TT=RebTrOw, NTX=20, TB=1748749193.38s, D=0.18s
R=50013, TT=RebCr, NTX=54, TB=1748749193.56s, D=0.39s
R=50014, TT=RebTrOw, NTX=20, TB=1748749195.70s, D=0.23s
R=50014, TT=RebCr, NTX=60, TB=1748749195.92s, D=0.45s
R=50015, TT=RebTrOw, NTX=20, TB=1748749197.91s, D=0.20s
R=50015, TT=RebCr, NTX=65, TB=1748749198.12s, D=0.40s
R=50016, TT=RebTrOw, NTX=20, TB=1748749200.15s, D=0.29s
R=50016, TT=RebCr, NTX=47, TB=1748749200.44s, D=0.37s
R=50017, TT=RebTrOw, NTX=20, TB=1748749202.49s, D=0.31s
R=50017, TT=RebCr, NTX=66, TB=1748749202.79s, D=0.46s
R=50018, TT=RebTrOw, NTX=20, TB=1748749204.99s, D=0.25s
R=50018, TT=RebCr, NTX=57, TB=1748749205.24s, D=0.41s
R=50019, TT=RebTrOw, NTX=20, TB=1748749207.19s, D=0.29s
R=50019, TT=RebCr, NTX=72, TB=1748749207.48s, D=0.42s
R=50020, TT=RebTrOw, NTX=20, TB=1748749209.66s, D=0.20s
R=50020, TT=RebCr, NTX=52, TB=1748749209.86s, D=0.38s
R=50021, TT=RebTrOw, NTX=20, TB=1748749211.82s, D=0.19s
R=50021, TT=RebCr, NTX=63, TB=1748749212.01s, D=0.36s
R=50022, TT=RebTrOw, NTX=20, TB=1748749214.18s, D=0.28s
R=50022, TT=RebCr, NTX=53, TB=1748749214.46s, D=0.36s
R=50023, TT=RebTrOw, NTX=20, TB=1748749216.38s, D=0.28s
R=50023, TT=RebCr, NTX=60, TB=1748749216.66s, D=0.38s
R=50024, TT=RebTrOw, NTX=20, TB=1748749218.56s, D=0.23s
R=50024, TT=RebCr, NTX=66, TB=1748749218.79s, D=0.36s
R=50025, TT=RebTrOw, NTX=20, TB=1748749220.80s, D=0.23s
R=50025, TT=RebCr, NTX=65, TB=1748749221.03s, D=0.40s
