R=30089, TT=StCr, NTX=25, TB=1748703640.84s, D=0.23s
R=30090, TT=StCr, NTX=25, TB=1748703643.07s, D=0.29s
R=30091, TT=StCr, NTX=25, TB=1748703645.19s, D=0.19s
R=30092, TT=StCr, NTX=25, TB=1748703647.50s, D=0.29s
R=30093, TT=StCr, NTX=25, TB=1748703649.61s, D=0.24s
R=30094, TT=StCr, NTX=25, TB=1748703651.79s, D=0.21s
R=30095, TT=StCr, NTX=25, TB=1748703654.04s, D=0.23s
R=30096, TT=StCr, NTX=25, TB=1748703656.20s, D=0.32s
R=30097, TT=StCr, NTX=25, TB=1748703658.42s, D=0.21s
R=30098, TT=StCr, NTX=25, TB=1748703660.55s, D=0.18s
R=30099, TT=StCr, NTX=25, TB=1748703662.72s, D=0.20s
R=30100, TT=StCr, NTX=25, TB=1748703665.21s, D=0.24s
R=30101, TT=StCr, NTX=25, TB=1748703667.44s, D=0.30s
R=30102, TT=StCr, NTX=25, TB=1748703669.86s, D=0.30s
R=30103, TT=StCr, NTX=25, TB=1748703671.78s, D=0.17s
R=30104, TT=StCr, NTX=25, TB=1748703674.22s, D=0.30s
R=30105, TT=StCr, NTX=25, TB=1748703676.20s, D=0.16s
R=30106, TT=StCr, NTX=25, TB=1748703678.63s, D=0.25s
R=30107, TT=StCr, NTX=25, TB=1748703680.70s, D=0.16s
R=30108, TT=StCr, NTX=25, TB=1748703683.00s, D=0.28s
R=30109, TT=StCr, NTX=25, TB=1748703685.21s, D=0.25s
R=30110, TT=StCr, NTX=25, TB=1748703687.28s, D=0.17s
R=30111, TT=StCr, NTX=25, TB=1748703689.69s, D=0.25s
R=30112, TT=StCr, NTX=25, TB=1748703691.64s, D=0.15s
R=30113, TT=StCr, NTX=25, TB=1748703693.91s, D=0.16s
R=30114, TT=StCr, NTX=25, TB=1748703696.21s, D=0.28s
R=30115, TT=StCr, NTX=25, TB=1748703698.36s, D=0.23s
R=30116, TT=StCr, NTX=25, TB=1748703700.57s, D=0.25s
R=30117, TT=StCr, NTX=25, TB=1748703702.75s, D=0.27s
R=30118, TT=StCr, NTX=25, TB=1748703704.94s, D=0.25s
R=30119, TT=StCr, NTX=25, TB=1748703707.17s, D=0.24s
R=30120, TT=StCr, NTX=25, TB=1748703709.38s, D=0.26s
R=30121, TT=StCr, NTX=25, TB=1748703711.57s, D=0.26s
R=30122, TT=StCr, NTX=25, TB=1748703713.79s, D=0.19s
R=30123, TT=StCr, NTX=25, TB=1748703715.99s, D=0.39s
R=30124, TT=StCr, NTX=25, TB=1748703718.44s, D=0.26s
R=30125, TT=StCr, NTX=25, TB=1748703720.60s, D=0.29s
R=30126, TT=StCr, NTX=25, TB=1748703722.84s, D=0.28s
R=30127, TT=StCr, NTX=25, TB=1748703725.28s, D=0.27s
R=30128, TT=StCr, NTX=25, TB=1748703727.37s, D=0.19s
R=30129, TT=StCr, NTX=25, TB=1748703729.66s, D=0.17s
R=30130, TT=StCr, NTX=25, TB=1748703732.08s, D=0.27s
R=30131, TT=StCr, NTX=25, TB=1748703734.27s, D=0.24s
R=30132, TT=StCr, NTX=25, TB=1748703736.49s, D=0.25s
R=30133, TT=StCr, NTX=25, TB=1748703738.76s, D=0.27s
R=30134, TT=StCr, NTX=25, TB=1748703740.93s, D=0.28s
R=30135, TT=StCr, NTX=25, TB=1748703743.00s, D=0.16s
R=30136, TT=StCr, NTX=25, TB=1748703745.20s, D=0.19s
R=30137, TT=StCr, NTX=25, TB=1748703747.12s, D=0.16s
R=30138, TT=StCr, NTX=25, TB=1748703749.72s, D=0.26s
R=30139, TT=StCr, NTX=25, TB=1748703751.76s, D=0.20s
R=30140, TT=StCr, NTX=25, TB=1748703753.99s, D=0.26s
R=30141, TT=StCr, NTX=25, TB=1748703756.29s, D=0.16s
R=30142, TT=StCr, NTX=25, TB=1748703758.54s, D=0.28s
R=30143, TT=StCr, NTX=25, TB=1748703760.79s, D=0.25s
R=30144, TT=StCr, NTX=25, TB=1748703763.00s, D=0.25s
R=30145, TT=StCr, NTX=25, TB=1748703765.12s, D=0.20s
R=30146, TT=StCr, NTX=25, TB=1748703767.49s, D=0.27s
R=30147, TT=StCr, NTX=25, TB=1748703769.57s, D=0.18s
R=30148, TT=StCr, NTX=25, TB=1748703771.67s, D=0.15s
R=30149, TT=StCr, NTX=25, TB=1748703774.00s, D=0.27s
R=30150, TT=StCr, NTX=25, TB=1748703776.25s, D=0.24s
R=30151, TT=StCr, NTX=25, TB=1748703778.55s, D=0.28s
R=30152, TT=StCr, NTX=25, TB=1748703780.83s, D=0.24s
R=30153, TT=StCr, NTX=25, TB=1748703783.01s, D=0.24s
R=30154, TT=StCr, NTX=25, TB=1748703785.38s, D=0.23s
R=30155, TT=StCr, NTX=25, TB=1748703787.75s, D=0.27s
R=30156, TT=StCr, NTX=25, TB=1748703789.95s, D=0.17s
R=30157, TT=StCr, NTX=25, TB=1748703792.22s, D=0.24s
R=30158, TT=StCr, NTX=25, TB=1748703794.36s, D=0.18s
R=30159, TT=StCr, NTX=25, TB=1748703796.62s, D=0.27s
R=30160, TT=StCr, NTX=25, TB=1748703798.81s, D=0.27s
R=30161, TT=StCr, NTX=25, TB=1748703800.94s, D=0.17s
R=30162, TT=StCr, NTX=25, TB=1748703803.20s, D=0.21s
R=30163, TT=StCr, NTX=25, TB=1748703805.45s, D=0.27s
R=30164, TT=StCr, NTX=25, TB=1748703807.61s, D=0.20s
R=30165, TT=StCr, NTX=25, TB=1748703809.80s, D=0.21s
R=30166, TT=StCr, NTX=25, TB=1748703811.88s, D=0.17s
R=30167, TT=StCr, NTX=25, TB=1748703814.31s, D=0.27s
R=30168, TT=StCr, NTX=25, TB=1748703816.62s, D=0.23s
R=30169, TT=StCr, NTX=25, TB=1748703818.77s, D=0.17s
R=30170, TT=StCr, NTX=25, TB=1748703821.08s, D=0.26s
R=30171, TT=StCr, NTX=25, TB=1748703823.28s, D=0.27s
R=30172, TT=StCr, NTX=25, TB=1748703825.40s, D=0.22s
R=30173, TT=StCr, NTX=25, TB=1748703827.87s, D=0.29s
R=30174, TT=StCr, NTX=25, TB=1748703829.95s, D=0.20s
R=30175, TT=StCr, NTX=25, TB=1748703832.02s, D=0.18s
R=30176, TT=StCr, NTX=25, TB=1748703834.41s, D=0.24s
R=30177, TT=StCr, NTX=25, TB=1748703836.63s, D=0.32s
R=30178, TT=StCr, NTX=25, TB=1748703838.64s, D=0.15s
R=30179, TT=StCr, NTX=25, TB=1748703841.03s, D=0.23s
R=30180, TT=StCr, NTX=25, TB=1748703843.26s, D=0.39s
R=30181, TT=StCr, NTX=25, TB=1748703845.74s, D=0.28s
R=30182, TT=StCr, NTX=25, TB=1748703848.10s, D=0.25s
R=30183, TT=StCr, NTX=25, TB=1748703850.09s, D=0.16s
