R=90001, TT=RebTrOw, NTX=20, TB=1748839921.21s, D=0.20s
R=90001, TT=RebCr, NTX=55, TB=1748839921.40s, D=0.36s
R=90002, TT=RebTrOw, NTX=20, TB=1748839923.94s, D=0.38s
R=90002, TT=RebCr, NTX=52, TB=1748839924.32s, D=0.26s
R=90003, TT=RebTrOw, NTX=20, TB=1748839926.15s, D=0.27s
R=90003, TT=RebCr, NTX=56, TB=1748839926.42s, D=0.35s
R=90004, TT=RebTrOw, NTX=20, TB=1748839928.72s, D=0.28s
R=90004, TT=RebCr, NTX=46, TB=1748839929.00s, D=0.39s
R=90005, TT=RebTrOw, NTX=20, TB=1748839931.03s, D=0.27s
R=90005, TT=RebCr, NTX=59, TB=1748839931.30s, D=0.41s
R=90006, TT=RebTrOw, NTX=20, TB=1748839933.31s, D=0.27s
R=90006, TT=RebCr, NTX=57, TB=1748839933.57s, D=0.43s
R=90007, TT=RebTrOw, NTX=20, TB=1748839935.61s, D=0.31s
R=90007, TT=RebCr, NTX=56, TB=1748839935.92s, D=0.32s
R=90008, TT=RebTrOw, NTX=20, TB=1748839937.82s, D=0.29s
R=90008, TT=RebCr, NTX=55, TB=1748839938.11s, D=0.35s
R=90009, TT=RebTrOw, NTX=20, TB=1748839939.99s, D=0.25s
R=90009, TT=RebCr, NTX=57, TB=1748839940.24s, D=0.40s
R=90010, TT=RebTrOw, NTX=20, TB=1748839942.36s, D=0.35s
R=90010, TT=RebCr, NTX=67, TB=1748839942.71s, D=0.38s
R=90011, TT=RebTrOw, NTX=20, TB=1748839944.59s, D=0.21s
R=90011, TT=RebCr, NTX=58, TB=1748839944.80s, D=0.39s
R=90012, TT=RebTrOw, NTX=20, TB=1748839946.98s, D=0.28s
R=90012, TT=RebCr, NTX=53, TB=1748839947.26s, D=0.34s
R=90013, TT=RebTrOw, NTX=20, TB=1748839949.17s, D=0.26s
R=90013, TT=RebCr, NTX=57, TB=1748839949.43s, D=0.35s
R=90014, TT=RebTrOw, NTX=20, TB=1748839951.29s, D=0.17s
R=90014, TT=RebCr, NTX=55, TB=1748839951.46s, D=0.41s
R=90015, TT=RebTrOw, NTX=20, TB=1748839953.71s, D=0.26s
R=90015, TT=RebCr, NTX=70, TB=1748839953.97s, D=0.41s
R=90016, TT=RebTrOw, NTX=20, TB=1748839955.83s, D=0.19s
R=90016, TT=RebCr, NTX=56, TB=1748839956.02s, D=0.49s
R=90017, TT=RebTrOw, NTX=20, TB=1748839958.27s, D=0.27s
R=90017, TT=RebCr, NTX=70, TB=1748839958.55s, D=0.44s
R=90018, TT=RebTrOw, NTX=20, TB=1748839960.55s, D=0.28s
R=90018, TT=RebCr, NTX=60, TB=1748839960.83s, D=0.34s
R=90019, TT=RebTrOw, NTX=20, TB=1748839962.69s, D=0.27s
R=90019, TT=RebCr, NTX=60, TB=1748839962.97s, D=0.40s
R=90020, TT=RebTrOw, NTX=20, TB=1748839964.96s, D=0.32s
R=90020, TT=RebCr, NTX=48, TB=1748839965.28s, D=0.29s
R=90021, TT=RebTrOw, NTX=20, TB=1748839967.36s, D=0.26s
R=90021, TT=RebCr, NTX=62, TB=1748839967.62s, D=0.38s
R=90022, TT=RebTrOw, NTX=20, TB=1748839969.64s, D=0.29s
R=90022, TT=RebCr, NTX=59, TB=1748839969.93s, D=0.36s
R=90023, TT=RebTrOw, NTX=20, TB=1748839971.95s, D=0.28s
R=90023, TT=RebCr, NTX=55, TB=1748839972.23s, D=0.36s
R=90024, TT=RebTrOw, NTX=20, TB=1748839974.16s, D=0.26s
R=90024, TT=RebCr, NTX=64, TB=1748839974.41s, D=0.45s
R=90025, TT=RebTrOw, NTX=20, TB=1748839976.50s, D=0.23s
R=90025, TT=RebCr, NTX=63, TB=1748839976.73s, D=0.45s
R=90026, TT=RebTrOw, NTX=20, TB=1748839978.78s, D=0.27s
R=90026, TT=RebCr, NTX=60, TB=1748839979.05s, D=0.37s
R=90027, TT=RebTrOw, NTX=20, TB=1748839981.06s, D=0.30s
R=90027, TT=RebCr, NTX=65, TB=1748839981.36s, D=0.35s
R=90028, TT=RebTrOw, NTX=20, TB=1748839983.24s, D=0.34s
R=90028, TT=RebCr, NTX=53, TB=1748839983.58s, D=0.60s
R=90029, TT=RebTrOw, NTX=20, TB=1748839985.79s, D=0.38s
R=90029, TT=RebCr, NTX=62, TB=1748839986.16s, D=0.43s
R=90030, TT=RebTrOw, NTX=20, TB=1748839988.09s, D=0.24s
R=90030, TT=RebCr, NTX=63, TB=1748839988.33s, D=0.47s
R=90031, TT=RebTrOw, NTX=20, TB=1748839990.47s, D=0.26s
R=90031, TT=RebCr, NTX=69, TB=1748839990.73s, D=0.39s
R=90032, TT=RebTrOw, NTX=20, TB=1748839992.69s, D=0.31s
R=90032, TT=RebCr, NTX=50, TB=1748839993.00s, D=0.32s
R=90033, TT=RebTrOw, NTX=20, TB=1748839994.87s, D=0.25s
R=90033, TT=RebCr, NTX=63, TB=1748839995.12s, D=0.47s
R=90034, TT=RebTrOw, NTX=20, TB=1748839997.16s, D=0.31s
R=90034, TT=RebCr, NTX=51, TB=1748839997.47s, D=0.38s
R=90035, TT=RebTrOw, NTX=20, TB=1748839999.46s, D=0.28s
R=90035, TT=RebCr, NTX=56, TB=1748839999.74s, D=0.39s
R=90036, TT=RebTrOw, NTX=20, TB=1748840001.76s, D=0.32s
R=90036, TT=RebCr, NTX=60, TB=1748840002.08s, D=0.34s
R=90037, TT=RebTrOw, NTX=20, TB=1748840004.04s, D=0.30s
R=90037, TT=RebCr, NTX=60, TB=1748840004.33s, D=0.39s
R=90038, TT=RebTrOw, NTX=20, TB=1748840006.31s, D=0.28s
R=90038, TT=RebCr, NTX=54, TB=1748840006.59s, D=0.39s
R=90039, TT=RebTrOw, NTX=20, TB=1748840008.60s, D=0.27s
R=90039, TT=RebCr, NTX=56, TB=1748840008.87s, D=0.38s
R=90040, TT=RebTrOw, NTX=20, TB=1748840010.87s, D=0.36s
R=90040, TT=RebCr, NTX=55, TB=1748840011.24s, D=0.35s
R=90041, TT=RebTrOw, NTX=20, TB=1748840013.12s, D=0.27s
R=90041, TT=RebCr, NTX=62, TB=1748840013.39s, D=0.40s
R=90042, TT=RebTrOw, NTX=20, TB=1748840015.43s, D=0.29s
R=90042, TT=RebCr, NTX=68, TB=1748840015.72s, D=0.38s
R=90043, TT=RebTrOw, NTX=20, TB=1748840017.62s, D=0.25s
R=90043, TT=RebCr, NTX=52, TB=1748840017.87s, D=0.39s
R=90044, TT=RebTrOw, NTX=20, TB=1748840019.86s, D=0.29s
R=90044, TT=RebCr, NTX=51, TB=1748840020.15s, D=0.34s
R=90045, TT=RebTrOw, NTX=20, TB=1748840022.09s, D=0.29s
R=90045, TT=RebCr, NTX=62, TB=1748840022.38s, D=0.39s
R=90046, TT=RebTrOw, NTX=20, TB=1748840024.31s, D=0.30s
R=90046, TT=RebCr, NTX=60, TB=1748840024.62s, D=0.42s
R=90047, TT=RebTrOw, NTX=20, TB=1748840026.56s, D=0.19s
R=90047, TT=RebCr, NTX=53, TB=1748840026.75s, D=0.35s
R=90048, TT=RebTrOw, NTX=20, TB=1748840029.00s, D=0.30s
R=90048, TT=RebCr, NTX=63, TB=1748840029.30s, D=0.45s
R=90049, TT=RebTrOw, NTX=20, TB=1748840031.36s, D=0.28s
R=90049, TT=RebCr, NTX=67, TB=1748840031.64s, D=0.39s
R=90050, TT=RebTrOw, NTX=20, TB=1748840033.60s, D=0.27s
R=90050, TT=RebCr, NTX=55, TB=1748840033.87s, D=0.46s
R=90051, TT=RebTrOw, NTX=20, TB=1748840035.92s, D=0.35s
R=90051, TT=RebCr, NTX=63, TB=1748840036.27s, D=0.42s
R=90052, TT=RebTrOw, NTX=20, TB=1748840038.24s, D=0.27s
R=90052, TT=RebCr, NTX=67, TB=1748840038.51s, D=0.51s
R=90053, TT=RebTrOw, NTX=20, TB=1748840040.60s, D=0.31s
R=90053, TT=RebCr, NTX=67, TB=1748840040.90s, D=0.38s
R=90054, TT=RebTrOw, NTX=20, TB=1748840042.85s, D=0.37s
R=90054, TT=RebCr, NTX=66, TB=1748840043.23s, D=0.55s
R=90055, TT=RebTrOw, NTX=20, TB=1748840045.35s, D=0.35s
R=90055, TT=RebCr, NTX=50, TB=1748840045.70s, D=0.35s
R=90056, TT=RebTrOw, NTX=20, TB=1748840047.64s, D=0.31s
R=90056, TT=RebCr, NTX=57, TB=1748840047.95s, D=0.38s
R=90057, TT=RebTrOw, NTX=20, TB=1748840050.00s, D=0.29s
R=90057, TT=RebCr, NTX=48, TB=1748840050.28s, D=0.37s
R=90058, TT=RebTrOw, NTX=20, TB=1748840052.30s, D=0.26s
R=90058, TT=RebCr, NTX=64, TB=1748840052.55s, D=0.39s
R=90059, TT=RebTrOw, NTX=20, TB=1748840054.53s, D=0.25s
R=90059, TT=RebCr, NTX=65, TB=1748840054.78s, D=0.42s
R=90060, TT=RebTrOw, NTX=20, TB=1748840056.74s, D=0.29s
R=90060, TT=RebCr, NTX=62, TB=1748840057.03s, D=0.53s
R=90061, TT=RebTrOw, NTX=20, TB=1748840059.15s, D=0.30s
R=90061, TT=RebCr, NTX=64, TB=1748840059.45s, D=0.43s
R=90062, TT=RebTrOw, NTX=20, TB=1748840061.45s, D=0.29s
R=90062, TT=RebCr, NTX=64, TB=1748840061.75s, D=0.44s
R=90063, TT=RebTrOw, NTX=20, TB=1748840063.78s, D=0.28s
R=90063, TT=RebCr, NTX=64, TB=1748840064.06s, D=0.39s
R=90064, TT=RebTrOw, NTX=20, TB=1748840066.03s, D=0.22s
R=90064, TT=RebCr, NTX=67, TB=1748840066.26s, D=0.47s
R=90065, TT=RebTrOw, NTX=20, TB=1748840068.40s, D=0.26s
R=90065, TT=RebCr, NTX=54, TB=1748840068.66s, D=0.40s
R=90066, TT=RebTrOw, NTX=20, TB=1748840070.63s, D=0.29s
R=90066, TT=RebCr, NTX=64, TB=1748840070.92s, D=0.45s
R=90067, TT=RebTrOw, NTX=20, TB=1748840072.97s, D=0.29s
R=90067, TT=RebCr, NTX=65, TB=1748840073.26s, D=0.36s
R=90068, TT=RebTrOw, NTX=20, TB=1748840075.24s, D=0.32s
R=90068, TT=RebCr, NTX=63, TB=1748840075.55s, D=0.34s
R=90069, TT=RebTrOw, NTX=20, TB=1748840077.51s, D=0.27s
R=90069, TT=RebCr, NTX=45, TB=1748840077.78s, D=0.31s
R=90070, TT=RebTrOw, NTX=20, TB=1748840079.65s, D=0.28s
R=90070, TT=RebCr, NTX=59, TB=1748840079.93s, D=0.39s
R=90071, TT=RebTrOw, NTX=20, TB=1748840081.81s, D=0.27s
R=90071, TT=RebCr, NTX=63, TB=1748840082.09s, D=0.42s
R=90072, TT=RebTrOw, NTX=20, TB=1748840084.28s, D=0.30s
R=90072, TT=RebCr, NTX=68, TB=1748840084.58s, D=0.43s
R=90073, TT=RebTrOw, NTX=20, TB=1748840086.62s, D=0.29s
R=90073, TT=RebCr, NTX=62, TB=1748840086.91s, D=0.37s
R=90074, TT=RebTrOw, NTX=20, TB=1748840089.09s, D=0.31s
R=90074, TT=RebCr, NTX=61, TB=1748840089.40s, D=0.41s
R=90075, TT=RebTrOw, NTX=20, TB=1748840091.41s, D=0.27s
