R=70001, TT=StCr, NTX=25, TB=1748794445.14s, D=0.25s
R=70002, TT=StCr, NTX=25, TB=1748794447.19s, D=0.15s
R=70003, TT=StCr, NTX=25, TB=1748794449.83s, D=0.22s
R=70004, TT=StCr, NTX=25, TB=1748794452.02s, D=0.28s
R=70005, TT=StCr, NTX=25, TB=1748794454.15s, D=0.26s
R=70006, TT=StCr, NTX=25, TB=1748794456.33s, D=0.18s
R=70007, TT=StCr, NTX=25, TB=1748794458.48s, D=0.18s
R=70008, TT=StCr, NTX=25, TB=1748794460.69s, D=0.21s
R=70009, TT=StCr, NTX=25, TB=1748794462.71s, D=0.15s
R=70010, TT=StCr, NTX=25, TB=1748794464.98s, D=0.17s
R=70011, TT=StCr, NTX=25, TB=1748794467.27s, D=0.28s
R=70012, TT=StCr, NTX=25, TB=1748794469.42s, D=0.37s
R=70013, TT=StCr, NTX=25, TB=1748794471.60s, D=0.20s
R=70014, TT=StCr, NTX=25, TB=1748794473.76s, D=0.26s
R=70015, TT=StCr, NTX=25, TB=1748794475.78s, D=0.16s
R=70016, TT=StCr, NTX=25, TB=1748794478.08s, D=0.18s
R=70017, TT=StCr, NTX=25, TB=1748794480.26s, D=0.19s
R=70018, TT=StCr, NTX=25, TB=1748794482.39s, D=0.18s
R=70019, TT=StCr, NTX=25, TB=1748794484.64s, D=0.23s
R=70020, TT=StCr, NTX=25, TB=1748794486.73s, D=0.19s
R=70021, TT=StCr, NTX=25, TB=1748794488.94s, D=0.24s
R=70022, TT=StCr, NTX=25, TB=1748794491.08s, D=0.25s
R=70023, TT=StCr, NTX=25, TB=1748794493.27s, D=0.23s
R=70024, TT=StCr, NTX=25, TB=1748794495.51s, D=0.21s
R=70025, TT=StCr, NTX=25, TB=1748794497.69s, D=0.27s
R=70026, TT=StCr, NTX=25, TB=1748794499.91s, D=0.31s
R=70027, TT=StCr, NTX=25, TB=1748794502.15s, D=0.31s
R=70028, TT=StCr, NTX=25, TB=1748794504.49s, D=0.27s
R=70029, TT=StCr, NTX=25, TB=1748794506.52s, D=0.15s
R=70030, TT=StCr, NTX=25, TB=1748794508.95s, D=0.22s
R=70031, TT=StCr, NTX=25, TB=1748794511.19s, D=0.21s
R=70032, TT=StCr, NTX=25, TB=1748794513.33s, D=0.17s
R=70033, TT=StCr, NTX=25, TB=1748794515.60s, D=0.18s
R=70034, TT=StCr, NTX=25, TB=1748794517.90s, D=0.27s
R=70035, TT=StCr, NTX=25, TB=1748794519.86s, D=0.17s
R=70036, TT=StCr, NTX=25, TB=1748794522.25s, D=0.22s
R=70037, TT=StCr, NTX=25, TB=1748794524.41s, D=0.26s
R=70038, TT=StCr, NTX=25, TB=1748794526.44s, D=0.14s
R=70039, TT=StCr, NTX=25, TB=1748794528.63s, D=0.20s
R=70040, TT=StCr, NTX=25, TB=1748794530.93s, D=0.23s
R=70041, TT=StCr, NTX=25, TB=1748794533.10s, D=0.28s
R=70042, TT=StCr, NTX=25, TB=1748794535.22s, D=0.17s
R=70043, TT=StCr, NTX=25, TB=1748794537.44s, D=0.29s
R=70044, TT=StCr, NTX=25, TB=1748794539.54s, D=0.18s
R=70045, TT=StCr, NTX=25, TB=1748794541.79s, D=0.20s
R=70046, TT=StCr, NTX=25, TB=1748794544.02s, D=0.28s
R=70047, TT=StCr, NTX=25, TB=1748794546.21s, D=0.24s
R=70048, TT=StCr, NTX=25, TB=1748794548.45s, D=0.27s
R=70049, TT=StCr, NTX=25, TB=1748794550.58s, D=0.21s
R=70050, TT=StCr, NTX=25, TB=1748794552.88s, D=0.25s
R=70051, TT=StCr, NTX=25, TB=1748794554.99s, D=0.25s
R=70052, TT=StCr, NTX=25, TB=1748794557.12s, D=0.18s
R=70053, TT=StCr, NTX=25, TB=1748794559.37s, D=0.22s
R=70054, TT=StCr, NTX=25, TB=1748794561.55s, D=0.25s
R=70055, TT=StCr, NTX=25, TB=1748794563.70s, D=0.22s
R=70056, TT=StCr, NTX=25, TB=1748794566.19s, D=0.26s
R=70057, TT=StCr, NTX=25, TB=1748794568.73s, D=0.22s
R=70058, TT=StCr, NTX=25, TB=1748794571.22s, D=0.25s
R=70059, TT=StCr, NTX=25, TB=1748794573.36s, D=0.22s
R=70060, TT=StCr, NTX=25, TB=1748794575.55s, D=0.23s
R=70061, TT=StCr, NTX=25, TB=1748794577.73s, D=0.26s
R=70062, TT=StCr, NTX=25, TB=1748794579.90s, D=0.23s
R=70063, TT=StCr, NTX=25, TB=1748794582.05s, D=0.24s
R=70064, TT=StCr, NTX=25, TB=1748794584.05s, D=0.16s
R=70065, TT=StCr, NTX=25, TB=1748794586.30s, D=0.15s
R=70066, TT=StCr, NTX=25, TB=1748794588.62s, D=0.23s
R=70067, TT=StCr, NTX=25, TB=1748794590.78s, D=0.24s
R=70068, TT=StCr, NTX=25, TB=1748794592.92s, D=0.15s
R=70069, TT=StCr, NTX=25, TB=1748794595.16s, D=0.24s
R=70070, TT=StCr, NTX=25, TB=1748794597.28s, D=0.15s
R=70071, TT=StCr, NTX=25, TB=1748794599.54s, D=0.27s
R=70072, TT=StCr, NTX=25, TB=1748794601.54s, D=0.15s
R=70073, TT=StCr, NTX=25, TB=1748794603.88s, D=0.23s
R=70074, TT=StCr, NTX=25, TB=1748794606.02s, D=0.23s
R=70075, TT=StCr, NTX=25, TB=1748794608.12s, D=0.15s
R=70076, TT=StCr, NTX=25, TB=1748794610.45s, D=0.22s
R=70077, TT=StCr, NTX=25, TB=1748794612.72s, D=0.23s
R=70078, TT=StCr, NTX=25, TB=1748794614.67s, D=0.16s
R=70079, TT=StCr, NTX=25, TB=1748794617.02s, D=0.21s
R=70080, TT=StCr, NTX=25, TB=1748794619.19s, D=0.20s
R=70081, TT=StCr, NTX=25, TB=1748794621.41s, D=0.24s
R=70082, TT=StCr, NTX=25, TB=1748794623.43s, D=0.16s
R=70083, TT=StCr, NTX=25, TB=1748794626.03s, D=0.15s
R=70084, TT=StCr, NTX=25, TB=1748794628.55s, D=0.22s
R=70085, TT=StCr, NTX=25, TB=1748794630.46s, D=0.15s
R=70086, TT=StCr, NTX=25, TB=1748794632.93s, D=0.16s
R=70087, TT=StCr, NTX=25, TB=1748794635.23s, D=0.22s
R=70088, TT=StCr, NTX=25, TB=1748794637.37s, D=0.28s
R=70089, TT=StCr, NTX=25, TB=1748794639.54s, D=0.28s
R=70090, TT=StCr, NTX=25, TB=1748794641.51s, D=0.17s
R=70091, TT=StCr, NTX=25, TB=1748794643.80s, D=0.19s
R=70092, TT=StCr, NTX=25, TB=1748794645.95s, D=0.18s
R=70093, TT=StCr, NTX=25, TB=1748794648.17s, D=0.17s
R=70094, TT=StCr, NTX=25, TB=1748794650.26s, D=0.15s
R=70095, TT=StCr, NTX=25, TB=1748794652.58s, D=0.25s
R=70096, TT=StCr, NTX=25, TB=1748794654.56s, D=0.17s
R=70097, TT=StCr, NTX=25, TB=1748794656.93s, D=0.24s
R=70098, TT=StCr, NTX=25, TB=1748794659.12s, D=0.24s
R=70099, TT=StCr, NTX=25, TB=1748794661.27s, D=0.27s
R=70100, TT=StCr, NTX=25, TB=1748794663.38s, D=0.24s
R=70101, TT=StCr, NTX=25, TB=1748794665.55s, D=0.39s
R=70102, TT=StCr, NTX=25, TB=1748794667.94s, D=0.25s
R=70103, TT=StCr, NTX=25, TB=1748794670.08s, D=0.19s
R=70104, TT=StCr, NTX=25, TB=1748794672.23s, D=0.25s
R=70105, TT=StCr, NTX=25, TB=1748794674.40s, D=0.20s
