R=70001, TT=TinTrOw, NTX=5, TB=1748794445.07s, D=0.14s
R=70001, TT=TinCr, NTX=7, TB=1748794445.21s, D=0.19s
R=70002, TT=TinTrOw, NTX=5, TB=1748794447.31s, D=0.20s
R=70002, TT=TinCr, NTX=9, TB=1748794447.51s, D=0.22s
R=70003, TT=TinTrOw, NTX=5, TB=1748794449.55s, D=0.13s
R=70003, TT=TinCr, NTX=10, TB=1748794449.68s, D=0.13s
R=70004, TT=TinTrOw, NTX=5, TB=1748794452.02s, D=0.18s
R=70004, TT=TinCr, NTX=10, TB=1748794452.19s, D=0.28s
R=70005, TT=TinTrOw, NTX=5, TB=1748794454.19s, D=0.19s
R=70005, TT=TinCr, NTX=12, TB=1748794454.38s, D=0.31s
R=70006, TT=TinTrOw, NTX=5, TB=1748794456.37s, D=0.16s
R=70006, TT=TinCr, NTX=10, TB=1748794456.53s, D=0.26s
R=70007, TT=TinTrOw, NTX=5, TB=1748794458.52s, D=0.17s
R=70007, TT=TinCr, NTX=6, TB=1748794458.69s, D=0.19s
R=70008, TT=TinTrOw, NTX=5, TB=1748794460.70s, D=0.19s
R=70008, TT=TinCr, NTX=11, TB=1748794460.89s, D=0.29s
R=70009, TT=TinTrOw, NTX=5, TB=1748794462.89s, D=0.17s
R=70009, TT=TinCr, NTX=9, TB=1748794463.06s, D=0.34s
R=70010, TT=TinTrOw, NTX=5, TB=1748794465.05s, D=0.17s
R=70010, TT=TinCr, NTX=8, TB=1748794465.23s, D=0.22s
R=70011, TT=TinTrOw, NTX=5, TB=1748794467.21s, D=0.15s
R=70011, TT=TinCr, NTX=7, TB=1748794467.36s, D=0.19s
R=70012, TT=TinTrOw, NTX=5, TB=1748794469.33s, D=0.13s
R=70012, TT=TinCr, NTX=11, TB=1748794469.46s, D=0.23s
R=70013, TT=TinTrOw, NTX=5, TB=1748794471.64s, D=0.18s
R=70013, TT=TinCr, NTX=11, TB=1748794471.82s, D=0.21s
R=70014, TT=TinTrOw, NTX=5, TB=1748794473.75s, D=0.17s
R=70014, TT=TinCr, NTX=10, TB=1748794473.92s, D=0.23s
R=70015, TT=TinTrOw, NTX=5, TB=1748794475.91s, D=0.17s
R=70015, TT=TinCr, NTX=10, TB=1748794476.08s, D=0.25s
R=70016, TT=TinTrOw, NTX=5, TB=1748794478.09s, D=0.14s
R=70016, TT=TinCr, NTX=11, TB=1748794478.24s, D=0.19s
R=70017, TT=TinTrOw, NTX=5, TB=1748794480.35s, D=0.19s
R=70017, TT=TinCr, NTX=10, TB=1748794480.54s, D=0.29s
R=70018, TT=TinTrOw, NTX=5, TB=1748794482.50s, D=0.17s
R=70018, TT=TinCr, NTX=8, TB=1748794482.67s, D=0.29s
R=70019, TT=TinTrOw, NTX=5, TB=1748794484.64s, D=0.18s
R=70019, TT=TinCr, NTX=10, TB=1748794484.82s, D=0.30s
R=70020, TT=TinTrOw, NTX=5, TB=1748794486.75s, D=0.14s
R=70020, TT=TinCr, NTX=8, TB=1748794486.89s, D=0.27s
R=70021, TT=TinTrOw, NTX=5, TB=1748794488.94s, D=0.16s
R=70021, TT=TinCr, NTX=10, TB=1748794489.10s, D=0.32s
R=70022, TT=TinTrOw, NTX=5, TB=1748794491.09s, D=0.19s
R=70022, TT=TinCr, NTX=9, TB=1748794491.27s, D=0.35s
R=70023, TT=TinTrOw, NTX=5, TB=1748794493.30s, D=0.20s
R=70023, TT=TinCr, NTX=10, TB=1748794493.50s, D=0.30s
R=70024, TT=TinTrOw, NTX=5, TB=1748794495.52s, D=0.18s
R=70024, TT=TinCr, NTX=8, TB=1748794495.70s, D=0.25s
R=70025, TT=TinTrOw, NTX=5, TB=1748794497.72s, D=0.19s
R=70025, TT=TinCr, NTX=7, TB=1748794497.92s, D=0.31s
R=70026, TT=TinTrOw, NTX=5, TB=1748794499.82s, D=0.12s
R=70026, TT=TinCr, NTX=7, TB=1748794499.94s, D=0.23s
R=70027, TT=TinTrOw, NTX=5, TB=1748794502.19s, D=0.23s
R=70027, TT=TinCr, NTX=11, TB=1748794502.41s, D=0.31s
R=70028, TT=TinTrOw, NTX=5, TB=1748794504.47s, D=0.18s
R=70028, TT=TinCr, NTX=12, TB=1748794504.65s, D=0.22s
R=70029, TT=TinTrOw, NTX=5, TB=1748794506.68s, D=0.18s
R=70029, TT=TinCr, NTX=11, TB=1748794506.86s, D=0.29s
R=70030, TT=TinTrOw, NTX=5, TB=1748794508.88s, D=0.14s
R=70030, TT=TinCr, NTX=8, TB=1748794509.03s, D=0.22s
R=70031, TT=TinTrOw, NTX=5, TB=1748794511.23s, D=0.17s
R=70031, TT=TinCr, NTX=11, TB=1748794511.41s, D=0.28s
R=70032, TT=TinTrOw, NTX=5, TB=1748794513.49s, D=0.19s
