R=50001, TT=TinTrOw, NTX=5, TB=1748749167.08s, D=0.20s
R=50001, TT=TinCr, NTX=12, TB=1748749167.29s, D=0.31s
R=50002, TT=TinTrOw, NTX=5, TB=1748749169.28s, D=0.22s
R=50002, TT=TinCr, NTX=9, TB=1748749169.50s, D=0.18s
R=50003, TT=TinTrOw, NTX=5, TB=1748749171.28s, D=0.11s
R=50003, TT=TinCr, NTX=10, TB=1748749171.39s, D=0.13s
R=50004, TT=TinTrOw, NTX=5, TB=1748749173.76s, D=0.17s
R=50004, TT=TinCr, NTX=12, TB=1748749173.94s, D=0.27s
R=50005, TT=TinTrOw, NTX=5, TB=1748749175.86s, D=0.13s
R=50005, TT=TinCr, NTX=10, TB=1748749176.00s, D=0.23s
R=50006, TT=TinTrOw, NTX=5, TB=1748749178.07s, D=0.14s
R=50006, TT=TinCr, NTX=11, TB=1748749178.21s, D=0.23s
R=50007, TT=TinTrOw, NTX=5, TB=1748749180.30s, D=0.18s
R=50007, TT=TinCr, NTX=10, TB=1748749180.48s, D=0.26s
R=50008, TT=TinTrOw, NTX=5, TB=1748749182.51s, D=0.20s
R=50008, TT=TinCr, NTX=10, TB=1748749182.71s, D=0.27s
R=50009, TT=TinTrOw, NTX=5, TB=1748749184.70s, D=0.20s
R=50009, TT=TinCr, NTX=9, TB=1748749184.91s, D=0.28s
R=50010, TT=TinTrOw, NTX=5, TB=1748749186.82s, D=0.15s
R=50010, TT=TinCr, NTX=12, TB=1748749186.97s, D=0.23s
R=50011, TT=TinTrOw, NTX=5, TB=1748749189.09s, D=0.18s
R=50011, TT=TinCr, NTX=9, TB=1748749189.27s, D=0.28s
R=50012, TT=TinTrOw, NTX=5, TB=1748749191.27s, D=0.15s
R=50012, TT=TinCr, NTX=13, TB=1748749191.43s, D=0.37s
R=50013, TT=TinTrOw, NTX=5, TB=1748749193.46s, D=0.18s
R=50013, TT=TinCr, NTX=9, TB=1748749193.63s, D=0.32s
R=50014, TT=TinTrOw, NTX=5, TB=1748749195.55s, D=0.13s
R=50014, TT=TinCr, NTX=10, TB=1748749195.68s, D=0.17s
R=50015, TT=TinTrOw, NTX=5, TB=1748749197.97s, D=0.20s
R=50015, TT=TinCr, NTX=7, TB=1748749198.17s, D=0.21s
R=50016, TT=TinTrOw, NTX=5, TB=1748749200.13s, D=0.23s
R=50016, TT=TinCr, NTX=8, TB=1748749200.36s, D=0.24s
R=50017, TT=TinTrOw, NTX=5, TB=1748749202.48s, D=0.25s
R=50017, TT=TinCr, NTX=12, TB=1748749202.73s, D=0.37s
R=50018, TT=TinTrOw, NTX=5, TB=1748749204.83s, D=0.13s
R=50018, TT=TinCr, NTX=11, TB=1748749204.97s, D=0.24s
R=50019, TT=TinTrOw, NTX=5, TB=1748749207.21s, D=0.22s
R=50019, TT=TinCr, NTX=11, TB=1748749207.43s, D=0.34s
R=50020, TT=TinTrOw, NTX=5, TB=1748749209.72s, D=0.21s
R=50020, TT=TinCr, NTX=10, TB=1748749209.93s, D=0.37s
R=50021, TT=TinTrOw, NTX=5, TB=1748749211.94s, D=0.19s
R=50021, TT=TinCr, NTX=13, TB=1748749212.13s, D=0.33s
R=50022, TT=TinTrOw, NTX=5, TB=1748749214.18s, D=0.25s
R=50022, TT=TinCr, NTX=11, TB=1748749214.43s, D=0.23s
