R=10001, TT=TinTrOw, NTX=5, TB=1748657680.35s, D=0.18s
R=10001, TT=TinCr, NTX=12, TB=1748657680.53s, D=0.26s
R=10002, TT=TinTrOw, NTX=5, TB=1748657682.37s, D=0.12s
R=10002, TT=TinCr, NTX=11, TB=1748657682.49s, D=0.16s
R=10003, TT=TinTrOw, NTX=5, TB=1748657684.69s, D=0.14s
R=10003, TT=TinCr, NTX=9, TB=1748657684.83s, D=0.21s
R=10004, TT=TinTrOw, NTX=5, TB=1748657686.97s, D=0.19s
R=10004, TT=TinCr, NTX=10, TB=1748657687.16s, D=0.33s
R=10005, TT=TinTrOw, NTX=5, TB=1748657689.24s, D=0.19s
R=10005, TT=TinCr, NTX=9, TB=1748657689.44s, D=0.32s
R=10006, TT=TinTrOw, NTX=5, TB=1748657691.44s, D=0.16s
R=10006, TT=TinCr, NTX=9, TB=1748657691.60s, D=0.26s
R=10007, TT=TinTrOw, NTX=5, TB=1748657693.64s, D=0.15s
R=10007, TT=TinCr, NTX=12, TB=1748657693.79s, D=0.23s
R=10008, TT=TinTrOw, NTX=5, TB=1748657695.98s, D=0.18s
R=10008, TT=TinCr, NTX=12, TB=1748657696.16s, D=0.29s
R=10009, TT=TinTrOw, NTX=5, TB=1748657698.47s, D=0.18s
R=10009, TT=TinCr, NTX=12, TB=1748657698.65s, D=0.34s
R=10010, TT=TinTrOw, NTX=5, TB=1748657700.71s, D=0.22s
R=10010, TT=TinCr, NTX=11, TB=1748657700.93s, D=0.23s
R=10011, TT=TinTrOw, NTX=5, TB=1748657702.93s, D=0.22s
R=10011, TT=TinCr, NTX=14, TB=1748657703.15s, D=0.27s
R=10012, TT=TinTrOw, NTX=5, TB=1748657705.36s, D=0.16s
R=10012, TT=TinCr, NTX=9, TB=1748657705.52s, D=0.21s
R=10013, TT=TinTrOw, NTX=5, TB=1748657707.64s, D=0.15s
R=10013, TT=TinCr, NTX=11, TB=1748657707.79s, D=0.35s
R=10014, TT=TinTrOw, NTX=5, TB=1748657710.06s, D=0.21s
R=10014, TT=TinCr, NTX=9, TB=1748657710.27s, D=0.30s
R=10015, TT=TinTrOw, NTX=5, TB=1748657712.23s, D=0.17s
R=10015, TT=TinCr, NTX=11, TB=1748657712.40s, D=0.29s
R=10016, TT=TinTrOw, NTX=5, TB=1748657714.32s, D=0.12s
R=10016, TT=TinCr, NTX=11, TB=1748657714.44s, D=0.18s
R=10017, TT=TinTrOw, NTX=5, TB=1748657716.70s, D=0.20s
R=10017, TT=TinCr, NTX=12, TB=1748657716.90s, D=0.33s
R=10018, TT=TinTrOw, NTX=5, TB=1748657718.93s, D=0.20s
R=10018, TT=TinCr, NTX=7, TB=1748657719.13s, D=0.23s
R=10019, TT=TinTrOw, NTX=5, TB=1748657721.27s, D=0.19s
R=10019, TT=TinCr, NTX=10, TB=1748657721.46s, D=0.23s
R=10020, TT=TinTrOw, NTX=5, TB=1748657723.47s, D=0.17s
R=10020, TT=TinCr, NTX=9, TB=1748657723.64s, D=0.22s
R=10021, TT=TinTrOw, NTX=5, TB=1748657725.70s, D=0.16s
R=10021, TT=TinCr, NTX=10, TB=1748657725.86s, D=0.24s
R=10022, TT=TinTrOw, NTX=5, TB=1748657727.93s, D=0.22s
R=10022, TT=TinCr, NTX=8, TB=1748657728.15s, D=0.25s
R=10023, TT=TinTrOw, NTX=5, TB=1748657730.16s, D=0.20s
R=10023, TT=TinCr, NTX=11, TB=1748657730.36s, D=0.33s
R=10024, TT=TinTrOw, NTX=5, TB=1748657732.42s, D=0.18s
R=10024, TT=TinCr, NTX=8, TB=1748657732.60s, D=0.34s
R=10025, TT=TinTrOw, NTX=5, TB=1748657734.64s, D=0.19s
R=10025, TT=TinCr, NTX=10, TB=1748657734.83s, D=0.31s
R=10026, TT=TinTrOw, NTX=5, TB=1748657736.86s, D=0.20s
R=10026, TT=TinCr, NTX=11, TB=1748657737.06s, D=0.28s
R=10027, TT=TinTrOw, NTX=5, TB=1748657739.03s, D=0.16s
R=10027, TT=TinCr, NTX=12, TB=1748657739.18s, D=0.23s
R=10028, TT=TinTrOw, NTX=5, TB=1748657741.33s, D=0.19s
R=10028, TT=TinCr, NTX=10, TB=1748657741.53s, D=0.33s
R=10029, TT=TinTrOw, NTX=5, TB=1748657743.52s, D=0.18s
R=10029, TT=TinCr, NTX=8, TB=1748657743.70s, D=0.30s
