R=1, TT=TinTrOw, NTX=5, TB=1748634930.71s, D=0.13s
R=1, TT=TinCr, NTX=11, TB=1748634930.84s, D=0.16s
R=2, TT=TinTrOw, NTX=5, TB=1748634933.14s, D=0.18s
R=2, TT=TinCr, NTX=11, TB=1748634933.32s, D=0.18s
R=3, TT=TinTrOw, NTX=5, TB=1748634935.21s, D=0.17s
R=3, TT=TinCr, NTX=11, TB=1748634935.38s, D=0.22s
R=4, TT=TinTrOw, NTX=5, TB=1748634937.32s, D=0.17s
R=4, TT=TinCr, NTX=10, TB=1748634937.49s, D=0.25s
R=5, TT=TinTrOw, NTX=5, TB=1748634939.42s, D=0.19s
R=5, TT=TinCr, NTX=9, TB=1748634939.61s, D=0.20s
R=6, TT=TinTrOw, NTX=5, TB=1748634941.47s, D=0.17s
R=6, TT=TinCr, NTX=11, TB=1748634941.64s, D=0.28s
R=7, TT=TinTrOw, NTX=5, TB=1748634943.49s, D=0.12s
R=7, TT=TinCr, NTX=9, TB=1748634943.60s, D=0.22s
R=8, TT=TinTrOw, NTX=5, TB=1748634945.71s, D=0.21s
R=8, TT=TinCr, NTX=12, TB=1748634945.93s, D=0.20s
R=9, TT=TinTrOw, NTX=5, TB=1748634948.01s, D=0.21s
R=9, TT=TinCr, NTX=11, TB=1748634948.22s, D=0.19s
R=10, TT=TinTrOw, NTX=5, TB=1748634950.04s, D=0.16s
R=10, TT=TinCr, NTX=10, TB=1748634950.20s, D=0.25s
R=11, TT=TinTrOw, NTX=5, TB=1748634952.26s, D=0.17s
R=11, TT=TinCr, NTX=7, TB=1748634952.43s, D=0.22s
R=12, TT=TinTrOw, NTX=5, TB=1748634954.47s, D=0.21s
R=12, TT=TinCr, NTX=12, TB=1748634954.69s, D=0.26s
R=13, TT=TinTrOw, NTX=5, TB=1748634956.61s, D=0.20s
R=13, TT=TinCr, NTX=8, TB=1748634956.81s, D=0.18s
R=14, TT=TinTrOw, NTX=5, TB=1748634958.84s, D=0.20s
R=14, TT=TinCr, NTX=8, TB=1748634959.04s, D=0.25s
R=15, TT=TinTrOw, NTX=5, TB=1748634960.94s, D=0.16s
R=15, TT=TinCr, NTX=13, TB=1748634961.10s, D=0.31s
R=16, TT=TinTrOw, NTX=5, TB=1748634963.04s, D=0.17s
R=16, TT=TinCr, NTX=9, TB=1748634963.21s, D=0.26s
R=17, TT=TinTrOw, NTX=5, TB=1748634965.32s, D=0.16s
R=17, TT=TinCr, NTX=8, TB=1748634965.49s, D=0.23s
R=18, TT=TinTrOw, NTX=5, TB=1748634967.31s, D=0.12s
