R=30001, TT=TinTrOw, NTX=5, TB=1748703444.67s, D=0.19s
R=30001, TT=TinCr, NTX=9, TB=1748703444.86s, D=0.34s
R=30002, TT=TinTrOw, NTX=5, TB=1748703446.79s, D=0.12s
R=30002, TT=TinCr, NTX=8, TB=1748703446.91s, D=0.20s
R=30003, TT=TinTrOw, NTX=5, TB=1748703449.04s, D=0.18s
R=30003, TT=TinCr, NTX=9, TB=1748703449.22s, D=0.21s
R=30004, TT=TinTrOw, NTX=5, TB=1748703451.28s, D=0.12s
R=30004, TT=TinCr, NTX=9, TB=1748703451.40s, D=0.21s
R=30005, TT=TinTrOw, NTX=5, TB=1748703453.55s, D=0.16s
R=30005, TT=TinCr, NTX=9, TB=1748703453.71s, D=0.20s
R=30006, TT=TinTrOw, NTX=5, TB=1748703455.71s, D=0.17s
R=30006, TT=TinCr, NTX=11, TB=1748703455.88s, D=0.21s
R=30007, TT=TinTrOw, NTX=5, TB=1748703457.97s, D=0.15s
R=30007, TT=TinCr, NTX=12, TB=1748703458.12s, D=0.23s
R=30008, TT=TinTrOw, NTX=5, TB=1748703460.21s, D=0.17s
R=30008, TT=TinCr, NTX=11, TB=1748703460.38s, D=0.21s
R=30009, TT=TinTrOw, NTX=5, TB=1748703462.48s, D=0.19s
R=30009, TT=TinCr, NTX=11, TB=1748703462.67s, D=0.24s
R=30010, TT=TinTrOw, NTX=5, TB=1748703464.63s, D=0.14s
R=30010, TT=TinCr, NTX=13, TB=1748703464.76s, D=0.26s
R=30011, TT=TinTrOw, NTX=5, TB=1748703466.74s, D=0.12s
R=30011, TT=TinCr, NTX=13, TB=1748703466.86s, D=0.23s
R=30012, TT=TinTrOw, NTX=5, TB=1748703468.94s, D=0.16s
R=30012, TT=TinCr, NTX=11, TB=1748703469.10s, D=0.22s
R=30013, TT=TinTrOw, NTX=5, TB=1748703471.17s, D=0.16s
R=30013, TT=TinCr, NTX=8, TB=1748703471.33s, D=0.24s
R=30014, TT=TinTrOw, NTX=5, TB=1748703473.37s, D=0.18s
