R=60001, TT=TinTrOw, NTX=5, TB=1748771843.62s, D=0.12s
R=60001, TT=TinCr, NTX=10, TB=1748771843.74s, D=0.20s
R=60002, TT=TinTrOw, NTX=5, TB=1748771845.91s, D=0.18s
R=60002, TT=TinCr, NTX=6, TB=1748771846.08s, D=0.21s
R=60003, TT=TinTrOw, NTX=5, TB=1748771848.11s, D=0.16s
R=60003, TT=TinCr, NTX=8, TB=1748771848.28s, D=0.18s
R=60004, TT=TinTrOw, NTX=5, TB=1748771850.32s, D=0.19s
R=60004, TT=TinCr, NTX=12, TB=1748771850.51s, D=0.34s
R=60005, TT=TinTrOw, NTX=5, TB=1748771852.54s, D=0.19s
R=60005, TT=TinCr, NTX=12, TB=1748771852.73s, D=0.23s
R=60006, TT=TinTrOw, NTX=5, TB=1748771854.62s, D=0.12s
R=60006, TT=TinCr, NTX=11, TB=1748771854.74s, D=0.21s
R=60007, TT=TinTrOw, NTX=5, TB=1748771856.90s, D=0.16s
R=60007, TT=TinCr, NTX=11, TB=1748771857.06s, D=0.23s
R=60008, TT=TinTrOw, NTX=5, TB=1748771858.98s, D=0.14s
R=60008, TT=TinCr, NTX=8, TB=1748771859.12s, D=0.21s
R=60009, TT=TinTrOw, NTX=5, TB=1748771861.21s, D=0.16s
R=60009, TT=TinCr, NTX=11, TB=1748771861.38s, D=0.21s
R=60010, TT=TinTrOw, NTX=5, TB=1748771863.42s, D=0.16s
R=60010, TT=TinCr, NTX=13, TB=1748771863.58s, D=0.25s
R=60011, TT=TinTrOw, NTX=5, TB=1748771865.53s, D=0.14s
R=60011, TT=TinCr, NTX=8, TB=1748771865.67s, D=0.28s
R=60012, TT=TinTrOw, NTX=5, TB=1748771867.88s, D=0.20s
R=60012, TT=TinCr, NTX=12, TB=1748771868.08s, D=0.24s
R=60013, TT=TinTrOw, NTX=5, TB=1748771870.00s, D=0.14s
R=60013, TT=TinCr, NTX=11, TB=1748771870.14s, D=0.23s
R=60014, TT=TinTrOw, NTX=5, TB=1748771872.09s, D=0.18s
R=60014, TT=TinCr, NTX=10, TB=1748771872.27s, D=0.23s
R=60015, TT=TinTrOw, NTX=5, TB=1748771874.24s, D=0.20s
R=60015, TT=TinCr, NTX=12, TB=1748771874.44s, D=0.23s
R=60016, TT=TinTrOw, NTX=5, TB=1748771876.30s, D=0.11s
R=60016, TT=TinCr, NTX=10, TB=1748771876.41s, D=0.22s
R=60017, TT=TinTrOw, NTX=5, TB=1748771878.71s, D=0.21s
R=60017, TT=TinCr, NTX=11, TB=1748771878.91s, D=0.27s
R=60018, TT=TinTrOw, NTX=5, TB=1748771880.86s, D=0.18s
R=60018, TT=TinCr, NTX=11, TB=1748771881.05s, D=0.22s
R=60019, TT=TinTrOw, NTX=5, TB=1748771882.91s, D=0.12s
R=60019, TT=TinCr, NTX=12, TB=1748771883.03s, D=0.24s
R=60020, TT=TinTrOw, NTX=5, TB=1748771885.31s, D=0.16s
R=60020, TT=TinCr, NTX=10, TB=1748771885.47s, D=0.21s
R=60021, TT=TinTrOw, NTX=5, TB=1748771887.56s, D=0.18s
R=60021, TT=TinCr, NTX=12, TB=1748771887.74s, D=0.21s
R=60022, TT=TinTrOw, NTX=5, TB=1748771890.19s, D=0.14s
R=60022, TT=TinCr, NTX=10, TB=1748771890.33s, D=0.14s
R=60023, TT=TinTrOw, NTX=5, TB=1748771892.03s, D=0.16s
R=60023, TT=TinCr, NTX=12, TB=1748771892.19s, D=0.26s
R=60024, TT=TinTrOw, NTX=5, TB=1748771894.21s, D=0.17s
R=60024, TT=TinCr, NTX=12, TB=1748771894.38s, D=0.28s
R=60025, TT=TinTrOw, NTX=5, TB=1748771896.35s, D=0.18s
R=60025, TT=TinCr, NTX=10, TB=1748771896.53s, D=0.29s
R=60026, TT=TinTrOw, NTX=5, TB=1748771898.53s, D=0.13s
R=60026, TT=TinCr, NTX=9, TB=1748771898.66s, D=0.21s
R=60027, TT=TinTrOw, NTX=5, TB=1748771900.66s, D=0.14s
R=60027, TT=TinCr, NTX=9, TB=1748771900.79s, D=0.19s
R=60028, TT=TinTrOw, NTX=5, TB=1748771902.90s, D=0.13s
R=60028, TT=TinCr, NTX=9, TB=1748771903.03s, D=0.20s
R=60029, TT=TinTrOw, NTX=5, TB=1748771905.14s, D=0.18s
R=60029, TT=TinCr, NTX=10, TB=1748771905.32s, D=0.36s
R=60030, TT=TinTrOw, NTX=5, TB=1748771907.16s, D=0.11s
R=60030, TT=TinCr, NTX=11, TB=1748771907.27s, D=0.18s
R=60031, TT=TinTrOw, NTX=5, TB=1748771909.41s, D=0.15s
R=60031, TT=TinCr, NTX=11, TB=1748771909.55s, D=0.23s
R=60032, TT=TinTrOw, NTX=5, TB=1748771911.61s, D=0.14s
R=60032, TT=TinCr, NTX=13, TB=1748771911.75s, D=0.21s
R=60033, TT=TinTrOw, NTX=5, TB=1748771913.87s, D=0.19s
R=60033, TT=TinCr, NTX=11, TB=1748771914.06s, D=0.24s
R=60034, TT=TinTrOw, NTX=5, TB=1748771916.02s, D=0.19s
R=60034, TT=TinCr, NTX=15, TB=1748771916.21s, D=0.21s
R=60035, TT=TinTrOw, NTX=5, TB=1748771918.14s, D=0.17s
R=60035, TT=TinCr, NTX=11, TB=1748771918.31s, D=0.26s
R=60036, TT=TinTrOw, NTX=5, TB=1748771920.27s, D=0.21s
R=60036, TT=TinCr, NTX=10, TB=1748771920.48s, D=0.22s
R=60037, TT=TinTrOw, NTX=5, TB=1748771922.45s, D=0.18s
R=60037, TT=TinCr, NTX=12, TB=1748771922.63s, D=0.24s
R=60038, TT=TinTrOw, NTX=5, TB=1748771924.60s, D=0.18s
R=60038, TT=TinCr, NTX=10, TB=1748771924.78s, D=0.21s
R=60039, TT=TinTrOw, NTX=5, TB=1748771926.75s, D=0.19s
R=60039, TT=TinCr, NTX=11, TB=1748771926.94s, D=0.25s
R=60040, TT=TinTrOw, NTX=5, TB=1748771928.95s, D=0.17s
R=60040, TT=TinCr, NTX=8, TB=1748771929.12s, D=0.27s
R=60041, TT=TinTrOw, NTX=5, TB=1748771931.06s, D=0.16s
R=60041, TT=TinCr, NTX=12, TB=1748771931.22s, D=0.25s
R=60042, TT=TinTrOw, NTX=5, TB=1748771933.22s, D=0.18s
R=60042, TT=TinCr, NTX=8, TB=1748771933.40s, D=0.20s
R=60043, TT=TinTrOw, NTX=5, TB=1748771935.34s, D=0.18s
R=60043, TT=TinCr, NTX=9, TB=1748771935.52s, D=0.20s
R=60044, TT=TinTrOw, NTX=5, TB=1748771937.21s, D=0.11s
R=60044, TT=TinCr, NTX=12, TB=1748771937.32s, D=0.13s
R=60045, TT=TinTrOw, NTX=5, TB=1748771939.71s, D=0.23s
R=60045, TT=TinCr, NTX=9, TB=1748771939.94s, D=0.22s
R=60046, TT=TinTrOw, NTX=5, TB=1748771941.90s, D=0.21s
R=60046, TT=TinCr, NTX=9, TB=1748771942.10s, D=0.33s
R=60047, TT=TinTrOw, NTX=5, TB=1748771944.23s, D=0.14s
R=60047, TT=TinCr, NTX=10, TB=1748771944.37s, D=0.21s
R=60048, TT=TinTrOw, NTX=5, TB=1748771946.59s, D=0.20s
R=60048, TT=TinCr, NTX=8, TB=1748771946.78s, D=0.34s
R=60049, TT=TinTrOw, NTX=5, TB=1748771948.80s, D=0.17s
R=60049, TT=TinCr, NTX=11, TB=1748771948.97s, D=0.31s
R=60050, TT=TinTrOw, NTX=5, TB=1748771951.26s, D=0.22s
R=60050, TT=TinCr, NTX=7, TB=1748771951.48s, D=0.16s
R=60051, TT=TinTrOw, NTX=5, TB=1748771953.11s, D=0.11s
R=60051, TT=TinCr, NTX=10, TB=1748771953.22s, D=0.21s
R=60052, TT=TinTrOw, NTX=5, TB=1748771955.35s, D=0.17s
R=60052, TT=TinCr, NTX=8, TB=1748771955.52s, D=0.21s
R=60053, TT=TinTrOw, NTX=5, TB=1748771957.55s, D=0.17s
R=60053, TT=TinCr, NTX=9, TB=1748771957.73s, D=0.19s
R=60054, TT=TinTrOw, NTX=5, TB=1748771959.78s, D=0.17s
R=60054, TT=TinCr, NTX=11, TB=1748771959.94s, D=0.26s
R=60055, TT=TinTrOw, NTX=5, TB=1748771961.90s, D=0.18s
R=60055, TT=TinCr, NTX=12, TB=1748771962.07s, D=0.22s
R=60056, TT=TinTrOw, NTX=5, TB=1748771964.15s, D=0.14s
R=60056, TT=TinCr, NTX=7, TB=1748771964.29s, D=0.19s
R=60057, TT=TinTrOw, NTX=5, TB=1748771966.38s, D=0.18s
R=60057, TT=TinCr, NTX=13, TB=1748771966.56s, D=0.30s
R=60058, TT=TinTrOw, NTX=5, TB=1748771968.60s, D=0.20s
R=60058, TT=TinCr, NTX=9, TB=1748771968.79s, D=0.19s
R=60059, TT=TinTrOw, NTX=5, TB=1748771970.72s, D=0.18s
R=60059, TT=TinCr, NTX=10, TB=1748771970.90s, D=0.22s
R=60060, TT=TinTrOw, NTX=5, TB=1748771972.85s, D=0.18s
R=60060, TT=TinCr, NTX=11, TB=1748771973.02s, D=0.31s
R=60061, TT=TinTrOw, NTX=5, TB=1748771975.03s, D=0.19s
R=60061, TT=TinCr, NTX=11, TB=1748771975.23s, D=0.32s
R=60062, TT=TinTrOw, NTX=5, TB=1748771977.21s, D=0.18s
R=60062, TT=TinCr, NTX=8, TB=1748771977.39s, D=0.22s
R=60063, TT=TinTrOw, NTX=5, TB=1748771979.37s, D=0.18s
R=60063, TT=TinCr, NTX=8, TB=1748771979.54s, D=0.27s
R=60064, TT=TinTrOw, NTX=5, TB=1748771981.59s, D=0.17s
R=60064, TT=TinCr, NTX=11, TB=1748771981.76s, D=0.21s
R=60065, TT=TinTrOw, NTX=5, TB=1748771983.78s, D=0.17s
R=60065, TT=TinCr, NTX=8, TB=1748771983.96s, D=0.28s
R=60066, TT=TinTrOw, NTX=5, TB=1748771985.97s, D=0.17s
R=60066, TT=TinCr, NTX=13, TB=1748771986.13s, D=0.30s
R=60067, TT=TinTrOw, NTX=5, TB=1748771988.42s, D=0.18s
R=60067, TT=TinCr, NTX=12, TB=1748771988.60s, D=0.22s
R=60068, TT=TinTrOw, NTX=5, TB=1748771990.66s, D=0.21s
R=60068, TT=TinCr, NTX=10, TB=1748771990.86s, D=0.28s
R=60069, TT=TinTrOw, NTX=5, TB=1748771992.85s, D=0.18s
R=60069, TT=TinCr, NTX=9, TB=1748771993.02s, D=0.33s
R=60070, TT=TinTrOw, NTX=5, TB=1748771994.88s, D=0.12s
R=60070, TT=TinCr, NTX=10, TB=1748771995.00s, D=0.20s
R=60071, TT=TinTrOw, NTX=5, TB=1748771997.22s, D=0.18s
R=60071, TT=TinCr, NTX=8, TB=1748771997.39s, D=0.21s
R=60072, TT=TinTrOw, NTX=5, TB=1748771999.46s, D=0.20s
R=60072, TT=TinCr, NTX=11, TB=1748771999.66s, D=0.25s
R=60073, TT=TinTrOw, NTX=5, TB=1748772001.73s, D=0.15s
R=60073, TT=TinCr, NTX=9, TB=1748772001.88s, D=0.20s
R=60074, TT=TinTrOw, NTX=5, TB=1748772004.05s, D=0.12s
R=60074, TT=TinCr, NTX=10, TB=1748772004.17s, D=0.15s
R=60075, TT=TinTrOw, NTX=5, TB=1748772006.57s, D=0.15s
R=60075, TT=TinCr, NTX=11, TB=1748772006.73s, D=0.22s
R=60076, TT=TinTrOw, NTX=5, TB=1748772008.63s, D=0.11s
R=60076, TT=TinCr, NTX=11, TB=1748772008.75s, D=0.15s
R=60077, TT=TinTrOw, NTX=5, TB=1748772010.95s, D=0.13s
R=60077, TT=TinCr, NTX=9, TB=1748772011.08s, D=0.19s
R=60078, TT=TinTrOw, NTX=5, TB=1748772013.45s, D=0.18s
R=60078, TT=TinCr, NTX=9, TB=1748772013.64s, D=0.17s
R=60079, TT=TinTrOw, NTX=5, TB=1748772015.40s, D=0.19s
R=60079, TT=TinCr, NTX=12, TB=1748772015.59s, D=0.34s
R=60080, TT=TinTrOw, NTX=5, TB=1748772017.59s, D=0.14s
R=60080, TT=TinCr, NTX=11, TB=1748772017.73s, D=0.19s
R=60081, TT=TinTrOw, NTX=5, TB=1748772019.87s, D=0.19s
R=60081, TT=TinCr, NTX=9, TB=1748772020.05s, D=0.29s
R=60082, TT=TinTrOw, NTX=5, TB=1748772021.97s, D=0.15s
R=60082, TT=TinCr, NTX=8, TB=1748772022.12s, D=0.19s
R=60083, TT=TinTrOw, NTX=5, TB=1748772024.35s, D=0.15s
R=60083, TT=TinCr, NTX=10, TB=1748772024.49s, D=0.23s
R=60084, TT=TinTrOw, NTX=5, TB=1748772026.55s, D=0.12s
R=60084, TT=TinCr, NTX=12, TB=1748772026.68s, D=0.24s
R=60085, TT=TinTrOw, NTX=5, TB=1748772028.73s, D=0.12s
R=60085, TT=TinCr, NTX=11, TB=1748772028.85s, D=0.28s
R=60086, TT=TinTrOw, NTX=5, TB=1748772031.02s, D=0.19s
R=60086, TT=TinCr, NTX=12, TB=1748772031.21s, D=0.23s
R=60087, TT=TinTrOw, NTX=5, TB=1748772033.10s, D=0.16s
R=60087, TT=TinCr, NTX=11, TB=1748772033.26s, D=0.20s
R=60088, TT=TinTrOw, NTX=5, TB=1748772035.33s, D=0.19s
R=60088, TT=TinCr, NTX=10, TB=1748772035.52s, D=0.26s
R=60089, TT=TinTrOw, NTX=5, TB=1748772037.41s, D=0.19s
R=60089, TT=TinCr, NTX=10, TB=1748772037.60s, D=0.32s
R=60090, TT=TinTrOw, NTX=5, TB=1748772039.63s, D=0.19s
R=60090, TT=TinCr, NTX=11, TB=1748772039.82s, D=0.30s
R=60091, TT=TinTrOw, NTX=5, TB=1748772041.79s, D=0.16s
R=60091, TT=TinCr, NTX=8, TB=1748772041.95s, D=0.20s
R=60092, TT=TinTrOw, NTX=5, TB=1748772044.02s, D=0.18s
R=60092, TT=TinCr, NTX=12, TB=1748772044.19s, D=0.21s
R=60093, TT=TinTrOw, NTX=5, TB=1748772046.09s, D=0.20s
R=60093, TT=TinCr, NTX=12, TB=1748772046.29s, D=0.27s
R=60094, TT=TinTrOw, NTX=5, TB=1748772048.40s, D=0.16s
R=60094, TT=TinCr, NTX=12, TB=1748772048.56s, D=0.30s
R=60095, TT=TinTrOw, NTX=5, TB=1748772050.19s, D=0.11s
R=60095, TT=TinCr, NTX=10, TB=1748772050.30s, D=0.12s
R=60096, TT=TinTrOw, NTX=5, TB=1748772052.70s, D=0.20s
R=60096, TT=TinCr, NTX=10, TB=1748772052.90s, D=0.22s
R=60097, TT=TinTrOw, NTX=5, TB=1748772054.61s, D=0.12s
R=60097, TT=TinCr, NTX=11, TB=1748772054.73s, D=0.16s
R=60098, TT=TinTrOw, NTX=5, TB=1748772056.86s, D=0.12s
R=60098, TT=TinCr, NTX=7, TB=1748772056.98s, D=0.20s
R=60099, TT=TinTrOw, NTX=5, TB=1748772059.06s, D=0.12s
