R=1, TT=TinTrOw, NTX=5, TB=1748634930.86s, D=0.13s
R=1, TT=TinCr, NTX=11, TB=1748634931.00s, D=0.18s
R=2, TT=TinTrOw, NTX=5, TB=1748634933.08s, D=0.13s
R=2, TT=TinCr, NTX=8, TB=1748634933.21s, D=0.20s
R=3, TT=TinTrOw, NTX=5, TB=1748634935.16s, D=0.13s
R=3, TT=TinCr, NTX=9, TB=1748634935.29s, D=0.19s
R=4, TT=TinTrOw, NTX=5, TB=1748634937.30s, D=0.14s
R=4, TT=TinCr, NTX=12, TB=1748634937.44s, D=0.28s
R=5, TT=TinTrOw, NTX=5, TB=1748634939.21s, D=0.12s
R=5, TT=TinCr, NTX=10, TB=1748634939.33s, D=0.14s
R=6, TT=TinTrOw, NTX=5, TB=1748634941.49s, D=0.18s
R=6, TT=TinCr, NTX=12, TB=1748634941.67s, D=0.25s
R=7, TT=TinTrOw, NTX=5, TB=1748634943.62s, D=0.17s
R=7, TT=TinCr, NTX=8, TB=1748634943.79s, D=0.17s
R=8, TT=TinTrOw, NTX=5, TB=1748634945.71s, D=0.27s
R=8, TT=TinCr, NTX=12, TB=1748634945.98s, D=0.26s
R=9, TT=TinTrOw, NTX=5, TB=1748634947.98s, D=0.17s
R=9, TT=TinCr, NTX=11, TB=1748634948.15s, D=0.23s
R=10, TT=TinTrOw, NTX=5, TB=1748634950.14s, D=0.17s
R=10, TT=TinCr, NTX=12, TB=1748634950.30s, D=0.30s
R=11, TT=TinTrOw, NTX=5, TB=1748634952.28s, D=0.18s
R=11, TT=TinCr, NTX=9, TB=1748634952.46s, D=0.19s
R=12, TT=TinTrOw, NTX=5, TB=1748634954.41s, D=0.17s
R=12, TT=TinCr, NTX=8, TB=1748634954.59s, D=0.35s
R=13, TT=TinTrOw, NTX=5, TB=1748634956.64s, D=0.17s
R=13, TT=TinCr, NTX=12, TB=1748634956.81s, D=0.20s
R=14, TT=TinTrOw, NTX=5, TB=1748634958.85s, D=0.18s
R=14, TT=TinCr, NTX=9, TB=1748634959.03s, D=0.25s
R=15, TT=TinTrOw, NTX=5, TB=1748634960.90s, D=0.14s
R=15, TT=TinCr, NTX=11, TB=1748634961.04s, D=0.21s
R=16, TT=TinTrOw, NTX=5, TB=1748634963.08s, D=0.20s
R=16, TT=TinCr, NTX=9, TB=1748634963.28s, D=0.31s
R=17, TT=TinTrOw, NTX=5, TB=1748634965.36s, D=0.17s
R=17, TT=TinCr, NTX=11, TB=1748634965.53s, D=0.30s
R=18, TT=TinTrOw, NTX=5, TB=1748634967.46s, D=0.15s
R=18, TT=TinCr, NTX=8, TB=1748634967.61s, D=0.21s
R=19, TT=TinTrOw, NTX=5, TB=1748634969.71s, D=0.12s
R=19, TT=TinCr, NTX=12, TB=1748634969.84s, D=0.17s
R=20, TT=TinTrOw, NTX=5, TB=1748634971.84s, D=0.13s
R=20, TT=TinCr, NTX=8, TB=1748634971.97s, D=0.16s
R=21, TT=TinTrOw, NTX=5, TB=1748634973.88s, D=0.11s
R=21, TT=TinCr, NTX=8, TB=1748634973.99s, D=0.13s
R=22, TT=TinTrOw, NTX=5, TB=1748634976.11s, D=0.12s
R=22, TT=TinCr, NTX=11, TB=1748634976.23s, D=0.20s
R=23, TT=TinTrOw, NTX=5, TB=1748634978.35s, D=0.18s
R=23, TT=TinCr, NTX=12, TB=1748634978.53s, D=0.30s
R=24, TT=TinTrOw, NTX=5, TB=1748634980.49s, D=0.17s
R=24, TT=TinCr, NTX=12, TB=1748634980.66s, D=0.29s
R=25, TT=TinTrOw, NTX=5, TB=1748634982.59s, D=0.13s
R=25, TT=TinCr, NTX=9, TB=1748634982.72s, D=0.19s
R=26, TT=TinTrOw, NTX=5, TB=1748634984.81s, D=0.18s
R=26, TT=TinCr, NTX=10, TB=1748634984.99s, D=0.21s
R=27, TT=TinTrOw, NTX=5, TB=1748634986.92s, D=0.19s
R=27, TT=TinCr, NTX=11, TB=1748634987.11s, D=0.18s
R=28, TT=TinTrOw, NTX=5, TB=1748634989.10s, D=0.23s
R=28, TT=TinCr, NTX=12, TB=1748634989.33s, D=0.21s
R=29, TT=TinTrOw, NTX=5, TB=1748634991.32s, D=0.16s
R=29, TT=TinCr, NTX=12, TB=1748634991.49s, D=0.32s
R=30, TT=TinTrOw, NTX=5, TB=1748634993.58s, D=0.17s
R=30, TT=TinCr, NTX=10, TB=1748634993.75s, D=0.18s
R=31, TT=TinTrOw, NTX=5, TB=1748634995.69s, D=0.19s
R=31, TT=TinCr, NTX=10, TB=1748634995.88s, D=0.17s
R=32, TT=TinTrOw, NTX=5, TB=1748634997.81s, D=0.18s
R=32, TT=TinCr, NTX=12, TB=1748634998.00s, D=0.30s
R=33, TT=TinTrOw, NTX=5, TB=1748634999.93s, D=0.13s
R=33, TT=TinCr, NTX=7, TB=1748635000.06s, D=0.19s
R=34, TT=TinTrOw, NTX=5, TB=1748635002.14s, D=0.17s
R=34, TT=TinCr, NTX=9, TB=1748635002.31s, D=0.22s
R=35, TT=TinTrOw, NTX=5, TB=1748635004.31s, D=0.16s
R=35, TT=TinCr, NTX=13, TB=1748635004.47s, D=0.24s
R=36, TT=TinTrOw, NTX=5, TB=1748635006.53s, D=0.14s
R=36, TT=TinCr, NTX=10, TB=1748635006.67s, D=0.17s
R=37, TT=TinTrOw, NTX=5, TB=1748635008.97s, D=0.18s
R=37, TT=TinCr, NTX=11, TB=1748635009.14s, D=0.29s
R=38, TT=TinTrOw, NTX=5, TB=1748635011.17s, D=0.18s
R=38, TT=TinCr, NTX=10, TB=1748635011.35s, D=0.29s
R=39, TT=TinTrOw, NTX=5, TB=1748635013.34s, D=0.18s
R=39, TT=TinCr, NTX=13, TB=1748635013.52s, D=0.21s
R=40, TT=TinTrOw, NTX=5, TB=1748635015.47s, D=0.17s
R=40, TT=TinCr, NTX=7, TB=1748635015.65s, D=0.20s
R=41, TT=TinTrOw, NTX=5, TB=1748635017.65s, D=0.16s
R=41, TT=TinCr, NTX=7, TB=1748635017.81s, D=0.24s
R=42, TT=TinTrOw, NTX=5, TB=1748635019.82s, D=0.13s
R=42, TT=TinCr, NTX=11, TB=1748635019.96s, D=0.21s
R=43, TT=TinTrOw, NTX=5, TB=1748635022.09s, D=0.17s
R=43, TT=TinCr, NTX=10, TB=1748635022.26s, D=0.39s
R=44, TT=TinTrOw, NTX=5, TB=1748635024.47s, D=0.22s
R=44, TT=TinCr, NTX=7, TB=1748635024.69s, D=0.25s
R=45, TT=TinTrOw, NTX=5, TB=1748635026.67s, D=0.17s
R=45, TT=TinCr, NTX=11, TB=1748635026.84s, D=0.21s
R=46, TT=TinTrOw, NTX=5, TB=1748635028.80s, D=0.13s
R=46, TT=TinCr, NTX=10, TB=1748635028.93s, D=0.19s
R=47, TT=TinTrOw, NTX=5, TB=1748635031.13s, D=0.18s
R=47, TT=TinCr, NTX=10, TB=1748635031.31s, D=0.33s
R=48, TT=TinTrOw, NTX=5, TB=1748635033.36s, D=0.19s
R=48, TT=TinCr, NTX=11, TB=1748635033.55s, D=0.35s
R=49, TT=TinTrOw, NTX=5, TB=1748635035.33s, D=0.12s
R=49, TT=TinCr, NTX=12, TB=1748635035.45s, D=0.14s
R=50, TT=TinTrOw, NTX=5, TB=1748635037.75s, D=0.13s
R=50, TT=TinCr, NTX=9, TB=1748635037.88s, D=0.23s
R=51, TT=TinTrOw, NTX=5, TB=1748635040.07s, D=0.21s
R=51, TT=TinCr, NTX=8, TB=1748635040.28s, D=0.39s
R=52, TT=TinTrOw, NTX=5, TB=1748635042.33s, D=0.18s
R=52, TT=TinCr, NTX=13, TB=1748635042.51s, D=0.22s
R=53, TT=TinTrOw, NTX=5, TB=1748635044.48s, D=0.14s
R=53, TT=TinCr, NTX=12, TB=1748635044.62s, D=0.20s
