R=20001, TT=RebTrOw, NTX=20, TB=1748680647.70s, D=0.21s
R=20001, TT=RebCr, NTX=65, TB=1748680647.91s, D=0.32s
R=20002, TT=RebTrOw, NTX=20, TB=1748680649.91s, D=0.18s
R=20002, TT=RebCr, NTX=55, TB=1748680650.08s, D=0.33s
R=20003, TT=RebTrOw, NTX=20, TB=1748680652.11s, D=0.17s
R=20003, TT=RebCr, NTX=60, TB=1748680652.28s, D=0.33s
R=20004, TT=RebTrOw, NTX=20, TB=1748680654.42s, D=0.26s
R=20004, TT=RebCr, NTX=58, TB=1748680654.69s, D=0.36s
R=20005, TT=RebTrOw, NTX=20, TB=1748680656.60s, D=0.24s
R=20005, TT=RebCr, NTX=58, TB=1748680656.84s, D=0.34s
R=20006, TT=RebTrOw, NTX=20, TB=1748680658.76s, D=0.28s
R=20006, TT=RebCr, NTX=62, TB=1748680659.04s, D=0.32s
R=20007, TT=RebTrOw, NTX=20, TB=1748680660.83s, D=0.17s
R=20007, TT=RebCr, NTX=56, TB=1748680661.00s, D=0.34s
R=20008, TT=RebTrOw, NTX=20, TB=1748680663.17s, D=0.32s
R=20008, TT=RebCr, NTX=57, TB=1748680663.49s, D=0.40s
R=20009, TT=RebTrOw, NTX=20, TB=1748680665.41s, D=0.19s
R=20009, TT=RebCr, NTX=63, TB=1748680665.60s, D=0.50s
R=20010, TT=RebTrOw, NTX=20, TB=1748680667.90s, D=0.22s
R=20010, TT=RebCr, NTX=70, TB=1748680668.12s, D=0.44s
R=20011, TT=RebTrOw, NTX=20, TB=1748680670.11s, D=0.29s
R=20011, TT=RebCr, NTX=59, TB=1748680670.40s, D=0.32s
R=20012, TT=RebTrOw, NTX=20, TB=1748680672.29s, D=0.23s
R=20012, TT=RebCr, NTX=56, TB=1748680672.52s, D=0.35s
R=20013, TT=RebTrOw, NTX=20, TB=1748680674.52s, D=0.26s
R=20013, TT=RebCr, NTX=56, TB=1748680674.77s, D=0.35s
R=20014, TT=RebTrOw, NTX=20, TB=1748680676.70s, D=0.29s
R=20014, TT=RebCr, NTX=67, TB=1748680676.99s, D=0.35s
R=20015, TT=RebTrOw, NTX=20, TB=1748680678.92s, D=0.24s
R=20015, TT=RebCr, NTX=50, TB=1748680679.15s, D=0.30s
R=20016, TT=RebTrOw, NTX=20, TB=1748680681.10s, D=0.30s
R=20016, TT=RebCr, NTX=53, TB=1748680681.40s, D=0.31s
R=20017, TT=RebTrOw, NTX=20, TB=1748680683.30s, D=0.46s
R=20017, TT=RebCr, NTX=63, TB=1748680683.76s, D=0.44s
R=20018, TT=RebTrOw, NTX=20, TB=1748680685.73s, D=0.36s
R=20018, TT=RebCr, NTX=61, TB=1748680686.09s, D=0.39s
R=20019, TT=RebTrOw, NTX=20, TB=1748680688.06s, D=0.26s
R=20019, TT=RebCr, NTX=57, TB=1748680688.31s, D=0.42s
R=20020, TT=RebTrOw, NTX=20, TB=1748680689.75s, D=0.13s
R=20020, TT=RebCr, NTX=56, TB=1748680689.88s, D=0.20s
R=20021, TT=RebTrOw, NTX=20, TB=1748680692.33s, D=0.16s
R=20021, TT=RebCr, NTX=64, TB=1748680692.49s, D=0.36s
R=20022, TT=RebTrOw, NTX=20, TB=1748680694.97s, D=0.28s
R=20022, TT=RebCr, NTX=57, TB=1748680695.25s, D=0.34s
R=20023, TT=RebTrOw, NTX=20, TB=1748680697.24s, D=0.26s
R=20023, TT=RebCr, NTX=68, TB=1748680697.50s, D=0.34s
R=20024, TT=RebTrOw, NTX=20, TB=1748680699.45s, D=0.29s
R=20024, TT=RebCr, NTX=60, TB=1748680699.73s, D=0.29s
R=20025, TT=RebTrOw, NTX=20, TB=1748680701.60s, D=0.23s
R=20025, TT=RebCr, NTX=46, TB=1748680701.84s, D=0.32s
R=20026, TT=RebTrOw, NTX=20, TB=1748680703.75s, D=0.27s
R=20026, TT=RebCr, NTX=62, TB=1748680704.02s, D=0.34s
R=20027, TT=RebTrOw, NTX=20, TB=1748680705.98s, D=0.26s
R=20027, TT=RebCr, NTX=65, TB=1748680706.24s, D=0.35s
R=20028, TT=RebTrOw, NTX=20, TB=1748680708.15s, D=0.17s
R=20028, TT=RebCr, NTX=56, TB=1748680708.32s, D=0.32s
R=20029, TT=RebTrOw, NTX=20, TB=1748680710.39s, D=0.26s
R=20029, TT=RebCr, NTX=42, TB=1748680710.65s, D=0.33s
R=20030, TT=RebTrOw, NTX=20, TB=1748680712.52s, D=0.22s
R=20030, TT=RebCr, NTX=61, TB=1748680712.74s, D=0.39s
R=20031, TT=RebTrOw, NTX=20, TB=1748680714.76s, D=0.31s
R=20031, TT=RebCr, NTX=52, TB=1748680715.07s, D=0.28s
R=20032, TT=RebTrOw, NTX=20, TB=1748680716.92s, D=0.25s
R=20032, TT=RebCr, NTX=50, TB=1748680717.18s, D=0.33s
R=20033, TT=RebTrOw, NTX=20, TB=1748680719.01s, D=0.17s
R=20033, TT=RebCr, NTX=63, TB=1748680719.18s, D=0.36s
R=20034, TT=RebTrOw, NTX=20, TB=1748680721.26s, D=0.23s
R=20034, TT=RebCr, NTX=56, TB=1748680721.49s, D=0.40s
R=20035, TT=RebTrOw, NTX=20, TB=1748680723.50s, D=0.27s
R=20035, TT=RebCr, NTX=42, TB=1748680723.77s, D=0.30s
R=20036, TT=RebTrOw, NTX=20, TB=1748680725.68s, D=0.41s
R=20036, TT=RebCr, NTX=49, TB=1748680726.10s, D=0.33s
R=20037, TT=RebTrOw, NTX=20, TB=1748680728.01s, D=0.27s
R=20037, TT=RebCr, NTX=68, TB=1748680728.28s, D=0.29s
R=20038, TT=RebTrOw, NTX=20, TB=1748680730.15s, D=0.24s
R=20038, TT=RebCr, NTX=69, TB=1748680730.39s, D=0.47s
R=20039, TT=RebTrOw, NTX=20, TB=1748680732.41s, D=0.27s
R=20039, TT=RebCr, NTX=52, TB=1748680732.68s, D=0.33s
R=20040, TT=RebTrOw, NTX=20, TB=1748680734.58s, D=0.25s
R=20040, TT=RebCr, NTX=54, TB=1748680734.83s, D=0.39s
R=20041, TT=RebTrOw, NTX=20, TB=1748680736.80s, D=0.27s
R=20041, TT=RebCr, NTX=59, TB=1748680737.08s, D=0.32s
R=20042, TT=RebTrOw, NTX=20, TB=1748680738.97s, D=0.26s
R=20042, TT=RebCr, NTX=59, TB=1748680739.23s, D=0.31s
R=20043, TT=RebTrOw, NTX=20, TB=1748680741.06s, D=0.22s
R=20043, TT=RebCr, NTX=60, TB=1748680741.28s, D=0.34s
R=20044, TT=RebTrOw, NTX=20, TB=1748680743.34s, D=0.37s
R=20044, TT=RebCr, NTX=60, TB=1748680743.70s, D=0.48s
R=20045, TT=RebTrOw, NTX=20, TB=1748680745.72s, D=0.32s
R=20045, TT=RebCr, NTX=54, TB=1748680746.04s, D=0.38s
R=20046, TT=RebTrOw, NTX=20, TB=1748680748.00s, D=0.26s
R=20046, TT=RebCr, NTX=66, TB=1748680748.26s, D=0.37s
R=20047, TT=RebTrOw, NTX=20, TB=1748680750.25s, D=0.29s
R=20047, TT=RebCr, NTX=65, TB=1748680750.54s, D=0.28s
R=20048, TT=RebTrOw, NTX=20, TB=1748680752.34s, D=0.18s
R=20048, TT=RebCr, NTX=47, TB=1748680752.52s, D=0.35s
R=20049, TT=RebTrOw, NTX=20, TB=1748680754.58s, D=0.18s
R=20049, TT=RebCr, NTX=55, TB=1748680754.76s, D=0.33s
R=20050, TT=RebTrOw, NTX=20, TB=1748680756.98s, D=0.27s
R=20050, TT=RebCr, NTX=50, TB=1748680757.24s, D=0.32s
R=20051, TT=RebTrOw, NTX=20, TB=1748680759.14s, D=0.25s
R=20051, TT=RebCr, NTX=56, TB=1748680759.39s, D=0.37s
R=20052, TT=RebTrOw, NTX=20, TB=1748680761.36s, D=0.24s
R=20052, TT=RebCr, NTX=55, TB=1748680761.60s, D=0.39s
R=20053, TT=RebTrOw, NTX=20, TB=1748680763.57s, D=0.27s
R=20053, TT=RebCr, NTX=47, TB=1748680763.84s, D=0.37s
R=20054, TT=RebTrOw, NTX=20, TB=1748680765.68s, D=0.18s
R=20054, TT=RebCr, NTX=65, TB=1748680765.86s, D=0.40s
R=20055, TT=RebTrOw, NTX=20, TB=1748680768.03s, D=0.24s
R=20055, TT=RebCr, NTX=64, TB=1748680768.27s, D=0.31s
R=20056, TT=RebTrOw, NTX=20, TB=1748680770.22s, D=0.27s
R=20056, TT=RebCr, NTX=60, TB=1748680770.49s, D=0.30s
R=20057, TT=RebTrOw, NTX=20, TB=1748680772.34s, D=0.27s
R=20057, TT=RebCr, NTX=65, TB=1748680772.61s, D=0.38s
R=20058, TT=RebTrOw, NTX=20, TB=1748680774.55s, D=0.27s
R=20058, TT=RebCr, NTX=69, TB=1748680774.82s, D=0.35s
R=20059, TT=RebTrOw, NTX=20, TB=1748680776.73s, D=0.25s
R=20059, TT=RebCr, NTX=62, TB=1748680776.97s, D=0.35s
