R=60001, TT=RebTrOw, NTX=20, TB=1748771843.73s, D=0.25s
R=60001, TT=RebCr, NTX=60, TB=1748771843.98s, D=0.36s
R=60002, TT=RebTrOw, NTX=20, TB=1748771845.84s, D=0.18s
R=60002, TT=RebCr, NTX=63, TB=1748771846.02s, D=0.39s
R=60003, TT=RebTrOw, NTX=20, TB=1748771848.12s, D=0.25s
R=60003, TT=RebCr, NTX=51, TB=1748771848.36s, D=0.35s
R=60004, TT=RebTrOw, NTX=20, TB=1748771850.31s, D=0.23s
R=60004, TT=RebCr, NTX=49, TB=1748771850.55s, D=0.41s
R=60005, TT=RebTrOw, NTX=20, TB=1748771852.49s, D=0.27s
R=60005, TT=RebCr, NTX=58, TB=1748771852.76s, D=0.35s
R=60006, TT=RebTrOw, NTX=20, TB=1748771854.72s, D=0.27s
R=60006, TT=RebCr, NTX=68, TB=1748771854.99s, D=0.34s
R=60007, TT=RebTrOw, NTX=20, TB=1748771856.84s, D=0.21s
R=60007, TT=RebCr, NTX=59, TB=1748771857.05s, D=0.38s
R=60008, TT=RebTrOw, NTX=20, TB=1748771859.04s, D=0.27s
R=60008, TT=RebCr, NTX=61, TB=1748771859.31s, D=0.32s
R=60009, TT=RebTrOw, NTX=20, TB=1748771861.22s, D=0.27s
R=60009, TT=RebCr, NTX=68, TB=1748771861.49s, D=0.37s
R=60010, TT=RebTrOw, NTX=20, TB=1748771863.41s, D=0.23s
R=60010, TT=RebCr, NTX=57, TB=1748771863.64s, D=0.32s
R=60011, TT=RebTrOw, NTX=20, TB=1748771865.47s, D=0.18s
R=60011, TT=RebCr, NTX=61, TB=1748771865.65s, D=0.53s
R=60012, TT=RebTrOw, NTX=20, TB=1748771867.87s, D=0.25s
R=60012, TT=RebCr, NTX=48, TB=1748771868.13s, D=0.29s
R=60013, TT=RebTrOw, NTX=20, TB=1748771869.65s, D=0.15s
R=60013, TT=RebCr, NTX=49, TB=1748771869.79s, D=0.20s
R=60014, TT=RebTrOw, NTX=20, TB=1748771872.04s, D=0.23s
R=60014, TT=RebCr, NTX=55, TB=1748771872.27s, D=0.35s
R=60015, TT=RebTrOw, NTX=20, TB=1748771874.20s, D=0.26s
R=60015, TT=RebCr, NTX=67, TB=1748771874.46s, D=0.35s
R=60016, TT=RebTrOw, NTX=20, TB=1748771876.38s, D=0.26s
R=60016, TT=RebCr, NTX=60, TB=1748771876.64s, D=0.36s
R=60017, TT=RebTrOw, NTX=20, TB=1748771878.47s, D=0.16s
R=60017, TT=RebCr, NTX=64, TB=1748771878.62s, D=0.45s
R=60018, TT=RebTrOw, NTX=20, TB=1748771880.82s, D=0.26s
R=60018, TT=RebCr, NTX=56, TB=1748771881.08s, D=0.32s
R=60019, TT=RebTrOw, NTX=20, TB=1748771882.98s, D=0.28s
R=60019, TT=RebCr, NTX=50, TB=1748771883.26s, D=0.48s
R=60020, TT=RebTrOw, NTX=20, TB=1748771885.30s, D=0.24s
R=60020, TT=RebCr, NTX=66, TB=1748771885.55s, D=0.39s
R=60021, TT=RebTrOw, NTX=20, TB=1748771887.53s, D=0.25s
R=60021, TT=RebCr, NTX=73, TB=1748771887.79s, D=0.35s
