R=80001, TT=TinTrOw, NTX=5, TB=1748817095.89s, D=0.32s
R=80001, TT=TinCr, NTX=9, TB=1748817096.21s, D=0.14s
R=80002, TT=TinTrOw, NTX=5, TB=1748817097.94s, D=0.17s
R=80002, TT=TinCr, NTX=13, TB=1748817098.11s, D=0.35s
R=80003, TT=TinTrOw, NTX=5, TB=1748817100.13s, D=0.18s
R=80003, TT=TinCr, NTX=10, TB=1748817100.31s, D=0.32s
R=80004, TT=TinTrOw, NTX=5, TB=1748817102.23s, D=0.14s
R=80004, TT=TinCr, NTX=12, TB=1748817102.37s, D=0.21s
R=80005, TT=TinTrOw, NTX=5, TB=1748817104.59s, D=0.20s
R=80005, TT=TinCr, NTX=12, TB=1748817104.80s, D=0.24s
R=80006, TT=TinTrOw, NTX=5, TB=1748817106.76s, D=0.20s
R=80006, TT=TinCr, NTX=13, TB=1748817106.96s, D=0.27s
R=80007, TT=TinTrOw, NTX=5, TB=1748817109.01s, D=0.17s
R=80007, TT=TinCr, NTX=11, TB=1748817109.18s, D=0.37s
R=80008, TT=TinTrOw, NTX=5, TB=1748817111.19s, D=0.20s
R=80008, TT=TinCr, NTX=10, TB=1748817111.39s, D=0.34s
R=80009, TT=TinTrOw, NTX=5, TB=1748817113.37s, D=0.15s
R=80009, TT=TinCr, NTX=11, TB=1748817113.51s, D=0.20s
R=80010, TT=TinTrOw, NTX=5, TB=1748817115.68s, D=0.21s
R=80010, TT=TinCr, NTX=7, TB=1748817115.90s, D=0.28s
R=80011, TT=TinTrOw, NTX=5, TB=1748817117.95s, D=0.18s
R=80011, TT=TinCr, NTX=8, TB=1748817118.14s, D=0.24s
R=80012, TT=TinTrOw, NTX=5, TB=1748817120.18s, D=0.17s
R=80012, TT=TinCr, NTX=8, TB=1748817120.35s, D=0.27s
R=80013, TT=TinTrOw, NTX=5, TB=1748817122.92s, D=0.31s
R=80013, TT=TinCr, NTX=12, TB=1748817123.23s, D=0.14s
R=80014, TT=TinTrOw, NTX=5, TB=1748817124.97s, D=0.19s
R=80014, TT=TinCr, NTX=13, TB=1748817125.17s, D=0.25s
R=80015, TT=TinTrOw, NTX=5, TB=1748817127.17s, D=0.19s
R=80015, TT=TinCr, NTX=12, TB=1748817127.36s, D=0.37s
R=80016, TT=TinTrOw, NTX=5, TB=1748817129.32s, D=0.13s
