R=50001, TT=StCr, NTX=25, TB=1748749167.03s, D=0.28s
R=50002, TT=StCr, NTX=25, TB=1748749169.26s, D=0.32s
R=50003, TT=StCr, NTX=25, TB=1748749171.59s, D=0.26s
R=50004, TT=StCr, NTX=25, TB=1748749173.73s, D=0.23s
R=50005, TT=StCr, NTX=25, TB=1748749175.86s, D=0.18s
R=50006, TT=StCr, NTX=25, TB=1748749178.17s, D=0.27s
R=50007, TT=StCr, NTX=25, TB=1748749180.26s, D=0.23s
R=50008, TT=StCr, NTX=25, TB=1748749182.30s, D=0.16s
R=50009, TT=StCr, NTX=25, TB=1748749184.60s, D=0.19s
R=50010, TT=StCr, NTX=25, TB=1748749186.98s, D=0.28s
R=50011, TT=StCr, NTX=25, TB=1748749189.09s, D=0.26s
R=50012, TT=StCr, NTX=25, TB=1748749191.32s, D=0.23s
R=50013, TT=StCr, NTX=25, TB=1748749193.35s, D=0.19s
R=50014, TT=StCr, NTX=25, TB=1748749195.51s, D=0.17s
R=50015, TT=StCr, NTX=25, TB=1748749197.95s, D=0.24s
R=50016, TT=StCr, NTX=25, TB=1748749200.16s, D=0.33s
R=50017, TT=StCr, NTX=25, TB=1748749202.43s, D=0.34s
R=50018, TT=StCr, NTX=25, TB=1748749204.98s, D=0.33s
R=50019, TT=StCr, NTX=25, TB=1748749207.17s, D=0.27s
R=50020, TT=StCr, NTX=25, TB=1748749209.70s, D=0.28s
R=50021, TT=StCr, NTX=25, TB=1748749211.86s, D=0.24s
R=50022, TT=StCr, NTX=25, TB=1748749214.16s, D=0.29s
R=50023, TT=StCr, NTX=25, TB=1748749216.26s, D=0.17s
R=50024, TT=StCr, NTX=25, TB=1748749218.65s, D=0.33s
R=50025, TT=StCr, NTX=25, TB=1748749220.77s, D=0.25s
R=50026, TT=StCr, NTX=25, TB=1748749222.98s, D=0.28s
R=50027, TT=StCr, NTX=25, TB=1748749225.08s, D=0.18s
R=50028, TT=StCr, NTX=25, TB=1748749227.25s, D=0.16s
R=50029, TT=StCr, NTX=25, TB=1748749229.37s, D=0.17s
R=50030, TT=StCr, NTX=25, TB=1748749231.80s, D=0.18s
R=50031, TT=StCr, NTX=25, TB=1748749234.07s, D=0.39s
R=50032, TT=StCr, NTX=25, TB=1748749236.32s, D=0.23s
R=50033, TT=StCr, NTX=25, TB=1748749238.57s, D=0.29s
R=50034, TT=StCr, NTX=25, TB=1748749240.76s, D=0.29s
R=50035, TT=StCr, NTX=25, TB=1748749242.95s, D=0.26s
R=50036, TT=StCr, NTX=25, TB=1748749245.09s, D=0.26s
R=50037, TT=StCr, NTX=25, TB=1748749247.44s, D=0.23s
R=50038, TT=StCr, NTX=25, TB=1748749249.64s, D=0.26s
R=50039, TT=StCr, NTX=25, TB=1748749251.75s, D=0.17s
R=50040, TT=StCr, NTX=25, TB=1748749254.10s, D=0.25s
R=50041, TT=StCr, NTX=25, TB=1748749256.82s, D=0.16s
R=50042, TT=StCr, NTX=25, TB=1748749258.51s, D=0.27s
R=50043, TT=StCr, NTX=25, TB=1748749260.65s, D=0.19s
R=50044, TT=StCr, NTX=25, TB=1748749262.85s, D=0.30s
R=50045, TT=StCr, NTX=25, TB=1748749265.23s, D=0.26s
R=50046, TT=StCr, NTX=25, TB=1748749267.39s, D=0.27s
R=50047, TT=StCr, NTX=25, TB=1748749269.78s, D=0.25s
R=50048, TT=StCr, NTX=25, TB=1748749271.89s, D=0.23s
R=50049, TT=StCr, NTX=25, TB=1748749274.05s, D=0.18s
R=50050, TT=StCr, NTX=25, TB=1748749276.33s, D=0.31s
R=50051, TT=StCr, NTX=25, TB=1748749278.51s, D=0.30s
R=50052, TT=StCr, NTX=25, TB=1748749280.65s, D=0.24s
R=50053, TT=StCr, NTX=25, TB=1748749282.78s, D=0.18s
R=50054, TT=StCr, NTX=25, TB=1748749285.07s, D=0.28s
R=50055, TT=StCr, NTX=25, TB=1748749287.20s, D=0.26s
R=50056, TT=StCr, NTX=25, TB=1748749289.36s, D=0.21s
R=50057, TT=StCr, NTX=25, TB=1748749291.52s, D=0.17s
R=50058, TT=StCr, NTX=25, TB=1748749293.86s, D=0.30s
R=50059, TT=StCr, NTX=25, TB=1748749296.12s, D=0.29s
R=50060, TT=StCr, NTX=25, TB=1748749298.20s, D=0.16s
R=50061, TT=StCr, NTX=25, TB=1748749300.32s, D=0.18s
R=50062, TT=StCr, NTX=25, TB=1748749302.60s, D=0.27s
R=50063, TT=StCr, NTX=25, TB=1748749304.77s, D=0.24s
R=50064, TT=StCr, NTX=25, TB=1748749307.15s, D=0.23s
R=50065, TT=StCr, NTX=25, TB=1748749309.28s, D=0.16s
R=50066, TT=StCr, NTX=25, TB=1748749311.51s, D=0.25s
R=50067, TT=StCr, NTX=25, TB=1748749313.74s, D=0.25s
R=50068, TT=StCr, NTX=25, TB=1748749315.92s, D=0.25s
R=50069, TT=StCr, NTX=25, TB=1748749318.16s, D=0.16s
R=50070, TT=StCr, NTX=25, TB=1748749320.51s, D=0.27s
R=50071, TT=StCr, NTX=25, TB=1748749322.50s, D=0.19s
R=50072, TT=StCr, NTX=25, TB=1748749325.18s, D=0.26s
R=50073, TT=StCr, NTX=25, TB=1748749327.29s, D=0.17s
R=50074, TT=StCr, NTX=25, TB=1748749329.88s, D=0.27s
R=50075, TT=StCr, NTX=25, TB=1748749331.94s, D=0.22s
R=50076, TT=StCr, NTX=25, TB=1748749334.17s, D=0.30s
R=50077, TT=StCr, NTX=25, TB=1748749336.30s, D=0.25s
R=50078, TT=StCr, NTX=25, TB=1748749338.55s, D=0.30s
R=50079, TT=StCr, NTX=25, TB=1748749340.72s, D=0.25s
R=50080, TT=StCr, NTX=25, TB=1748749342.89s, D=0.26s
R=50081, TT=StCr, NTX=25, TB=1748749345.09s, D=0.30s
R=50082, TT=StCr, NTX=25, TB=1748749347.27s, D=0.31s
R=50083, TT=StCr, NTX=25, TB=1748749349.38s, D=0.30s
R=50084, TT=StCr, NTX=25, TB=1748749351.56s, D=0.19s
R=50085, TT=StCr, NTX=25, TB=1748749353.83s, D=0.23s
R=50086, TT=StCr, NTX=25, TB=1748749356.08s, D=0.33s
R=50087, TT=StCr, NTX=25, TB=1748749358.34s, D=0.28s
R=50088, TT=StCr, NTX=25, TB=1748749360.49s, D=0.19s
R=50089, TT=StCr, NTX=25, TB=1748749362.74s, D=0.27s
R=50090, TT=StCr, NTX=25, TB=1748749364.94s, D=0.25s
R=50091, TT=StCr, NTX=25, TB=1748749367.13s, D=0.21s
R=50092, TT=StCr, NTX=25, TB=1748749369.27s, D=0.15s
R=50093, TT=StCr, NTX=25, TB=1748749371.56s, D=0.21s
R=50094, TT=StCr, NTX=25, TB=1748749373.71s, D=0.22s
R=50095, TT=StCr, NTX=25, TB=1748749375.99s, D=0.37s
R=50096, TT=StCr, NTX=25, TB=1748749378.39s, D=0.29s
R=50097, TT=StCr, NTX=25, TB=1748749380.54s, D=0.27s
R=50098, TT=StCr, NTX=25, TB=1748749382.60s, D=0.18s
R=50099, TT=StCr, NTX=25, TB=1748749385.13s, D=0.26s
R=50100, TT=StCr, NTX=25, TB=1748749387.22s, D=0.28s
R=50101, TT=StCr, NTX=25, TB=1748749389.52s, D=0.20s
R=50102, TT=StCr, NTX=25, TB=1748749391.61s, D=0.15s
R=50103, TT=StCr, NTX=25, TB=1748749394.01s, D=0.28s
R=50104, TT=StCr, NTX=25, TB=1748749396.07s, D=0.16s
R=50105, TT=StCr, NTX=25, TB=1748749398.38s, D=0.27s
R=50106, TT=StCr, NTX=25, TB=1748749400.61s, D=0.27s
R=50107, TT=StCr, NTX=25, TB=1748749402.77s, D=0.30s
R=50108, TT=StCr, NTX=25, TB=1748749404.81s, D=0.25s
R=50109, TT=StCr, NTX=25, TB=1748749407.02s, D=0.26s
R=50110, TT=StCr, NTX=25, TB=1748749409.18s, D=0.27s
R=50111, TT=StCr, NTX=25, TB=1748749411.35s, D=0.26s
R=50112, TT=StCr, NTX=25, TB=1748749413.40s, D=0.15s
R=50113, TT=StCr, NTX=25, TB=1748749415.68s, D=0.16s
R=50114, TT=StCr, NTX=25, TB=1748749417.93s, D=0.30s
R=50115, TT=StCr, NTX=25, TB=1748749420.09s, D=0.31s
R=50116, TT=StCr, NTX=25, TB=1748749422.33s, D=0.28s
R=50117, TT=StCr, NTX=25, TB=1748749424.41s, D=0.18s
R=50118, TT=StCr, NTX=25, TB=1748749426.69s, D=0.30s
R=50119, TT=StCr, NTX=25, TB=1748749428.99s, D=0.18s
R=50120, TT=StCr, NTX=25, TB=1748749431.12s, D=0.19s
R=50121, TT=StCr, NTX=25, TB=1748749433.43s, D=0.28s
R=50122, TT=StCr, NTX=25, TB=1748749435.52s, D=0.17s
R=50123, TT=StCr, NTX=25, TB=1748749437.89s, D=0.26s
R=50124, TT=StCr, NTX=25, TB=1748749440.07s, D=0.21s
R=50125, TT=StCr, NTX=25, TB=1748749442.21s, D=0.32s
R=50126, TT=StCr, NTX=25, TB=1748749444.80s, D=0.31s
R=50127, TT=StCr, NTX=25, TB=1748749447.04s, D=0.29s
R=50128, TT=StCr, NTX=25, TB=1748749449.38s, D=0.21s
R=50129, TT=StCr, NTX=25, TB=1748749451.53s, D=0.23s
R=50130, TT=StCr, NTX=25, TB=1748749453.64s, D=0.18s
R=50131, TT=StCr, NTX=25, TB=1748749455.94s, D=0.31s
R=50132, TT=StCr, NTX=25, TB=1748749458.12s, D=0.27s
R=50133, TT=StCr, NTX=25, TB=1748749460.26s, D=0.23s
R=50134, TT=StCr, NTX=25, TB=1748749462.43s, D=0.28s
R=50135, TT=StCr, NTX=25, TB=1748749464.45s, D=0.16s
R=50136, TT=StCr, NTX=25, TB=1748749466.80s, D=0.25s
R=50137, TT=StCr, NTX=25, TB=1748749469.01s, D=0.34s
R=50138, TT=StCr, NTX=25, TB=1748749471.22s, D=0.26s
R=50139, TT=StCr, NTX=25, TB=1748749473.13s, D=0.16s
R=50140, TT=StCr, NTX=25, TB=1748749475.53s, D=0.20s
R=50141, TT=StCr, NTX=25, TB=1748749477.80s, D=0.29s
R=50142, TT=StCr, NTX=25, TB=1748749479.95s, D=0.21s
R=50143, TT=StCr, NTX=25, TB=1748749482.18s, D=0.22s
R=50144, TT=StCr, NTX=25, TB=1748749484.39s, D=0.25s
R=50145, TT=StCr, NTX=25, TB=1748749486.65s, D=0.30s
R=50146, TT=StCr, NTX=25, TB=1748749488.79s, D=0.24s
R=50147, TT=StCr, NTX=25, TB=1748749491.07s, D=0.18s
R=50148, TT=StCr, NTX=25, TB=1748749493.31s, D=0.28s
R=50149, TT=StCr, NTX=25, TB=1748749495.53s, D=0.31s
R=50150, TT=StCr, NTX=25, TB=1748749497.83s, D=0.30s
R=50151, TT=StCr, NTX=25, TB=1748749500.09s, D=0.33s
R=50152, TT=StCr, NTX=25, TB=1748749502.44s, D=0.36s
R=50153, TT=StCr, NTX=25, TB=1748749504.95s, D=0.28s
R=50154, TT=StCr, NTX=25, TB=1748749507.13s, D=0.21s
R=50155, TT=StCr, NTX=25, TB=1748749509.61s, D=0.24s
R=50156, TT=StCr, NTX=25, TB=1748749511.83s, D=0.26s
R=50157, TT=StCr, NTX=25, TB=1748749514.07s, D=0.27s
R=50158, TT=StCr, NTX=25, TB=1748749516.27s, D=0.28s
R=50159, TT=StCr, NTX=25, TB=1748749518.52s, D=0.30s
R=50160, TT=StCr, NTX=25, TB=1748749520.69s, D=0.28s
R=50161, TT=StCr, NTX=25, TB=1748749522.84s, D=0.25s
R=50162, TT=StCr, NTX=25, TB=1748749525.03s, D=0.25s
R=50163, TT=StCr, NTX=25, TB=1748749527.21s, D=0.24s
R=50164, TT=StCr, NTX=25, TB=1748749529.42s, D=0.31s
R=50165, TT=StCr, NTX=25, TB=1748749531.63s, D=0.28s
R=50166, TT=StCr, NTX=25, TB=1748749533.87s, D=0.29s
R=50167, TT=StCr, NTX=25, TB=1748749536.00s, D=0.25s
R=50168, TT=StCr, NTX=25, TB=1748749538.20s, D=0.27s
