R=30001, TT=StCr, NTX=25, TB=1748703444.68s, D=0.30s
R=30002, TT=StCr, NTX=25, TB=1748703446.85s, D=0.27s
R=30003, TT=StCr, NTX=25, TB=1748703449.03s, D=0.29s
R=30004, TT=StCr, NTX=25, TB=1748703451.40s, D=0.30s
R=30005, TT=StCr, NTX=25, TB=1748703453.58s, D=0.24s
R=30006, TT=StCr, NTX=25, TB=1748703455.71s, D=0.25s
R=30007, TT=StCr, NTX=25, TB=1748703457.84s, D=0.17s
R=30008, TT=StCr, NTX=25, TB=1748703460.12s, D=0.17s
R=30009, TT=StCr, NTX=25, TB=1748703462.47s, D=0.31s
R=30010, TT=StCr, NTX=25, TB=1748703464.39s, D=0.17s
R=30011, TT=StCr, NTX=25, TB=1748703466.84s, D=0.33s
R=30012, TT=StCr, NTX=25, TB=1748703468.97s, D=0.25s
R=30013, TT=StCr, NTX=25, TB=1748703470.98s, D=0.18s
R=30014, TT=StCr, NTX=25, TB=1748703473.34s, D=0.27s
R=30015, TT=StCr, NTX=25, TB=1748703475.56s, D=0.33s
R=30016, TT=StCr, NTX=25, TB=1748703477.82s, D=0.22s
R=30017, TT=StCr, NTX=25, TB=1748703479.89s, D=0.15s
R=30018, TT=StCr, NTX=25, TB=1748703482.17s, D=0.21s
R=30019, TT=StCr, NTX=25, TB=1748703484.80s, D=0.29s
R=30020, TT=StCr, NTX=25, TB=1748703486.88s, D=0.19s
R=30021, TT=StCr, NTX=25, TB=1748703489.38s, D=0.27s
R=30022, TT=StCr, NTX=25, TB=1748703491.56s, D=0.25s
R=30023, TT=StCr, NTX=25, TB=1748703493.82s, D=0.29s
R=30024, TT=StCr, NTX=25, TB=1748703496.04s, D=0.34s
R=30025, TT=StCr, NTX=25, TB=1748703498.25s, D=0.25s
R=30026, TT=StCr, NTX=25, TB=1748703500.53s, D=0.35s
R=30027, TT=StCr, NTX=25, TB=1748703502.42s, D=0.16s
R=30028, TT=StCr, NTX=25, TB=1748703504.92s, D=0.32s
R=30029, TT=StCr, NTX=25, TB=1748703507.14s, D=0.30s
R=30030, TT=StCr, NTX=25, TB=1748703509.28s, D=0.28s
R=30031, TT=StCr, NTX=25, TB=1748703511.73s, D=0.19s
R=30032, TT=StCr, NTX=25, TB=1748703514.04s, D=0.29s
R=30033, TT=StCr, NTX=25, TB=1748703516.15s, D=0.19s
R=30034, TT=StCr, NTX=25, TB=1748703518.45s, D=0.32s
R=30035, TT=StCr, NTX=25, TB=1748703520.59s, D=0.26s
R=30036, TT=StCr, NTX=25, TB=1748703522.34s, D=0.14s
R=30037, TT=StCr, NTX=25, TB=1748703524.87s, D=0.20s
R=30038, TT=StCr, NTX=25, TB=1748703527.18s, D=0.31s
R=30039, TT=StCr, NTX=25, TB=1748703529.30s, D=0.22s
R=30040, TT=StCr, NTX=25, TB=1748703531.55s, D=0.27s
R=30041, TT=StCr, NTX=25, TB=1748703533.67s, D=0.21s
R=30042, TT=StCr, NTX=25, TB=1748703535.90s, D=0.38s
R=30043, TT=StCr, NTX=25, TB=1748703538.21s, D=0.20s
R=30044, TT=StCr, NTX=25, TB=1748703540.27s, D=0.16s
R=30045, TT=StCr, NTX=25, TB=1748703542.65s, D=0.26s
R=30046, TT=StCr, NTX=25, TB=1748703545.06s, D=0.29s
R=30047, TT=StCr, NTX=25, TB=1748703547.28s, D=0.33s
R=30048, TT=StCr, NTX=25, TB=1748703549.70s, D=0.29s
R=30049, TT=StCr, NTX=25, TB=1748703551.73s, D=0.16s
R=30050, TT=StCr, NTX=25, TB=1748703554.05s, D=0.20s
R=30051, TT=StCr, NTX=25, TB=1748703556.27s, D=0.31s
R=30052, TT=StCr, NTX=25, TB=1748703558.43s, D=0.21s
R=30053, TT=StCr, NTX=25, TB=1748703560.74s, D=0.32s
R=30054, TT=StCr, NTX=25, TB=1748703562.94s, D=0.25s
R=30055, TT=StCr, NTX=25, TB=1748703565.12s, D=0.26s
R=30056, TT=StCr, NTX=25, TB=1748703567.31s, D=0.26s
R=30057, TT=StCr, NTX=25, TB=1748703569.52s, D=0.28s
R=30058, TT=StCr, NTX=25, TB=1748703571.79s, D=0.27s
R=30059, TT=StCr, NTX=25, TB=1748703573.94s, D=0.17s
R=30060, TT=StCr, NTX=25, TB=1748703576.21s, D=0.31s
R=30061, TT=StCr, NTX=25, TB=1748703578.10s, D=0.16s
R=30062, TT=StCr, NTX=25, TB=1748703580.58s, D=0.24s
R=30063, TT=StCr, NTX=25, TB=1748703582.76s, D=0.28s
R=30064, TT=StCr, NTX=25, TB=1748703584.92s, D=0.24s
R=30065, TT=StCr, NTX=25, TB=1748703587.08s, D=0.28s
R=30066, TT=StCr, NTX=25, TB=1748703589.20s, D=0.23s
R=30067, TT=StCr, NTX=25, TB=1748703591.32s, D=0.18s
R=30068, TT=StCr, NTX=25, TB=1748703593.58s, D=0.20s
R=30069, TT=StCr, NTX=25, TB=1748703595.85s, D=0.28s
